rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/8/2019,Fish specials and the octopus are the jam. Nice quite dining room and decent wine selection. It's a professional place with nice service although sometimes the bus boys are a little rush-y taking your plate when not everyone is finished. It's a great quality food spot. Go for the fish special over the prix fixe. Def don't miss the octopus,0,0,0,Delphine L.,"New York, NY",71,28,0
1.0,3/3/2019,"I had a less than average meal at Periyali a couple weeks ago. The appetizers tasted like they came from a frozen package (spanikopita and zucchini fritters), the salad was fine and I had to spit out some of the chicken kebab because it was sinewy and I was worried it was actually raw. Even worse, the pen they gave me to sign my check    had a leak which got all over my hands and ruined my wallet AND handbag. They deny all of this saying they have security footage of me signing my check (they do not) that shows the pen was fine. A bad $60 dinner cost me almost $2000 in damages. Bad customer service and rude management. AVOID.",0,0,0,Ariel A.,"Manhattan, New York, NY",0,2,0
4.0,2/24/2019,"My friend and I went here for a middle of drinking snack and waiting to get into a speakeasy. My friend really just wanted humus so we just got this trio dip thing and oh my gosh it was delicious. It was a trio of fish dip, humus, and an eggplant, I believe. The pita bread was toasted and yummy! It is a classy place and would definitely recommend a friend to take someone out on a date here. OR you can just do what I did. I love Greek food and you really can't go wrong with Greek. Well, nowadays, you can, but they didn't.",0,0,0,Alice R.,"Manhattan, NY",10,111,4
5.0,2/10/2019,We absolutely loved this restaurant! Service was outstanding. Our server had been there over 30 years! Food was delicious. We got the humus- so delicious and garlicky-The Octopus was a huge portion and so tasty. The shrimp appetizer was great and so flavorful. And the mushroom app was delicious. The space is beautiful. They have fresh flowers throughout. Really surprising lovely meal at this little neighborhood restaurant. Already made a reservation to come back!,0,0,0,Nicole G.,"Philadelphia, PA",57,6,1
5.0,1/29/2019,"Classic and cozy with consistently wonderful food and attentive service. Go to is always Grilled Octopus, Grilled Branzino. Sharing appetizers is a good way to go, they're sharing sizes (although my 12 yr old ate all the meatballs before anyone noticed - that quick!).  Desserts are all yummy.",0,0,0,Kate M.,"Bronxville, NY",53,36,1
5.0,1/20/2019,"Periyali never disappoints me. The best octopus I've had, great service and wonderful selection of wine.",0,0,0,Ashley D.,"Manhattan, NY",170,22,6
5.0,1/13/2019,"What a wonderful surprise!  I've passed by this restaurant so many times during the last few years.  I wish I discovered this place sooner!Periyali serves up refined classic Greek fare in a warm, friendly, and festive environment.  The restaurant is perfect for a family celebration or a date.  Service is also incredibly attentive!  We decided to share the Spanakopita, Tiropita, Kolokithokeftedes and Fava Kremidaki for our first course.  The delicious pie and fritter medley was served with a generous helping of mixed greens.  Best bring your appetite!  Make sure to dip your pita and/or bread in the high quality olive oil provided at the table (in addition to the tasty yellow split pea purée).For main courses, we selected the Grilled Branzino and Mosharaki Sharas Rigani, Agriomanitaria (whoa that's a complicated way to describe veal medallions!).  The Branzino was simply prepared, with good taste and texture.  The Veal Medallions were the highlight of my evening!  I really dig the use of oregano and spices.  Order this dish medium-rare.For dessert, we opted for the Walnut Cake - which is served with a giant scoop of homemade pistachio ice cream.  Although I am lactose intolerant, I had more than my fair share of this decadent plate.We had a terrific evening at Periyali.  The meal was well paced and the cuisine is reminiscent of a classic home cooked meal.  This restaurant lived up to its storied culinary history.",0,0,0,Matt M.,"Manhattan, NY",35,79,200
4.0,12/18/2018,"Booked a party of 12. They were nice to accommodate such a large party. Food was great, service was great and we all were seated right away. Drinks were tasty!",0,0,0,Isha D.,"Jersey City, NJ",8,90,3
4.0,11/14/2018,"Yelp review  Periyali (Greek) 35 West 20th street/ Manhattan. 4 stars.My friend and an I found many wonderful positive points in Periyali , such as-I. ServiceContrary to some reviewers, we found the owner to be extremely helpful, concerned, graceful and polite. Our table alone was served with at least six staff members -verities of ethnic, age and gender- who volunteered frequently to accommodate our dining experience.  The owner came at least twice -to express his care. It was very easy to receive the attention of the servers. Indeed, the service was perfect.We did not feel being pushed to order any specific dishes; the staff recommends dishes -only when asked- e.g. their specialty - e.g. octopus. II. Ambiance Modern, tasteful ambiance, light white and blue motif, comfortable seats -plenty of space between tables- allowed conversations - business, romantic, as well as family gathering.  III. Authentic Greek and special dishesThe rich menu includes many special Greek maze , Mediterranean, semi-exotic dishes such as: Moussaka, Octopus, Quail, Rabbit Stew, regular Greek appetizers, lamb dishes (shank and chops) , verities of fish (-cooked Greek styles -as well as poached, steamed, barbequed, fried, or baked in a phyllo pastry [similar to Russian Kulebyaka ].Available also are beef-chicken (liver and Grilled)-veal, pasta, raw seafood, as well as vegetarian for those who do not want to try unknown ethnic dishes. Many dishes are garnished with spinach and Greek feta cheese. IV. DrinksFresh fruit juices, beers, good selection of wine and hard liquor, and tab- water served -refilled frequently.  Varieties of tea flavor and coffee are offered.V. On our specific experience -one visitWe ordered the following dishes:1. Octopus -excellent, peerless2. Quail -satisfactory3. Calamari - satisfactory4.  Selections of appetizers: fish caviar with olive oil, eggplant mixture, and tzatzika (cream-yogurt family) salad.5.  Grilled Branzino -whole Greek fish- satisfactory.Note: Due to a previous arrangement - we did not order dessert; the dessert dishes on display looked very good. The size of serving was generous -served with extra veggies.VI. ConclusionA wonderful restaurant - the service, ambiance, varieties of dishes- especially octopus - good for business, family and romantic encounter.Still the best fish and Sashimi - as well as super service - are found at Ab Sushi, 11 West 36th street.Please note this rating is due to only one visit.",0,0,0,Parviz M.,"Manhattan, NY",0,47,1
4.0,11/11/2018,Awesome service. Wine was okay and priced high. But the bronzino was the best I have ever had. Okra was excellent as well. I would definitely repeat the bronzino. Super fresh and flavorful.,0,0,0,Ty H.,"New York, NY",134,205,25
