rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,Very good food and drinks are so amazing. I will always go there to have meals I will also tell my friends to have a meal there and I think they will be happy,0,0,0,Xinyu G.,"Manhattan, New York, NY",0,3,0
2.0,4/29/2019,Just finished lunch. The place is too dark unless you sit at a booth. Lemon fried chicken was dismal at best.  The shrimp egg foo young was great. Will not be returning as the service left much to be desired!,0,0,0,Argerie A.,"Manhattan, New York, NY",0,2,0
5.0,4/26/2019,"it s a very nice place for gathering. good foods, good service and good friends. Wonderful dinner",0,0,0,Kiki K.,"Queens, Queens, NY",0,2,0
5.0,4/23/2019,Having dinner with my girl here two days ago. The food really caught me. It is delicious and the service is so good. Strong recommendation!,0,0,0,BC C.,"New York, NY",112,4,1
5.0,4/23/2019,"If you wanna try authentic and fancy Chinese food, This is a good option.  Good place to chill with friends and experience Chinese cuisine. Relaxed environment and affordable price.",0,0,0,Chen C.,"Jacksonville, FL",0,3,0
2.0,4/12/2019,"This place is for the old timers that believe Chinese food consists of sesame chicken, flavorless hot and sour soup as take out menus.If you are coming here for nostalgia and name recognition, this is the place.  This was probably one of the first Chinese restaurants in NYC, and the decor shows.The food was blah as was the service.  Won't be coming back unless catching a show for Lincoln Center.",2,1,1,Christina D.,"Jersey City, NJ",212,264,973
4.0,4/8/2019,Been going here forever and it is a throwback to the younger years of going for Chinese with family​. The food is great and the booth's make the experience as well. If you happen to get one which we usually do.,0,0,0,Antoine N.,"White Plains, NY",0,5,0
5.0,3/31/2019,"I went here with my family and extended family this past Saturday night.  The decor is a fun old school Chinese restaurant.  We had 9 people and were sat right on time in the middle of the restaurant. We had a big round table that allowed everyone to see each other which is rare in New York.The service was great.  It seemed like we had 3-5 people helping at all times.  It was very cool that after we ordered drinks and appetizers, they offered to take our menus back so we could eat appetizers.  Usually, people are trying to get you to order as fast as possible.  Great service.The food was slightly pricey but really good.  The mai tais are particularly good.  Great family experience.  Thanks!!",0,0,0,Josh B.,"Kihei, HI",0,7,0
1.0,3/28/2019,"Shun Lee tried to fraudulently hide their 2.5 star rating by changing their account to ""Fusha Asian Cuisine."" See my attached screenshot below! ""Fusha Asian Cuisine"" even lists Shun Lee's website, menu, and phone number! Shun Lee was once the gold standard of Chinese food. Instead of Shun Lee cleaning up their act to fix their disgusting expensive food and rude offensive service, they think they can lie by opening a new account. Shun Lee: I'm reporting your despicable lying and dishonest activity to Yelp!See my review that I posted in Dec 2018 that they tried to hide by transferring it to Fusha Asian Cuisine:Shun Lee banned me last night after a 20 year love affair. Late afternoon on Tuesday, I was on the UWS running an errand 3 blocks from Shun Lee. I lived in the neighborhood since 1998, but am now in Soho. I thought I would pick up Shun Lee while I was in the neighborhood, so I popped in and ordered a quart of wonton soup, Hunan Country Chicken, and fried rice which was $58 for take out! I specifically asked for extra sauce for the Hunan Country Chicken. When I arrived all the way back downtown in Soho, I opened my chicken. Not only was there not extra sauce, they made it with zero sauce! I called them to tell them it was dry as a bone and they said they would give me a store credit for the chicken. I tried to eat the wanton soup, but it had shrimp floating in it that was not de-vained, so shrimp sh!t was floating in my soup. And their version of $16 fried rice is white rice with raw onion and some vegetables. It is not fried at all. It was white. They ruined my dinner. I was unable to eat anything. By the time I arrived home that night it was late and I didn't have anything in the house to eat for dinner. I am the opposite of cheap, but paying $58 to have to eat microwave popcorn for dinner really bugged me all week.I was up by Shun Lee again yesterday and I took the soup, chicken, and rice in to return it because it's BS to pay $60 for shrimp sh!t, dry chicken, and white rice. They wanted to give me a store credit again, but I told them I'm wanted a refund. The lady who knows me from my 20 years of ordering from them told me, ""Never call again!"" I'm am now banned from Shun Lee because they f'd up my order and serve shrimp sh!t, and I refused to pay $60 for filthy inedible food!Shun Lee used to be the BEST! The Gold Standard. I'm so sad they haver zero respect for their customers whom are happy to pay top dollar for top quality and they have let their once outstanding food and service hit rock bottom. I'm going to miss you Hunan Country Chicken of yesteryear. :(",2,2,0,Veronica L.,"Beverly Hills, CA",3,107,3
4.0,3/16/2019,"What is going on with Shun Lee West? If you order right, the food is still excellent. We are regulars and just had an excellent sea bass in black bean sauce and a tasty shrimp in XO sauce (we do tell them to make it extra spicy, or they tend to dumb down for the UWS audience.)However the last few times we've gone they've been acting strange. We get there between 9 to 9.30. They've already closed all the side booths. Last time they coralled everyone to the center space, so you were sitting next to someone, hearing their conversation perforce, in an otherwise huge, empty restaurant! The waiters seem to be in a rush. You get the feeling they're trying to rush you out of there . . . This is at 9.15! It is not a relaxed meal.What are they doing? Are they purposely trying to drive customers away? Are they just running down their lease?  We would be sorry to lose the great food, but the management seems to be bent on making your visit as unpleasant as possible.Why?",1,0,0,S M.,"New York, NY",0,24,0
