rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/23/2019,I had a lovely lunch here today the food was yummy with a nice presentation.  My favorite dish was the salmon avocado hand roll  with a refreshing green tea. Please note I had a very good green salad with Miso dressing which is standard in a Japanese restaurant.  I am rating this place four stars as I was good mood and I love the bathroom. They were those w/c types with privacy and clean which is major statement to me how the owners cherish their restaurant.,0,0,0,Heather R.,"New York, NY",5,49,8
3.0,4/23/2019,"Super great food!! Beautiful interior including the restroom. Young female staff by the front desk were very rude and didn't seem to care about various customers' concerns or questions. It was odd since they are the very first point of contact and first impression of the restaurant when you enter. The saving grace here was the female with glasses. It really is a super place to dine (5 stars), but you seriously get rubbed the wrong way as soon as you enter. Customers should never be treated that way especially without cause.",0,0,0,Michelle B.,"Brooklyn, NY",0,13,3
5.0,4/20/2019,"Go for happy hour the menu! They have nice drink specials, the service is great, and the Blue Crab Fritters are delightful. This is an all around 5 star dining experience!",0,0,0,Martin H.,"Manhattan, NY",0,2,0
5.0,4/17/2019,"The service was great. The restaurant was very clean and had a great vibe. The food was delicious and so fresh, I will definitely be coming back to Haru when I return to NY.",0,0,0,Claudia F.,"Houston, TX",2,49,20
1.0,3/29/2019,Sushi never arrived.  No apologies or offers to resolve.  This is unacceptable no matter what kind of food it is.  I won't be returning as a delivery or in-person customer.,0,0,0,S G.,"Chicago, IL",0,11,0
4.0,3/27/2019,"True to its name, mostly sushi with some cooked options. For pre-theater dining close to most Broadway theaters, the happy hour menu until 6pm weeknights -- including poke tuna and salmon, California rolls, chicken wings, and tempura cauliflower -- is a great value. Reservations are recommended during the intermission between Harry Potter shows across the street, when the dining room is packed. A refreshing alternative to the chains of Times Square.",0,0,0,Catherine C.,"Brooklyn, NY",258,89,46
3.0,3/24/2019,"Came with a groups of 7 and were told that we would be able to split the check with 5 credit cards and the rest cash. Perfect. But when we got our check, our server Junita was quite short and rude and told us to just write our individual totals just on the one receipt and spent 15 minutes just trying to do the math and figure out how to divide everything correctly with tax and gratuity and what not. Not really the best method. The food was delicious and the price was reasonable, too bad we left with a sour taste in our mouths.",1,0,0,Sarah G.,"Aylesford Place, Lexington, KY",140,1,0
3.0,3/17/2019,"The food was good but nothing exceptional. The quality of fish didn't seem to be any better than what we get in N.C., which is surprising as this is NYC. The service left a lot to be desired several times food that was not meant for our table was in the process of being set down and we had to stop it.  While our glasses stayed full we didn't see our waiter much for the little things like when we ran out of soy sauce.",0,0,0,Kellie B.,"Moyock, NC",0,33,47
3.0,3/14/2019,"I was not crazy about the takeout here the last time I ordered but figured I would give it another chance. Once again, it was just ok. The delivery took longer than stated in my original order. I completely understand that restaurants get busy and things happen, but I am not ok with the fact that my food was ice cold when it arrived. This makes me think that this restaurant is maybe not set up well for delivery orders. The king crab dumplings were tasty once I heated them up. I order one of their special sushi rolls (Hell's Kitchen Roll) and I did not really think it had the spicy flavor listed in the description. I love sushi and this was not my favorite roll. Overall, I would suggest ordering delivery from some place else. There are lots of great and efficient sushi restaurants in the city and unfortunately, this one did not quite live up to my expectations.",4,0,1,Cara T.,"Manhattan, NY",1355,53,27
3.0,2/24/2019,"Haru was in close proximity, literally in the back of the Lyric theater so we decided to grab an early dinner here between watching parts one and two of Harry Potter and the cursed child. The food was pretty average, and prices are comparable to restaurants in Times Square. Not the most amazing place to eat, but super convenient and gets the job done. While it wasn't packed while we were here, making a reservation on opentable never hurts.",5,1,2,Ju L.,"Philadelphia, PA",154,228,302
