rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,"SUCH great food and such a creative innovative menu. I wanted to try it all, but I'd have to particularly recommend the hoisin pork arepas, Thai chicken empanadas, and the asparagus tempura roll. My only complaint is while the drinks were creative and delicious, they were a bit weak. It's definitely a little pricey, but worth it for a special occasion. More on instagram @hangryinthecity",0,0,0,Molly B.,"New York, NY",112,68,53
5.0,4/27/2019,We were a table of 11 for brunch on a Saturday in the 2nd floor. We got there late but David and Adrian were beyond amazing. We got unlimited booze and food for 2 hours. They helped us pick and made sure we had both booze and food at all times. Best brunch ever truly a great experience with Amazing service. If you're coming in a Group come here and let David & Adrian take care of you!!! You will not regret it !!!,0,0,0,Brigitte T.,"DC, DC",227,1,0
5.0,4/27/2019,"Great atmosphere, delicious food and friendly service. Adrian was our server and he really made us feel welcomed! Thank you!! 5/5",0,0,0,Catherine V.,"Cleveland, OH",170,3,0
4.0,4/25/2019,The admin staff went here for lunch (my 1st time) and the service and food was good. The ambiance was excellent.,0,0,0,Kwala M.,"New York, NY",0,1,1
5.0,4/23/2019,"Came here with my girls for Sunday brunch. amazing service - ""Andrew"" was our waiter. The tapas were also amazing; we were able to try a little bit of everything. A great brunch spot for bottomless brunches! I would definitely come back here again. The atmosphere was absolutely stunning as well; I love the decor!",0,0,0,Joey R.,"New York, NY",92,139,895
3.0,4/22/2019,"This review is for weekend brunch. The hostess were amazing in adjusting my reservation at the last minute, my party was less than 2 people I originally reserved for.Service was good given the brunch unlimited food and drinks brunch sitch. He was able to check in with us from time to time to see if we want to order additional items and refill our drinks. Athough, we have to re-order some of the items that did not come out from previous order, its an oversight that my party did not mind.Onto the food. Oh boy, most them comes out 2 mins after ordering them. Yes, they were efficient, but none of the food came out hot. None of the brunch item came out stellar. Everything was just ok. And for the drinks, was just ok too. not too bad but not good either. They refill drinks from a huge pitcher which is sitting from the server's stations, not stirred so you either get mostly juice or alcohol.The concept of unlimited boozy brunch was good bec who doesn't love a brunch in NYC? But I hope they will reconsider some of the reviews and improve on certain situation before I consider going back or referring other patrons.",0,0,0,Jordan C.,"Meatpacking District, Manhattan, NY",95,6,0
4.0,4/18/2019,A little pricey but food tastes pretty good. Great date spot. Get the mango mai tai and Thai chicken empanadas. I was blown away by the salmon!! Short rib noodles were also good albeit portion was a little small. Bill came out to be about $100 for two people with drinks and app and mains.,0,0,0,Catherina L.,"New York, NY",715,115,218
5.0,4/15/2019,"Go Adrian! Best bartender in town. The flatbreads are especially delicious, just a heads up ;)",0,0,0,Samantha C.,"Washington, DC",394,9,0
5.0,4/15/2019,"Came here for happy hour and had the best service! Good deals for good drinks and yummy appetizers. Great atmosphere, but what made this place amazing was the bartender - Adrian was so accommodative and friendly, really recommend coming here!",1,0,0,Oriana B.,"Bronx, Bronx, NY",0,3,0
3.0,4/8/2019,"I am not sure what type of brunch situation you are looking for but I will share what type of experience Zengo provides.  It's a bottomless food and drink spot and their bottomless duration is 2 hours.  I will say that I have been here before a couple of years ago and I have noticed have been some changes on the menu in terms of portions (like the Korean Fried Chicken).  The first round of food was luke warm but I am assume some is the food is already prepared.  There was a time I requested hot food such as for my dumplings and my server did meet my request.  The bread pudding that was on the menu was cold and I am not use to cold bread pudding.  I will say this is the perfect place for group brunch and I highly encourage recommendations.  My server, Natalie, was the bomb. Right when I thought my glass was getting empty Natalie was on top of it. The reason I gave them a 3 instead of a 5 is because I feel like a lot of the food was luke warm.  I understand this was out of the control of the server but no one wants luke warm food.  I understand when bottomless comes into play of brunch experience sometimes things have to compromised If I could rate my server alone she would of got 5 for her service and for the restaurant it would of been a 3.",4,2,1,Dominek T.,"New York, NY",562,339,583
4.0,4/7/2019,"Food is delicious. Could play better music though. I went with a few girlfriends for brunch. Everything taste great, the drinks are good but won't get you buzzed.",0,0,0,Tiffy S.,"New York, NY",36,16,8
5.0,4/7/2019,"This was an amazing experience. David was THE BEST server I've ever had. I will definitely return as soon as possible. The food was tasty, the ambiance was calm, the drinks were DELICIOUS, and the customer service was top of the line. Can't wait to return.",0,0,0,Shaquawn P.,"Staten Island, NY",0,5,3
5.0,4/7/2019,"We came for my sister's birthday! Our server David was very friendly and accommodating! When I let him know about my food allergy, he made sure there was food that I could eat!",0,0,0,Chelsea C.,"Brooklyn, NY",192,2,0
5.0,4/7/2019,Went here for a birthday brunch and my experience was great. Our server David was so attentive and explained everything before we ordered. Did the two hours bottomless and I have to say we left feeling phenomenal! The food was great (family style which I love because I got to try a little bit of everything) and there was SO much of it. Drinks were strong (and kept coming!) Will definitely be back!,0,0,0,Shaniece M.,"Brooklyn, NY",34,13,2
5.0,4/6/2019,I had fun in this place. The food is amazing. The service is impeccable especially if you're served by Maria. She handled our table well and make everyone happy.,0,0,0,Andrew M.,"Clifton, NJ",1,1,0
5.0,4/6/2019,Always a great experience coming here. Food is fantastic! Service? Awesome!!!! Maria today is the best. She's like she know what we want. She is awesome!! Can I give more than 5 star? Hahaha coz i will,0,0,0,Eunick A.,"New York, NY",0,2,0
5.0,4/6/2019,This is my second time here for brunch. Bottomless food and drink for 2 hours is a great deal. Food is yummy and drinks are on point. Our waiter Alberto was the absolute best! Can't wait to come back,0,0,0,Victoria P.,"New York, NY",9,11,33
5.0,4/6/2019,Just left brunch today.  Drink and food were dope.  Can't get enough of the guava mimosa.  Even though they were super busy the service was on point.  Natalie was our server and our glasses were never empty.  All the staff were super accommodating especially the managers Stephanie and Amauris.  Definitely will be back.  Can't wait to check out happy hour.,0,0,0,Monica L.,"New York, NY",133,1,0
5.0,4/5/2019,"First time I checked it out , loved the vibe inside and great drinks. Staff was very friendly and would come back again .",0,0,0,Danny S.,"Union, NJ",26,6,1
5.0,4/5/2019,"I have come here for happy hour after work multiple times. Love the venue and their menu, 3 different floors and atmospheres. The margaritas and the food are great. Adrian at the Zengo main floor bar is awesome, friendly, terrific service and makes really good drinks. Biblioteca downstairs is also really cool, depending on the vie you want. Highly recommend all around",0,0,0,Javier O.,"Manhattan, New York, NY",0,2,1
5.0,4/4/2019,"Zengo, meaning ""give and take"" in Japanese, is a fusion of Latin-Asian styles and flavored dishes. I tried the Chili ShortRib Empanada which was Malaysian puff pastry filled with beef short ribs, chili coconut & ginger served with cilantro sauce & pickled vegetables & Balinese Chicken with grilled corn salsa, pickled chayote & coconut broth.Everything was Absolutely delicious!  The chicken was tender & flavorful Everything paired so well together & was a great portion",0,0,0,SamBam C.,"East Elmhurst, Queens, NY",2,47,115
5.0,3/30/2019,Had a birthday party here for my friend and David and Julio were amazing!!! Thanks guys!,0,0,0,Nina 9.,"Los Angeles, CA",8,4,1
5.0,3/30/2019,"Adrian was very helpful and his personality was the best.  He took his time to explain the menu to us and his recommendations were on point. His service was great, he always made sure we were ok Or checked if we needed assistance. I will definitely return just because of him. If you ever stop by, ask for him.",0,0,0,Justin M.,"Sun Bay South, Tampa, FL",546,1,0
5.0,3/30/2019,David and Julio are very nice . I love their attitude they are so cool !!! Best service,0,0,0,Earvina E.,"Brooklyn, NY",25,1,0
5.0,3/30/2019,My experience at Zengo has been great from the entry. David and Julio were attentive to our needs even when our group was not here yet. We love the plush environment and friendly attitudes. Amazing experience.,0,0,0,Dequan J.,"Manhattan, New York, NY",0,1,0
