rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/16/2019,Service is good & so is the food! My favorite restaurant in Eataly. Can't wait to go back. Seating is a bit tight but that didn't bother us too much. I definitely recommend going here!,0,0,0,Melissa L.,"Bronx, NY",0,2,2
1.0,3/31/2019,"Horrible service and horrible food. I got a salad as an apatizer and they gave a handful of greens. That was $16. We also ordered a pasta plate and the serving size was tiny. It was definitely not worth the $29 we paid. It took them forever to do anything (take our order, bring our food, and even give us the check). Save your money and your time.",1,0,0,Nathalie L.,"Anaheim, CA",1,6,0
2.0,3/31/2019,"Porca miseria!  Hell would have to freeze over before I would return to Manzo or any other Eataly restaurant.  I'm usually immune to the blandishments of such mass market enterprises but I fell for a promotion offering a two-course menu for $28 and $25-bottles of wine.  As Manzo means beef we both went for the hangar steak that, while flavorful, was so tough it was hard to believe it was USDA prime.  (Could they possibly have not known how to trim the gristle?) We had a decent salad as starters but yet more salad came with the steak.  No, we couldn't have potatoes, such being the nature of special menus.  The wine was a better bargain but the food was the least of the problem: The place is a madhouse with tables cheek by jowl and noisy beyond belief.  It's hard to fault the waiters for the indifferent service as who could function in such bedlam!  We couldn't wait to get out of there.P.S.  There must have been a clump of unwashed greens in my salad as I spent much of the night running to the WC!",1,0,0,Frank C.,"Manhattan, NY",1,17,0
5.0,3/29/2019,"I don't know where to start ! This place is amazing ! During the summer times , my husband and I come to get some ice cream at Eataly. We been going for the ice cream for about 3 years now since my husband works next to Madison park which isn't at all far from here . I was pretty excited to come here for the pre fix menu they had for Italy festival . I reserved a table a week in advance because I knew if we walk-in it was going to be pretty packed . We arrived and we got seated immediately. Our server Tiffany was superb . We ordered a salad and mozzarella which were awesome. For entree , my Husband got the chicken and I got the steak . For drinks , I got something called sogno carabaico , our server recommended it and it was delicious ! Wanted another round but the wine bottles were $25 so I got a wine bottle . Since my husband doesn't drink , I took my wine bottle . For dessert we got a chocolate cake and tiramisu with 2 cappuccinos . Everything when I mean everything was perfect ! Portion wise and flavor wise was on point . I have no complains whatsoever . Will be back !",0,0,0,Jenny H.,"Flushing, NY",23,45,173
5.0,3/26/2019,"Tried this restaurant during restaurant week at the end of March. It was amazing!!!! Started with mozzarella appetizer, bottle of red wine, followed by steak and chicken. It was an amazing experience. Waiter was very attentive, came by few times to ensure everything was good. Food was delicious, finished everything on the plate. Then ordered tiramisu with desserts drink (limoncello - how can one go wrong when in italy). Will definitely come back for another wonderful experience",0,0,0,Valentina Y.,"Fort Lee, NJ",3,18,20
4.0,3/22/2019,"Went here for their restaurant week. Had a reservation at 12:30 but arrived early. Seated by 12:10. We were the only table in this certain section by the bathroom. Easy enough to store a stroller and toddler away. Service was kinda slow. We waited for almost 50 minutes for our food. We ordered off their prefixed menu for theirRestaurant week sorta thing. Hanger steak was amazing, well cooked, flavorful, filling and seasoned wonderfully. The mozzarella was delicious. Highly recommend trying this if you're a fan of mozzarella. It was wet but not too wet, if that makes sense. I really liked the salt and garlic they added on the outside. I didn't enjoy being near the only bathroom. The line was always long and it get awkward having a group of people staring at us while waiting in line. The place is also very dark. I have horrible astigmatism so dark places are extra dark for me.",3,1,4,Erica A.,"Philadelphia, PA",333,267,1071
4.0,3/20/2019,"Fantastic! My friend and I have always wanted to try some of the restaurants at Eataly. Since Eataly is having their restaurant fest we've decided to check them out. And... absolutely yum!!!We both had the carne cruda di Manzo and the bistecca del macellaio (get it medium rare). The carne crude comes with some type of mousse you spread on it, can't tell what it was but it was absolutely delicious. The bistecca was cooked perfectly.Overall, great experience, great food!",1,0,1,Cici V.,"Brooklyn, NY",2,3,25
5.0,3/10/2019,"One of my favorite place to go to at Etaly  Food is very authentic with a modern twist , and keep it simple . A little pricey but well worth it",0,0,0,Danny L.,"New York, NY",85,42,148
2.0,3/9/2019,"Went here for lunch with a few work colleagues and we were seated right away at 12:30 pm on a weekday. The place was relatively busy a noise levels were quite low.It was the 4 of us, and I ordered the Insalata Mista ($19) with Shredded Rotisserie Cascun Farms Chicken (+$8). I think $27 for a salad is quite steep, so be prepared to pay more! Our food took a very long time to arrive and we waited close to 40 minutes for our food to arrive. Service was okay too, and our table wasn't attended for 10 minutes after we sat down, so yes, it was a very long lunch!2 stars just for the salad which was really good!",3,2,2,Ameya B.,"New York, NY",494,312,589
5.0,3/7/2019,"Fun and exciting atmosphere with lots to look at and take home .. my pasta was out of this world , the bread is delicious and the salad I had was so fresh",1,0,1,Lisa O.,"Copiague, NY",67,19,5
4.0,1/22/2019,I went here with a couple of friends for restaurant week. They offered a lunch tasting menu for $27 for  a 2 course entree (appetizer and meal). I ordered the mozzarella e proscuitto as an appetizer and it was the best I've ever had. For entree I ordered the scallopina di pollo which I wasn't a huge fan of. Friends ordered the arrosto di manzo con polenta which they thoroughly enjoyed. We also got accompanying wine pairings for $10. Dessert had to be had of course and I got the tiramisu (best I've ever had). The service was great and staff were very attentive. Thank you for a great experience!,0,0,0,Jess A.,"Marlboro Township, NJ",225,15,8
5.0,1/12/2019,"One of my favorite spots in the Flatiron District. The food is always delicious. I especially enjoy the pappardelle pasta al Beef Ragu. Make a reservation! They are usually booked for lunch. The espresso coffee is served in ultra small cups, but with a glass of Sambuca to add to your coffee, you don't mind",0,0,0,Rose M.,"New York, NY",3,24,0
4.0,1/4/2019,"We decided to come by & try the truffle pop up once seated they start u off with some nice warm bread good olive oil.Drinks I gave the Mezcaroni a try good cocktail nice taste. Main dishes I had the Cacio e Pepe w some black truffle the pasta itself was very good delicious tasting sauce the truffle itself good as well but the pasta needed more truffle flavor. My friend had the Gnocchi also with black truffle very good pasta as well. Restaurant is located inside eataly but the space is decent, plenty of seating plus a bar area, easy simple decor. Service was not bad a bit slow , price wise kinda pricey for the cocktails & dishes but the food was very good so prices are doable, we enjoyed our meal.",12,1,10,Ginette P.,"New York, NY",546,1069,6718
