rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/29/2019,"So I will first start out saying that I'm terribly disgusted by this place. Yesterday, I was celebrating my birthday as well as my best friends birthday. We had a 12:30 reservation. I made this reservation a week and a half ago. We called bagatelle TWICE to let them know we will be a little late but to hold our table and that we're coming. We were 18 mins late to be exact. We walked in and inform us that they gave away our table. I have never had this happen to me or anyone that I've known. For a place to be so unapologetic and unprofessional I've never witnessed in my life. They didn't even try to accommodate us. We had 3 people telling us rudely that they couldn't do anything about it. One of which were named Kelly. They were regular hostesses and to not even get a manager that we asked for TWICE to better handle the situation is absurd. I will never recommend this place to anyone. And I will be sure to tell everyone I know, what an unprofessional and repulsive establishment this is.",0,0,0,Daniella D.,"Manhattan, New York, NY",151,4,5
1.0,4/27/2019,"Booked a 2:30 reservation for 9. Been 2+ hours. Still haven't been sat. This place is horribly run and is only hyped due to millennial culture that loves snapchatting and instagramming every moment. The prices are also outrageous. If you don't live to snapchat and instagram to hype up your life, don't come here!!!",0,0,0,Gregory S.,"Englishtown, NJ",0,8,1
1.0,4/27/2019,"Worst service ever, Olivier AkA Oliver was never present when we needed him and then after I used the restroom I found my chair had been given up because we paid the bill, if you plan on staying an partying DO NOT PAY, they will clear everything from your table even remove chairs. You pay a pretty penny to be here and then get screwed no worth it GO ELSEWHERE",0,0,0,Sylwia P.,"Merion Station, PA",0,31,5
4.0,4/22/2019,"Food was great, atmosphere - fun, overall a fun place.  The place is a little on the pricey side and you will need a reservation.  I enjoyed trying this place.",0,0,0,Carol H.,"Brandon, FL",0,19,12
5.0,4/21/2019,"This place is a crazy party. We had such a blast for my best friends birthday. It's fun, entertaining and definitely a blast. The food is decent and very sweet. The DRINKS were AMAZING!!!!!!! Definitely loved this place and will be back for the next party",0,0,0,Apple Q.,"Brooklyn, NY",118,16,12
1.0,4/15/2019,"The reason I'm giving 1 start is because look like the withers and the bartenders like to do what we call  theoretically overdraft the account you have. This means put more stuff in the check than you consume!  For example! A shot coast 7,99 they charge me 100 dollars for 6 shots for my friends. Is a very busy place and I dicid look to the check in home with more action and after speaking with friend look like they done that in different situations! The place is great, great energy the food and drinks are nothing special but is more a vibe of a club than a restaurant! But for me, trying to fool the customers is something can't be acceptable!",0,0,0,João D.,"Lisbon, Portugal",21,10,0
1.0,4/7/2019,"My friends and I had the worst experience here yesterday. We had a 12:30 reservation for a table of 9 that was booked TWO weeks in advance. We were running a bit late, but we notified the restaurant and they said it was ok. When we arrived15 mins after reservation) the manager and host was refusing to seat us. They told us they gave our table away (which was reserved for 2 hours) and there were no tables available for us. We had to engage in a back and forth with them to finally be seated. They told us we could sit at a table but only for an hour because another party would come sit there. Before the hour was up they moved us to this TINY table in the back of the restaurant (there were 9 of us). We were literally lap to lap. We ended up just leaving due to the level of disrespect towards us since we arrived. We were DEFF racially profiled, which I wasn't even surprised about due to the nature of the restaurant. Never going back there again.",0,0,0,Alicia M.,"Brooklyn, NY",194,6,1
5.0,3/31/2019,"Vibe is a bit formal, would be great to take a nice date or for an occasion. Service is amazing, and the food - well, you won't be disappointed. We ordered the truffle pizza and we definitely want you to order it too. you're welcome in advance~",1,0,0,Umi A.,"New York, NY",734,21,31
4.0,3/26/2019,"Went on a Tuesday, it was quite and at first there was no music. But it was quiet and a good place to read my book and have a glass of wine. I love cocktails and theirs were a little sweet for my taste(understandably given the normal party crowd that comes through) the bartender was very kind and modified a drink to my tastes. Overall great service. I had the truffle pizza and it was good, but in comparison to other pizzas in nyc it paled in comparison. Nino at the Woodstock a block away has a much more quality pizza(not that I condone that establishment)",0,0,0,Alyssa K.,"Midtown East, Manhattan, NY",485,11,2
4.0,3/24/2019,"I came here due to an invitation to celebrate my friend's birthday. There's 5 of us. A beautiful ambience, perfect for a place to celebrate birthdays but it could get too loud with music and birthday wishes. We ordered something to start with. I had the beet and goat cheese salad. We also had the cheese platter. I tried every piece of it. Not bad. My salad was great too but no greens. The ceviche my friend ordered looked fantastic too. The creativity of each plate is exceptional. Then I ordered the signature dish, truffle chicken. I love truffle so I ordered that. However the sauce was too sweet and I thought didn't do well with the chicken. It was ok. I wouldn't recommend this. I tried a piece of duck that one of our friends ordered and that was pretty good. I recommend this one. Two other friends ordered filet mignon and the birthday girl ordered oyster and a big salad. She didn't feel like having poultry or meat. To be honest, food wise, this place is so-so. Ambience wise, this place is where you want to dine. Service wise, excellent! The place is definitely good for birthdays. Next table had about 20 people with full blast celebration from beginning to end, complete with a photographer. And btw bring lots of money that you keep under your mattress, in the closet, in the bank, or bring that plastic cards in your wallet, because you gonna need it!",4,2,1,Nora F.,"Sunnyside, NY",84,680,5359
5.0,3/16/2019,"Bagatelle is such an amazing brunch place. The food is amazing, the ambiance is classy, and the service is 5 star. The staff is friendly and professional, for a high-end dining experience, that will be an enjoyable, Bagatelle is for sure your best choice in all of Manhattan",0,0,0,Jennifer N.,"Brooklyn, NY",184,94,341
5.0,3/4/2019,Still wondering just exactly #WTFisBagatelle & DJ Miss Dakota?facebook.com/17960560773…,0,1,2,Scarlette O.,"Manhattan, NY",68,182,683
