rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,When they first open the restaurant. The quality was excellent the quality of the food has dropped down 75%. The pasta was dry with not much Pasta sauce. the waiter was very rude and annoying. My friends were not as pleased as I highly had recommended this place. We spent over $300. We will never return or recommend this place. We will find another Italian Restaurant. I imagine those that goes the first time when I go back,0,0,0,Eunice M.,"Bronx, NY",0,2,0
1.0,4/20/2019,"Ek, mediocre food and rude service. I recommend spending your money some where you will feel appreciated.",1,0,0,Sarah B.,"New York, NY",33,11,0
1.0,4/20/2019,"Don't really like to write bad reviews, but I kind of had to. Food was ok, but they were pretty rude to us. Hope they can make some changes and improve their service",1,0,0,Daniel B.,"Manhattan, NY",11,11,0
5.0,4/19/2019,"Food was good. My wife and I loved the seating in the back room. I was never in Italy, but it wasn't hard to imagine we were there.",0,0,0,Anthony W.,"Bronx, Bronx, NY",0,3,2
3.0,4/15/2019,"Hate to have to lower my rating for this restaurant I once loved. Came here last night to be extremely disappointed by the service. It was almost impossible to get any attention from the waiters, and they seemed annoyed and confused when we wanted to order our food after sitting unattended for 20 minutes. Once we finished our appetizers, a waiter gave us dessert menus before we even received our entrees. We also watched as one server kept putting his fingers in his ear - at that point we decided to leave before our entrees arrived. Very upset to see this place be brought down by bad service.",0,0,0,Christina B.,"Bronx, New York, NY",253,9,4
5.0,4/11/2019,"I have been here a few times now, I especially love the atmosphere and decorations. You feel like you are in Italy! The food is good and they always have interesting and different specials. We had the calamari to start and I loved that it was sautéed and now fried! The bread that comes with the meal is very good and includes focaccia. For a meal I had seafood risotto and it was tasty. It's not the best Italian food I've ever had but a solid place to go on Arthur Ave with a great vibe!",0,0,0,Mary S.,"Queens, NY",214,20,11
2.0,4/7/2019,"Very unimpressed by this place. We joined the wait list through yelp and still had to wait 20 minutes for a table because they didn't really acknowledge that. The service is super fast because they want to get you out real quick. The food was okay. I really wanted to try the butternut squash pizza with truffle oil and mushrooms because it sounded really good but it was not. My boyfriend got the pancetta pizza and it was oily and not that great. As far as the wine, they don't really have a large selection. Basically, keep walking and find a better place in the area.",1,0,0,Marci A.,"Manhattan, NY",60,366,210
1.0,4/5/2019,"Dont come here if you want to have quality time. I came here around 6pm on Friday. Rushed through entire meal. They tried to take my place twice when Im not done eating. Third time - im like take it. I asked chocolate mousse to be cut in half, waiter snatches knief from next empty table and cuts in half with fork, smooshing half of mousse. NO JOKE. After bill is paid, they came to take unsigned receipt and brought it back. Then they do get out stare. Im like - they must be super busy and have absolutely no empty table. Entire front section is empty. I was out by 7:02pm. Food wasnt bad, but so as all the other italian restaurant in this area. If you want civilized and quality time, DO NOT COME HERE.",0,0,0,Jinn C.,"New York, NY",0,75,61
4.0,3/31/2019,"The pizza is definitely very top quality--a friend and I came here for lunch over the weekend, and that was a good time to go (was able to get a seat w/o a reservation). The margherita pizza was extremely good. We also ordered some mussels (big and delicious!) and stuffed pepper with other roasted veggies. The service was--okay. I can see what some of the other Yelpers are saying. The staff/management were a bit difficult to track down (re: asking about food restrictions, for example)--but once they were available, all was okay. I can imagine during a particularly busy time, it may even a little more hectic. But the pizza alone is worth the trip out to Arthur Ave to check out--it was truly delicious. And the environment has an open feel to it--really enjoyed that, as well.",0,0,0,Mel G.,"Bronx, NY",134,2127,0
4.0,3/31/2019,"The nagatives first: I had reserved a table through Yelp and we still had to wait 20 minutes for our table. Not sure it actually did anything for us. The food took an hour to prepare and they didnt refill our bread basket (maybe they dont do that there?) Also, the drinks were only ok. I ordered the Americano Negroni off the dinner menu (it was disgusting, tasted like Pine-sol. Everyone else at my table tasted it and agreed it was gross) so I asked to return the drink and get something else. The server, while overall very nice, was taken aback by my request and made me feel bad for sending the drink back which I did not like. He brought me the bar menu which ended up not even having my original drink on it (Americano Negroni), so it made me wonder if maybe they took it off the bar menu because it was gross... Everyone else liked their drinks but agreed that they were only OK, not spectacular. The next drink I ordered barely had any alcohol in it. So.... definitely dont come here for the mix drinks.Now for the positives: the food was fantastic! The bread and olive oil they serve while you're waiting is phenomenal. The focaccia was my favorite, but dipping the other in the olive oil sprinkled with some salt and pepper, ohhhhh man so good. 3 of us ordered pizza, I ordered the Margherita pizza. It was so delicious and the servings are pretty big. I took half of it home because I couldn't finish it all (although my dad ate his whole pizza so they're not SO big). One of the girls ordered pasta and another ordered the pear salad (as an entree, 2 others got it as appetizers) Everyone loved their food. Very flavorful, fresh, and delicious. Also the ambiance of the place is very nice and quaint (even though we all had to yell to hear each other talk lol). Summary: food was delicious, drinks were only ok, service was decent but not great. I would definitely go back but only for the food and maybe a bit earlier when it's less crowded.",0,0,0,Jaclyn L.,"New York, NY",134,33,8
