rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,3/22/2019,"I went here for cocktails and they really fell short of my expectations (which weren't that high). I had the toughest week at work and anything would have done the trick.... but strawberry gin & tonic while pretty, wasn't it for me. The restaurant is modern and beautiful and the staff needs more positive energy.",0,0,0,Jen U.,"Brooklyn, NY",0,39,8
5.0,3/3/2019,"We had a big a group but they accommodated us very well. The food was delicious and the service was even better. Seriously, our server was hilarious. ""You want this dessert. No? You don't like it, I'll eat it. You don't pay for it."" Still no one ordered it or paid for it. He brought it anyway. And it was freakin awesome. Don't be deceived by location and connection to hotel. Nice spot.",0,0,0,Kungfu D.,"Erie, PA",1,24,6
4.0,2/13/2019,Best kept secret in midtown. New chicken dish is particularly delicious . Love the legit basque sidra and the tortillas and fava beans always tasty.,0,0,0,Mat M.,"Hilton Head Island, SC",0,2,0
4.0,2/5/2019,"Ortiz is one of those restaurants in a very busy area so close to Times Square that you don't really expect to love because of high traffic with the consideration that it is a tourist trap, but it is in fact a wonderful restaurant. Ortzi is the perfect atmosphere for dates, small groups and a girl's dinner. There are so many dishes that you can get at Ortzi which is a great share, but there are many dishes that you just want to consume on your own without sharing! Every dish is a blast of flavor with the perfect pairing. The toro appetizer and scallop was definitely on the top of my list! The staff is super friendly and really look to satisfy your every craving during the meal. I appreciated the amount of times and tweaking to my cocktail that they did just to get it right which made the meal that much more special.",0,0,0,Cindy U.,"New York, NY",310,498,849
4.0,1/28/2019,Went here to grab a quick bite on a Saturday before our play at the Booth Theater. We didn't have a reservation but was able to be sat in the lounge. Our waiter was nice and everything came out rather quickly which was good since we were rushing a bit. The drinks were great and the food was pretty good. We started with the Albondigas (meatballs) and croquetas de jamon. Both were good but not something I'd order again. We absolutely loved the polluelo (chicken). It was so tender and the grits were really good. We also ordered the vieiras (scallops) and they were really good too. I'd like to come back and order the chicken and scallops again and try some more dishes.,0,0,0,Chaurice L.,"Boston, MA",82,15,37
3.0,1/26/2019,"Went here last night specifically since they are participating in NYC restaurant week. When we ordered the waiter told us that we could only order off the special restaurant week menu if the whole table did so. We wanted to order one paella (not on the special menu). Although this is a common practice with tasting menus I was very disappointed to not be able to take advantage of the restaurant week savings. I felt this was unreasonable and unnecessary. The food was very tasty although many of the portions were rather small for the prices, even more so because we were expecting to take advantage of the $42 pre fix dinner.",0,0,0,Laurie K.,"Plainview, NY",0,4,0
1.0,1/13/2019,"The waiter kept suggesting their drinks and totally forgot(or maybe intentionally) the order after about 40 minutes.  Then pointed out it was because of my inaccurate pronunciation.  Terrible experience. Can't complain though, what can you expect from school? just fyi the tip was for the English lesson rather than appreciation for the service.",0,0,0,Junyi W.,"New York, NY",0,4,2
1.0,1/6/2019,"Very disappointed that an iron chef would have a restaurant like this.  The service was horrible and after ten minutes sitting in an almost empty breakfast restaurant we walked out.  I imagine that the food was or should be pretty good, but we were mot even acknowledged.  The staff does not seem to care about patrons and in such a competitive city that can break a restaurant. SAD",0,0,0,Jose E.,"Miami, FL",0,29,7
5.0,1/3/2019,"A wonderful experience. My husband and I had an early dinner on a Wednesday evening. The restaurant was largely unoccupied. Our server was efficient, attentive, and helpful. We ordered five dishes to share, and the restaurant provided two small yet flavorful additions. In order of arrival: small rolls with a cream sauce, amuse buche of skewered lamb, pan con tomate, croquetas con jamón, braised oxtail, prawns, and patatas. Aside from the pan con tomate (my mistake for ordering tomato in January/their mistake for serving it), I would say that each other dish proved delightful. The flavors had depth and interest. Lots of smoky undertones. I can usually pick out how to replicate dishes I especially enjoy, and these mostly left me guessing. Thanks, Ortzi and staff, for a memorable evening. Oh, oh, oh. We ended with the copa caramel and a café con leche: just get them.",1,0,1,Audrey C.,"Albuquerque, NM",7,38,2
4.0,12/25/2018,"Came here for Thanksgiving dinner. They had a prix-fixe menu but I was interested in the a la carte. The restaurant is located in a hotel . I didn't realize the entrance to the restaurant is the hotel lobby .  Although I came in confused, I was happy to be seated in the dining room. I asked to browse both the prix-fixe and a la carte menus and then if I could order from both. I don't know why a simple question resulted in ignorant responses. Apparently the answers I was getting from the waiter and manager were 'No' I cannot order from both menus.. the restaurant is only serving the prix-fixe menu. If I wanted to order from the a la carte they will move my table to the lounge (small section between hotel lobby and dining room). After a big stink, I was allowed to sit in the dining room to order the Thanksgiving prix-fixe dinner plus a couple of items I wanted to try from the a la carte menu like croquettes and the pepito bocadillo I stayed because my party wanted to stay. I admit the food is hearty and tasty. The stars are solely for quality of food even though I ate dishes primarily from a holiday menu. If I had a better experience with service from the beginning, this would be on my list of go-to places .",2,0,2,Rose I.,"Manhattan, NY",105,441,3759
5.0,12/15/2018,"We were lucky to find this place. We were staying in the Algonquin and wanted a place to eat nearby that we wouldn't find in Arkansas. I have worked in Portugal and Brazil so this place looked perfect. It was!!! The tapas, the paella and especially the deserts (both of them) were fabulous. Go here and enjoy!",0,0,0,James C.,"Washington, DC",0,22,1
1.0,12/15/2018,"Don't go here for breakfast, we had 5 meals. All of the meals had cold hashbrowns, bacon, sausage. The poached eggs were underdone (runny whites). One meal came 5 minutes after the other 4 (it was underdone, and had to send it back, by the time it came back everyone else was done). First round of coffee was warm (not hot), after 10 minutes of 5 empty coffee cups, had to ask for them to be filled. Bad food quality and equally horrible service.",0,1,0,Jeff R.,"Scottsdale, AZ",2,64,20
1.0,12/12/2018,"The food is acceptable and servers are nice.  Felt rushed so that they could turnover my table.  The worst was the maître d/host (thin, short gentleman with plenty of arrogance).  I arrived at the time of my reservation and he asked me to wait for my party at the bar.  I asked to be seated as my guest was nearby.  He said to wait and never attempted to seat me until my guest arrived.  There are plenty of great restaurants in NYC without having to deal with poor attitude!",0,0,0,Al S.,"La Cañada Flintridge, CA",0,5,0
4.0,12/2/2018,"Me and my other friends came here for a birthday lunch on Sunday. The restaurant is located near time square and Bryant Park, very close to the subway station. Contemporary decor, good ambience. We ordered a pitch of white sangria, it tasted too sweet, not that impressive. The menu had limited options for appetizers and entrees for weekend lunch, not ideal for a party of 5 like us. We ordered cheese and meat mix, all the appetizers on the menu to share. The food quality was actually really good. They were served pretty quickly, the presentation was nice, well seasoned and flavorful. The service was decent too, pretty attentive and patient. I had hoped the sangria would have tasted better and the menu would have more options. Still a pretty decent restaurant to visit.",0,0,0,Sammi K.,"New York, NY",95,75,254
4.0,11/26/2018,"Located inside the LUMA hotel, this pretty and bright space is appealing and comfortable. We were greeted warmly and seated for our Thanksgiving dinner, which turned out to be set-piece, and not mentioned in the website or when we made reservations.So we still ended up having a somewhat traditional meal with turkey rollatini with mashed potatoes, gravy, stuffing and cranberry sauce, brussel sprouts and a starter dish of pig's knuckle with Jamon Iberico, that was absolutely delicious.The dishes were served family-style, all at once and they accomodated the 2 people in our party that had allergies (they looked initially dismayed, but my daughter stated we gave notice to the staff about it). The meal was itself very tasty, definitely 3 levels above what we normally get on Thanksgiving. Washed it down with some Txakolina and a wonderful RIoja and all is well. We will come back for the regular A la Carte menu.",6,0,5,Alex C.,"Jersey City, NJ",271,388,1347
4.0,11/24/2018,"The food was great but the server we had was a little lacking on service. Granted we came in a little late, but we still had 45 minutes before closing and because of his slow play on taking our orders or checking with us to see if we wanted more, we couldn't get a full dinner experience. Even after telling us the kitchen was closed he failed to mention that dessert was available.",0,0,0,Travis C.,"Huntington Beach, CA",39,449,1045
5.0,11/17/2018,"Full disclosure: we canceled our dinner reservations and had drinks and 6 tapas at the bar. For the location, this is a great spot to come to skip in drinks or dinner before a show. Mario at the bar was great. Red Sangria was really good. Highlight of the tapas were the jam on/manchego combo, meatballs, patatas. Great little happy hour options from 4:30 - 7 pm. Fun little ambiance as well. Would come back.",3,0,1,Ryan S.,"Birmingham, AL",1,32,41
5.0,11/10/2018,"Absolutely delicious food. Had lunch here with a few colleagues and was very impressed by the quality of the food! My favorite was the short rib sandwich ( melt in your mouth goodness!), meatballs, crudo, and the caramel dessert. Will be back again!",0,0,0,Kim K.,"Manhattan, NY",1,16,0
5.0,11/5/2018,We had a fabulous meal here. We asked our waiter Reece to bring us 4 of his favorite tapas dishes and they were all awesome. Our favorites were the Iberico Brochettes & Pan Con Tomate. Delicious. Reece and our waiter Saul took great care of us. We ordered 5 or 6 tapas plates and 2 entrees and everything was great. Will definitely visit again.,0,0,0,Allison M.,"Ponchatoula, LA",46,2,0
