rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"I'm a huge fan of American Cut - have even had my own birthday dinner here before! The restaurant has the classic steakhouse look and feel, amazing food, and top notch service. The warm biscuits at the beginning of the meal are to die for. The oysters and shrimp cocktail were great starters for the table. I also always enjoy a few bites of a caesar salad from a steakhouse, and this did not disappoint. The steak has always been cooked perfectly when I've visited, with the option to add sauces on the side. The béarnaise sauce is incredible. The french fries are delicious, definitely worth ordering. And I believe they did a nice job cooking the vegetables. If you have room for dessert, definitely order something to share. My first time at American Cut, they even gave us complimentary warm cookies.I'm looking forward to the next time I dine here again!",0,0,0,Olivia G.,"New York, NY",0,16,15
3.0,4/21/2019,"Nice ambiance and service was top notch, very attentive.  The mini seafood tower is what we started out with, oysters were good, shrimp cocktail , the shrimp had been sitting around awhile in sauce, limp but still good.  The crabmeat could have had more lump, and the tuna tartare was ok.The boneless ribeye had good char and was well seasoned the special Mac and cheese was weak and watery.  Overall the experience was very good, it's elevated when I find parking right outside the place.  Would I come back. That's another question......",0,0,0,S. A.,"Manhattan, NY",1,104,2
5.0,3/28/2019,"Absolute perfection. Jan/Jon (forgot which way he spells his name) was the best server I've ever had in my entire life, which in itself was worth 5 stars. Everything from the decor to service, plating, and food quality was superb. We got the seafood tower to start with and the ceviche/sauce was literally like an orgasm in my mouth. So incredibly delicious and full of flavor, we were blown away with the first bite. The oysters were little mouthfuls of heaven and the chili lobster is a rich, delightful bowl of joy. My main course of the montauk tuna was so flawlessly cooked it just melted in my mouth. And just when we thought the meal couldn't get any better, we reached our climax with the cheesecake.... I mean Jesus Christ, I wasn't even in the mood for dessert after all that food but I couldn't stop treating my self with this pleasure. Thank you so much for this incredible experience.",0,0,0,Kristina E.,"Seal Beach, CA",54,95,43
3.0,3/27/2019,"Disappointed with my experience. Received a confirmation email after booking reservation online, however when I called the restaurant the reservation was no where to be found. When booking, I indicated online that reservation was for a special birthday and even reminded the staff when I called--However, the restaurant did nothing to make the night special. While it was nice to enjoy a quiet night due to the restaurant not being too crowded, our waiter was not very attentive and took a while to check in/ bring check. Overall, food and ambiance was amazing but that was it.",0,0,0,Khira N.,"Sag Harbor, NY",0,2,0
4.0,3/23/2019,"Pretzel doesn't taste the same anymore. Broke apart on the rack as it was placed on our table.  Ordered a 2nd one just to see if first was a fluke. Nope, they changed recipe or pastry chef.",1,0,0,Albert C.,"East Village, Manhattan, NY",15,15,24
5.0,3/22/2019,"I knew I loved this place from the moment I walked in.  Has a lovely vibe, really cool bar with seating for happy hour (good happy hour specials -- food and drink!) and a spectacular, large, but intimate feeling dining room to the left.  The lighting is dim and candle-lit, perfect for date night.  We started with the smoked Old Fashioned, which is presented table side.  The glass is pre-smoked, and the drink is poured over a large cube.  Big drink, lasted us the entire meal.  They started us off with the everything-spiced biscuit... most spectacular biscuit you've ever had.  We had a few apps before the Hanger Steak, all of which were great.  Highly recommend the tuna tar tar, the caesar salad (also chopped table side) and obviously the steak.  We didn't go for the t-bone, but got to watch the flambé process from a far, which was fun.  Go for their signature dessert - popcorn ice cream sounds weird, but you'll be pleasantly surprised.  Staff was wonderfully attentive, and chocolate mints are provided on the way out.  Can't wait to go back!",0,0,0,Mia R.,"Northport, NY",0,10,0
5.0,3/21/2019,"Wow. I had the filet, spinach, mushrooms, a seafood tower to die for, and to top it off I devoured a chocolate cake with vanilla ice cream. Beautiful location and ambiance. I will be back!",0,0,0,Paola H.,"Bronx, Bronx, NY",136,5,0
5.0,3/13/2019,"Great steakhouse, great wine, attractive crowd. The steak I had was fantastic (dry aged NY strip). Our sides (cream spinach, mushroom Mac and cheese, Brussels sprouts) were also similarly great with the Mac and Cheese being particularly outstanding. The sommelier was extremely personable and attentive. The whole dinner was very fun and enjoyable. If I have a nitpick, dessert was just ok (huge portions!) but definitely worth going back to",0,0,0,Denver J.,"Denver, CO",0,5,0
5.0,3/12/2019,"American Cut Is on my top five restaurants list in New York!!When it comes to their food and cocktails they are super delicious, service is very consistent and friendly. But let me tell you about Chili lobster, omg it's the most delicious thing I have ever tried and I believe it's highly addictive!  The ambiance is always warm and welcoming and I encourage everyone to check this place out.Thank you #neoncoat for the recommendation",0,0,0,Zorana Z.,"Manhattan, NY",0,5,10
4.0,3/10/2019,"We came to American Cut for Valentines Day. Now, I know what you are thinking! Why are you going out on the day? Well, because everyone else does! Lol This restaurant is beautiful, elegant and romantic.  We came early and found comfortable seats at the bar and ordered a signature smoky old fashion cocktail. It was just delicious. Tbh you don't even realize you are drinking alcohol. It's in a beautiful glass with a large ice cube that continually cools your drink! It was perfect. It was finally our reservation time and we were seated promptly in the large room to the back. It's very pretty although a little loud. We ordered the hotel salad and the crab cocktail for an app. Both were delicious. It had great flavor. The crab was fresh and sweet. The salad was creamy and satisfying.We both ordered steak. I had the filet and ordered the Oscar on top.  Also, the pastrami ribeye. They were both cooked and seasoned perfectly.  For sides we ordered chef dans potatoes. They were interesting. Large pieces of bacon and crunchy potatoes.  The spinach was creamy but way over salted!  Lastly, we ordered the lobster Mac and cheese.  It came with truffles on top. Which I'm allergic too. We pushed it to the side and just ate the rest. We had seen a dessert walking in. We inquired and decided to order it. What a mistake! It was baked Alaska. It was super sweet. The liquor was overpowering. It was more eye candy and not palatable.Overall, American Cut is a great steakhouse. Staff here is very pleasant and accommodating.  There was some hit and misses with food but we def enjoyed our time here. We had a great time and you should def check it out!",4,1,7,Kim G.,"New York, NY",149,340,1077
