rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/19/2019,"This place is INCREDIBLE. This was the best dining experience I've ever had I kid you not. The weekly wine dinner is truly the best deal in the city. The staff is friendly, patient, and attentive. Best customer service in the city and incredible dishes and wine. The oysters and scallops 10/10. I'll definitely be back!",0,0,0,Isabel R.,"New York, NY",20,20,0
3.0,4/10/2019,"As much as I love the place and the atmosphere, I have to say, I ordered a very pricey prime ribeye steak, medium rare. It came out medium at best, bordering medium well.  Disappointed. We are talking a $69 steak. They were responsive and offered to replace it, but 20 minutes later when my replacement steak came out my dinner companion was done.  Sorry, a high end NY steak house, you have to be able to do a Medium Rare steak.",1,0,2,Chris C.,"Placida, FL",46,528,1061
4.0,4/3/2019,"Great spot for a business lunch - be sure to make a reservation as it gets very crowded around this time! The food was really good. I ordered the ""hay stack"" salad with chicken (apple, walnuts, shredded cabbage, carrots, pomegranate). I wish the menu had descriptions of what was in the salads since I had to ask what was in most of them. I probably wouldn't come here on my own since it is pretty pricey but since the company was paying for it, it didn't matter. The staff was very friendly and it was convenient that they had a coat check as well! Again, great spot in mid-town if you are looking for a business lunch!",1,0,0,Morgan F.,"New York, NY",224,103,33
1.0,4/1/2019,"One of the worst meals or is the proper verbiage underwhelming meals I have had in NYC by far. Bone in Rib Eye was one of the most bland tasting pieces of steak ever, which is hard to do. Grilled Asparagus was over cooked and tough. Would recommend skipping this restaurant all together. The price for the quality of food is not worth it. Service was ok, not worth the 20% of the meal price. If you are staying at the Palace next door and hungry... skip this place .",0,0,0,Bruce R.,"Avon, CT",0,9,0
2.0,3/20/2019,Wow I was wrong I thought is was me.Just left peter Lugers  with customers FABULOUS! Rib eye bone is can be tender ... just not Maloney! Sorry I was vey disappointed.  Everything about Maloney wanted me to love this place. .  But the steak was not A+ .  Very flavorful but TOUGHSorry I travel all over the US and this is not a to tiered steakhouse...especially if they think my steal was grae,0,0,0,jeff s.,"Easton, MD",0,43,0
3.0,3/13/2019,"We had the $85 all you can drink wine option with the appetizer, entree, and dessert option. AppetizerAlaskan king crab leg. Lots of crab but it came partially FROZEN. I can't taste the flavor let alone bite into ice hard meat.   Would have been much better if they had properly thawed out the king crab. Also who serves king crab with a side of sauces, it should be properly enjoyed on its own with lemon. The 16oz prime rib steak was good. The meat near the bone was the most flavorful, tender, and juiciest part. It took a lot of will power to finish it, but you can also take it togo if you want. A bit too charred on the outside.Black currant sherbet for dessert. Three large scoops that were delicious. Can really taste the black currant flavor.The wine we had was the La Segreta Rosso. Cheap, red blend that was light and easy to drink. Overall, loved the company more than the actually food itself. Free flowing wine always makes for a good time. If you pick the right items, you can definitely ""get your moneys worth"".",1,0,1,Edward W.,"New York, NY",413,1545,2963
3.0,2/22/2019,"I finally made it back to Maloney & Porcelli recently, and it's been a place I have been wanting to revisit for some time. The last (and first) time I went, I remember vaguely enjoying the food but definitely enjoying the all-you-can-drink wine special even more...so I figured it might be best to return under more sober circumstances to see what it was like. The getup feels like old-school NYC, with a nice bar in the back that folks can sit around entirely to take in a drink after work or before sitting down for dinner. The drink selection isn't super-broad - a handful of the big-label beers and 'macro crafts', if you will, along with some pretty standard cocktails. Similar options are available when you sit down, although if you can get a seat upstairs, I'd go for that - I was there on my previous visit, and it definitely feels more spacious than being on the ground level, where many of the seats are underneath the upper level and thus feel a little more cozy (or cramped?). Service wasn't anything too special - again, pretty generic steakhouse.As for the food, I'd say that the steak was a tad disappointing in the end. I went for the dry-aged ribeye, and while the flavor was quite good - as well as the cooking of it (medium, which I prefer despite it not being what purists are a fan of) - there was way, way too much fat on the cut I was served. Eyeballing it, about a third of the cut was inedible as a result (at least for me - I hate trying to chew through fat)...a bit of a shame given that the actual meat on the steak was quite good! Of the entrees I sampled, I would say the whole dover sole (which was de-boned tableside quickly and neatly) actually had a very nice flavor to it and was quite delicious. The rest of the food was what I'd term pretty standard steakhouse fare, whether it be the appetizers (lobster meat that wasn't as fresh but still tasted good in clarified butter; lump crab meat that was definitely fresher and tasted quite good) or the sides that came with the main (sauteed spinach was solid; the French fries were a tad lackluster). The one bite I thought was quite nice (and might be off-menu...one of my guests had the inside scoop) were toasted garlic knots that were cut in half. I'm used to having the heavily-oiled versions at local Italian joints, but these were nicely-crisped and had a faint hint of the garlic and olive oil that I'm used to these being drenched in.I've been to better steakhouses in NYC, but for a place that is close to the workplace and will be a bit quieter than other spots (ahem, Del Frisco's) that are virtually impossible to converse at, Maloney & Porcelli is a solid choice for an old-fashioned surf and/or turf meal. Prices are a bit on the higher side, but this is NYC after all - so it's not anything you would not expect at a similar restaurant in this area.",1,1,1,Asuka N.,"New York, NY",371,1653,169
1.0,2/8/2019,"What a scam.  Came in for 85 prix fix which included wine.  We asked for wine.  He brought us bottles of wine. We drank it it.  Well guess what, the bottles of wine he gave us weren't included in the ""deal"". They charged us 130 bucks extra for for the bottles of wine. We then asked for the wine that was included in the deal.  He finally came but it was real tough to get a refill. This place is a scam.  Stay away at all costs.  They rip you off",0,0,0,Peter W.,"Babylon, NY",0,22,0
3.0,2/8/2019,"This was such a good spot to come for restaurant week! The portions were a good size, food was plentiful and the service was ok. It seemed like they had a carts flying around ready to serve you food. Classic M&P right there. Overall, I would go back for restaurant week, but maybe not if I was paying full price.",0,0,0,Matthew S.,"Manhattan, New York, NY",0,15,0
3.0,1/25/2019,"I'm being nice by giving them 3 stars to be completely honest.Everything was AGGRESSIVELY OK at best. Came here for restaurant week since it's just started. For a steakhouse, the steak was disappointing to say the least.  First course - Rock Shrimp Cavatelli. Was not too bad. It was basically a tiny serving of pasta with a creamy cheese sauce, garnished with tiny pieces of shrimp. My boyfriend had the Oyster Casino and he didn't think much of it. Second Course - Filet Mignon. VERY disappointing. I asked for medium rare. Skin was black and had to scrape some burnt edges off to get to the meat. Was actually reddish pink and looked right, but was way more chewy and tough than it looked. My boyfriend had the same and he had the same thoughts. It honestly felt and looked like it was just cooked way earlier and preheated for us to eat for that dinner.Third Course - Banana Cream Pie Ice Cream. Didn't take more than 2 bites. I wanted to like it so bad since I love banana cream pie. But this just tasted like plain ice cream that was mushed together with preserved artificial bananas. Boyfriend had the Apple Cider Donuts. Donuts were good but not great. Portion only came with 2 small donuts Sides - Ordered an extra side of Yukon Gold Potatoes in Gorgonzola Sauce. Potatoes were not seasoned at all and were barely covered in the sauce. On the bright side they had a nice crisp to them. But overall, not worth the extra $15 for a side dish. Would not come back here again. And DO NOT recommend for restaurant week.",0,0,0,Natasha M.,"New York, NY",0,3,4
