rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/30/2019,"I wish I can give this phenomenal restaurant more than 5 stars! From the moment we walked in Sat.eve, we were treated like ROYALTY (hence the Royal 35 name)  Sherif at the bar greeted us and we were introduced to a new Prosecco I have never tried- that was fabulous!  After enjoying our drinks at the bar, we were taken to our table in a dining room that felt like it was in someones gorgeous home (cozy, welcoming but oh so elegant). The fish platter for two was to die for and the presentation spectacular. After the Royal salad, we enjoyed the finest steak perfectly prepared and out of this world!!!  Between the fabulous sides, the exquisite wine pairing &  superior service - it was an unforgettable evening. Alfred and Adam & Sherif all made us feel like family. This is a special, very special steakhouse!!",0,0,0,nicole e.,"Woodbury, NY",177,4,5
5.0,4/26/2019,"Walked in without a reservation and they sat me immediately. The dining room is dimly lit and ornamented. The wait staff was quick to bring water and offer assistance. I had already decided what to order, so I did so basically as I sat down. I was checked in on several times while I waited for my foodI had the bone in ribeye with a side of asparagus.   The steak asparagus was grilled with oil salt and pepper and was nicely done.  The serving was also more than I was expecting.  The steak was also fantastic.  Perfectly cooked (med rare) and not over salty. I'm often disipointed by a steak that hides its lack of flavor behind too much salt. The steak was served with a side of homemade steak sauce that was sweet, similar to Peter Lugers sauce. For desert I had a cream brûlée with was superb.  Overall I was very pleased.  The staff interacted was professional and respectful. One of the wait staff even asked the chef about the steak sauce because I was curious.  If I were judging based on food alone,  I would say this place is expensive but reasonable.  However,  given the location, excellent service, and good food,  I was impressed.",0,0,0,Josh F.,"Bay Ridge, Brooklyn, NY",5,7,4
5.0,4/23/2019,It was a good experience. The waiters care whether you ordered too much. One of the best French onion soups I had in the city. Porterhouse was decent I guess,0,0,0,Leanne L.,"Mobile, AL",0,21,6
4.0,4/10/2019,"Here's my take on another steak house in Manhattan. It first seems like a hole in the wall restaurant but in fact it's pretty nice inside. Once past the coat rack you get to see the thousands of pieces of meat in glass encasement just waiting to be enjoyed. The dining area isn't to large but it fit about 20 tables. It becomes quite noisy due to small area. Well, For starters I had the lobster cocktail for an appetizer, so glad I got this was debating over this and shrimp cocktail. This has to be my favorite appetizer of all time. Next was the main course. Since I was at a steak house I got the ribeye which was good. But if I go back I would have to get the Chilean sea bass. For the dessert I had the creme brûlée and that was very good. They also gave dessert wine with it on the house. Service was really good. The waiters were on point but our sides came out 20 minutes into our meal. I believe they said someone dropped the tray causing delay. At least they were honest. And the mushrooms and potatoes were also good when they arrived.",0,0,0,Robert C.,"Queens, Queens, NY",1,40,40
5.0,3/20/2019,I would love to first say Thank you for being so attentive!!! The food amazing I went in with the idea of trying the lump crab instead I got the crab cake and I couldn't be happier. The porterhouse for 2 spectacular I haven't had a good steak in a long time this hit the spot the sides are more than enough to eat and have left overs the lobster Mac and cheese amazing as well... the fact that a birthday celebration was acknowledged made our evening even greater thank you again awesome place I shall return!!!!,0,0,0,Tereza B.,"Manhattan, New York, NY",0,3,0
5.0,3/19/2019,"Absolutely fabulous. Thoroughly enjoyed the stuffed clams appetizer. The Porterhouse for two was exceptional... rare to medium rare and the serving platter with the sizzling juices seemed to hold the heat for quite some time allowing you to tip each piece in for a little extra. Mashed potatoes and cream spinach rounded out the main course. Dessert was good but to tell you the truth, I forgot what we split because all I could think about was the steak",0,0,0,Stuart S.,"Redding, CT",0,3,0
5.0,2/25/2019,"So here is the cliche, I went to a steakhouse and had seafood. I will say that my salmon was delicious with crisp edges just the way I love it. My dinner companion enjoyed a medium done Filet Mignon and we both had red wine to compliment. The entire staff was personal, friendly and attentive. The decor is intimate and inviting but also fit for groups and families. We were stuffed but still shared a dessert before leaving well after closing. I will definitely return here with friends or one on one.",0,0,0,Angelina M.,"Brooklyn, NY",59,43,2
4.0,2/17/2019,"Great food and service, but more expensive than other steak houses in mid-town.  I want to go again.  The servers are very kind too.  I do recommend this place!",0,0,0,Jessica H.,"Manhattan, NY",3,25,5
5.0,2/15/2019,It was my first time in New York and decided to check this place out based on reviews and it did not disappoint.  We ordered the tomahawk steak it was the best steak I've ever had.  It says serves two but more like 4.  Everything we ordered was delicious.  Would definitely go back.,0,0,0,Veronica H.,"Chicago, IL",49,9,0
4.0,2/15/2019,"Had dinner here last night. Ordered the jumbo shrimp cocktail, porterhouse for two, asparagus and German potatoes. Great presentation on the shrimp, asparagus was just okay and the German potatoes were very good. I would order the German potatoes again. The staff is very welcoming and friendly (minus our waiter - keep reading), the Pinot noir was delicious and everything was great until we complained that the steak temperature was over what we asked for. The waiter responded saying that he doesn't know the difference between the two temps because he doesn't eat his steak that way. Firstly, we never asked his preference. Secondly, I wouldn't expect him to know the difference as he isn't a cook/chef. And thirdly, an apology by itself would've sufficed because we were so hungry we didn't want to wait for another so we ate the steak as it was with their steak sauce (it was good sauce). My friend was more upset than I was. I would've been okay with just an apology because the steak was well-seasoned. I'm willing to give this steakhouse another chance and will update my review after doing so. They did give us complementary champagne and chocolate covered strawberries, which I appreciated.",0,1,0,Liz M.,"St. Albans, NY",3,24,28
