rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"We've eaten in and ordered out from Chazz Palminteri in the past couple of weeks and both times we were happy with the food, service, and the reasonable prices. We love especially the fresh oyster and the bistecca Di Manzo. Everything was well prepared and excellent.",0,0,0,Dorothy H.,"Manhattan, New York, NY",1,46,1
5.0,4/25/2019,"Great service, lots of menu choices and the food was simply delicious.  Great spot to eat & catch a show or just enjoy the Times Square area.",0,0,0,Kevin L.,"Paris, France",8,2,0
5.0,4/13/2019,Have been to the 2nd avenue location and now the 2nd time at the new location. Decided to come back to new location after a New York Ranger game (they won btw).  Service was excellent and very Attentive. We know many of the workers so it is nice to go to a place where they know you. The special which was grilled calamari was excellent. For entrees I did the cream sauce pasta special with the shiitake mushroom sauce which for me was a test as I don't care for thick cream sauces much but this was not drenched in a heavy sauce so it was great. I'm hooked in a way so take this with a grain of salt. Worth a try but for those budget conscience it is not very inexpensive. Hope this helps you. Came again 04/14/19 and it was great as usual. A must try but if you are walker conscience expect to pay for great food and service. Very worth it.,2,0,0,Miguel T.,"Trumbull, CT",21,50,20
5.0,4/13/2019,"The food is delicious and the presentation is beautiful! The restaurant itself is really pretty, and the waiters are all really friendly. I was hoping to spot the man himself but he wasn't in that night.",0,0,0,Jessica S.,"Brooklyn, NY",7,50,0
4.0,4/13/2019,Passed the restaurant a few times during lunch time and love him as an actor and decided to give it a try. We went on a Friday night. Food was delicious. Price point was on the high end but not disappointed. Plain coffee was definitely well over priced. Will definitely return but at some future date. Not anytime soon.,1,0,0,Pedro J M.,"Bayside, NY",0,29,0
4.0,4/12/2019,"Aesthetics! This restaurant is gorgeous. Whether it's a cozy date night, or a night out with your friends, this is the place to go! I was craving Italian food and my friend suggested Chazz. I'm in love with their atmosphere and interior. Service was top notch. I expected nothing less from a restaurant that looked like this. We had a few people tending to our table. With the constant glass top offs, clearing plates or crumbs, our staff was skillfully there without trying to make it known. They started our table off with bread and we placed our orders. I tried their baked clams, lobster ravioli, as well as their pasta with white clam sauce. The bill for those three items were about $100 with tax and tip. They have amazing Italian food. Portion size - perfect. It wasn't too much where you needed a box. All the girls at my table finished their entrees and considered themselves full. By the end of the night, we were really pleased with dinner. The restaurant was mostly empty on a Friday night but we enjoyed that we could be quiet or loud. The staff even helped us take pictures. They deserve a very positive review from my guests and I.",1,0,1,Emily T.,"Boynton Beach, FL",631,316,1265
5.0,4/7/2019,"Where can you go and meet the owner AND Forest Whitaker? My friends this is the place. I call it ""Perfection at Its Finest!""Atmosphere: 5/5 Food: 5:5We stumbled into this fine establishment, without a reservation on a Saturday night, and the found space for us. The server was phenomenal in his attentiveness and knowledge about the menu. He made us feel very welcomed and made great recommendations! The restaurant is a beautiful, elegant restaurant but it still has a ""home feel"" to it. It is very spacious with a lot of seating, and nice decorations. The food was phenomenal! I started my meal with minestrone soup that was truly authentic and flavorful. I got a chef's special pasta with a lobster tail, scallops, and clams. The sauce was so delicious and the noodles were a classic, homemade noodle. To make the night perfect, I got to meet Mr. Chazz Palminteri himself and Forest Whitaker! Perfection.",0,0,0,Heather R.,"Dallas, TX",610,118,246
5.0,3/30/2019,"WOW! This place was delicious. We actually had reservations at another restaurant, but passed Chazz, read the menu and made a quick switch. My food was so delicious, the service was fast and everyone was kind. Not only that, but...the restaurant is owned by a famous actor (Chaz Palminteri lol) and he was sitting right there! Made for a real New York experience! Will definitely be back and highly recommend to all!",0,0,0,Katherine D.,"Manhattan, New York, NY",201,1,159
3.0,3/27/2019,The place was very nice nicely appointed....although very loud...even with only a couple of tables occupied.  Service was very prompt.   I did have trouble understanding the server as he had a very heavy accent.  The food was average at best...well presented but no better than a more routine establishment...certainly not worth the price....ordered wine and it appeared they were rationing...as the portion was the smallest i think id ever seen....especially for an upscale business,0,0,0,Dorlin W.,"Pensacola, FL",5,7,0
5.0,3/10/2019,"My wife and I went here after a show on July 3RD, every phase of dining here was a pleasure for the both of us, service, atmosphere, quality of food combined with taste was a great experience.I would recommend this place to anyone living or visiting NYC.We made a return last evening March 9 with another couple, we were all just as pleased as we were the first time.This place is a must stop for dinner whenever we visit the city",0,0,0,Dan C.,"Ballston Spa, NY",0,9,0
5.0,3/9/2019,"As a one-day tourist to see a Broadway show, my daughter, her mother in law and I stumbled upon this delicious, Italian restaurant. We had the halibut special that was so delicious and perfectly prepared.  The mother in law had the Bolognese and scraped her bowl clean. The waiter was very informative and and attentive. The restaurant was clean, pleasant and a delightful experience.",0,0,0,Lois S.,"Winter Park, FL",15,9,1
5.0,3/9/2019,"Well, I knew that if Mr. Palminteri put his name on it we wouldn't be disappointed, & I was right. The food was so fresh and delicious. Our server Aulon was amazing! Thank You!To  thoroughly please four women on International Women's Day says a lot.Pricey but worth every penny, we'll definitely be back. Kudos to the entire staff!",0,0,0,Judene B.,"Manhattan Beach, NY",0,17,8
4.0,2/20/2019,I thought that this restaurant was very good. All the food tasted fresh and all the employees were very nice. In the dining area the lighting felt romantic. Came here before a show and for the fact they partner with IHG for points. It was empty when we arrived so hard to tell how regular service would be but the restaurant started to fill up around 630.,0,0,0,Mark S.,"New York, NY",93,27,18
4.0,2/17/2019,"Came here with a friend for restaurant week-great time! I started with the carrot soup which surprised me how good it was. Light, flavorful, and not super creamy. For the main course I ordered the pesto gnocchi and I ate the entire dish- every single bite and no regrets. I got the tiramisu for desert which was good but not one of the better ones I've had and portion was small. The food came out really quickly which was good and bad because we were hungry but also wanted some time in between the courses to talk. They did stick us in a corner though and it was a bit chilly there but my friend and I stayed a couple hours after our meal and were not once rushed out.",0,0,0,Nisha S.,"Montclair, NJ",1,79,72
5.0,2/15/2019,Great restaurant. All the waiters were so polite and the food was amazing.The waiters are very friendly. Highly recommend the pasta! The place is very friendly and the waiters are very polite and professional.,0,0,0,Victor L.,"Roslyn Heights, NY",0,3,0
4.0,2/13/2019,"This has to be one of my favorite Italian restaurants! From the moment we walked in, we were taken care of and waited on hand and foot. Outer waiter was excellent, and the food left our mouths watering. We will definitely be back!!",0,0,0,Vicente W.,"Brooklyn, Brooklyn, NY",107,10,30
3.0,2/10/2019,"I got to admit, was disappointed. I had higher expectations considering the reviews and the prices. Definitely on the pricey side for Italian Food, but I'm fine with that if the food warrants it. I don't think it does. The appetizers, fried calamari, buffalo mozzarella and clams oreganata. Nothing special, average tastes, clams organata were probably sub average to tell the truth, dry and not very tasty. Main course, linguini w/clams, homemade papadelli, linguini neri w/seafood. Linguini w/clams were tasteless, had to add crushed red pepper to get anything out of it. Linguini neri w/seafood was probably the best of the 3 dishes, but multiple times cruncher on sand. Probably need to scrub the shell fish better before throwing into the dish. Again not a bad meal, just not great either especially for price and location.",0,0,0,N D.,"White Plains, NY",0,48,0
4.0,2/9/2019,"Tried this place out for Restaurant Week and overall it was a good experience. The decor and atmosphere was elegant and traditional. My friend ordered the chicken parm and I had the chicken piccata. I tried her chicken parm and it wasn't bad but I've definitely had better. The chicken piccata was very tasty! I wish the portions were a bit bigger bit again its probably because it was from the Restaurant Week menu lol yikes! If you are coming Restaurant Week its actually a good deal because you get an app, entree, and dessert for $42! We also did the special they had on their bottles of wine for $45. The Chardonnay was amazing!",0,0,0,Alison E.,"Flatlands, Brooklyn, NY",0,4,0
2.0,2/5/2019,Not sure why they gave us only table located between exit and kitchen entrance.Food was very salty and Room was very loud.4 star . Hmmm Prefer local restaurants,0,0,0,Jason C.,"Fort Lee, NJ",0,33,2
5.0,2/3/2019,"This was hands down one of the best eating experiences (and especially the food) that I've had in the longest time. My husband made reservations here mostly because we love Chazz (sonny) and the Bronx Tale is one of our fave movies. To start, the service here was top notch. We had a really nice waiter who was very accommodating and paying close attention to us if we needed anything, whether it was a refill of our water, a pour of the wine or to clear plates. Attention to detail was really on point here. We ordered so much food it was actually really embarrassing but we couldn't decide what app we wanted so we got an order of the burratta special and a shrimp with a cream sauce over crispy bread. The burratta was over watermelon and it was so delicious. The shrimp app had the best sauce on top of it. We ate every bit of it and we're dipping more bread in the sauce. My husband ordered the filet mignon and I ordered a seafood over spinach linguini special. It was similar to a zuppa dipesche and had scallops, shrimp, lobster and clams on top. The dish was excellent. My husband let me try some of his steak and OMG it was to die for! Highly recommend both dishes for dinner. Then we just had to order the creme brûlée. Again, it was awesome. We finished the whole thing. Then they brought out a tiramisu dessert because they overheard us talking about how we were there for my bday (my bday was back in October but this was a gift for my bday) and so of course we had to eat that as well. The cake was so good also. Leaving here we were so full and satisfied. The place is expensive but worth every penny. As I said earlier this was some of the best food I've had in a long time and I hope to come back here some day soon.",12,4,8,Megan E.,"West Orange, NJ",299,229,127
4.0,1/30/2019,"If you want an authentic Italian food experience this is it . The decor is warm and cozy, definitely not loud but service could have been a tad less aggressive that said. I had to order my all time favorite the broccoli we had two sides of Broccoli Rabe and the fresh Pollo Francese ( lemon chicken). The Broccoli Rabe was cooked perfectly tangy bitter veggie soooo good for the body and soul - goes well together with the chicken (garlic & lemon) and balanced with a bottle of Chuck Hill... we did not have room for dessert but next time TY",0,0,1,Bette J.,"New York, NY",15,46,1
2.0,1/28/2019,"Really did not like the service here - the waiters are constantly rushing you. They give you very little time per course by showing up to ask if you're done, already reaching to take your plate before you can answer, and this is when our plates were still half full. They also switched 3 different waiters on us so they would forget things such as our wine order.The food was edible but very underwhelming - my steak was undercooked yet somehow still tough to chew and the sauce was too salty. My friend's calamari pasta tasted like the kind you buy in store and microwave.",2,0,1,Jenny Z.,"Manhattan, NY",405,4,0
5.0,1/27/2019,"My fiancé and I ate here before heading to an evening showing of Network. The restaurant is extremely clean and discerningly decorated. The menu offers a lot of wonderful Italian options. We started with the spicy calamari appetizer which was delicious and fresh. I went with a special dish for my entree: spinach fettuccini with shellfish in diavolo sauce. Everything was fresh, perfectly seasoned, and delicious. My fiancé ordered the filet mignon with mashed potatoes. The filet was perfectly cooked and seasoned, as were the potatoes. Our waiter, Aulon, was also wonderful. He was mindful and checked in on us appropriately. Overall we had a wonderful experience here.",0,0,1,Mike M.,"Queens, NY",1,16,0
5.0,1/21/2019,This is one of the best italian restaurants in nyc and author ave. We had almost every thing on the menu so far it was all a ten plus. Prices are low for nyc prices . I am a friend of the best chefs in the world so i know my food.. Good look chaz see u on arthur ave,0,0,0,Bob S.,"Little Falls, NJ",22,62,0
3.0,1/13/2019,"In town for a couple of shows. The hotel we were staying at recommended this restaurant. Great staff, great atmosphere - we were seated in our own little alcove which was lovely and private.  However, our food was average. We ordered the Pollo Alla Parmigiana and the Branzino.  Both were good but definitely not above three stars.",0,0,0,Shawn C.,"Arnold, MD",0,4,0
5.0,1/9/2019,"My daughters and I were in NYC for a Broadway show, stayed at the Cambria.  We decided to dine here one night - pleasantly surprised, although I should not have been because I am well aware of Chaz Palminteri's reputation for doing everything top-notch. (Excuse my crassness but I think the man must piss excellence!)For the table, we ordered the mozzarella with tomato and vinaigrette.  Lovely presentation and delicious! The bread came out warm and fresh! Heavenly!I had the lobster bisque (EXCELLENT) and the Cesar salad (with arugula because the romaine scare is still in effect, and I appreciated the option).  My daughters ordered the spinach fettuccine with alfredo sauce (fabulous) and the rigatoni with rosetta (also terrific).  Service was excellent.  Very pleasant atmosphere, as well!  Prices are as expected for NYC.I very much enjoyed our evening here.  I hope we can go back next time we are in NYC.",2,0,0,Phila M.,"Philadelphia, PA",1,27,0
