rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/28/2019,This place got really good reviews so I came for happy hour but the food we got was just okay. The chicken tacos (I think that's what its called) were really good. The other appetizers were mediocre. The sangria was watered down and I couldn't taste the alcohol. The margarita was stronger and better. Maybe the food on the regular menu is better.,0,0,1,Erica J.,"Fort Lee, NJ",398,30,0
4.0,4/19/2019,Awesome venue! Desert was very cool. It's very busy so make sure you reserve and are on time. Food is delicious but very small,0,0,0,Julian L.,"Manchester, CT",2,7,7
4.0,4/14/2019,"I enjoyed the food a lot.   We had guacamole, shrimp ceviche, and lobster and shrimp tacos.   I did find the portions to be on the smaller size while the prices were high.  It's really loud in there-  which I found made it fun, youthful, and energetic,  but the older couple next to us seemed a bit out of place.   I think it would be a good spot for a girls night, birthday, etc.  but not for a date or an occasion where you want to have a deeper conversation.",0,0,0,Sarah M.,"Jackson, WY",102,13,0
4.0,4/14/2019,"Sceney, modern mexican lounge/bar/restaurant in the base of the Dream Hotel in Chelsea. Really, really good food. Tacos are excellent, queso fundido some of the best I've had. Great cocktails. Sat in the lounge area Saturday evening with 5 people. Little cramped, but if you're going for a casual sit and eat, drink and chat it'll do the trick.",1,0,1,Seth W.,"New York, NY",6,204,171
5.0,4/9/2019,"well me and my group of friends we went to this place and we had the best experience our waitress Alejandra, (great energy) she was the most sweet and attentive, she help us and gave the best recommendation from the menu and offered to us a amazing cocktail is was not under the menu ""hot to trop"" was amazing experience thanks to her! Great music and food a little bit overpriced but is it worth it. Also they take are really serious the allergies 100% recommended.. and if you want the best service just ask for alejandra..",0,0,0,Camilo G.,"South Los Angeles, Los Angeles, CA",0,1,0
5.0,4/6/2019,"S- Service was a 4, the waitress was attentive and communicated in a timely manner.T- Timing was a 5 the food was well prepared and served all at once. Antojitos are a must get!!A- Appearance of the venue was a 4, the orientation of the restaurant was cultured and gave off a mexican style theme. The only setback was space. The tables did not accommodate for large groups comfortably.  F- Food was a 5. The Quesadilla Rustica was a highlight to our meal everything was prepared with a sense of care and it taste just as good as it looked.F- Frequency ranked at a 5. We will definitely return the future!Our STAFF score landed them on a 4.6 !",0,0,1,Derek Athena A.,"Brooklyn, New York, NY",3,15,95
5.0,4/6/2019,"ABSOLUTELY LOVEDDD THIS PLACE ! The atmosphere, the music, the FOOD . I love how laid back and Dim the place was . Everything was so amazing . I had the skirt steak & shrimp tacos with the guacamole as an appetizer. Bartenders & service was great . Can't wait too go back!",0,0,0,Hizel I.,"Newark, NJ",1,6,2
5.0,3/28/2019,"I recently had the chance to experience this restaurant located at the Dream Hotel on 16th Street close to the Meatpacking District in New York City.  With an unassuming enterence and a couple of steps down, entering Bodega Negra is a descent into a very cool, well designed space which, rarely for New York, transports you elsewhere.  Interesting that this is a contemporary Mexican restaurant whose roots are from all places, London UK.  There are lots of thoughtful design elements and my favorite is the cloakroom sign (please see image).I had an opportunity to meet the Chef who knows his spices well and set about trying the food and drink.  I particularly enjoyed the Oaxaca Old Fashioned featuring Mezcal and from the food menu my favorites included the guacamole - beautiful consistency (ended up ordering twice), the soft shell crab tacos, yellowtail ceviche and roasted Amish chicken, which was quite succulent.Service was attentive and one of the favorite aspects for us was the music which was loud enough to hear but soft enough to not affect the table conversation.  Bravo Amigos !",1,0,0,Jeffrey B.,"Manhattan, NY",6,104,368
5.0,3/26/2019,"Such a big fan of Bodega Negra! I came here with four girls on a Saturday night for dinner and it was perfect. This place has a really good vibe and is perfect for dinner/drinks before a night out. The service here is also great - our server Lawrence was fun, nice and attentive. We each had one app, tacos and one drink and we got out of here for less than $50 per person. I had the Skirt Steak tacos, the Grilled Corn Salad and tried the Yuca Fries and the Sweet Plantains (plain without the cheese or crema) and everything was so good! I also asked for a custom tequila drink which was awesome. I would definitely recommend Bodegra Negra for a good group dinner that won't break the bank.",3,0,2,Deana B.,"Union Square, Manhattan, NY",370,114,330
5.0,3/18/2019,"We celebrated my wife's birthday here and had a great time. The happy hour was great to start with some appetizers and drinks. We were then moved to our table for our reservation. The food, cocktails, and service were all phenomenal. The manager also provided a round of complimentary drinks for our whole group as they had to move us due to another reservation, which they told us about when we were seated. I would return - especially for the dessert.",0,0,1,A D.,"South Orange, NJ",107,31,6
