rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,10/25/2018,"I came here for brunch while I was visiting New York. My friend that I was staying with lived in West Village so it was within walking distance. I was solo and decided to sit outside. I got the paella +salad combo and the bottomless sangria. The staff was super helpful in deciding what sangria to choose from and you can mix and match throughout your dining experience. They were also great with refills. I got complimentary olives as well while I was waiting for my salad. The salad was really large and had a great taste to it, however it could do with less dressing. The paella was delicious!! but I was feeling quite full after my salad so I only ate half. Overall this place was really great I would definitely recommend coming here for a lunch/anytime your stomach is feeling empty since you will leave stuffed and happy.",1,0,0,Nicole Y.,"Cupertino, CA",616,377,873
4.0,10/17/2018,"Stopped in to Barraca for a happy hour drink & snack last week. Nice afternoon, sat outside. Bomba was delicious, though small. Olives & almonds was a tasty, generous dish. Good wine. Cordial service. Perfect happy hour refreshment.",0,0,0,Comensal A.,"Chicago, IL",0,429,0
1.0,10/15/2018,"One of the worst dining experiences of my life. Went to brunch with a party of 8 and all started off fine. However, when food was delivered everyone's came but mine. I ordered bread and tomato. Literally, pan con tomate. The burgers came, the appetizers came, the egg dishes came. I asked 'my bread still coming?' Was assured it was on the way. Maybe 20 minutes later I asked again. Then yet again. Nothing. The plates start being cleared of the others at the table. A friend gets up to ask again. Then another friend. I felt bad, so I stayed at my seat. The rest of the food gets cleared. Finally my bread and tomatoes arrive. No apology. No one said anything actually. Put it in front of me and didn't charge after someone joked at the table - this is free, right? I'd expect the manager to come apologize, some sort of explanation. Nothing.And the dish was average. Really disappointed with this experience.",7,1,0,Kristen R.,"Miami, FL",463,25,5
2.0,10/6/2018,We ate the garlic shrimp and patatas bravas which was good but the Paella with chicken and chorizo was the worse!!! It had no flavor and was alone for $30/person. Totally not worth it.,1,0,0,Kusum P.,"San Mateo, CA",382,4,3
5.0,10/3/2018,"Barraca is a great spot in the West Village for tapas. They have great outdoor seeing in the warmer months. Their sangria is delicious too. I went with a friend and we got Patatas bravas, bacon wrapped dates, manchego, Brussels sprouts and lamb meatballs. Each dish was better than the next. The service was good as well!",0,0,0,Alexa B.,"Manhattan, New York, NY",328,55,149
5.0,9/29/2018,"This place is adorable. I came in with my friend and Josue was so knowledgeable. He catered all of our drinks to us, was incredibly attentive and so much fun! We had the best time and will be coming back to see Josue soon!",0,0,0,Heather O.,"Brooklyn, Brooklyn, NY",0,1,0
5.0,9/18/2018,Barraca is one of my favorite restaurants in New York City.  They have a really great selection of authentic food and drinks.  The atmosphere is really nice inside the restaurant as well.  The best part about my meal was the sangria.  If you are a big fan of sangria you must try Barraca as they have a great selection of sangria with different flavors with different wines representing different regions of Spain.  Overall I would highly recommend Barraca to anyone looking for a great lunch or dinner in the city.,0,0,0,Max L.,"Doylestown, PA",0,22,0
2.0,9/16/2018,"Two and a half stars. Reasonably good food, but dining out is so much more than just food. Astoundingly incompetent service. No sense of tapas pacing. We requested that our dishes arrive in a specific order. Unfortunately the kitchen sent out our food all at once. The. They took several back, but the pacing was absurdly slow. Multiple requests for drinks, ignored. The kicker was the 18.5% gratuity added to our bill (unusual for a party of two) with a recommendation for an additional gratuity for 18% or 20%. The restaurant removed the gratuity--unapologetic. My recommendation is to try one of the other tapas restaurants in the neighborhood.",0,0,0,Kenneth S.,"New York, NY",1,60,0
3.0,9/16/2018,Food was alright. Had to send back the gazpacho as it tasted spoiled. Would skip the paella. Service was pretty slow.,0,0,0,Ryan Z.,"Morganville, NJ",0,2,0
5.0,9/7/2018,"Jose is he best!!! The whole place and everyone who works there is so kind, it's amazing. Ask Jose for his 'secret' drink it's amazing! Had so much fun celebrating my birthday, I will definitely be back!!!!",0,0,0,Kari H.,"Carmel, CA",0,1,0
5.0,9/7/2018,"Josue, the bartender, is AMAZING. As for his special he is literally the best bartender in NYC !!",0,0,0,Rami Z.,"Lake Forest, IL",335,3,0
2.0,8/27/2018,"Was not too crazy about this place, brunch was tremendously unorganized, staff was running on a skeleton crew during peak hours for bottomless brunch. Due to the lack of staffing the experience wasn't that great, refills were almost impossible to get, actually had to walk up to the bar and request them.The two stars is for the food, which is pretty decent; had steak and eggs which you really can't go wrong with. EVER. Maybe this was a fluke, but for the amount of restaurants that offer it I'm not sure I'd be willing to make the trek back here.",2,2,1,David John A.,"Weehawken, NJ",140,119,222
4.0,8/25/2018,Excellent happy hour! Delicious sangrias and tapas for $6 each with outdoor seating. Can't beat the value and the staff are friendly!,0,0,0,Helen K.,"Princeton, NJ",1,79,13
1.0,8/24/2018,Disgusting! There was a GIANT fried fly in our shrimp appetizer and they still charged us for it! FOUL! Do not eat here!,1,0,0,Monica Y.,"Brooklyn, Brooklyn, NY",0,7,0
5.0,8/21/2018,Loving this place. Happy hour $6 for everything they have on the happy hour menu. Sangria is on point. Bartend was so nice. Tapas was good too! Perfect spot to meet for happy hour and light bites,0,0,0,Gina M.,"Oceanside, NY",883,49,126
