rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"For those who know, this is it.",0,0,0,Brace B.,"West Hollywood, CA",0,2,0
5.0,2/23/2019,My wife and I went been here 5 times in the 5 years we lived in nyc and looking back I wish we had gone far more. The food and service is fantastic. I have nothing negative to say about this place. Highly recommend it.,0,0,0,Doug N.,"Manhattan, NY",0,22,5
3.0,2/18/2019,I came during restaurant week with my wife.  This place is really great.  It has a warm atmosphere and the food was good.  I just think given the pricing which is reasonably for this area I'd rather go to nougatine or elsewhere.  Still a good place for a meal.  The octopus was good.  Pot roast was ok and dessert was delicious.  Overall a nice place.,0,0,0,Philip K.,"New York, NY",2,67,198
5.0,2/3/2019,"100% worth the three short block walk from Lincoln Center for a post-opera matinee dinner.A beautiful, sleek classic atmosphere. Great service! They hit every checkbox. The bartender and servers were courteous, professional and accommodating. The gave us plenty of ""space"" to have a relaxing, romantic and delicious couples dinner. Dishes perfectly timed and beautifully executed. The food was OUTSTANDING!!! We had Caesar salad, brazino and the tagliatelle bolognese. Everything was so delicious there was almost nothing left over!We will definitely be back to Gabriel's!",1,0,0,M C.,"New Canaan, CT",0,10,4
5.0,1/19/2019,"Really lovely place. Classy. Came in on a weekday evening to grab a drink who was in town. We sat at the bar. Place wasn't crowded and the staff was really friendly. Very nice ambiance. Can't speak to the food, but I'd go again if I was in the area.",0,0,0,Jesus S.,"Fort Worth, TX",436,12,1
2.0,1/16/2019,"This is the place where you will dine next to two former CIA directors. Where you will never wonder if the glass is half full or half empty because the water level in your glass will never fall below 2/3. And this is the place where you will notice that said CIA directors are sitting one table away after the manager approaches you (discreetly) to shame you for not ordering enough off the table. That is, because this is the place where you ducked into with your partner and 80 yold friend after she left Memorial Sloan Kettering Cancer Center, the friend who is nursing three broken ribs from a fall and couldn't walk very far so we went here. And this is the place where said manager will actually debate you before saying that because of you he is inspired to impose a minimum. Finally, this is where your old tired duck was reborn ragu sauce.",0,3,0,A G.,"New York, NY",0,3,0
3.0,1/1/2019,"I came here with my family to celebrate new year's eve. I wholeheartedly agree with many of the reviews that the value for the money is extremely low as the food is not very exciting and mediocre at best given how much we paid for the meal as well as the abundance of fine dining options around this area. On the bright side, however, I can understand why Gabriel's still have loyal followers night in and night out. The staff was quite courteous and attended to all of our needs.",0,0,1,Mike H.,"Evanston, IL",197,159,751
5.0,12/20/2018,"I dine at Gabriel's often. I bring friends, colleagues, even my wife!! Gabriel presides as a gracious and friendly host, genuinely concerned that you have a delightful experience. The food is always terrific --pastas, carpaccio, tuna, etc. Scott at the bar is also always charming. The ambience is comfort--no one is trying too had to impress. We have been going for many years and will do so again this evening.",1,0,0,Kevin T.,"Madison, CT",54,3,0
2.0,12/16/2018,Typical of this part of the city - midtown around Columbus Circle - mediocrity at its highest only surpassed by the ridiculous high prices. Isn't worth the keystrokes for more commentary.,0,0,0,Pete M.,"New York, NY",234,360,142
3.0,12/9/2018,"I know Italian food fairly well having made numerous trips to Italy where I have enjoyed both fancy and simple restaurants, so I was looking forward to dinner at Gabriel's. My wife and I had a reservation and were seated right away even though the place was crowded. The food struck me as overly large portions of well-made but not spectacular dishes, including the appetizers, main courses and desserts. I would have expected more for the price.",1,0,0,Anthony L.,"Manhattan, NY",0,9,0
