rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,"A nice place to dine in Harlem with friends/family. Went on a Sat night, enjoyed the DJ. The food and service was excellent. A nice Americana soul menu. Simple menu done well.",0,0,0,Shawana H.,"Fayetteville, GA",50,9,0
5.0,4/7/2019,"I had dinner at The Cecil Steakhouse last night and it was amazing. The service was excellent, the food was delicious and the ambiance was perfect.",0,0,0,Kim G.,"Bronx, NY",1,2,0
1.0,3/30/2019,"This place used to be so good. Went tonight for the last time. Absolutely horrible service. Tried to pass of lesser cuts of meat. Ridiculous.Edit: i wrote this while we were still there.  We ended up eating in shifts, and when our bill came it had things we didn't order on it. Wish i could remove the one star.",2,0,0,Zack A.,"New York, NY",132,28,0
5.0,3/30/2019,"I'm sooo happy I found this hidden Harlem gem. The Cecil has an incredible vibe and v good food. I usually get lobster ravioli when I go which is to DIE for, seriously. And I dip the complementary grilled bread in it, and I'm in heaven. My friend got the clams and spaghetti and she seemed to like it. I'm never disappointed when I go there",0,0,0,Chanelle H.,"New York, NY",24,69,70
4.0,3/28/2019,"The food, and service at the Cecil is great! I took my mother and aunt there, and they throughly enjoyed their visit. We ordered a few drinks (which they aren't stingy with the alcohol). The crab cake and calamari are good choices as an appetizer, and for my main course I had the lobster ravioli, soooo good! Please try the crab cake and ravioli when you go there.",0,0,0,Alex W.,"Manhattan, New York, NY",3,70,284
3.0,3/20/2019,"I was disappointed. Not what I was expecting and I had been a patron before the new ownership. I can tell you what was not in the captioned dish, sausage and the small piece of fish was over cooked. Nice decor. Pleasant waiter though he didn't know much about the menu. Perhaps the new owner should feed the waiters and explain each dish. Oh, by the way, I didn't appreciate the host lying to me when asked if we could sit away from the only other diners in the restaurant at the time. She said she had ""lots of reservations and those tables would be occupied soon. Liar liar pants on",0,0,0,Danni T.,"Manhattan, NY",6,13,5
4.0,3/9/2019,"I'm going to give it 4 stars because the service was really good. Also because the seafood is wild caught.  I wasn't crazy about the menu.  All the waitstaff picked up our empty plates almost immediately and asked if everything was ok.  They removed our water glasses immediately when we said we weren't having water.  When we went over to Minton's, one of the staff members picked up my coat for me and took it to the coat check without being asked. He then brought back a coat check ticket. When I went to get my coat, the coat check person put my coat on for me.  The bartender in Minton's was attentive.  Everyone received a great tip. With that being said, the greatest letdown of all is that the menu is SO excruciatingly basic.  I'm talking basically basic with basic sauce on top.Sigh.  But service was amazing!!",1,1,0,Miss C.,"New York, NY",3,55,0
3.0,2/26/2019,I came last night February 25th for a birthday celebration.  I would give this restaurant 4 starts but the server Antonio was aweful. He was slow and inattentive. Also my lamb chops were very good but the food was cold. I would give 5 stars but you lost a star for serving cold food.Lamb Chops 4 starsHost Cassidy 5 starsDrinks 4 starsService 1 starAmbiance 5 startsI did like the restaurant and I will be back again. Hopefully my server will not be Antonio,0,0,0,Kim W.,"Bronx, Bronx, NY",153,58,60
4.0,2/25/2019,"This place is great for dinner, the have a variety of entrees and a full menu. The staff is very professional and friendly. The place itself is very detailed with decorations and artistic ornaments. The food was very good, I had the salmon with vegetables. Loved it",0,0,0,Laura S.,"Manhattan, New York, NY",0,6,0
5.0,2/24/2019,"What an amazing experience. Our evening started as a disaster at MIST Harlem (steer clear of this place) but TURNED INTO A wonderful evening when we relocated to Cecil Steakhouse. The venue has a beautiful, sexy and mature setting. Shout out to the front bartender, Carlos... Thank you for your wonderful customer service and attention. Our groups was accommodated. The food was delicious.. Live Jazz was amazing and the owner was very warm and affable. SHOUT OUT and THANK YOU Raphael!!!!  Raphael Benavides Baccus.Great staff. Delicious Food. Will definitely be back!!",0,1,1,Dana S.,"East Rutherford, NJ",0,28,7
5.0,2/7/2019,"I had my promotion dinner here and The food and service was amazing!!! We had pre fixed menu and private room. Everyone enjoyed their selves . After we hung out in the lounge area for drinks. They had an after work party that they run from time to time on Thursday. Grown and sexy crowd. I highly recommend this place for private events, drinks with the girls or date night with the hubby.",0,0,0,Sammerah L.,"Rye, NY",0,6,3
3.0,2/5/2019,"I was between 3 or 3.5.  Not sure the new Cecil has staying power.I went there with the previous owners and the food and experience was much better.  Sonia the hostess welcomed us and she was personable.I got a little nervous when they served a glass of rose in a champagne class but decided not to prejudge.The food was decent/tasty.  The chef used the same saute for the shrimp appetizer and the salmon main course.  They ran out of  one of the desserts we ordered.  The staff was polite and helpful but overall it was just ""meh"", no place I would run back to.The owner was at the restaurant and did not walk around and greet guests and check to see if everyone was enjoying their food/experience.   The music was nice.  Competition is thick in Harlem and they totally need to step up their game.  Not worth the $195 we paid.  NEXT.",0,0,0,Dee J.,"Manhattan, NY",4,68,1
5.0,2/4/2019,"The food was excellent and the drinks were top notch. However, what sets this establishment apart from anywhere is the genuine hospitality they provide. Not only does every member of their team treat you like family they are happy to have, but they ensure you are taken care of. I accidentally left my wallet behind and the manager and hostess immediately got in touch to see how they could return my left behind belonging. I just love this place already for the delicious drinks and food but I can't wait to bring friends back to experience the exceptional service and warmth. Thanks again!!!!",1,0,0,Alex E.,"Brooklyn, NY",935,10,0
5.0,2/3/2019,"Party of 10 for a 50th birthday dinner last night. This restaurant is excellent, from the food, service and atmosphere.  The DJ was on point all night.  The crowd was wonderful and we had a great time.We paid $100 per person, extremely affordable for a nice night out with friends. We each had about 3 drinks and we ordered from the pre fixe menu.  The salmon was excellent (you should try it!).  The tres leches cake was delicious.  Our waiter was extremely attentive, helpful and very friendly, he smiled all night.  We were all very satisfied and plan to dine at The Cecil Steakhouse again.",0,0,0,Tanya L.,"Mount Vernon, NY",0,19,0
4.0,2/1/2019,"My WONDERTWIN was in town so we met up at Cecil's. It has a very nice vibe and I was greeted upon  entering by 2 of the lovliest ladies. The dress code was mixed, some ladies had on sweats and sneakers and some had on their freakum dresses, but overall everyone was nice and vibrant. They have a free coat check rack...thats right, free. The space is separated into 2 spaces, the lounge at the front, and the restaurant towards the rear. The lighting and setting is great for a romantic date or a family dinner.The salmon is amazing and the atmosphere is just right. The on site dj set the mood just right. Grab your girls, your bros, or your date and check them out...and have the salmon!",0,0,1,Patrice M.,"Bronx, NY",56,106,193
1.0,1/29/2019,"On Saturday, January 26 I went to The Cecil to celebrate my 27th birthday. I was very excited after all the lovely things I heard about this restaurant regarding the food, ambiance, entertainment and host of other ""great"" things. My party and I arrived at The Cecil about 10 minutes prior to our reservation and the hostess seemed very excited that my party was now smaller, expressing that we would be seated within the next few minutes. A few minutes passed and after asking what the hassle was with our seating, the hostess told us the party prior to us were paying their bill and we would be seated soon. To our surprise after a trip to the restroom, we discovered the party actually was eating their dessert. A few minutes turned into an hour of waiting to be seated.After finally being seated, we had a waiter who was not very personable. He seemed to be there to do a job and that was it. The waiter had not been around to refill water, ask if we wanted additional drinks or to let us know what the hassle was with the appetizers we ordered and waited more than 30 minutes for after taking our order. The night remained frustrating as we began to receive incorrect entrees and room temperature meals. It was also heartbreaking to watch a party across from us enjoy their celebrated guest's birthday dinner while my party and I sat there in frustration because of the lack of diligence to correct the issues we were having. The waiter was aware that it was my birthday and didn't seem as if he cared to do anything to cater to this, regardless of us expressing the issues we were having with the lack of hospitality.The unexpected time spent at The Cecil prevented other birthday activities I had planned. I will not be going to this restaurant again.",1,0,0,Jaznelle A.,"New Windsor, NY",0,1,0
4.0,1/29/2019,"One of my favorite steakhouses in Harlem. Intimate setting, good food, and drinks. My favorite drink is The Cecil Bourbon. I stayed one evening for the live Jazz band which was a pleasant surprise cause I had no idea about that part. Some nights they have a DJ. Nice to have a quality steakhouse around without having to venture all the way downtown.",0,0,0,DazzlingDiva J.,"New York, NY",22,18,142
1.0,1/27/2019,"I went to Cecil last night for a family member's birthday dinner and it was beyond disappointing. Our party of 7 arrived 10 minutes before our reservation time and weren't seated for an hour. During that time we weren't given the opportunity to order drinks or pre-order dinner to expedite the process once we were seated.Upon being seated, it took close to an hour for drinks to arrive. 5 people received hot appetizers, leaving 2 waiting on salads for 30 minutes. Water and drinks were not refreshed. I brought my concerns to the manager and was ushered to my seat with the promise of resolving the issues. I wished this was helpful as several entrees were wrong and delayed as well. It was frustrating to see other large parties around us being served promptly, leaving us to assume the problems were a result of our server. The apology was lackluster and food was not worth the wait. This event ate up time in our celebration and impacted the other activities we had planned for the evening. I will not be patronizing this establishment again.",6,1,0,Nakia A.,"Brooklyn, NY",92,14,11
2.0,1/12/2019,"The service sucks! They are more concerned about turning up the music and singing HBD.  A party of 8 and you bring basket of bread then say I will return with more, but 30mins later",0,0,0,Renee P.,"Miami Beach, FL",128,11,16
5.0,1/8/2019,Food was good nice music. Turns into a nightclub at night I didnt like how the waitress was unable to recommend any drinks. Word of advice to her cater to the woman of the table not the man next time,0,0,0,Naia B.,"Manhattan, New York, NY",23,8,15
5.0,1/5/2019,"Last night, we celebrated my birthday with a party for 22 people at Cecil's. Everything was outstanding...the food, the service, the space. The staff went above and beyond to make sure we were well taken care of. Since we were a large party the food was served family style but everything was very well prepared, from the empanadas and salad to the steak, chicken and fish. Dessert felt a tiny bit rushed and a little light but we had to make the 930 show over at Minton's so that was understandable...The staff also made our reservations for the show and shepherded us there. We had amazing seats and it was a great way to cap off an already fantastic night!",1,0,0,Alyssa S.,"Manhattan, NY",52,3,0
3.0,1/2/2019,"Dine on New Years eve, as we arrived and before showing our seats we were asked if we are going to have champagne so that the waiter can know what we are drinking cuz its pre fixe menu. I think we should have seated before asking our drinks. After appetizer we are using the same utensils except brought us a steak knife after our plate  was served.. On our dessert time, they left the same utensils used for our main course.When the dessert came the dessert spoon came but our steak utensils still in our table.Here's my thing, its considerably a fine dining restaurant and changing utensils each meal is part of the service.Please change utensils every meal ( NY meals $150-$250 )",0,0,0,Rho M.,"Chicago, IL",6,1,0
1.0,12/31/2018,"We had very high expectation and were glad when we managed to get a table to dine there today.  We understand that it is New Year's Eve but it was a totally rip off. Just to have an idea we had a table for 8pm and they rushed us so bad that we were out from the restaurant a little before 9pm having had 3 courses for what they charged $150 + tax + tips per person. The starter were amazing but we could not enjoy it properly because half way thru our starter food runners put my fatty piece of Bone Prime Rib (that in the menu said it was 24oz but it was 12oz max if you included the roasted potatoes).From there onwards the whole experience  just went just down hill.The steak was just meh and fatty, besides it did not have any bone in...The mushrooms were so sour that I had to leave them in the plate. The roast potatoes were okay but who can manage to ruin roast potatoes?The desert very mediocre and they probably cut the strawberries with the same knife they cut the onions as they tasted like onions.The ambiance was nice and vibrant, waiter friendly but the food was disappointing; over all the whole experience was mediocre and didn't deserve our $200 a piece for less than one hour.I don't recommend visiting the place in festive days.I hope the restaurant's owner reads this review and considers a better service for the next festive celebration.",3,0,0,Luiz S.,"Manhattan, NY",44,1,4
1.0,12/24/2018,"THIS IS PROBABLY THE WORST VENUE I HAVE EVER VISITED, I just decided to check the place out cause a DJ i am familiar Dj sent me an invite so i decided to show up, only to be greeted by PAUL who i think was claiming to be the manager he looked high or drunk, cause he kept on beating around the bush as to why we couldnt enter the establishment cause i was wearing adidas sneakers we presented our ids but the surprising thing there were a group of white guys wearing what we where wearing i really wouldn't recommend going to this place ever !!!!!!!!!!!we decided to leave when we where tired of feeling discriminated on",4,0,0,Shaun H.,"Brooklyn, NY",400,6,1
