rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,I want to give a special shout out to Ariana she was absolutely amazing not only to me but to my children my three year old son wanted to go home with her lol I think he found himself a girlfriend LOL! I realized that Ariana wasn't our server because she had on full black attire she realized that my family and I were sitting for a while she came ask asked if anyone was helping we told her no she said that she is going to get the server ASAP but no one showed up again in passing Ariana saw us again with the menus she came to us and apologized and took our order she also took good care of my family thanks again Ariana,0,0,0,Samantha E.,"Queens, Queens, NY",0,1,0
1.0,4/26/2019,"It took an hour for us to get our food. So when it arrived we had to ""wolf"" it down and there went our lovely dinner! I would never come here again! Even the Manager came and gave a lame explanation about a larger party and ""working for your parents"" and having to stand up while eating....WHAT THE HELL DOES THAT HAVE TO DO WITH ANYTHING????? The waiter, Sergio, was fine, management needs lessons in service.",0,0,0,Janet I.,"Manhattan, New York, NY",32,3,0
3.0,4/25/2019,"I was not impressed too much with the visit to this restaurant in JFK. I dont normally expect amazing things from airport restaurants, but with the name and credibility from the other Bobby Vans in the city I figured to give it a try. It took quite a while to be seated, although the hostess ended up being our server, she was sweet. I ordered an old fashioned and it was just okay. Not one I'd order again, and I love old fashions and bourbon. As for the food, my partner got the lobster ravioli. Literally came with maybe six ravioli. It was alright, just not filling for the price. I ordered the strip steak and it was cooked well, and the mashed potato's were decent. I think I'm just comparing the food to the price you pay and the atmosphere and it just wasn't my favorite. I will not be coming back, I'll likely grab some pizza around the corner  by Starbucks.",0,0,0,Zach T.,"Miami, FL",159,73,131
4.0,4/23/2019,"Came here using the priority pass and received $28 per person for me and a guest. Sat at the bar for quicker service and was able to get drinks +dessert before my evening flight. The junior cheesecake was good, but definitely was still a tad frozen upon eating it. Oscar (bartender) was really quick and attentive, which made my attempt to get free shet before my flight easier. Make sure to let the server know about wanting to use priority pass.",0,0,0,Kenneth L.,"Saratoga, CA",232,591,586
2.0,4/23/2019,"The food was good enough and it came out of the kitchen fairly quick, but the service on this day was very poor.  I asked for a low table and then they asked me to move because another person had been sitting there, but moved and they didn't know how to adjust the ticket and seat. I had to get my own water refill at the bar and I handed their tender the glass, then she gave it back but sat it on the opposite side of the bar away from me. I'll pass by this place in the future.",0,0,0,Darrin S.,"Hosford - Abernethy, Portland, OR",0,18,1
3.0,4/21/2019,"Had a 10am flight so came here to have breakfast, compliments of Priority Pass in lieu of a Priority Pass lounge being available. Priority Pass provides $28 in dining credit which is plenty for a filling breakfast. I ordered the asparagus and crab omelette with coffee. Omelette was nice and plenty, served with toast and home fries as well. Walked away with nothing to pay at all. Service was ok, had to get their attention to order but food otherwise came out pretty quickly.",0,0,0,Dom G.,"New York, NY",5,74,71
4.0,4/18/2019,"Came here using priority pass and received $28 credit per person. Had French toast, pancake, steak and egg breakfast. Steak was cooked perfectly to the temperature requested and the portion was generous. Only con was that everything took so slow, took forever for the food to come, to wave down the staff for a check and waited forever for the check to come. If u want to come here before a flight I recommend allocate at least an entire hour since that's how long our breakfast took from sitting down to leavingOne weird thing, I got steak and egg and asked for a steak knife and they said they don't have any, thought that was odd",7,3,6,Tony C.,"Great Neck, NY",272,256,592
5.0,4/17/2019,"My server, Jose, was great! I was delayed for hours and he took care of me the whole time. Such a charismatic and attentive guy!",0,0,0,RochelleRochelle M.,"Dallas, TX",0,23,0
4.0,4/17/2019,"Fantastic burger done your way which I assume means they grind their own meat. The 12oz burger adding bacon and cheese along with a soda clocks in right around the Priority Pass credit limit. I had my burger cooked to a very nice medium (still a little worried about food safety of rare ground beef), and if the 12oz was pre-cooking weight I wouldn't know it. It was huge and very juicy. Both the cheese and bacon were great. I am not much of a fries person, but they included a huge mound. Free refills on sodas you would expect.Service was good, but they warned other customers that most dishes take 20m to come out without warning me, so maybe they thought I looked like I knew what I was doing as I presented my Priority Pass upfront.",0,0,0,Ronald W.,"Redmond, WA",172,774,657
5.0,4/16/2019,"This morning I received the top of the line service From my server Bobby. He was very punctual and polite ask me when my flight was boarding and gave me great suggestions on places to visit. I had the garden omelette with home fries. The plate look like it came straight out of a magazine, just perfect.Even down to the guy who brought me the food, very respectful and even gave some helpful advice.I must say this is by far the best experience I've had in New York . A fine dining experience that I would recommend to my friends and family when they come to visit.",0,0,0,James H.,"Queens, Queens, NY",0,1,0
1.0,4/15/2019,Very bad service took for ever to be seated then once seated with our flight in kind we had about an hour to eat and make it to the gate took the waiter 11min before he came over we had to get up and go over tot he host who was surprised we hadn't been helped yet once they did help us our waiter was lost  completely not sure how. He got a job there when we placed our order he asked if they even had the item we ordered off the menus in front of him then said he had been working there a year never knew smh... then it was time to leave so we are priority card holders he asked or take my phone to scan it sure he leaves the phone by the register and walks to helpSomeone else that came in after 4 minutes I go up to him and ask hey man what's up with my bill he goes I gave you your bill and your good to go I said NO what did you do with my phone man he goes to the register and grabs it and gives it to me I ask for a manager he wasn't there smh BADDDDD SERVICE,0,0,0,Nasir L.,"Bronx, NY",0,2,0
3.0,4/13/2019,"The place is okay for an airport restaurant and my go to place at JFK term 8 only cause that's my priority pass location (some people will get it). The food is good not great. The beer choices are limited and the service is from wtf to great, depending on who you get on what day.",0,0,0,Ameya K.,"Austin, TX",52,35,23
1.0,4/12/2019,What a joke. First they would not honor the amex platinum card without the additional PRIORITY card (bad on you too amex for not informing us) then the turkey club was worse than the cheapest diner. The promised arugula barely existed. No wonder the place was half empty.,1,0,0,Daniel G.,"Weston, CT",8,185,26
3.0,4/10/2019,"I ordered the Bobby Van's burger and the meat lacked flavor. It had almost no salt, pepper or any spices. The bread was not from today. The fries and the onions that came along were good.",0,0,0,Raissa F.,"Porto Alegre, Brazil",7,2,0
