rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/30/2019,"I got the chocolate cookie and milk. It was scrumptious!!! Took me back to my childhood of eating cookies and milk while watching cartoons. My friend got the chocolate mousse, he said it was good but nothing extraordinary. Really cool ambience, friendly wait staff. It's a no tip restaurant!",0,0,0,Aditya R.,"New York, NY",228,111,128
5.0,3/25/2019,"Untitled is a premier restaurant in the heart of Chelsea. This restaurant has absolutely phenomenal food, service and drinks. From the moment we entered into the restaurant we were greeted by the host and promptly seated, others who were unable to be seated immediately, were promptly attended at the bar. The keepers of the bar had great suggestions and were very knowledgeable regarding spirits and preferences thereof. I enjoyed everything I ordered so did my companion.We had a variety of burgers and appetizers; words CAN NOT NOR SHOULD THEY describe our delight.  From the aesthetics of the plates and the taste of all the food which is simply put a 10 out of 10.All the desserts are equally as pleasing as the main courses and appetizers. Do yourself a favor and if YOU ARE A New York City local Go check out Untitled at the Whitney If you're a tourist in the city please make it a point and ADD this hidden Gem to your itinerary.",4,0,1,Eloah Nasir A.,"Brooklyn, NY",225,29,2
5.0,3/16/2019,"A lovely experience. This place has really good dessert, and I ate a lot of good dessert already. We had mocha mousse and triple chocolate cookies, and they were heavenly made. The mocha mouse was soft and balanced in sweetness and bitterness.  Plus, the mint chocolate was very complimentary. The chocolate of the cookie was melty and smooth. We had chicken thighs for lunch, and they were crunchy. I am not a spice lover, yet their spicy sauce put a nice twist on the ordinary fried chicken dish.",0,0,0,Linh M.,"Thompson, CT",1,3,3
4.0,3/7/2019,"I came here for lunch and generally had a positive experience, I think it's a solid 4 stars.  There are tables along the counter and table seats so make sure you specify when booking which you'd prefer.The menu is not that extensive and it may be difficult to find things you like on it, so do check it out before you come.  We decided to only order appetizers because none of the mains jumped out to us.We very much enjoyed the foie gras appetizer.  It was perfectly creamy with delicious spread and crunch from the accompaniments. If you like foie gras I highly recommend this.The beef tarter was also quite delicious and fresh tasting. The side of potatoes (which were not gluten free for my fiancé) were amazing, perfectly crispy and seasoned with delicious dips on the side.The Vermont cheeses were also great.  The seared fish however was too fishy for me and I did not enjoy this.I would definitely come back and try different appetizers and see if new menu rotation shows any mains that I find worth trying.",1,1,1,Elyka A.,"Manhattan, New York, NY",198,204,634
4.0,3/2/2019,"I visited the Whitney last month for the Warhol exhibit and decided to grab a bite beforehand. I kid you not, I have been thinking about the pork bolognese ever since I left that day. It was so good, perfectly saucy and spicy, and I especially loved the type of pasta they use in the dish. Only downside was the portion size for the price, but I will definitely be back.",0,0,1,Anna C.,"New York, NY",2,11,6
5.0,3/1/2019,Wow. Delicious vegetarian options. Beet salad is to die for!  As is the grilled cauliflower. Enjoyed with a nice Chardonnay. Perfect lunch. Tasteful but not too filling.,0,0,0,Annmarie N.,"Evergreen, CO",26,239,6
5.0,2/28/2019,"Finished up the Warhol exhibition at the Whitney and decided to drop by for a coffee. Service was super friendly, which was a pleasant surprise. Also a no-tip restaurant (the best). Music was at a good background volume, good acoustics, so I didn't need to shout conversation. Clean. Spacious, but intimate. It was late afternoon, and the menu was simple. I ended up getting the chocolate cookie & milk. What a great choice. So nostalgic. Loved the presentation of tiny milk with tiny straw. Cookie was sweet, but not overly so. Fluffy and warm. The edges were crispy, but not hard. Portions are small.",0,0,0,Elei Z.,"New York, NY",109,90,487
5.0,2/21/2019,Went there for a night cap with my boyfriend after walking through the Andy Warhol Exhibit at the Whitney museum,0,0,0,Stephany C.,"Bronx, NY",1,8,12
2.0,2/12/2019,"Make sure you eat something before dining there, or plan to grab a bite somewhere else soon after which is what I did.Pretty food, tastes ok, TINY portions, service is great.Even for NYC the amount you get is not worth the prices.The pancake was actually a crepe, and as big as the length of a cell phone. (Hard to tell from the picture because they serve their food on small plates.)The dishes that they recommend sharing only have enough food for one person to nibble on - for example the carrot dish has one carrot.Desserts didn't look as appealing as the ones on older menus.",0,0,0,Pamela G.,"New York, NY",1,36,30
2.0,2/8/2019,A $22.00 veggie burger with nothing but 2 ounces of marinated vegetables on the side. The advertised marinated mushroom topping? Nearly non-existent. The house made veggie burger? Bland and weak. Sorry. I had a non-alcoholic pear drink and the bill was $31.00 with my member discount. Poor experience. The cafe food on the 8th floor is better.,0,0,0,Jorge C.,"Brooklyn, NY",72,10,0
5.0,2/5/2019,"Ate at the bar one day after going to the museum and it is really a great find. The dishes were all nicely plated, flavors were well balanced and they have a nice wine selection to accompany it. It was the perfect place to have a light bite and a drink before heading out for the night.",0,0,0,Stephanie C.,"New York, NY",511,124,148
4.0,2/3/2019,"A solid four stars for my experience at Untitled on a Friday night.  The room has a good energy and feels strangely intimate despite the fact that an entire wall is made of glass, which sort of invites the street into the restaurant.  It's not the most attractive street.  Tables are spaced luxuriously far apart from each other, the crimson chairs by a Big Name Designer are ridiculously comfortable, and the acoustics are great - no need to shout at your dining companion to be heard.  Service was a little weird.  The manager took the bottle of wine we brought and promised to open it so it could breathe.  He did not communicate this to our server, who seemed generally confused (about this and other things) for the duration of service.  Our cocktail took a long time to arrive.  Our first round of plates arrived thirty seconds after we got our drink.  The food was delicious - every dish was familiar enough to be comforting, but with a surprising twist to make it interesting.  It's true, the portions are small, especially for the price (pasta, I am looking at you), but they still satisfied.  I imagine we will return, probably for lunch.",0,0,0,Jessica D.,"New York, NY",4,158,0
5.0,1/12/2019,"Five stars to this fabulous restaurant--from the food to the ambiance to the waitstaff.  TEN STARS to Theresa, the hostess, for her accommodating and lovely manner in helping us secure a table even without a coveted reservation.  Between seeing the Andy Warhol exhibit at the Whitney and dining here for lunch, it was a great day.  Highly recommend this restaurant and the terrific and caring people that work here.",0,0,0,Elaine B.,"New York, NY",6,39,0
5.0,1/12/2019,"It's a classic Danny Meyer restaurant with light, spacious seating and carefully crafted dishes in tapas portions. It's very busy during the weekends so definitely make reservations!  We came for brunch after a few hours at The Whitney and it was still packed at 3 pm! I would recommend the bar seating as it is more spacious than most and you can watch the chefs prepare the food in the open kitchen. The food was great!  Some highlights:1. Roasted cauliflower with toasted almonds, apple slices, and yogurt: Tender and flavorful with a hint of olive oil. The textures and flavors were carefully cultivated and meshed well. 2. Salmon poke: Fresh and tender with toasted sesame seeds and chips. 3. Duck wild rice with shiitake and tastsoi: Very tender pulled duck topped with wild rice and sliced shiitake. It looks small but the duck portion is quite generous. 4. Carrot cake: I could eat a few more of these!  Very light and fluffy with the perfect amount of creamy icing and topped with granola!  So good!The staff here are wonderful and service sublime and it is a non-tipping place. Will be back for sure!  If you are at the Whitney this is a must-try!",4,3,3,Danan R.,"New York, NY",924,1915,85
1.0,1/5/2019,"Be careful. I asked for my check.  I gave my credit card, They never returned my card. Staff need to be trained to RETURN customer credit cards.",0,0,0,Mitchell B.,"Bronx, Bronx, NY",0,1,0
5.0,12/29/2018,Great service and it's a great place to people watch while getting a bite to eat. The portions here are on the smaller side but every bite is delicious and full of flavor. I would also recommend getting the cookie with the milk jar to satisfy the kid in all of us!,0,0,0,Jing Y.,"Manhattan, NY",41,155,40
4.0,12/29/2018,"We stopped in after taking in an exhibit and to continue our birthday celebration. Found the food very good and the drinks on point - with the major fatal exception being the ridiculously short pours. When we brought this to the attention of our server, the manager returned with the same cocktail in hand  and informed us that the pour is standard and we can either add ice to the drink or get something else.  Attaching a pic and you be the judge Update: we were contacted by untitled's management team. They apologized and will be using our experience as a learning opportunity and extended a welcome to visit again for a chance to make it right.",0,0,0,Ty A.,"New York, NY",1,4,1
