rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/29/2019,Came for Sunday brunch. Slow to be waited on (even though it wasn't actually that busy?). Food was edible but subpar. Only positives are the environment and modern American restaurant vibe.,0,0,0,Michele L.,"Manhattan, NY",0,10,0
4.0,4/27/2019,"Not kidding y'all but I think I found one of the best burger places everrrr!! I got the Bedford Burger, it was so bomb. Like The bomb dot com! The patty was so very juicy, the pork belly was a yummy addition to the amazing burger! The fries that came with the burger was also so very delicious! BUT~ the service was not great. We were made to wait for forever for pretty much everything. For food (which was worth it), asking for the bill, waiting for change. Like it was waiting, waiting and just when you thought the waiting is done, they surprise you with more waiting. Maybe the fanny pack I was wearing turned them away. But tbh, I thought I was rocking it. Who knows.But after all, the food was really really delicious. Y'all should come!!",2,0,1,William N.,"Westwood, Los Angeles, CA",175,34,10
4.0,4/22/2019,"Had a party of 8 for brunch on a Sunday at 1:30pm. The food is good and the price aligns with it. Cool ambiance, good for groups, was simple enough to setup a reservation through their website. Kitchen was very accommodating for some minor substitutions/edits to the order to account for some dietary restrictions of the party. Overall, would definitely go back with a group, for 1-2 people though may just try the bar area next time. I'm a fan.",0,0,0,Luis S.,"Manhattan, NY",87,172,2
5.0,4/21/2019,Love this place. Came for brunch on Sunday and sat at the bar with Aziah. Great service and awesome drinks. Keep up the good work!,0,0,0,Jamie B.,"Staten Island, Staten Island, NY",0,8,0
5.0,4/20/2019,"We went here for brunch on a random Sunday and we loved it! I had bought a pulsd deal for 90 minutes of unlimited bubbles and 2 entrees.  We both got the sausage griddle sandwich, which was delicious! It was the right balance of sweet and savory. Instead of buns, they use pancakes.  It comes with chicken sausage, cheddar cheese and runny eggs. The perfect combination. They definitely don't play around with their boozy brunch.  We finished one bottle of prosecco and they just so casually replaced it with another since we were still under the 90 minutes.  You also get three different fruit juices- mango, guava, and passion fruit-  to mix it with and to make your own bellinis.  Before our meal was over, we knew we were going back.",0,0,0,Y G.,"Queens, NY",2,11,27
5.0,4/19/2019,"Best Brunch Ever!!!!!!! I always order salmon benedict. It was so delicious and the salmon was mega fresh. The Bottomless Bubbles obviously made it a toast afternoon. Honestly what makes this place superior to other brunch spots is the service...I've been three times so this review is overdue. Yancis is the manager and she really makes you feel like you are family and I'm her home. She's initially why I returned, plus the bubbles. We've had Shai as our waiter twice and he's so professional, warm, friendly and on point! Even when he's crazy busy he pops by to check that you have all you need. I recommend Bedford & Co ALLLL the time! Can't wait to go back....",0,0,0,Jolyn B.,"Manhattan, NY",218,84,123
4.0,4/17/2019,"I only stopped in to have quick cocktail before meeting a friend and was pleased with not only the rather toned down entrance, but also the staff was relaxed yet attentive. I look forward to having dinner here again.",0,0,0,Subilak K.,"Little Falls, NJ",27,60,110
5.0,4/14/2019,"This was the first time I came here for brunch. It was an awesome spot for brunch. I highly recommend getting their deal on the Pulsd app. They give you a big bottle of champagne with 3 different juices for you to add on. You get guava, passion fruit and mango. My favorite was the mango and guava. But the service was great. The waitress was very nice and answered all of our questions and was very attentive. Their Bedford burger one of the most amazing burgers I've had in a long time. It comes with pork belly and it is all so flavorful and delicious. The chicken and waffles are cooked to perfection. The waffles are nice and crispy and have a great vanilla taste. The chicken was also nice and crispy but also juicy when you bite into it. I highly recommend coming here for brunch.",0,0,0,Gus R.,"Mamaroneck, NY",78,187,332
4.0,4/14/2019,"Food was ok, vibe was very Industrial Williamsburg, kind of Millennial chic..  Service was very random, even though we ordered the bottomless brunch, the waiter wouldnt serve me til my friend showed up,  and a few other slip-ups as well.    i am giving an extra star due to Yancis, who is one of the managers and single -handedly made up for the the 3 or 4 errors they had in service. i would go back  again if my made my reservation thru her, and was assured she would be there, otherwise, there are way to many brunch options in NYC",0,0,0,Neil F.,"Manhattan, NY",3,38,0
2.0,4/8/2019,"I think bottomless drink boozy brunch is code for ""we hope you get drunk enough to not notice that our food kinda sucks.""  First off -  midtown east tourist trap.  It can attract all the Grand Central johnny come latelies to their mediocre brunch.  Second - much too dark.  I guess they don't want you to see what you are eating?  Third - two bathrooms for the entire damn place?  K.  Fourth - service left much to be desired.  I think we got the right entrees, but he just seemed very confused.  He was nice, but I'm guessing it was because it was too damn loud?  And yes, I am too old. Deal with it.The bubbles though, 90-minutes of sparkling wine with craft juices.  It's a good concept, just not well executed.  You want us to make mimosas and can't even give us ORANGE FREAKING JUICE?  Mango, peach and something else.  Not orange.  No cranberry or pomegranate? Come on.  No one wants a mango mimosa.  Peach maybe, but bellinis aren't my thing. May as well bring out the apple cider vinegar like the guy who ruined brunch on the internet that one time.And my food? It wasn't memorable.  Some chicken sausage breakfast sandwich.  It was pedestrian, yet another item on the menu that had a good concept that wasn't executed.  I can pretty much gather I won't be here again.  After all, I live on the west side, and I'm rarely ever on the east side.  I wouldn't be back anyway.",1,2,0,Taryn C.,"New York, NY",280,766,51
2.0,3/30/2019,"I gave two stars because the service is atrocious, I had to ask two different waiters to get a refill of water. Getting the check took way too long. The food was excellent however that's why I gave an extra star.  Will not be coming back again.",0,0,0,Duplicate D.,"Edgewater, NJ",65,14,24
3.0,3/28/2019,place is lovely and service is quick and accommodating. went there for brunch with the pulsd deal and don't think i would go back without a deal. food portions are small for the price you're paying. pretty standard food,0,0,0,Brenda J.,"Freehold, NJ",0,9,0
3.0,3/25/2019,"Food was very nice, service was spot on. Only 3 stars as this is not really a great brunch venue. (Which is why the 9 of us were there!!). It is more of a lounge/dinner venue if you ask me. It is much too dark, and for the amount of people in the establishment, the noise level was to say the least-extreme.",0,0,0,Brian S.,"Lindenhurst, NY",4,103,10
5.0,3/24/2019,"We came here for pre-dinner drinks at the bar. We stumbled upon this place as we were looking for a place near our dinner location to have a drink. It was perfect! The ambience was really lovely, the drinks were fantastic (my husband had an Old Fashioned and I had Prosecco) and the service was great. It was pricey but we really enjoyed it. We would come here again.",0,0,0,Tatiana H.,"Arlington, VA",0,23,9
5.0,3/24/2019,We had brunch there today and everything was exceptional! The food was fantastic and the service was excellent. I absolutely loved the ambiance! I'll be going back next time I'm in NYC!,0,0,0,Megan M.,"Durham, NC",0,6,7
5.0,3/24/2019,Great place with awesome service and friendly staff. Tommy the bartender is the best. Craft cocktails and excellent food I love the crispy artichokes and roast chicken. Kathryn the manager has created a great culture of service. I travel to NY often and mostly dine alone. The bar is comfortable and serves full menu. I have also heard that Brunch is great too!,0,0,0,Maureen S.,"Kennesaw, GA",0,4,1
1.0,3/15/2019,"I am not a big reviewer but I was so disappointed by this place I felt I needed to document it. I was there for brunch with a bachelorette party. We sat in the back room which was nice and private. However, the restaurant had said they would decorate the table with confetti for the occasion--they did not. Once someone mentioned it, they gave us some free dessert. Unfortunately, the dessert was on par with the rest of the food: Bad. I ordered steak and eggs, medium rare. The steak came out very rare and purple, and I asked for them to toss it back on the grill for another minute. The waiter returned with my plate and loudly announced ""Medium well!"" and then hurried away. Obviously, not what I asked for, steak was now way overcooked and honestly not worth eating. Other people in my party experienced similar problems with their own meals. Our server also came back twice to confirm everyone's orders (only 8 people!) and still messed it up. The people who ordered bottomless didn't receive their drinks until a good 20 minutes after ordering, after reminding the server. I'm not sure if these problems were due to an inexperienced waiter, a bad kitchen staff, or both. Nearly every person in the group was disappointed by the quality of their food. The breakfast potatoes were very good, everything else was bad (avocado toast, steak and eggs, burgers, breakfast sandwich). Bottom line: I would not come back here again. The service was poor, the food was not good, the plates were expensive. There are a million better brunch places in the city.",0,0,0,Elena M.,"Morristown, NJ",0,3,0
