rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/30/2019,"Sad this place has gotten so sad inside. Very quiet all the time. Drinks are eh, their chicken dish was eh, lunch specials aren't as good anymore. But this place is still super $$$$",0,0,0,Argot B.,"Manhattan, New York, NY",0,164,0
4.0,4/4/2019,"Great spot. An upscale Latin inspired menu. Lots of seafood.  Worth noting, the swordfish tostado to start is incredible. Dinner upstairs has a minimalist, tropical feel. We've also hosted a private party on the main level with passed hors d'oeuvres and open bar for a party of 30. The service was impeccable. Great spot and a bit of a hidden gem!",0,0,0,Rita G.,"New York, NY",1,69,0
5.0,4/3/2019,"Had a friend make reservations here for lunch the other day, and although I hadn't heard of it I jumped on the chance to try a new place. And Mexican? Sold! Arrived early and sat in the cozy waiting area, before being led upstairs. The decor here is lovely, very simple and beautiful, palm trees etched in the walls and a very relaxing atmosphere. This place was pretty busy, but I feel like It pulls in a lot of lunch crowds for the upper east businesses, because there were a lot of suits filling the space. I almost felt underdressed. Ordered the guacamole, and then the shrimp tacos, and both were delicious. Very flavorful, the shrimp had a ""bang bang"" type coating that was outstanding! I didn't try and drinks, but their margarita list was definitely one I'd come back for, as well as the sangria! All in all I'd definitely recommend this place, (be prepared it is a BIT on the higher end in terms of pricing, we spent about $33 a person and no alcohol.) however, quite delicious so well worth it! I'd return!",0,0,1,Holly M.,"New York, NY",165,46,164
3.0,3/16/2019,"The ceviche, tacos and grilled octopus, hot lava cake and churros desserts were superb. However, the paella was only fair and the black bean soup was tasteless. Overall, the ceviche was excellent, but the portions were small with a big price and the techno-pounding beat music took away from the experience.",1,0,0,Laurie K.,"Manhattan, NY",49,3,0
3.0,2/23/2019,"Came here for an office event.  Good restaurant in midtown east.  Has a nice atmosphere and good service.  Food was okay, so for the pricing it was pretty average.",0,0,0,Sabrina S.,"New York, NY",146,54,0
5.0,2/15/2019,"This is an exceptional restaurant that checks off all the right boxes. Great atmosphere, high quality delicious food and the sweetest servers!I spent 3 days in NYC and this is by far the best restaurant. I will be back!",0,0,0,Mary C.,"Greenfield, MA",0,5,1
5.0,2/13/2019,"Richard Sandoval created a masterpiece when he envisioned Pampano. Just when I thought Pampano couldn't do better, they surprised me with a vegetarian menu and I couldn't be happier. This review is for lunch as I only frequent Pampano with colleagues for a special lunch (not to say I wouldn't go on my own - I 100% would, just don't live near the area). The setting is fancy yet laid back and the menu is just incredible. Service is exceptional and I would recommend making a reservation. Let's start with the drinks. I'm a big tequila fan and the concoctions on the cocktail list are some of my favorites in NYC. The hibiscus elixir and de maracuya (spicy) margaritas are SO GOOD. If you like mezcal, I recommend the Oaxacan fusion but mezcal isn't for the faint hearted.Onto food, for starters: Guacamole, because obviously you have to and it's always a crowd-pleaser. The guac here is super fresh you can't go wrong. Next, for ceviche, I recommend atun and tropical ceviches. They have really unique flavors and are not something you'll find everywhere. For mains: veggie enchiladas are amazing (can be made vegan without the cheese). If not vegan, I recommend the chile relleno or camarones. Honestly, you can't go wrong with anything you order here. Everything is fresh, so tasty and has unique flavors. Sides: fried plantains, rice and beans - delishOverall, I love Pampano for a really tasty, filling meal. Also check out their quick lunch take-away location.",1,0,0,Noelle M.,"New York, NY",243,69,5
3.0,1/21/2019,"I preface this by saying the taco was pretty good and I do eat a lot of tacos.  I ordered a steak and bean taco and a ""mahi-mahi"" taco. Why quotes? Wasn't mahi-mahi fish. It was still fish. The toppings were pretty sparse. I'm not saying they have to be so loaded that you can't eat more then one, meat was cooked great so was the previously mentioned Unknown fish but the fish taco was advertised as having pickled cabbage and there was a little bit balled up in the center made to look like there was more and the steak and bean didn't have much bean. A friend also got the carne asada taco and noted they could have put more onion or anything on it. Hopefully if you go you think to ask for extra and not get charged! Also had the chips and guacamole. Guacamole was nothing special but it was good. Chips were delicious!",0,0,0,Maryanne M.,"Midtown East, Manhattan, NY",1,23,4
1.0,1/8/2019,"The owners of this place don't care about their customers.  These jerks took my order for the taqueria down the street (which by the way same food lower prices) and the place was closed, not just closed but the whole building was closed so like an idiot I am trying to find a way into the building for 5 minutes because they took my order for that address. No one picks up the phone for the taqueria but I know from before that there is a restaurant by basically the same name down the block so I walk there. I get there and they say oh you had the pickup order, no apology or anything for having made me walk around the empty building down the street like an idiot because that was the address on the order. After that for one stinking burrito they made me wait 20 minutes from when I got there (I was already late) and when I went to cancel the order the person upfront goes away for another five minutes and comes back with food. Total time wasted 30 minutes and not even something extra for making me waste half an hour for one stupid burrito. The food itself was ok but not better than any take out. Never going back.",0,1,0,charles W.,"New York, NY",2,40,0
2.0,11/30/2018,"Had a farewell dinner for someone that was leaving our firm yesterday. We were a group of 13ish people, but had a reservation. The greeter told us to go upstairs and our table is the table that has menus. We went up, saw our table, and were walking towards it. A server said we couldn't just sit there and sort of stopped us. Then she got a little frustrated and asked us who the reservation was under. We gave her the name and she went downstairs only to be told that the table was actually our table. I had a bad feeling when that happened. I decided to not be so assumptive because my boss likes this place. So they took our order. The food took a while to come but I assumed it was because there were a lot of us. The paella was good. The pieces of scallops were so small I didn't realize that was included in the paella. The dish is served in a mini metal paella dish which gave the dish a metal/ copper-like taste. I didn't realize the metal taste until later on. For dessert, I got the Mexican molten lava cake. So.... the taste was good, but there was no lava. The center was completely cooked and it was more of a soft brownie moment than a lava cake. I finished the dish but it was disappointing. Would I go again? Maybe if I am able to get a margarita with my meal and if I weren't paying again.",1,1,0,Alice R.,"Manhattan, NY",10,111,4
