rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/18/2019,"This place is on a great location and good food. They also can give you a glass of champagne when you check in so don't forget to do that. The service is good but don't come too late because they are very serious about closing their kitchen at 9pm at least on Fridays. In addition, the view from the restaurant is great surrounded by great windows and wine bottles. Overall it was a good experience and I recommend it for those that love Italian food.",0,0,0,Santos G.,"Manhattan, NY",1,5,4
3.0,4/9/2019,"I try to come here anytime I'm attending an event at the Garden, & it's always been enjoyable even when the service was slow as that was usually due to it being busy, which is understandable. Food has always been good.This time though (4/8/19), was easily my least enjoyable experience, & ironically it was the least busy I've seen it. I guess the Pennsy has taken a bit of business away from them. Our server was very aloof, & I was left with an empty drink for 10 minutes before I was able to make contact requesting another. It seems after a misunderstanding where the server was under the impression we were only ordering appetizers, he was no longer attentive at all. Regardless, this isn't an excuse to dismiss a table. He did not return to our table after taking our order (aside from when I initiated contact for a 2nd drink, a wine, which I had to pour myself) until it was clear we were finished w/our appetizers & to ask if we wanted the check. By then, we did not want to spend any more money there, & went elsewhere for dinner. We were a two top that ordered 3 substantial appetizers, & were planning on ordering two more entrees, two more rounds of drinks, & possibly even dessert.The appetizers we did have were good as always, and the back waiters were competent and pleasant. Servers should never give up on a table, as there are always opportunities to take care of their guests, & increase their checks. I will be back as I've mostly had good experiences there. If you haven't tried it, it's still worth a visit. You can't beat the convenience, & if you're looking for a sit down spot as opposed to the chaos over at Pennsy, then give this place a try.",0,1,0,JP D.,"Neptune Township, NJ",22,8,1
2.0,4/8/2019,"I want to love this place - great atmosphere and location perfect for pre-MSG events.   Unfortunately, the salads are overdressed, the veal Milanese over cooked & dry, the coffee bitter.   My $29 shrimp & scallops entree had 2 shrimp & 2 scallops, also over cooked.  Maybe stick to the pizza and pasta here....",0,0,0,Ginny M.,"Merrick, NY",0,31,0
4.0,4/6/2019,We came last night for a friends birthday and were very impressed. The place was almost empty as they close around 9pm on Friday - which I thought was strange. Either way the ambience of this place was beautiful. The food was good - but some of my food was cold and it seemed like they were in a rush to get us out of the restaurant. It was also very expensive but my steak was definitely worth it as well as the veal and the seafood appetizer. I do not recommend the penne ala vodka - it is a very small portion and did not taste good. Everyone else liked the food and they were very large portions. Overall I would go again but earlier so I didn't feel rushed. Also check in for the free Prosecco offer ! There were 10 of us and they poured them for everyone.,3,0,3,Stephanie J.,"New York, NY",223,79,194
3.0,4/3/2019,"I met up with an old classmate from NYU for lunch here.  He works a block away, and I was catching him during his lunch break.  Seeing him was great, after 22 years, but the food was so-so.I may have ordered the wrong thing, but I had a branzino the day before for lunch (with another old friend from Georgetown) and pizza for dinner, so I wanted something different.  I had the spinach and ricotta ravioli.  It had a butter, olive oil, and garlic sauce, and was sprinkled with sea salt.  At first I liked it, but midway through the plate it got kind of boring and bland.Again, I probably ordered the wrong thing.  My friend like his dish, and the fried calamari were shared was also quite good.  I would come back again and give it another try.",1,0,1,Fernando A.,"Long Beach, CA",222,510,376
5.0,3/20/2019,"Went to meet friends on the night of a big concert at MSG so we thought it may be too busy to get good service. We were wrong. Friendly wait staff, food was fast, and delicious. It was packed and the atmosphere was wonderful. Good job Lugo!!",0,0,0,gred r.,"San Diego, CA",0,16,0
1.0,3/2/2019,"Left the restaurant in tearsWanted a nice dinner and all I got was cold bread, entree with mussels, which I hate and being told by the waiter life Could be WorseOrdered the linguine grits del mar mussels were not listed but scallops were. What I was served was basically linguine with mussels.The waiter Danny should know it his job to serve the food as listed on the menu, bread that is not hard and cold and never diminish or compare a customer's life with the experience at the restaurant.The waiter told me the manager was coming over and yet when I got up to leave and spoke to the manager he knew nothing a out the situationHorrible horrible experience.",2,1,0,Laurie R.,"Bridgewater, NJ",0,9,4
3.0,2/9/2019,"Food was very tasty. Location was convenient.  But our waiter was off.  There were five of us. We ordered each ordered either soup or salad. Then we ordered a bunch of started to share. There was a lot of food. I had ordered a grilled calamari l. When we were almost done, I noticed it never arrived. I told the waiter I wanted that canceled since it never arrived and we are full and done. He checked the order and told me he actually did not put that in. And he jokingly said it actually worked out since we were full which had nothing to do with the fact he didn't put in the order. Then as he was cleaning the dishes he spilled salad dressing on me. Yes on me. On my shoulder and on my hair. I felt the liquid dropped on my shoulder so I just wiped it off without saying anything to him. Then he told me there's something on the back of my hair and handed me a napkin. I said to him ""since I cannot see (the back of my head) can you please help me?"" and handed him that napkin. He dabbed the napkin on my hair to remove the liquid. It was just not my day.",0,0,1,Stella A.,"New York, NY",92,326,278
1.0,1/31/2019,"Horrendous food staff and service. Place was empty but they couldn't seat 2 of us. Had ""cardboard"" pizza at the bar with obnoxious bartender serving drinks.",0,2,0,Ron H.,"Westbury, NY",0,2,0
3.0,1/23/2019,"Met a friend for dinner. First, they forgot to bring the bread which I was informed, AFTER dinner was finished, was really good there. Wine by the glass choices not the greatest. Pasta itself was just ok but I do have to say that the calamari in the pasta dish was cooked to perfection. Place is very nice inside but I wish the food was better.",0,0,0,L G.,"Newton, NJ",0,174,45
3.0,1/21/2019,"I went here for a quick bite with my boyfriend before a concert. He ordered the spinach ravioli and it was delicious, however I ordered penne with marinara sauce and had to send it back 3 times. It was undercooked and they couldn't seem to get it right. The manager was great and took it right off the check! They were very nice but I was disappointed. The ice cream was yummy!",0,0,0,Kenzie S.,"Montvale, NJ",0,2,0
4.0,12/13/2018,"Met friends here for drinks and the place was lively, bartenders were very attentive and the staff accommodated a few of us for dinner without a reservation. The food is tasty and portions are good size without overwhelming the plate. The proximity to trains makes it ideal for after work cocktails and a quick dinner. Friendly staff with attentive management ensuring all was well.",0,0,0,Kat C.,"Short Hills, NJ",2,90,21
4.0,11/14/2018,"Lugo's is a decent sit down place for lunch around Penn station. The are busy so make reservations. Even when full, the restaurant doesn't get too loud so it's a good place for a meeting, etc. The food is good. Some dishes have been a 5, some a 3. The occa bucco they've had on the menu is outstanding. The pumpkin gnocchi topped with mushrooms is also fantastic. The app pizzas are also a fave and come out very quick. Solid restaurant.",0,0,0,Sofya K.,"Rego Park, NY",15,304,639
