rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,11/2/2018,"The service was on point, but the tasting menu left little to be desired. It was my gf's birthday, so we were easily talked into the wine pairing, which was more filling than the food courses. We left hammered and hungry. I was not impressed and probably wouldn't return. It's sad, because I absolutely loved my experience at their location uptown.",0,0,0,Alyvia M.,"New York, NY",486,774,48
5.0,9/29/2018,Cool vibe  great food had the chicken burger and it was like nothing I have tasted before.,0,0,0,Teresa D M.,"New York, NY",64,53,119
3.0,9/20/2018,Had dinner here on a weeknight. Unassuming Michelin and not in a good way. Did not like the ambiance and crowd but food was delicious. Won't be coming back.,0,0,0,Stella S.,"Manhattan, New York, NY",0,19,1
3.0,8/30/2018,"Great service but very average food. Kinda a waste of all the great environment. Wish their food could be better.Ordered hummus, tomato salad, black bass and squid ink spaghetti.",0,0,0,Catherine H.,"Manhattan, NY",4,15,5
3.0,8/26/2018,"Ate there recently on a Thursday evening with a friend and was shocked to see a dining room maybe 20% full. Shame because the food and service was lovely. The salmon confit appetizer lacked something -- one more element maybe? -- but the focaccia was addictive, and both our entrees were delicious.One HUGE let down was the wine list. What happened? We actually came for the wine, not knowing how much the list had been pared down. I know the old wine director isn't there anymore, so wasn't expecting the old award-winning list, but was expecting at least something reminiscent of the old list. What remains is sad. It's a small, uneven list still in its old binder, with illustrations of regions they barely have for sale anymore. A total shame.",0,0,0,Brooke W.,"San Francisco, CA",85,15,0
2.0,8/24/2018,"Everything at Rouge Tomate was fantastic...except for the food. The room was lovely, and I appreciated that the noise level was reasonable even though the restaurant was fairly full. I love it when I don't have to shout across the table. Service was spot on. Waiter offered thoughtful descriptions of certain dishes, and the wine guy was also very helpful. By now I really wanted to love this restaurant, but the food absolutely sucked. The mushroom tartare, salmon confit, squab, and black bass were all bland and underwhelming. The best thing we had all night was the cheese plate, but I could have put together something similar from Whole Foods. One Michelin star, two Yelp stars.",0,1,0,Oscar M.,"San Francisco, CA",16,56,1
4.0,8/23/2018,The food is decent. But the wine list is such a disaster. No idea how the restaurant went from one of the best wine lists in 2017 to the current state...,0,0,1,Eva S.,"Princeton, NJ",28,35,2
5.0,8/21/2018,"If I could give 6 stars, I would.  I'm local to RT and called up on a Thursday night asking if I could walk over for a quick dinner.  I walked in by myself, fresh off a 5-hr plane flight, hungry, and hot from the muggy summer night.  It was late, so I didn't have time to change first and was still wearing sneakers and a hoodie over some nicer casual clothes.  The hostess welcomed me without a glance at my less-than-dressy attire and asked if I'd like to sit at the ""Chef's Table"" because she had some space there.  I jumped at this opportunity, which can be rare.  It led to one of the best dining experiences I've had in NYC.  Since I was alone this time and didn't need to share dishes or compromise on what was ordered, I decided to order based on my wine.  The sommelier came over and we had a great discussion about the type of wines that I wanted to explore and the 3-glass wine flight that he recommended for my goals.  He then offered suggestions for food pairings, leaving room for me to make some choices rather than just having one dish suggested per flight glass.  I ordered lightly because of the summer heat:  the heirloom tomatoes app, the Walu app (my favorite menu item), and the veggie mushrooms dish.  While I waited for my order to be prepared, I could watch the kitchen as they worked.  The meticulous quality check on each dish before it was served was apparent.  While I waited for my order and while I ate, the pasta/veggie chef and I had a fun chat about all things from food to finance.  He's in the (maybe un-enviable to some ?) position of working right in front of the Chef's Table bar and cheerfully talked with me and other guests while he worked.  During my meal, the head chef (the owner?) was incredibly generous.  As I tried my wines, he allowed me to order an additional mini-tasting portion of the oysters so I could try all the food pairings that the sommelier suggested for my wines.  One of the bonuses of sitting at the Chef's Table, the chefs -- noticing that I ordered only light summer food -- alerted me that one of their best dishes, the short ribs, was only going to be on the menu one more day and urged me to try it.  (They explained why it wasn't staying on the menu, which I won't go into here, but it made sense.)  Of course, with that kind of insider alert, I ordered the short ribs knowing that I couldn't finish another main dish.  They were delicious and I'll miss not being able to order the short ribs again.  Thanks to everyone, my meal was amazing dance of wine and food pairings throughout the evening.  Things continued to be wonderful even after I paid my bill. When it came time to leave, they allowed me to take photos on my iPhone of the wine bottles I tasted so that I could remember them.  And, very specially, the pasta/veggie chef suggested that I take home my leftovers (1/2 each of the mushrooms and short ribs dishes) and gave me perfect suggestions on how to prepare them the next day with a couple ingredients that I had at home (eggs and potatoes) for another meal!  Thanks to his suggestions and instructions, I had another very tasty Rouge Tomate meal at home the next day.  Many thanks to the entire RT staff, and especially to the head chef (owner?), the pasta/veggie chef, and sommelier, for a memorable spontaneous summer evening and meal.",0,0,0,Susan H.,"Manhattan, New York, NY",0,4,0
4.0,8/19/2018,"Went here with a friend to check them out for restaurant week with high expectations since they currently own a Michelin star. I can't quite say I was as impressed as I was hoping, but the food was still very good. We wanted to try as many things as possible, so we ended up splitting everything.Walu carpaccio (4 stars): This wasn't a particularly large dish, but the flavor was definitely there.Chilled melon-coconut curry soup (4.5 stars): I absolutely love curry and this dish did not disappoint--definitely a great portion size also.Sea bream (3.5 stars): This was decent, but nothing particularly memorable overall.Glazed short ribs (4 stars): The short ribs were cooked pretty well, though not as tender as it could have been. The serrano creamed corn was great, as were the braised greens.Spaghetti alla chitarra (4.5 stars): This was one of the best things we had all night as the spaghetti was cooked perfectly and the sauce has a nice richness and spice.Chocolate mousse (3.5 stars): This mousse was good, but it was very reminiscent of some others I have had around the city. Overall, this place serves up some great plates, but didn't hit the high marks I was expecting from a Michelin starred restaurant. Nevertheless, the restaurant week deal is great and definitely worth checking out if you get the chance.",2,1,1,Ryan R.,"New York, NY",746,1843,225
5.0,8/14/2018,"Out of the restaurants that I went for Restaurant Week, this one certainly topped the list in terms of quality and novelty of its dishes! Each course never failed to pleasantly surprise me.For the first course, I had the Walu Carpaccio. It was savory and chewy, while the citrus yuzu and soy were the perfect sour/salty balance. I love raw meats, so this was probably my favorite course. My date ordered the chilled melon-coconut curry soup, which, involved quite a few components of flavor that went very well together. It was a very interesting dish to experience, and he paused after every spoonful to process all of it.The glazed shortribs for the second course were incredible. The meat was so so tender and perfectly juicy without being fatty. The sauce and greens also gave the dish a warm, hearty feel.For dessert, the Summer Berry Pavlova that I had was light and fruity -- the crispy meringue base melted nicely in my mouth. My date actually liked it more than I did, but maybe I just prefer something more substantial. The Chocolate Mousse, though, was something else. Everything about it was so decadent and rich -- the creamy chocolate and pistachio were like shots of heaven. The cherry paste and thin flakes were also essential touches that provided texture -- think Ferroro Rocher. My date said he wished he could get an entire bowl of this dessert, which says a lot since he doesn't normally have a sweet tooth.The restaurant does have a unique focus on health and environmental sustainability, so the portions are not large. However, the creativity and complexity of the dishes makes it an highly satisfying experience. Not only do I highly recommend this place to others, but I'm very curious to try more items here next time I'm in NYC!",0,0,0,Cindy Y.,"San Francisco, CA",349,3,6
