rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,The food was excellent and our server was a gentleman! Overall we had a fantastic experience - will definitely be back.,0,0,0,Allison K.,"Bronx, NY",0,3,0
4.0,4/27/2019,"Nice, small and quaint place. Had the meatballs, two orders, sizzling shrimp, cheese plate and croquettes. Reasonably priced for 2 people. Made reservations on Open Table last minute. Seating is table tops for 6 so if there are only 2 of you you may be sharing a table with 4 others.",0,0,0,Adam M.,"White Plains, NY",162,23,38
2.0,4/18/2019,"I visited the Chelsea location recently.  Never dined at the restaurant prior to this visit.  My son recommended it so we all went.  First, the Margarita was great.  But, this is about the food.  I ordered the paella since that is what dominates the menu.  I ordered one of the 3 seafood options.  None of the options had the right assortment of seafood so I asked to substitute.   No problem, but add $5 per serving.  Then, each serving was ~$39 and you had to order a minimum of 2 servings of the paella.  I was very disappointed when the food arrived.  The 2 servings was enough to feed one person (I'm 180 pounds).  Therefore, my 14 year old and I were both hungry after eating the 2 servings.  Also, the seafood was not anything special.  The few shrimp was not remarkable.  The scallops were cut as thin as a quarter.  And the squid was - well squid.  The rice was delicious - just not enough.  Not sure why they don't have more complaints about their portions.",0,0,0,Jerry G.,"Boston, MA",67,6,0
4.0,4/15/2019,"I LOVE this happy hour and have attended many times- but I've also had differing experiences here. I love that they have half off tapas and that its every day. $8 wine and sangria is also great to have as an option.Typically I LOVE the food, but when I went again last Friday it was different: the octopus was mushy, the potatoes were cold, the mussels were just ok. But I really think that that was just a fluke. I will continue to return because usually the food is super yummy!",1,1,1,Viktoriya Z.,"Los Angeles, CA",37,165,115
5.0,4/14/2019,I really like this place. The food is good and the ambience is lively and chill. It's great for small group of friends leisurely enjoying tapas and drinks and then finishing off with their wonderful paella.,0,0,0,Janice C.,"FRESH MEADOWS, NY",3,19,0
5.0,3/31/2019,"The proteins were so tasty! They definitely have some simple but elegant sauce recipes under their belt. And the portion size was very appreciable. Not overwhelmingly big giant steak but also not a small speck. All in all, good experience and we will visit again.",0,0,0,Saheli G.,"South Kingstown, RI",0,15,7
5.0,3/13/2019,Sooo delicious!!! Blown away by every since thing we ordered! Servers and management was extremely attentive. If I lived here this would definitely be a regular stop for me.,0,0,0,Myranda M.,"Oceanside, CA",99,3,0
5.0,3/7/2019,This place was so delish?  The server was so patient with us we were so busy chatting and took a bit to order.   She gave us space and was great with her recommendations.   The restaurant really nailed the Spanish flavors I felt like we were in Spain.,0,0,0,Mercedes C.,"Manhattan, New York, NY",0,6,6
4.0,2/26/2019,"Generally speaking, this place was good, great for dates or a night out with girlfriends, but I've had better food in Boston (surprisingly). I came here with my 2 girlfriends and we ordered 7 tapas and 2 desserts and a glass of red wine to share. The wine is really expensive $13 for some dry wine (I've had better). I would not recommend getting the sardines; they were bland imo. Sundae was good, not too sweet; we ordered 2 since each sundae came with only 2 churros and there were 3 of us. My favorite was the beef cheeks very tender with just enough flavor and the pear surprised me! The octopus was solid, soft, but still a bit chewy. I personally have had mussels the same exact way better in a couple restaurants, but one of my girlfriends really enjoyed it. My second favorite was the tortilla, just something I've never had before and it tasted great. The shrimp in the garlic oil is extremely hot, even after it stopped bubbling. Two is us burnt our tongues a bit, so I recommend letting a shrimp cool on your plate before eating it. The meatballs were very typical. Personally would not come back again. Also it came out to be about $65/person.",0,0,0,Lisa Z.,"Boston, MA",174,80,212
4.0,2/17/2019,"Let's be honest- if you're browsing this review of a Paella bar, you are almost certainly ok with a dinner loaded with carbs and finished with a side of wine. Is this the place for you if you're trying to exercise dietary restraint? NO. Is it good? Sure! Is it good enough for me to come back on date night with the man? Umm probably not. If I'm going for yummy chewy crunchy rice, I would rather have a bimbim bop. The wine was excellent though. Also for those that are vegetarian, they do have a vegetarian paella but the minimum order is 2 servings so make sure your friend/date is also down for meatless Monday.",1,0,0,Kelsey K.,"New York, NY",2,6,6
5.0,2/2/2019,"Went there during NYC restaurant week and was pleasantly surprised, started with the croquetas and gambas, both delicious. As main entrée had the ""paella de carne"" which was amazing (to be ordered for 2 people) and churros and flan as dessert which were ok. Id definitely come back!",0,0,0,Orlanda F.,"Bronx, NY",1,8,26
2.0,2/1/2019,"Came here for happy hour and this place has a pretty good deal. All tapas are half off from 4 - 7 and they had a beer (bottled unfortunately) for $6 and wines/sangria were $8. Not bad considering the location, but the tapas deal is money. We ended up getting the Tortilla Espanola which was quite delicious. Airy and light, perfect appetizer. And then we got the croquettes. I thought that those were so so. They were supposed to have short ribs in them, but I couldn't taste or see them. That being said, it tasted pretty good, just not what I was expecting. We came for restaurant week, and they forgot our tapas, which was a huge bummer. Luckily we had some tapas at happy hour before our actual dinner cause we're fatties, but we were starving as we waited the half an hour for the paella to come out. The paella takes a long time to come out so make sure you order everything at once. When the paella came, it was pretty decent and very filling. We got the carne one. The chicken I thought was very dry, but flavorful. The short ribs were also a little overdone but also very tasty. For dessert we got the churros. They were super dry also (seeing a recurring theme as I'm writing this now) and very dense. I've been to boqueria and their churros are way better. Additionally, we had to sit with a bunch of other people at a communal table, although I think there are some private high tables in the back. I wasn't a huge fan of that. The happy hour tapas are a good deal but it was a struggle to get to the bar because it was so crowded.",1,1,0,Kenneth E.,"Manhattan, NY",354,280,368
5.0,1/26/2019,"Went with a friend to try their restaurant week menu. The food was good. We got the croquetas, chorizo, paella de carne, and the desserts. The paella serves two so you and whoever you're eating with have to decide on the same type of paella. My friend and I opted for the carne. All delicious food. The only down part about our experience were the churros. They were sad and kind of burnt. I've lived a few years in Spain and I know that they shouldn't look like that. But besides that the rest of the food were scrumptious. Service was amazing. Shout out to the manager for always checking up on us, our server Robert for attending us, and to the owner, Lolo for treating us like his own guests! Would return to try other tapas here!",3,0,0,Klaren N.,"KEW GARDEN HL, NY",400,12,14
3.0,1/23/2019,"Nope. Came here during restaurant week but my friend and I just wanted to order off their main. No one bothered to offer us their restaurant week menu anyway. I'm surprised by their high ratings but to each their own. Subpar at the very least. Service was lacking and when they were around, they weren't friendly or useful for that matter. Stopped in at 630 and the restaurant was empty even when we left at 9ish. The tapas were mediocre, though we didn't try much and the paella, meh. It could've been bc we got the meat paella. My friend is allergic to shrimp so we didn't get seafood paella. I'm a big fan of sangria so my friend and I got a pitcher. They only put in Granny Smith apples. Seriously? Thanks but no. Music was quite loud but it could've been bc we were seated next to the speakers. Seating was cramped and quite uncomfortable but standard for NYC. Except here they have high top stools. Please invest in actual chairs so we can lean back and relax while dining. Learned that they have HH specials after I dined through these reviews but only at the bar. Argh.",3,0,0,Joanne H.,"New York, NY",273,324,696
5.0,1/18/2019,"Omg. The seafood paella was by far the best I have ever had. Better than any in Madrid or Barcelona or anywhere else for that matter. The bartender Johanna was super nice. Very full bodied Tempranillo and beautiful Albariño. The rice was so tasty and flavorful. You could eat it by itself. Lots of seafood. If you ask for hot sauce, they give you this hot oil that is very spicy. Perfect. Definitely worth a repeat.",2,0,0,Ty H.,"New York, NY",134,205,25
4.0,1/17/2019,"I was  missing the deliciosas paellas from when we visited Spain. A friend had come here and recommended we come. Wow the food was so delicious they had me speaking Spanish in no time, I wanted mas mas por favor!!! You have to try Arroz Negro, cooked with squid ink, it was everyone's favorite. We ordered 3 different types but that was the winner! Their Sangria is also very good...not too sweet, with a light faint taste of cinnamon. If you like sweet Sangria you will not like this one...I loved it, I don't care for sweet wine. We also ordered the alcachofas, (deep fried artichoke) so tasty. Portions are not very big, but don't worry prices are! But it's so worth it. Can't wait to come back to New York to eat here again!!!",0,0,0,Sara No H.,"Kapolei, HI",1,16,2
5.0,1/6/2019,We stopped in here after another dinner plan fell through and we weren't sure where to go. Glad we did! The service here was attentive and friendly from the moment we stepped in the door. They offered communal seating first but it was a tight squeeze so we opted for the less crowded bar. The paella does look amazing but it takes 35 mins to prepare and two servings minimum must be ordered ($28+ per servicing). We opted for several tapas. All our tapas were delicious (get the huevos rotos!) and the sangrias (especially the cava one) were fantastic. A little pricey but great food and quality service here. Nice ambiance as well.,0,0,0,Erin F.,"New York, NY",0,40,5
4.0,12/22/2018,"My close friend who loves tapas really recommended this place to me. The ambience is really cool, and the paellas are delicious. We went during happy hour, so all tapas and drinks were half price! Service is excellent and we didn't have to wait long for food.We ordered the bacon wrapped dates, layered eggplant, grilled squid and crispy Brussel sprouts. The bacon wrapped dates were some of the best I had ever had - soft and sweet on the inside and crispy and buttery on the outside. 4 paellas for the two of us worked out perfectly. Some of the best tapas I've had in New York - definitely go check it out. I recommend going during Happy Hour to nab that 50% off!",2,0,0,Simran K.,"Philadelphia, PA",254,20,37
4.0,12/17/2018,The service was great. The food was excellent. The paella was to die for and so were the tapas. It's just the atmosphere. They have a long table and they sit your group with random people.,0,0,0,Jessica S.,"Manalapan Township, NJ",0,10,0
4.0,12/17/2018,"Woo the tapas were even better than the paella! We enjoyed the brussel sprouts the most that we ordered a second round. They do have a steep price, but the food, the service and atmosphere are totally worth it. Great place for special occasion.",1,0,0,You Z.,"New York, NY",10,64,78
4.0,12/16/2018,Don't think their tapas are that impressive but their paella is definitely on point and yummy. We got the negro squid ink and loved it! We also got their sherry drink which is on the heavy side. I love their counter seating and decoration. Server is attentive.,0,0,0,Sophie L.,"New York, NY",252,142,11
3.0,11/30/2018,I came here with a group of 6 people on November 16th 8:00pm. I made reservations the day before and was seated promptly. The Chelsea location only has high chairs. They take check in your jacket before getting seated which was a plus. We were not given water till we finish ordering our food. We got 6 tapas and the Squid Ink Paella. The waiter told us that we should order 3 portion. Each portion was about 28$ each. The tapas were okay. It wasn't spectacular like I was hoping it would be. The paella came out about 30 mins later. It was okay. The seafood they out on top didn't taste fresh at all. The rice didn't have much flavor. Our entire didn't  think it was worth it at all. The entire meal came out to be 350$. We all thought it was not worth it. I would not be back.,0,0,0,Cindy C.,"Flushing, NY",76,59,154
3.0,11/21/2018,"Ambiance was good...seating was not roomy, the food was subpar for the price. I've had fresher paella from the frozen section at Trader Joe's...unfortunate. This tasted like one of those paella's they sell In Spain for tourists..  usually with one shrimp and from the freezer with dried hard rice. Wine was good. Kinda don't get how this is still in business with so many great restaurants in NY. 4 shrimps... in a 50 dollar dish... ‍",0,0,0,M H.,"Manhattan, NY",1,35,41
5.0,10/29/2018,"This is an awesome place for Paella lovers. We went as a party of six. We ordered Socarrat, Carne, Arroz Negro Paella, alcachofas fritas (artichoke) and more. The Paellas came in huge metal pans. In each pan, there were plenty of squid, beef, chicken, rice, etc.All the Paellas were flavored perfectly. Maybe it is a little salty for people who prefer lighter flavor. But for me, it is just right amount of savory. The Arroz Negro Paella really stood out with its black color (colored via squid ink)!!! The squid ink didn't really have a distinct flavor so it was pretty much a visual phenomenon.The lighting is very dim (gets really dark at night) and the space in which we were seated was quite narrow. These are the only two aspects I think can be improved. Nevertheless, I think Socarrat is a fabulous place for Paella! Especially for a party size ranging from 2 to 6.My rating breakdown:Friendly and Attentive Staff     50/50Food Quality                           190/200Location                                  50/50Decoration/Environment         45/50Price                                       90/100Service Speed                        45/50TOTAL                                    480/500",1,1,1,Olivia W.,"New York, NY",24,10,24
4.0,10/23/2018,"Definitely a fan of Socarrat! Came here with some friends and love the ambiance. The red sangrias were on point as well and the service. Just to note that you have to order a minimum of two servings of the same paellas if you're looking to order a paella. Things I ordered: - Croquetas del Día: crispy and creamy croquettes of the day which was braised beef - Tocino Con Sandia:seared pork belly, watermelon,balsamic reduction, cherry tomatoes, micro cilantro- Paellas1) ARROZ NEGRO: shrimp, calamari, white fish, scallops, piquillopepper, fava beans, squid ink sofrito2) SOCARRAT: chicken, beef, shrimp, white fish, squid, mussels,cockles, fava beans, pepper, tomato and onion sofrito",5,1,6,Jenn L.,"New York, NY",990,284,1343
5.0,10/21/2018,"This place was perfect for a casual Friday night with friends. We were a group of five and had three bottles of red wine (all at different price points - all great), some tapas, and paella. The octopus is particularly delicious! A friend is allergic to shrimp so we got the carne paella and it was really delicious. The meat was tender, the snow peas really crisp, and everything was just super flavorful. We only ordered 3 servings since we also got tapas and that was plenty for us.We were sitting at the bar table, which can get a bit loud (not for us but probably for the people next to us after we finished the third bottle of wine. Sorry!!), so if you are looking for something quieter or more romantic, make sure you get seated in the other room at a standard table.",1,0,0,Beth S.,"Berkeley, CA",2,41,11
2.0,10/18/2018,"Everything was so average - food was mediocre at its best- Wa a customer of this place when they opened many years ago and then branched our - I think they got to the end of their rope by being too comfortable Iori their reputation - The portions got so small, the prices grew and the service , horrible - so pushy - off my list",0,0,0,Amir S.,"New York, NY",14,36,19
2.0,10/14/2018,"They forgot our paella order. The waiter couldn't have cared less, didn't apologize and didn't take anything off the bill. When the paella came out it tasted rushed and unseasoned. The place is like a factory with mediocre, overpriced food. They run a disorganized ticket system with the kitchen. I think the ratings are so high because there's not much paella in NYC. Can't explain it otherwise with so many other good restaurants in the area. I've been to the location in midtown which was a much much better experience. Will not be back to this location.",1,0,1,Justin S.,"New York, NY",113,27,0
4.0,10/2/2018,"I love socarrat. It is my favorite paella bar in nyc. Reservations are easy to make via opentable and I've never had a problem with anything on the menu. The service is friendly and attentive and the ambiance is at a moderate noise level. I've tried the black squid ink paella (mild-fish taste), the carne paella (salty), the seafood paella, which in my opinion is the best one of the menu as they do not skimp out on seafood here. In order to get paella you must order two portions, which means at a minimum you are paying $52-$60 for paella. Paella takes the longest to come out so I recommend ordering that as soon as you sit down. A two portion order can be shared amongst 4 people as long as the table is sharing other tapas. Complimentary bread is given after ordering and is unlimited.",6,0,2,Victoria X.,"New York, NY",579,617,577
3.0,9/29/2018,"A bit of a wait. No problem. Pricey, no problem. It is in an upscale part of Manhattan. It was too much after 45 mins to put cutlery/napkins in a to go order. I assume I should just lick the food or stare at it. The little things matter. Shame",2,1,1,Noah I.,"Brooklyn, NY",12,109,274
5.0,9/28/2018,"Super delicious Paella  !!!! We got the Carne, it's the best I've ever had in NYC. Also the sangria is fantastic Emanuel our host is so lovely - it was our anniversary & he treated us delightfully.",0,0,0,Shazia K.,"Flatiron, Manhattan, NY",136,9,12
1.0,9/24/2018,"Skip this one. I just got back from Nice and Barcelona.  I really wanted to reminisce about the trip so I thought some paella would help. But this place missed the mark. I don't understand the reviews at all. The paella had absolutely  no flavor, the seafood was rubbery and also totally lacking any flavor. We had the beef, squid and dates tapas. All ok nothing special at all. As if it wasn't bad enough,  this place is extremely  expensive for no reason. Maybe it was an off night or maybe we got the wrong thing but I went be back to test that theory. There has to be better paella in the city.  Off to find it...!",1,0,0,A B.,"East Brunswick, NJ",14,81,7
4.0,9/19/2018,Best Paella I think I have ever had. Service and drinks were superb cant wait till this weekend to visit again. The manager was helpful in guiding us around the menu.,0,0,0,Munch C.,"Manhattan, New York, NY",0,6,0
5.0,9/18/2018,I love this place. Happy hour is the best! I Bacon wrapped dates are a must have. I also had lunch here - the ham and cheese sandwich and it was SO good. Consistently great service and food.,1,0,0,Crystal Z.,"Chicago, IL",3,25,5
