rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,3/15/2019,"This restaurant has solid choices and is a place where I'll take picky eaters or a group of people (4 or more). The dining area is wide and spacious, so you never feel you're sitting on top of other groups (a hard find in Midtown). Sure, it's further away from the Koreatown locations, but is sorely needed in Hell's Kitchen. Some standouts on the menu include the dukbokki (spicy, chewy rice cakes), the pajeon (savory pancakes), and the japchae (grilled noodles with veggies). I am a fan of the bossam and the bibimbap (regular or hot stone). I love ordering the bibimbap because it's huge portions but since all the ingredients are fresh and healthy, I never feel like I'm overdoing it or picking something boring like a salad. This place is a trusted favorite in the neighborhood - I'd be truly sad if they ever closed because then I'd struggle to find a place that could sit large groups easily.",0,0,0,JoAnn A.,"Manhattan, NY",1,32,0
4.0,3/11/2019,"We loved this place. Right in heart of theater district. Really good food, not overpriced, and excellent service. Happy hour daily from 5-9 a huge bonus! The only negative I can say is that you have to cook your own food and the sides were quite small. For a group of just two it's ok, but anything larger would be distracting and a hassle. But reasonably priced, great drinks and food. We would go back",0,0,0,April B.,"Staten Island, NY",7,96,0
5.0,3/8/2019,"Wow ! I literally have no words for what I just experienced . It was beyond my expectations. The decor is standard , it's a good size restaurant. This was my first time at Bann and I would gladly return again . Half of my husbands family used to/currently work at Bann and recommend to go eat . I was a little skeptical at first since I can't eat seafood nor like too much spice. Either way , I went , and I don't regret at all ; the Lychee Martini is so good . The BBQ ribs are bomb . We got the medium BBQ which is family style . Awesome experience cooking you're own meat . You're meat comes marinated ready for you to just cook it . The best and best was the desserts . I got the hot chocolate cake and it was bomb . My husband got the trio which is good too , my sister got the ice cream and my brother in law got something called dragon and it was good as well . In other words , this place is good . I highly recommend it!",0,0,0,Jenny H.,"Flushing, NY",23,45,173
1.0,3/3/2019,I ordered  bi bim bop but its quality got worse though. It used to be delicious.  Humm~~. I felt so bad.  What happened this restaurant?  Don't order beef bi bim bap.  It costs $18,0,0,0,Jung L.,"New York, NY",0,1,0
4.0,2/17/2019,"Had an eventful evening at Bann, with some outside local manholes blowing up...but the life and death situation could not take me away from the Bul Gogi. Great food, nice atmosphere, and reasonably priced drinks during happy hour! Strange that we had to close out at the bar, instead of bringing the bill to the table later, but I guess just a stylistic choice. Overall a nice time was had",0,0,0,Aidan D.,"Upper East Side, Manhattan, NY",93,24,2
4.0,2/16/2019,Solid option for a quick lunch if you're in the area and don't want to trek to 32nd st for Korean. B-bap and galbi jim are good.,0,0,0,Mike R.,"Manhattan, NY",21,9,0
4.0,2/4/2019,"Good lunch spot. They have lunch special bento boxes. Typical Korean food such as galbi,  pork belly, marinated chicken, tofu soups etc.. I had salmon bento box. It was good but wish the salmon piece was a bit bigger. The Kimchi banchan was very mild. Everything else was fine.",0,0,0,Fanin K.,"Flushing, NY",0,6,7
2.0,2/3/2019,"Terrible service!For starters we were seated 30 minutes after our reservation time. We ordered fairly quickly, received our appetizers after about 20 minutes and then waiting another HOUR to receive one of our two main courses. It took one hour to receive the raw meat we ordered to cook at the table! They didn't even need to cook anything on the kitchen! We had to cancel our other main course as it wasn't ready and we had our 3 month old baby with us who was getting impatient after being at the restaurant for over 2 hours.Very disappointing!",0,0,0,Sharon L.,"Palo Alto, CA",0,15,0
4.0,1/7/2019,"I've always had a really good experience at this restaurant. The service is good, it's rarely crowded and it has a nice ambiance. I haven't really ventured beyond their bi bim bap as it's so good. The Dol Sot is the best.  The only knock is the prices. You can get equally good Korean food for cheaper in K-Town, but if that doesn't deter you, then Bann is definitely worth a visit.",1,0,0,Randy H.,"Brooklyn, NY",20,214,51
4.0,12/28/2018,We have been here several times and it is always good. The atmosphere is nice. We opt to order off the menu rather than doing the barbecue at the table option. The Bann Tofu is delicious-lots is veggies in a fantastic soy-ginger sauce. The side salad they serve you has a great dressing-sort is sweet and spicy. Don't miss their bao buns-to die for! The Korean ribs are also delish. We found the sushi to be okay-sauce was lacking and fish to rice ratio was off. We were also very disappointed with the shrimp dumplings-the filling was tasteless and spongy and the sauce was lackluster. We also ordered the crepe brûlée trio for a refreshing dessert. I like that portions are generous but not overwhelming.,0,0,0,Susan A.,"Easton, PA",5,240,35
