rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,"If one judges a restaurant by the bread it serves, High Street gets a five-star from the get go. We dicided to come back here because of the new Master Chef Mary, and we are so glad that we did. We came as a family of five on a Friday night, reservation of course. We shared all our dishes. I saw Whitsle Pig Eye on the drink list and wanted to give it a try out of curiosity, which exactly matches the server's description. My favorite starter is Chicken Liver Mousse with cardamom, figs, pistachio, and anise, (and the tosted bread that comes with it); my favorite main course is Torched Mackerel with turnips, shiitakes, and dashi, which gives it a delicate taste. Warm greetings from Chef Mary makes it the high light of our evening. What a nice place to have dinner on a Friday night.",0,0,0,Y. C.,"Manhattan, NY",32,21,14
1.0,4/13/2019,"One star for looking cute, but was turning away business at 1620 because they were ""turning over menus"". Our group offered to get drinks and were still denied. Good luck!",0,0,0,Karlene R.,"Las Vegas, NV",132,64,100
5.0,4/10/2019,"Stopped here for breakfast to treat my mom on her birthday. We ordered two sandwiches and split them. The bodega was delicious. The sausage is very thick and the biscuit is dense. The forager was amazing! I loved the mushroom and how delicately the milk bun held the sandwich together. My mom preferred the bodega and I preferred the forager.Definitely coming back for the pastries. They all looked so good, especially the black sesame kouign amann.Also, the service is quick and super friendly.",3,0,3,Laura S.,"Manhattan, NY",15,228,82
4.0,4/9/2019,"This was great, and the service was perfect. (It was less than perfect in our previous visit.)This time, we got the cinnamon cardamom roll, a spelt score, the Bodega, and the Jersey Girl. Both pastries were great -- we probably preferred the cinnamon roll, but we also didn't finish it because it was so heavy. We really liked both sandwiches as well -- both were also very heavy, and I think next time around I'd love to the bagel board and/or the high street leo.Anyway, really solid brunch spot and no wait at 11am on a Sunday, which seemed almost impossible for this neighborhood.",0,0,0,Shawn H.,"New York, NY",90,533,3087
3.0,4/8/2019,"Love the neighborhood, the food and the vibe. High Street is on tons of Eater's list for brunches and the girlfriends and I decided to try it out. The breakfast sandwiches are the best. I got the forager and someone else in the party got the bodega. Both eggcellent in their eggy way. The braised green was the highlight in the forager while they could be more generous with the mushroom, my side sausage made up. However, the service was seriously lacking from our server Haley P. She had no smiles and gave off a negative vibe the whole time we were there. When asked to put in an additional order of potatoes, she seemed bother. Did not bring a spoon for my friend's yogurt. We ended up asking the host to check on our food as we were not checked on ever. Our water carafe ran dried and was never replaced. Our bill was wrong. Additionally, I ordered a orange poppyseed almond cake to go and ask her to set it aside while we initially put in the order and she completely forgot. So I went up to the pastry/coffee section and ordered it myself. She saw me doing it and decided to ignore it. No apologies, nothing. Some people are not meant to be in hospitality. If you need a part time job and do not enjoy making other people feel welcomed and happy by your present, please reconsider being in the service industry.",1,1,1,Nancy N.,"New York, NY",358,165,409
4.0,4/8/2019,"My new weekend addiction! Brunch, lunch, or dinner High Street on Hudson always delivers!!",0,0,0,James C.,"Manhattan, New York, NY",49,15,2
5.0,3/31/2019,"Two things get five stars here and the rest get four:1. The cinnamon cardamom roll and2. The sesame kouge AmanI could eat these every day. Fluffy, perfectly frosted, delicately sweetened and rolled. Incredible. The sesame is more savory than the bun so I like to tell myself the combo makes a well-balanced breakfast. The sandwiches? They're alright. Four stars. I'm not a fan of the sausage in the egg sandwich and will swap it out for bacon next time (tastes like cheap, meaty McDonalds sausage). The farmers sandwich with kale and mushrooms is very good for a veggie sandwich, though the kale is pretty bitter.Comin' back for those pastries.5 stars!!!!!!",6,1,2,Bonnie G.,"New York, NY",171,592,1029
5.0,3/31/2019,"We had brunch: the einkorn rugbrod (rich bread with seeds/kernels, with lemon butter and a runny egg on top - amazing), the Forager (similar to a mushroom burger), and the Jump Start (earl grey cortado with honey). Definitely will be back!",0,0,0,Wei Ji M.,"New York, NY",5,30,0
5.0,3/26/2019,"First off, lets have full disclosure. I HAVE NOT EATEN at High Street.I did eat at the restaurant at the Whitney which was wonderful. When I asked where they got their amazing bread, they directed me to High Street which is just around the corner. I purchased the most expensive bread of my life, $14 for generous sized  round loaf . It truly is the bread of dreams. If i could live on nothing but their bread, I'd be very poor but very happy. Not only did it taste amazing the day of purchase, the last crumbs almost a week later we just as tasty.  If you look at my other reviews, you'll see i don't hand out comments like this often. My suggestion, stop what you're doing and go there. If the food coming out of the kitchen is even half as good, you're in for a amazing meal. And don't forget to buy a loaf of bread to take home.",1,1,0,Arnie A.,"Bronx, NY",0,23,72
4.0,3/24/2019,"Went there for lunch after visit to the Whitney. We had the Bagel Board and Jersey Girl sandwiches with a couple beers. Later was egg-pork belly sandwich on marble rye. Seated at chef's counter. Had a ringside seat to the friendly cook staff. Server was great and very personable. It was reasonably priced. Lot of LES hipsters,  but good mix of clientele.",0,0,0,Nick R.,"Norwalk, CT",0,15,0
4.0,3/12/2019,"Arrived here on a Saturday morning with no reservation for brunch. Luckily only a twenty minute wait for a party of two, which they take your number down and text when the table is about ready. Fairly cozy inside, with a portion dedicated for to-go coffee orders. Lots of good options on the menu which is slightly different from what shows on the website. Started off sharing the Spelt Scone ($4.50) - a dense baked item topped off by a sweet pear marmalade. Would be heavy for one person, but easy to finish off with two people. For the main course, opted for the Bodega Sandwich ($16) and beer ($9). The Bodega is another hefty offering of eggs, cheese, sausage and gravy inside a buttered biscuit. Lots of flavor and certainly filling, could barely get to the side salad it comes with. Also tried the Old Bay Potatoes ($6) - which are giant cut fried wedges served with a garlic aioli. Felt the potatoes were a bit undercooked, so couldn't finish any more than half the offering.Service is quick and they offered hot sauce without asking. More on the expensive side for the first meal of the day; worth going for the sandwich however.",0,0,0,Shaji K.,"Queens, NY",289,1569,1552
5.0,2/16/2019,This was such a pleasant surprise. I made reservations here for dinner a few days ago and hospitality was great throughout booking and meal. They had consideration for dietary restrictions prior to meal and knowledgeable consistent service throughout. This was a delicious meal from start to finish and our server timed each course perfectly (a rare feat). Thank you for having us we're looking forward to returning soon.Meal included-Bread (a must)OlivesSquash (simple and delicious)Salmon (interesting dish with surprising flavors)Steak (really nice well executed classic with great sides)Date cake (a must),0,0,0,Alexandra R.,"Brooklyn, NY",1,16,0
2.0,2/15/2019,"Deeply disappointing.  We went for a celebratory birthday dinner, after reading great reviews.  Service was cold, charmless, and inefficient.  Food was uneven, and the wine list overpriced. Left feeling the evening fell far short of our hopes.  Something must have happened here after early enthusiasm.",0,0,0,Geneva O.,"New York, NY",0,1,0
