rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,"I've been wanting to come here for awhile! It's a bit priced than take 31 / her name is Han but the ambiance is also a little nicer and less crowded. Service was great. We got the bibimbap, spicy rice cake, and tangy spicy fried wings. Spicy rice cake: delicious, texture was slightly firm because it was pan fried and also very chewyWings: peanut flavor and topping was great. Texture was perfectBibimbap: a solid classicIf I were to come back I'd want to try some of the other menu items, but this was a good start!",0,0,0,Robin L.,"Princeton Junction, NJ",0,12,2
3.0,4/19/2019,"Rice cakes are a must. Good korean bbq overall. Problem with a server however which kinda ruined our good friend date vibe a bit, so I felt the need to comment - my friend and I ordered what we thought was a pretty good amount for two to split family style- two alcoholic beverages, rice cakes, the half and half chicken,  banjan, squid/scallion pancakes and I think something else even. Server was a bit irritated when we didn't order the pricey entrees as well, and told us we should. We asked if it was enough food without entrees and she immediately said NO definitely not. It was a bit weird her attitude. We said maybe we will order entree later and she said all annoyed you can't order later you have to order all at once, odd thing to say for a restaurant. We declined entrees. Long story long ... There was SO MUCH food we could barely eat THE HALF of it. So we didn't need the entrees after all as our guts (no pun intended) told us, just as much as we didn't need the attitude.",0,0,0,Christine E.,"Hoboken, NJ",0,8,0
4.0,4/17/2019,"I love Hanjan!  The food is consistently excellent, the cocktails are well-made, and as a frequent diner there, the waitstaff and manager greet me by name when I go and always thank me for coming, which is a very nice personal touch.  Minus one star for how loud the restaurant can get - understandable at peak dining times in NYC, but not the ideal place if you're looking for a quiet date night!  One of my neighborhood standbys.",0,0,0,M B.,"Manhattan, NY",0,2,0
5.0,4/10/2019,"Delicious food! Came during restaurant week but ordered the regular menu. Kimchi fried rice is a must. A little on the price side, but a good choice if you're looking for fancy Korean food.",0,0,0,Marissa Y.,"San Francisco, CA",186,6,1
5.0,4/3/2019,"I wish I could give this place 10 stars.  What an incredible find; small, and I walked past it twice before I found it, but I have had Michelin meals that pale in comparison.  From a culinary perspective I am notoriously difficult to please, but their kimchi pancake, soy poached black cod, and bulgogi bibimbap were utter perfection.  My mouth is salivating just writing this review and I am still dreaming of last night's meal.  The flavors were so perfect and neither subtle nor overwhelming.  The only thing that trumped the food was the service; Julia was one of the best servers I have ever had in NYC.  This place is to be sought out, and I can not wait until my next meal there.",0,0,0,E. L.,"Greenwich, CT",0,4,3
1.0,3/22/2019,"We were treated with disrespect from the front office to the people who were banging the evening.  I had reservations and the whole party was there in time.  However, they had us sit two at a small chair for at least 40 min, and I had asked for another so they can sit comfortably.  The staff said , ""give me a minute"" which turned into another 20 min.  There was more than enough room to make room in the table but they did nothing to rectify the situation.  I am very disappointed at the way they treated us, the dismissive behavior and lack of apology.  If the owner were there, he would be very disappointed.  Please don't treat paying clients like this!  The staff needs to learn hospitality!",0,0,0,Chris C.,"Hoboken, NJ",0,24,0
2.0,3/12/2019,"Got the bulgogi bibimbap lunch and while it was perfect and tasty, it was too small a portion to be filling (and at 5'3"" and 115 lbs, I don't require all that much) and already too pricey for a quick lunch ($18) to justify an appetiser, which starts at $12 anyway. Not sure what they're telling themselves qualifies the price level - the thicker paper stock of the menu? The fine print about ""meat raised with no antibiotics or growth hormones... our fish are not overfished and/or endangered..."" - does this automatically translate to 100% more than the fare next door? Perhaps, but it's beyond me. Poor value, there are better options just about anywhere else.",1,0,0,Angel C.,"London, United Kingdom",263,630,2
1.0,3/9/2019,"My wife and I ate there one night about 6 months ago. We both felt sick the next day. After reading all the Yelp reviews, I thought maybe it was some odd coincidence since there were many good reviews. A few months later I ordered from them. I got the General Cho's chicken. The dish is great, but around 4am I got violently ill. Based on what I had eaten the previous 36 hours, it was definitely from this food. I threw up once in the morning, and again in the evening, all the while having severe stomach cramps. Once is a fluke, but twice is a pattern. The food is tasty, but eat at your own risk. I did make a report to the NY Health Department.",0,0,0,Jason R.,"Manhattan, NY",0,7,0
4.0,3/2/2019,"Very fresh, modernized korean food. The sashimi appetizer and seafood pancakes were two of the better options we ordered. Service was also quick! A little overpriced for korean food, but nice ambience too.",0,0,0,Salman J.,"Chicago, IL",0,24,1
3.0,2/22/2019,"It's overpriced for mediocre Korean food you can get elsewhere. Cucumber cocktail was amazing, but other things are a bit disappointing. Especially jewels of the sea.",1,0,0,乃馨,"New York, NY",58,91,328
