rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/14/2019,"As long time (3 generation) fans of Le Colonial, we decided to throw my mother's birthday party in one of the private spaces upstairs. It was the first time we had rented a space to bring such a large party together, and it could not have been more seamless from start to finish. The evening was so wonderful for us and our guests who still recall fond memories from that night. The service was superb- everyone was well taken care of and each need was anticipated, not to mention the room had been arranged beautifully and as we requested. We would highly recommend Le Colonial to our friends for their next event venue.",0,0,0,Eileen L.,"Manhattan, New York, NY",191,1,0
2.0,3/13/2019,"My thought is ""don't bother"". Seafood doesn't taste like they are fresh. Pan seared cod is kinda bland flavor. It has some kind of curry sauce at the bottom of the dish. I wouldn't not recommend the dish because the cod, bok choy, mushroom, and curry sauce do not go well together. Who even comes up with this dish? Feel like they just pick random Southeast Asia ingredients, put them together, and call it southeast asian dish. I generally like lotus root salad but the one I had here has a bitter taste. Not sure where the bitter taste comes from since lotus root is not supposed to be bitter. Pho is worse than the one made in a cheap Chinese restaurant. The Pho broth is such an insult, not even close to Pho. Im not looking for authentic taste or anything here, but Pho here tastes so lazy and seem like no effort was put in. Dessert is unimpressive. You can go to any bakery on the street and find better coconut pudding. Overall, Food is not tasty and totally a waste of money. I gave 2 stars for the decorations, music, and overall look of the restaurant.",0,0,0,Yelp User O.,"Somerville, MA",0,6,7
5.0,2/15/2019,I had my 50th surprise party upstairs years ago and Le Colonial did an amazing job and continues to impress with there service and food! I have been going here since they opened and they are always consistent with details! Ambiance upstairs in the lounge is second to none and probably the most romantic in NYC! Last night for Valentines Day was perfect! Thank you Le Colonial,0,0,0,Mitchell G.,"Little Neck, NY",25,16,12
3.0,2/2/2019,"Not sure what this place is trying to be.For one, the name is insulting -hello French imperialism!Additionally, the menu is confused, completely devoid of any 'fusion' opportunities.  Not that fusion is a good thing. Dishes/ingredients like brussel sprouts -exceptionally executed, for the record- speak to the 'Colonialism' influence apparently favored by Le Colonial.Spring rolls speak to, well, Vietnam.  Also well executed.Red curry speaks to...Thailand.  Well executed, as well.  #confused",0,0,0,Eric B.,"Hoboken, NJ",224,118,69
5.0,1/19/2019,"The service and the food never disappoint.  The lounge on 2nd floor has great atmosphere and relaxing.  It is prefect to stop by for a drink and small bite after a movieThe event coordinator was really nice and helpful. She was responsive to all my questions when I tried to organize a 20+ people dinner event. All my guests had a great time. I highly recommend this place for dinner, drinks, and functions.",0,0,0,i c.,"New York, NY",14,3,0
3.0,1/4/2019,"Yea I can see why this place doesn't have the highest rating... The atmosphere is quite nice, it's homey and a bit romantic. Food and service was 2.5 stars my roommate and I, live so close to this restaurant and we wanted a quick drink for happy hour.... Me + roommate: it's almost 5pm let's walk over (4:53)*sit down at upstairs bar*Me: you guys have happy hour right?Server: yea at 5pmMe+roommate: *looks at menu for good amount of time and orders*Server: *hands bill silently* we ordered 2 drinks for happy hour at 4:57pm, since it wasn't quite 5pm yet they makes us pay full price for those drinks.... TL:DR; would be nice if you told us dude.",1,0,2,Colleen Y.,"Manhattan, NY",390,202,231
5.0,1/3/2019,Amazing meal! Service is amazing and extremely prompt. Ordered the full red snapper and a couple apps. All was amazing! Would 100% recommend if you are in NYC and not looking for a tourist trap. (Coming from a local) Crispy Wings and ribs were fabulous apps.Profiteroles were amazing too!,0,0,0,Maxwell Z.,"North Dallas, Dallas, TX",3,69,59
5.0,12/22/2018,Had my first meal at Le Colonial is several years and the food has only gotten better. Everything we ordered was full of flavor and this is definitely a restaurant to add back to the rotation.,0,0,0,Greg L.,"Manhattan, NY",1,22,1
4.0,12/8/2018,"Unlike other reviewers, I've never experienced poor service here. Quite the opposite - I consider myself lucky!I'm a huge fan of the lotus root salad, the vegetarian spring rolls, and the curry salmon, which are all rich in flavor and of a good portion size. I've only ever been here during lunch hours, so it has been busy, but not crowded, loud or stuffy. Will definitely be back.",0,0,0,Kimberly T.,"New York, NY",53,405,12
3.0,12/3/2018,Salty and overpriced. There are a lot more better Vietnamese places with a lot more affordable price. Probably worth the $ only for the decor.,0,0,0,Xingzhe H.,"Bryn Mawr, PA",8,6,0
1.0,11/4/2018,The most overpriced restaurant I've ever eaten at in my entire life living in NYC.  Everything was bland (ever had a steak without salt?).  The best options on their menu were not even mediocre.  Even the pho appetizer was unimpressive.The shaking beef entree was literally a few chunks of cold meat on top of lettuce...lettuce.I can't understand how this place is open.Good Manhattan on the rocks though...,0,0,0,Joey B.,"Bronx, NY",3,27,1
4.0,10/27/2018,Good service.  Quiet atmosphere with pleasant jazz music.  Enjoyed the braised cod and brussel sprouts.  Fairly priced. I would go back to try more of the fish entrees. Wasn't too impressed with the appetizers. They do have a thoughtful wine list. I enjoyed a chalis I ordered by the glass which went well with the meal. I wound up skipping desert as nothing really stood out.  A nice change from the city's other Asian restaurants. Le Colonial was among the better places of this type I've tried.,0,0,0,Conscience C.,"Manhattan, NY",12,86,76
1.0,10/10/2018,Worst Vietnamese food I have EVER had in my entire life. We are from San Francisco and we are here in NYC for 2 weeks. Maybe we got spoiled back in SF as we have a large Vietnamese population. This place needs a lot of improvement!,0,0,0,Jess G.,"Santa Clara, CA",17,1,0
5.0,9/17/2018,"Le Colonial NY's atmosphere is refined and elegant!   I can't speak for all Vietnamese but our family has no stigma against dining at this restaurant or feel any shame toward its name. The 100-year French colonial period is a part of Vietnam's history as its legacy has complemented our fusion cuisine, written language, aesthetic value, and deepen our appreciation for perseverance in the face of adversity!  What truly shameful is to think Vietnamese food can only be great in cheap, rundown hole-in-walls in some sketchy, immigrant quarters. Vietnamese food is anew when enjoying it in the context of a Chinese-inflected Southeast Asian cuisine with French-colonial ingredients and aesthetic.",1,0,1,Dân L.,"Atlanta, GA",5,15,42
1.0,8/9/2018,"Colonial Southeast Asia is not a 'theme' or even a reality southeast Asian people find a happy period in history. Thousands of Vietnamese lives were lost and thousands of families have been affected, their lives stolen due to French colonialism. Basically, it's disgusting you would even dream to profit a culture and violent history that doesn't even belong to you.",3,0,0,Yvonne H.,"Westminster, CA",1,9,1
1.0,8/9/2018,"hmmmmm don't you love it when the theme of a restaurant glorifies colonization, gentrification, and murder of innocent Vietnamese civilians!! Don't waste your time and money here. Go support other actual Vietnamese businesses for a more affordable price and authentic experience.",5,0,0,Sophie N.,"Portland, OR",5,29,73
3.0,8/9/2018,The food was not so good. The spring rolls were oily and the duck was a bit raw. We had to ask them to take it back to the kitchen and fix it. Then it lacked flavor and the sauce was bland as well. The noodles were good and so was the tapioca desert.,0,0,0,Martha C.,"Östermalm, Stockholm, Sweden",56,32,10
1.0,8/8/2018,"Family took me here for lunch because we were in the neighborhood and folks felt like Vietnamese. The service was extremely lackadaisical, the pho arrived cold and was inedibly salty. Also, the restaurant's name and theme...yikes. 0/10, do not give these people money.",4,0,0,Alex L.,"Toronto, Canada",0,10,0
1.0,8/8/2018,"Very tacky. Typical white washing of food, culture, and history of colonization including the mass exploitation and murder by white folks. Plenty of good actual Vietnamese places in New York. Do not bother with this place.",5,0,1,Ghost G.,"Manhattan, New York, NY",0,1,0
1.0,8/8/2018,"underwhelming and tacky.For this price point you can find real Vietnamese food thats much, much better.Basically, this place is an expensive theme restraunt. Rainforest Cafe but for the reprehensible french colonies in Vietnam.",11,0,2,Dietrich H.,"Brooklyn, Brooklyn, NY",112,1,0
1.0,8/8/2018,"Does anyone else find this restaurant incredibly problematic? Why are we celebrating colonialism, violence, and white supremacy? Why in the world would you describe your restaurant as ""... an exotic recreation of 1920s colonial Southeast Asia""? Can't you serve Vietnamese food in a way that respects the Vietnamese people? I'm absolutely disgusted.",16,2,5,Melissa H.,"New York, NY",0,1,0
2.0,7/31/2018,"This is solely based upon the service during weekday happy hour during restaurant week, which I've often hear leaves good service much to be desired.A few coworkers and I went for after work drinks today and while we were seated quickly at the bar, as soon as it became apparent we weren't ordering food, were almost completely ignored. It took me over 30 min just to get the glass of water I had asked 2 different servers for!Everyone ordered 2 drinks, so I am not sure what explains the lack in service and the long wait times to get the check, where we tried to flag down our server for over 15 minutes.The drinks were great (highly recommend the paper tiger cocktail) and happy hour a good deal, but the poor service makes me hesitant to go for a sit-down meal. At that price point I would hope for much better.",2,0,0,Anne P.,"Midtown East, Manhattan, NY",64,24,130
4.0,7/26/2018,"I have been to the Chicago and San Francisco locations and always have a good meal.We were with a large party upstairs.  Served family style.  Food was wonderful, service was great.  Priced a little on the high side.Tuna Tartare is so good.  I recommend in sea bass.",1,0,0,Carrie B.,"Arlington Heights, IL",178,758,1
5.0,6/28/2018,"This place was a great find. Delicious food, extremely courteous waitstaff and beautiful ambiance. I'd go back again and again.",0,0,0,Zee C.,"Brooklyn, NY",14,12,12
5.0,6/25/2018,"Wonderful wonderful restaurant. Their SPARERIBS are magical. Restaurant is pricey, & unforgiveable that a piece of peel off paper covers your white tablecloth. Surely thay can afford the laundry bill. Service a bit slow, but food sublime. My waiter JOE was the ultimate elegant professional, so I wanted for nothing. Great meal in every way. Beautiful old world venue. Tables very very close together which can be a turnoff to many depending on what you wish/need to discuss. 5 stars. Just make sure your credit card is ok when you receive bill.",0,0,0,Per Einar S.,"Manhattan, New York, NY",0,11,0
3.0,6/22/2018,"Service: our waitress was really kind, but service was super slow. it took a long time to take our order then just a lot of waiting around time. Appetizers: apps here are better than the entrees. tuna tartare was SUPER fresh and the chips that came with it were really good. my fam loved the steamed buns. the vegetable spring rolls were good but nothing special. Entrees: I had the fried rice which could've used a little more sauce or seasoning. good though. the shaking beef was good, an interesting marinade for steak. my sister said the sea bass was good but nothing spectacular. overall, everything was good, but nothing to write home about, if that makes sense.",1,1,2,Jocelyn B.,"New York, NY",7,127,58
5.0,6/13/2018,"We just had our first dining experience at Le Colonial this evening, and it was delightful, indeed. Our party of 5 appreciated the ambience and lovely, texture-rich decor, and we were welcomed by greeters and an unforgettable server for the evening: Joe. With a melodic and charismatic British accent, Joe was as engaging as he was informative and good-natured. Delicious cocktails were followed by fresh and delectable spring rolls to begin the meal. Next, we shared one of the most delicious and beautiful salads we'd ever seen: their lotus root & tofu salad in a lime-soy dressing (with the prettiest, pinkest radish slices, razor thin and beautifully positioned). We also shared orders of the 'Classic Pho', an oxtail broth that was savory and satisfying. We all ordered seafood dishes, and it was great fun to try each other's.  Chilean Seabass in a banana leaf with glass noodles, Alaska King Salmon in a red curry coconut sauce, Pan-seared cod with lemongrass crust, shitake mushrooms and bok choy, and 2 orders of the Seafood Stir Fry, abundant with shrimp, scallops and calamari. Each of us was so happy, not only with our own main entree, but with each other's too! Prices are a bit elevated, but that is to be expected when the food is fantastic and fresh, the service is exceptional and the ambience is truly wonderful. We had a special occasion we were celebrating, and Le Colonial helped to make it wonderfully memorable.  Special thanks to Joe, who we will never forget!",0,0,0,Dawn M.,"Larchmont, NY",0,9,0
3.0,6/11/2018,"I came here for lunch with my family - they have a very affordable prix fixe lunch. The fried rice is the best thing we ate. While everything was delicious, it all seemed a little heavy on coconut. Staff is great, restaurant has a tropical sort of vibe, enhanced by the coconut laden dishes. Would be interested in trying some of their other dishes to see if they were not as coconutty.",0,0,0,Perry T.,"Manhattan, NY",100,444,0
3.0,5/24/2018,"We were half-impressed by our visit to Le Colonial. The restaurant's dining (ground) floor has an elegant atmosphere with very good service, but the food was generally unremarkable considering the price.Comments:- Colonial Lychee Martini: Great flavor, but a very weak drink.- Roasted Duck (Vit Quay): Chewy, thick cuts; the chef could have rendered out more duck fat.- Seafood Stir Fry (My Xao Do Bien): Good flavors, but could have used more seafood. Noodles were bit dry and clumpy.  - Profiteroles: A tiny dessert.Food: Good (3 of 5).Service: Very Good (4 of 5). The staff checked on us constantly to ensure that we were happy. They folded my cloth napkin when I temporarily stepped away from my seat, though I would have preferred a new napkin instead of a folded, used, napkin.Atmosphere: Excellent (5 of 5).Value: Fair (2 of 5).",1,0,0,Harris L.,"Queens, NY",85,81,1242
5.0,5/17/2018,I love this place staff is friendly and the food is awesome. Very elegant and upscale. A gem on 57.,0,0,0,Irving A.,"Hackensack, NJ",35,59,78
5.0,4/24/2018,"Headed upstairs to the bar while craving for something light and 60degrees weather appropriate margaritas. The bar area was nice and quiet, far from the loud and obnoxious populace of a Saturday night. Ordered the Jalapeño margaritas, tuna tartare with sesame rice crackers and crispy spring rolls. Wrap the spring roll with all the ingredients in crunchy lettuce and its a party in your mouth. Yum!",1,0,0,MisrememberingBrat X.,"Brooklyn, NY",3,26,15
4.0,4/12/2018,Beautiful restaurant.  Very expensive for the  portions which are on the smaller side but lovely service and ambiance.  Best Bo luc lac (shaking beef) I've ever had.  Very good banh xeo and cha gio.  Terrible Vietnamese iced coffee- just watery sweetness and no coffee flavor.  Would go back for the shaking beef and green tea thousand layer cake!!!   Best dessert ever.  I also would go have a drink in the lounge upstairs.  I would go back - expensive but lovely experience.,1,0,0,K B.,"Fairfield, CT",0,12,5
1.0,3/31/2018,"Big disappointment! We found this restaurant on Yelp, saw all of the great reviews and the overall rating and got very excited. The ambiance was very pleasant, the staff was pleasant and attentive. Our issue was with the food: practically every dish on the menu had added sugar. A chef who adds sugar to almost every dish lacks imagination, talent, and creativity. We tried 8 appetizers (an appetizer sampler plus a few extras) and a main entree called Bo Sate. The main entree included ""spicy emulsion"" sauce yet that so-called emulsion was sweet as if bottle of spices was mixed up with sugar. Our verdict is if you are on an accelerated track to a diabetes, dine in at the Le Colonial frequently for a guaranteed result in a year or so.",3,2,0,Julia S.,"Manhattan, NY",37,7,7
4.0,3/25/2018,Outstanding. Red Snapper and Cod w Mango dessert heavenly. What a wonderful evening!!I would definitely recommend this restaurant,1,0,0,Bill B.,"Tampa, FL",0,2,0
3.0,2/21/2018,"Come on! For $36 you can give me a side with my sea bass! Worst yet, it was soggy (steamed in a banana leaf) and teeny tiny.Front desk was friendly, but waitress could've been friendlier. The only saving grace - the steam buns - those were good - not great, I've had better. Overall, food is average.  The upstairs lounge was beautiful and intimate - there was a private party up there - would recommend the upstairs for a mid-sized happy hour event.",4,2,4,Mahsa T.,"New York, NY",992,902,770
5.0,2/12/2018,"Happy hour + restaurant week = gluttony at its finest! Thank you Le Colonial for being one of the few restaurant week participants to have vegan options.Cocktails were delish and $8 til 8pm. Especially loved the lychee martini -- super smooth, strangely creamy, and sweetOf the food, the lotus root salad was the star. It was huge for a first course, so fresh and tangy, and filled with all sorts of good stuff: frissee lettuce, marinated tofu, thin-shaved raw lotus root on the bottom and crunchy fried lotus root on top. The fried lotus roots were like the most delicious chips you've ever had sitting on top of a bed of greens. Would return for this masterpiece of a salad alone!Friend enjoyed the eggroll appetizer, which was also huge for course 1 of 3 for restaurant week: 4 thick eggrolls with a mountain of lettuce and pickled turnips on the side for wraps. We both liked our mains as well: vegetable rice noodle stir fry, and the salmon. And dessert did not disappoint either! Loved the kick of heat from the mango coconut tapioca, and friend's exact words in regards to the chocolate lava cake: ""oh my god.""Service is excellent and the vibe is classy and upscale. The upstairs lounge is great, especially if you can sit by the colonial shuttered windows and people watch the streets below.",1,0,2,Cathy J.,"New York, NY",260,175,124
5.0,2/1/2018,"Came for Restaurant Week! Decor: nice place, fancy. Sat upstairs. Wooden decor. Staff: good, friendly, knowledgeable. Drinks: I had a cocktail that was chili-infused Grey Goose vodka. My date got a drink with pear vodka. They were both delicious. The food was great, my date got the spring rolls and and I got the soup. For entrées, my date got the fish and I got the chicken. The fish was good, yellow sauce. The chicken was just the right amount of sweet, in a red sauce, and  absolutely delicious!For dessert, I got the chocolate cake with nut-encrusted ice cream, and he got the rice pudding with cayenne pepper.  The pudding was just the right amount of sweet and spicy. The chocolate cake was really good, not to rich or sweet. We were forward about the spaces of the paper that came on top of the cake, and my dates confirmed that yes, it was indeed very very hot!I would Definitely come back, not least for the chili-infused vodka, which my date said ranked up there with the best cocktails he's ever had. The chicken dish would be something to order again too!",0,0,0,Lauren D.,"New York, NY",44,184,86
5.0,1/31/2018,We had a lovely meal and Joe was wonderful! The food was delicious and the price was right! Very great experience!,0,0,0,Tessy M.,"Washington, DC",0,5,4
5.0,1/5/2018,"I worked a couple doors down from Le Colonial for years and never went there (but meant to). Finally a friend and I ate there for dinner tonight and now I'm annoyed I hadn't been dining there all those years!The food, service and ambiance were amazing. I wanted everything on the menu. We each had an app, an entree and we split a bottle of wine and dessert. I was pleasantly full but by no means stuffed. Most of their entrees are protein and veggies and not too high in carbs (that's how I justified the wine and dessert lol). Our server Joe was fabulous. I wish he could've pulled up a chair and dined with us.I think the best part was that they did not judge our casual attire and were not pretentious. Although we did eat very early before it got busy. I co-own a gym six blocks away so had no choice but to go out to dinner in my work attire, which is gym wear. We ended up spending a fair amount and tipping well so I was pleased they didn't judge a book by its cover. Can't wait to go back!",1,0,0,Sarah C.,"New York, NY",0,10,0
2.0,12/23/2017,"If you enjoy mediocre, overpriced food, Le Colonial is your spot. I decided to splurge and order the $36 sea bass over a bed of glass noodles. It arrived and was the size of an iPhone 4 in a banana leaf over a small spoonful of noodles. Now this portion size would be perfect if I was rationing food or expected an appetizer, but this was an entree. It was bland, so I added chili paste to give it flavor. The service was nice and attentive, but it can't redeem a $36 entree that was consumed in 4 bites with underwhelming flavor. My friend ordered the Pho and felt like it had a fishy taste that wasn't fishy in a good way. Skip this spot.",4,0,0,Lauren M.,"New York, NY",33,53,15
5.0,11/1/2017,"I had a really nice experience at this restaurant, the food was incredible amazing and the service that the waitress Miss Carley gave us was an excepcional demonstration of what a Vietnamese cuisine restaurant should be.",1,0,0,Oscar M.,"Washington, DC",63,4,2
