rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,Amazing food and service. Not rushed at all and very attentive. Great place for clients a date or the family. A little high priced but worth it. Highly recommend.,0,0,0,Neil P.,"Hoboken, NJ",0,4,1
5.0,3/11/2019,Business dinner with colleagues.  Friendly service and perhaps being a quiet night super eager to please.  Ordered kitchen salad and brick chicken.  Colleagues ordered burger and shortribs.  Food was fresh and tasty.  Chicken was juicy and perfectly cooked.  Burger was delish as was ribs.Would definitely recommend this place!,0,0,0,Lee M.,"Oakville, Canada",18,433,579
3.0,2/15/2019,It wasn't a great steak. It just wasn't. Now I'm sad.                                                sad. I didn't finish it.  I gave it to a homeless man.  He asked me for something to drink with it.  I thought that was a little presumptuous but I'm not in his position and if I was I would probably ask for water to go with my leftover steak and spinach.  Oh well.  Life continues on and then we die.,7,7,4,t.j. m.,"New York, NY",2082,74,137
2.0,2/9/2019,"It was pretty chaotic, they consistently gave us the wrong food, I got my husband's meal, my father got my Mom's meal etc. and we would just pass them to each other. We even complained about one of our steaks and were told that what we had was medium rare and that's what we ordered. No offer to make it right, cook it a little more. Even if we were incorrect on the level of doneness, I would expect them to offer to cook it a little more. The cheesecake was not worth the calories. I expected more.",0,0,0,Eileen W.,"Austin, TX",2,8,1
1.0,1/25/2019,"The food is just terrible and always cold.  The bartender is useless, 10 minutes to get a drink at an empty bar because she's busy talking to one person.  They are just oblivious.  The Pig and Whistle acrss the street is superior.",0,0,0,Gary K.,"Hasbrouck Heights, NJ",0,19,2
5.0,1/18/2019,Excellent place. Never disappoints.  This place falls under the radar amid the big steakhouses in the cutService is spot on. Steak and seafood are my favorite and are consistently good. Great for quick business dinners.,0,0,0,Joe C.,"Manhattan, NY",130,13,8
5.0,1/18/2019,Great atmosphere and food. I loved their octopus salad and the baked Alaska. It was to die for. :) Nice place for small or large parties. Great service as well.,0,0,0,Oana G.,"Newark, NJ",0,8,3
3.0,1/9/2019,"Service here is subpar , not very attentive staff.None the less the Tomahawk Steak requested medium rare was cooked to perfection and was SOO good.As for the crowd and ambiance , it's lacking.",0,0,1,Maria M.,"Brooklyn, Brooklyn, NY",214,20,30
2.0,12/19/2018,THIS PLACE IS SO LOUD. My head is pounding as I write this while I wait for the check. The noise level is intolerable. The food is mediocre. I need an Advil.,0,0,0,Lisa B.,"Los Angeles, CA",9,8,0
2.0,12/17/2018,"The restaurant seemed to be very cramped and loud.  We were able to sit straight down, but it took our server quite a while just to get some water for us.  When he arrived to take our drink order, he also asked for our food order.  We told him that we still needed a minute to decide and that made him a little upset, it seemed.  Once we finally got our drinks, the server still had yet to tell us about any specials before asking again if we were ready to order.  The food was average at best (not worth the money in my opinion).  Final opinion is that the tables are WAY to close to each other.  We may as well have been sitting with the couple beside us because we could hear every conversation that they were having.",0,0,0,Chris R.,"Athens, GA",0,3,0
1.0,12/8/2018,Manager was extremely rude. I would not take kids here bc clearly he doesn't like them. We got there at 4:55 right before they opened- bar was full but he made it a point to tell us over and over they weren't open until 5. He sat us at a bar table and then asked us to move bc he needed our table! I have never been treated so rude at a restaurant! Steak was awful. Service was good. I feel sorry for the waitstaff that have to answer to this jerk!!  Final straw was when he threw our child's jacket at us bc it had fallen on the floor. Avoid this place! Only reason we went was bc it was close to MSG.,0,0,0,Clarice C.,"Sullivan's Island, SC",0,1,0
