rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/20/2019,"Visited Morton's for the first time during lunch time. Service was amazing. Waiter attended all of our needs he was very polite and pleasing. Food arrive in timely order, I always ask for recommendations since I have dietary restrictions whereas a great blue cheese salad accompanied with some fine was was suggested. Menu has a great variety. Portions are just right. Morton's is a great ambience for lunch or diner. Everyone from the Hosts to the cook were very kind during our visit. Truly recommend this true American restaurant.",0,0,0,Johanny T.,"New York, NY",74,44,78
3.0,4/13/2019,Ok I guess.  It reminds me of something that would have the Trumo name on it. That's not a good thing. I was distracted by the atmosphere. I guess if the tacky 80's look is your thing along w pompous attitude then go for it.,0,0,0,Olivia C.,"Garfield, NJ",0,8,0
4.0,3/29/2019,"Good atmosphere, I like the porterhouse which is a combo is ny strip and filet mignon, wine was good, service excellent!",0,0,0,Carol C.,"Staten Island, NY",14,2,3
4.0,3/21/2019,"It's Morton's so it's good.  Steaks are awesome, sides are great, cocktails are superior and that onion bread they bring to the table is orgasmic.  I'll bet you $20 that if you order a bottle a wine under $80 that they'll come back and say it's not available until you pick a bottle of $100 or more.  This seems to be the deal lately at most restaurants around NYC and I feel it's deceptive and a way for the restaurant to boost the bill and the servers' tip.  We had filet mignonette with shrimp and scallops.  The steak and shrimp were good, the bacon wrapped scallops were average.  Chocolate lava cake was Devine.  I'm rating on the food and atmosphere, not on the shady wine bottle sham.  Shame on you Morton's!!",0,0,0,Paul M.,"Wayne, NJ",37,275,680
5.0,3/14/2019,"Perfectly prepared thick medium rare ny sirloin.  Very busy even on weekdays, recommend making a reservation despite how large the space is.",0,0,0,Tracy C.,"Freehold, NJ",0,9,0
5.0,3/11/2019,"We went here to celebrate my partners birthday and it was amazing in every way! Laura was phenomenal!!! This is not how we usually roll and needed an expert. Laura was patient, warm and very attentive to our needs. It was worth every penny and we will be back. The steaks were outstanding and those onion rings! We were treated like rock stars and made my guys birthday extra special!",0,0,0,Alec N.,"New York, NY",306,9,0
5.0,2/17/2019,Morton's Steakhouse:You should try the lobster bisque with free bread! Soooo delicious!,1,0,0,Mengjia Y.,"Jersey City, NJ",63,270,1398
5.0,2/14/2019,"Food and atmosphere is Great!Laura is amazing, very nice, greeting and excellent recommendations, we couldn't be happier with her during our dinning experience here, especially on a busy day such as Valentines Day.",0,0,0,Jose C.,"Palm Desert, CA",0,6,0
5.0,2/13/2019,"Excellent ambiance, service, and food.I. Ambiance1.1 Minor initial problemWhen we arrived, there was a very loud radio noise - horrible voices of angry lovers - impossible to have a conversation - it took about 20 unnecessary minutes to convince the manager to lower the sound. Fortunately for the rest of the dinner - the radio was shut down.1.2 Relaxed elegant ambianceThere is sufficient space between tables - very comfortable seats - elegant settings -high ceilings and beautiful romantic lights.2. ServiceThe service was impeccable - our server, Mr. Paul Parrott, was extremely professionally efficient, graceful, caring and went beyond the call of duty to please us - observed carefully our needs, explained thoroughly the options in the menu - as perfect as can be.II. The food1.AppetizersShrimp Cocktail, Jumbo Crab Cocktail, Onion Soup, Escargot were excellent.2.Main dishes The filet mignon ( both 6 and 12 ounces), the Ribeye, the Chilean Sea Bass were very tasty-worth ordering. ( I still prefer the Chateaubriand at Keens Steak House) The outstanding dish was Steamed Jump Alaskan Giant Crab legs - $67 per lb. (In China town prices are from $30 to $55 per lb -have to order minimum 8 lbs); excellent preparation.We did not try the Lobster options (single and double) tails.3. DesertsThe souffle's (Grand Marnier,   Chocolate, Lemon, Rasbury flavors -both single and double sizes) were acceptable ( The competition in Chez Napoleon [50th street and 9th avenue] and Madison Bistro[37th street and Madison Avenue] are slightly better). The chocolate cakes options -better than souffle's -were excellent.   Generous portion of whipe cream was served. 4. Drinks - excellent choices of non-alcoholic as well as wine and hard liquor- the coffee (Americano and Cappuccino) -were good.General EvaluationA first class, upscale steak house, with excellent sea food-fish options.Recommended for large parties, family gatherings, business meetings, as well as romantic encounters - superior service.A note to the management - PLEASE HAVE MERCY ON YOUR CUSTOMERS' EARS - NO need for the customer to walk at 4:30 pm into an empty restaurant - with awful - songs of hostile lovers. You have a dignified space, superior food, and perfect service - it deserves a peaceful ambiance. Very likely due to prices, a majority of your clients are professionally established people who may like classical music.Also, may I recommend you taste Chateaubriand steak at Keens Steak House (36th street, near 6th avenue).Thank you Paul!",0,0,0,Parviz M.,"Manhattan, NY",0,47,1
5.0,2/9/2019,"I went here on date and also part of restaurant week! Dinner ($42) The menu wasn't bad! My appetizer started with a lobster bisque ($3 upgrade). I used the complimentary bread that they offer which is enormous! as a dipping tool. With that I ordered a seasonal sangria which is strong in alcohol but I prefer actual fruits in mine instead of flavored alcohol. Anyways, for the entree, I chose the 6oz filet mignon. It was quite small and I wasn't in the mood to spend an extra $10 for the upgrade to an 8oz. Besides that, the filet was PERFECTLY . cooked and was very juicy! It also came with an accompaniment side which I picked twiced baked potatoes. The cheese smells like it should be a mac and cheese but it smelled and tasted awesome! On top of that we ordered different desserts. Key Lime Pie and Chocolate Mousse. It was very delicious so we ended up cancelling our plans for dessert. Also saved a few bucks haha.  But great ambiance and experience. The waiters and host were extremely attentive and nice.",0,0,0,Eric Y.,"Old Bridge, NJ",47,220,196
4.0,2/7/2019,"Met up with my two friends to enjoy one final restaurant during restaurant week and this was the choice. I tried to be good by opting for the Caesar salad to start because of how much bread I had already ate at that point. For main course, I went with the 6oz center cut steak with creamed spinach. Let me say the creamed spinach was great! My friends got the horseradish mashed potatoes that are unique to say the least and not in a good way, maybe they are an acquired taste. Ordered the key lime pie to take home to my husband since I was stuffed, he really enjoyed the pie.",0,0,0,Ciara S.,"Long Island City, Queens, NY",63,145,35
4.0,1/28/2019,"I had a chance to dine at Morton's steakhouse for restaurant week, and may I say I receive top knot service. From the moment I walked in your eyes are greeted with a lovely dim ambiance and a romantic atmosphere. There are two levels which had a little bit more light. So it was cool for a girls night as well. The host greeted me and I was taking upstairs where I had the most utmost service from a lovely waitress name Alexandria. She was attentive but not overbearing answered all my questions about the menu. Told me the crowd favorites vs her own. I had the prime 16oz pork chop medium well. It was cooked to perfection but honestly lacked a little flavor but nothing that couldn't be fixed with a dash of salt and pepper. For the side order, I had the Twice baked Au  Gratin potatoes which were recommended by my waitress. It was delicious well baked with cheese and bits of bacon. For my starter I had the Lobster bisque it was really rich with a kicked of spice it was still missing little chunks of meat but it was definitely high quality. I also had the pleasured of tasting the honey roasted salmon spread over corn and tomatoes. It was amazing and the sweet sauce it wasn't overkilled. The side for the salmon was their creamy spinach. You could tell the spinach is fresh it was so creamy. Now for Dessert's, I had the key lime pie it was absolutely delicious. Light, Fluffy just a bit tart with a graham cracker crust. I also had the chocolate lava cake with ice cream. To my surprise the chocolate was light wasn't over sweet but still tasty. I enjoyed the key lime more and the ice cream which tasted a lot like  Haagen Dazs. Overall my experience was amazing and I will recommend this place for Date Night, Family Dinners, Birthday's and if you and the girls feel like just catching up with great food and looking cute deft go for it!!!! And how can I forget that fluffy fresh bun they bring to your table! with whipped butter. yummy yum yum.",0,0,0,Helene M.,"Brooklyn, Brooklyn, NY",0,20,4
5.0,1/9/2019,My brother treated me to this high-end place and it was as good as you think. The waiter was attentive and treated us like regulars. Highly recommend this place.,1,0,0,Rod P.,"New York, NY",48,30,10
5.0,1/7/2019,"wonderful meal between parts of playAfter seeing the first part of harry potter.Came to Mortons and had a great meal.Julian the server was excellent.We had the caesar salad, mortons salad, tomatoes with blue cheese, ahi tuna, and brian had the lobster bisqueall was excellent.For dinner i had the chicken christopher, kathy had the shrimp capalini Lauren had a manhattan steak and ate the whole thing. The other boys all had steak.Everything was great sides especially the cauliflower was superb.",0,0,0,Edward S.,"Greenwich, CT",0,36,0
5.0,1/4/2019,"Not my usual haunt, but extremely good for a brithday celebration. They printed out menus that said happy birthday on them, took a picture of me and the birthday person and gave it to us, and comped a dessert. They definitely dont kid around about the brea for sides either. Definitelt a fancy place, but the drinks are good, the steaks are EXCELLENT, and service is top notch.",0,0,0,Andrew G.,"Manhattan, NY",337,107,78
2.0,12/25/2018,"Sadly our perception of a romantic dinner at Mortons was crushed.  We walked in to an ear piercing restaurant that might have very well be a local pub by all the noise.  In booking, I asked for a quiet table.  Mortons could very well have written back to us and said this isnt the restaurant for us!  The tables were so close together, you might as well been dining in a cafeteria!  We were almost ready to ask for our food to be bagged so we could take away and eat in peace in our Airbnb!  REALLY!!!????  For the price it was very disappointing and the manager listened but  was indifferent to our disappointment in the whole experience.  I WOULD NOT RECOMMEND this particular Mortons.  Unless you wish to dine with not speaking to your table mates.   Shame shame.  I recorded the sound!  Shrilling!!!   In my younger days I went to beer bars that were less noisy!",0,0,0,Katherine W.,"San Diego, CA",45,45,2
5.0,12/21/2018,"10/10 would recommend this Morton's! We were having an issue with the table next to us during our meal, and Leonard the evening manager moved us with no problem at all. He even gave us a free dessert for our troubles, which was unexpected, but very kind. I will definitely be returning to Morton's my next NYC trip! The food was delicious too! :)",0,0,0,Samantha F.,"Farmingdale, NY",0,1,0
5.0,12/9/2018,"Excellent from the minute we walked through the doors! The staff were very hospitable and accommodating.  The menu is typical steakhouse with many selections to choose from. The sides come in shareable portions. Our appetizers, entrees, and side dishes were all very good and exactly as we ordered. Desserts were amazing any very large portions- sharing is the only way to finish them!All in all, a very pleasant experience.",0,0,0,Lora G.,"Staten Island, NY",0,22,0
5.0,12/7/2018,Morton's is good anywhere you are. This one is no exception. Fillet mix grill is exceptional!,0,0,0,William D.,"Manhattan, New York, NY",0,1,0
1.0,12/7/2018,Worst meal and experience ever.  I hate this place. Don't waste your money. Terrible.  Any chef in the world knows how to make filet mignon.  They don't.  You've been chopped.,0,0,0,Karen M.,"Queens, NY",0,5,1
3.0,11/29/2018,I got the chance to attend an event here and dinner was provided. Seeing all the high reviews I had expectations.I got a medium filet mignon...is there supposed to be no flavor? Because mine had none. Other than that the steak was fine. My mom had the chicken and it was tastier than my filet mignon. I think I actually preferred everything else over the steak...cheesey potatoes and green beans were great. Also their chocolate mousse cake is just the right way to end a meal.,2,1,1,Hui L.,"Woodside, NY",51,465,1301
5.0,11/19/2018,"I came to this place with my wife and her bestie, and all I can say is the food was great. The food definitely is pricey but well spent money I say. The bread they give you in the start is delicious and so is the butter. I'd definitely love to come back here. The waitress was super nice and friendly and so was the gentleman who picked up the plates and the utensils.",0,0,0,Cesar F.,"Queens, NY",6,85,9
3.0,11/18/2018,Food was good but the service was very bad. A majority of the staff were gathered around talking and we barely saw our waiter. There was about only one employee who checked on us and the service was slow. We were first seated next to two crying children and when we asked to move the employee was not empathetic and gave us back chat...,0,0,0,Alex M.,"Boca Raton, FL",0,2,0
5.0,11/17/2018,Literally the cream of the crop when it comes to steak !! AND their martinis with the blue cheese stuffed olives are like heaven on earth in ur mouth !!  their addictive bread posted here,1,0,0,Jordan C.,"Kearny, NJ",35,169,436
