rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/24/2019,"On the menu, it lists that happy hour ""drafts"" are $5. When I received my bill, with each draft beer billed as $9.50, I kindly asked our bartender Hunter to explain the difference. He told me that each individual customer has to ask the staff which beers are considered happy hour (even though it makes no specification on the menu), and then proceeded to tell me that ""Ted's patrons are mostly loyal customers who know that only Yuengling is the happy hour beer."" The menu nor the waitstaff made no clear effort to tell customers the price difference, which leads me to believe they are attempting regularly fool customers into paying double the original price for a menu item.",0,0,0,I H.,"Manhattan, New York City, NY",0,1,0
1.0,4/8/2019,"Friends and I have been going to Teds for years.  This past Saturday, after the 2 Cellos concert at Radio City, our group of 9 had reservations for dinner.  We were all very disappointed in the food quality served to us, in that: I asked for a medium bison filet, and it came out RAW, in the middle, and was sent back to correct.  It came back still way under cooked!  I have never had this happen before at Teds. Other guests had issues with the food being only barely warm, as if the food had been cooked, then left on what ever cooling rack there is.  Plus, all 9 of us were not served ""at the same time"".   I am extremely disappointed in this experience and will think thrice before returning for another meal.  My fiancé and I were in Teds about an hour before the concert to have a beer and some bison sliders ( late lunch), and there was no problems there.  We thought at the time, that our dinner later would be great, but it was not to be.",0,0,0,Tim M.,"Stone Harbor, NJ",0,21,0
1.0,4/7/2019,"Although the food was good, the service was not. We had a reservation for 30 people and specifically told them on the phone that we needed separate checks. After we had finished our dinner, they gave us a bill for the entire party and then when we asked for separate checks, they refused to change it and said it was impossible to change. When they realized the probably weren't getting paid of they didn't do something, they finally agreed to split them by seat number, which meant the person at seat one table one was on the same bill as seat one table two. So we as the customers had to go around and find our match and divide out the bills while the manager kept reminding us not to forget that 18% gratuity. There were also several bills with drinks that were never ordered. The manager was rude and tried to blame us for the situation claiming that they never agreed to separate checks on the phone.",0,0,0,Amy S.,"Estes Park, CO",0,2,0
1.0,3/7/2019,"*UPDATE*I was told to communicate directly with someone from Ted's about my experience. I emailed twice and called three times, and I have heard no response. Customer service clearly is not a priority!!",0,0,0,Megan C.,"Hicksville, NY",437,2,1
2.0,3/3/2019,"Third time eating here, it will be our last mostly because service is abysmal and food just mediocre. Crab cakes are fantastic - thick lumpy meat with minimal filler and very tasty. Tiny portion though for $20, and the scoop of guacamole that came with it was brown. Yes, brown. That's just gross and an obvious no-no. Bison pot roast was fine, somewhat bland, and the mashed potatoes were super lumpy and also bland. Hubby had the sirloin which was tasty but VERY grisly, which has been his experience before. Disappointing overall. Our waitress was super slow even though the place was barely crowded at 7pm on a Saturday. Hmmm - maybe there's a reason for that.  Sorry Ted, you lost us too.",1,0,0,John S.,"Red Hook, NY",0,65,6
3.0,2/28/2019,"Ted's has a decent atmosphere and what sounded like a fun happy hour.   I stopped in for dinner on my own, so sat at a high top in the bar.  I was greeted right away from the server.  She has a great attitude and was very friendly.   The restaurant is clean and nicely decorated. I started with a cup of chili.  It really wasn't very good.  Like warm, but also just too weak.  I must disclose I'm a chili snob, so wasn't expecting the best...but not this either.I then had the skinny bison burger...it was pretty damn good.  It was cooked exactly as i requested.   The kale salad was a nice compliment, although the tomatoes were kind of tasteless.  But tis the season, so it was ok The server was attentive throughout.   The one and only issue was asking once i put my fork down if i wanted the check or did i want to wait until i finished my wine.  I had a full glass.  I truly don't know how to answer that question.  So i said do whatever makes you happy.   She said she didn't care and walked away..fair enough and I'm ok.  2 minutes later i grabbed my wallet to find a phone number and the check was in my face within 10 seconds...with the comment, no rush.   Like seriously...So not a big deal...but kind of tacky.  Anyway, i would recommend the place...maybe not the chill.   But the bison burger was outstanding.  Cheers",0,0,0,Chris G.,"Chicago, IL",1,262,25
3.0,2/23/2019,"Came here at lunch for a bison burger. The place is pretty nice... got a fairly good steak house atmosphere. Service is fine but very slow... it took us over 40min to receive the burgers during a workday lunch, which isn't acceptable. The burger itself was fine. I couldn't really detect much difference versus a regular beef burger. I think because they had salted it so much, it was hard to taste the flavor of the meat. Also I actually didn't like the bun... it was a little too dry and flavorless.Probably wont return.",3,1,2,Angelo B.,"Westfield, NJ",206,710,700
4.0,2/13/2019,"Rating strictly for happy hour ($8) for wines, cocktails & beers are ($5). Needed a place for happy hour (lasts till 7 pm) before going to see Anita Baker at Radio City!Affordable--wish they had a different selection of Prosecco though.Bar seating is chill vibe & they are not pretentious which is good!",0,0,0,Melisa B.,"La Palma, CA",3,33,29
2.0,12/27/2018,"Stopped in the day after Christmas, party of 4, without a reservation, around 4:30pm, with the intent of needing to leave by 6:30 to attend a show. The hostess said there were high top tables immediately available in the bar with full menu, and we opted to do that.Our server took our drink order fairly quickly, and asked us if we were ready to order food, although we hadn't been given menus yet. Then it was several minutes before we were handed menus. She finally took our order around 4:50, which consisted of a salad, a vegetable platter, and items from the appetizer and side order sections (crab cakes, green beans, and 2 orders of beef sliders); no dinners/entrees. We were not served until after 6pm!! What's worse, as 6pm approached, we asked our server if we could expect our food soon, as it was over an hour since the order was placed, and her response was (in a snippy tone): ""It's very busy, the kitchen is backed up, and it hasn't been an hour yet"". The veggies and crab cakes were fine, but the sliders and buns were dry.",0,0,0,Roseann T.,"Ramsey, NJ",0,1,0
3.0,12/27/2018,"I wish I could give a five star review for the hostess and the server. They were absolutely amazing and really tried to make our Christmas dinner an unforgettable one. However, the food was not great. Over cooked burgers and totally forgettable steak. Prices are high for the quality of the product. Nice atmosphere and great location. I hope they improve the quality of the food.",0,0,0,Indira P.,"Doral, FL",51,32,42
