rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/29/2019,"Me and my friends just ended up here after work one day; they have a good happy hour deal and great decor! We ordered the meatball appetizer and Brussels sprouts, both of which were pretty good. We didn't order pasta but only because none of it sounded that incredible!",0,0,0,Caitlin D.,"New York, NY",170,106,108
1.0,4/27/2019,"Beware if you order the risotto...we checked out the menu online. I noticed they had risotto for 20.00, so when I mentioned it to the waiter, he said the whole table has to order the risotto! Which is not a problem but the waiter neglected to tell us that each person would be charged 21.00, making the total amount charged for risotto 84.00. The risotto was not worth 84.00. Or 20.00 for that matter. We will not be going back.",0,0,0,Nancy M.,"St. Louis, MO",0,1,0
4.0,4/22/2019,"Trattoria Italienne is a great place to go for dinner with family. It has a very rustic chic aura to it. Service is fantastic, and food is great too. I highly recommend their salad and potato appetizer, as well as any of their pastas. My only complaint would be the portion sizes, which are quite small for the prices. But it's definitely a great option for elegant Italian food in the city!",0,0,0,Nayla B.,"Manhattan, NY",192,151,267
5.0,4/22/2019,"I found Trattoria Italienne through a dining rewards app. The ambience was perfect for a rainy Friday evening date night-soft lighting, cozy yet luxurious decor, and a quiet buzz of conversation. The service was excellent. After taking our orders, the waiter brought us a pretzel shaped bread, coated in olive oil and perfectly seasoned. It was so good! And very nicely presented, hanging on a little bread hook thing. Our waters were promptly refilled throughout the meal, and the manager/owner even stopped by to ask us how the food was.We ordered the Frico di Patate Con Speck as an appetizer, and for our mains, the Papardelle and Fazoletti. The appetizer came in a small portion but was so flavorful and unique. Highly recommend. The Fazoletti was not bad and was lighter in taste, but I preferred the Papardelle. The rich meaty flavors mixed perfectly with the cheese, peas, and pasta.Our total bill came out to a little over $40 per person all in for two entrees and an app. As someone who sometimes hesitates at the prices of fancy pasta, I will gladly return to Trattoria Italienne for a nice date night meal that doesn't break the bank.",1,0,0,Vivian K.,"New York, NY",0,13,36
5.0,4/22/2019,"Amazing food, amazing service, dining at Italienne is not just a dinner it's an experience.",0,0,0,Marc V.,"Greenwich, CT",0,3,0
5.0,4/21/2019,"This restaurant has become one of our favorites in Manhattan. Last time, we celebrated a birthday on a friend's recommendation. Last night, we brought our grown children.  We were fortunate to have Kyle as our server again. He is very knowledgeable and caring. The restaurant features Italian with a French flare. For appetizers, we shared the Frico Di Patate (fried potato and prosciutto), the Polpo alla Plancha (Octopus), and Escarot.  All were outstanding but the Patate was the unanimous favorite.  For entrees, three of us had the Loup de Mer Provencal (sea bass) and one had Gnocchi Patate.  All were done to perfection and very fresh. For dessert, we shared the Olive Oil Cake, panacotta, and some gelato/sorbet.  All were tasty. The last time we visited, we had the cote de bouef. That was a spectacular presentation of well prepared steak. It was succulent and juicy with a smokey flavor. Great place.  Excellent food and attentive and friendly service.",0,0,0,James L.,"Poway, CA",0,25,0
5.0,4/12/2019,"I've been here twice now and both times were fantastic. The buratta is divine, it's comes with bread that's toasted to perfection. The first time I had pasta that came with chicken liver ragu that was really interesting. The second time I went I got their butternut squash pasta dish that was awesome. It has mushrooms that gave it a really meaty and satisfying taste that went well with the squash. The gnocchi. Oh man, the gnocchi. It melts in your mouth. If you go here be sure to get it. Trust me, you wont regret it. The espresso is also really good. I'm a bit of a coffee snob and it lives up to my standards. It's definitely rich, they dose it a bit on the heabt side. They use really good beans so it's rich and chocolatey.",0,0,1,Matt D.,"Huntington, NY",158,6,0
5.0,4/12/2019,Stopped in here for a drink and a quick bite to rest our feet before heading to the airport. Such a lovely spot! Happy hour...thank you! Starts at 2pm! We sat at bar and conversed with a very nice hard working young woman that made creative drinks and was hand cutting beautifully clear ice cubes for spectacular cocktails. I need to return here for dinner - the management is great and knows how to hire quality people. Atmosphere and friendliness was superb. Going to return when I have more time. Loved this place!!!,2,0,1,Jeanette R.,"Mercer Island, WA",123,183,65
4.0,4/3/2019,"Randomly happened upon this place on a Friday night and decided to stop inside. The decor is just beautiful and the ambiance is very welcoming. It was surprisingly empty for a Friday night at 9PM. We asked to sit at the bar and the bartender took our orders quickly.When I imagine a casual Friday in the city, this is the kind of place I would go. It isn't loud and rowdy so you can have a real conversation, feels high end without emptying your wallet, and has a good selection of drinks and food. It's also in a super convenient location. There's also no wait, which is a huge win. We only order cocktails and bar snacks but would definitely come back for a formal meal since the food menu looked really great. A good place for a date or a fun girl's night! Service was quick and friendly.",1,0,2,Elizabeth L.,"New York, NY",19,99,237
5.0,3/26/2019,"Randomly came upon this restaurant because a friend and I were looking for a nice place for drinks. The service here was incredible! I felt super welcomed as soon as I walked in and they were able to accommodate me immediately without a reservation. The drinks are a bit on the pricey side but I didn't mind, because the host and waiter were so kind and the overall experience was delightful. can't wait to come back for a proper meal.",0,0,0,Erica H.,"Upper East Side, Manhattan, NY",1,23,7
4.0,3/7/2019,"This is a beautiful restaurant, and far too fancy for me. I know this because the lights automatically turn on in the restroom, whereas I belong in places where I have to fumble in the darkness, touching the no-doubt sticky walls so I am obligated to wash my hands in a sink that will somehow make my hands even dirtier for having used it. This is not that place.Trattoria Italienne is high-ceilinged and grand. The staff will fold your napkin whilst you use their auto-illuminated facilities, change out your silverware even after the absolutely stunning amuse bouche (some sort of potato pancake that puts your aunt's best latkes to shame), and not even shame you if you want to take part in the Restaurant Week menu. We came in for a far fancier lunch than we had originally anticipated, and it was well worth the $26 for two courses.We dined on paté and goat cheese crostinis, reveled in polpettini and polenta, enjoyed ocean trout and braised shortribs. The tiny meatballs were excellent, and the goat cheese edged out the paté for second place amongst my favorite starters. The trout was lovely and light, and even though the shortribs did not fall apart as one might hope, the flavors were there and the accompanying potatoes made it all worthwhile.The best thing we ate, however, were the rich cappellacci di zucca. Tiny envelopes of pasta filled with butter and butternut squash, with a quince mostarda and a hazelnut amaretti. I barely even know what those last two things are, but I ate them and loved every second of it. Things move a bit slower than you might like if you're trying to get back to the office during a workday, but you're better off just getting a bottle of wine, staying all afternoon, and quitting your job anyway. Too bad I have to pay for things, or I would've.",19,17,18,Peter D.,"Brooklyn, NY",4675,3021,10459
5.0,3/2/2019,The best of both worlds! Italian and French cuisine at once! Food was incredible and one of the best Escargots I've had in Manhattan! I've had a lot too. We started with a complimentary birthday champagne toast and I then had a few mezcal cocktails. We had the Burrata and escargot for appetizers and The octopus and fettuccine alfredo with a side of roasted brussel sprouts. Everything was superb! Even came out with a birthday scoop of maple gelato with a candle. The staff were very friendly attentive and helpful with recommendations on what to order. The ambiance and decor is very romantic with candles all over to add to the dining experience. Lasha was a great server! Highly recommended and definitely will be going back. A+++++,1,0,0,Green B.,"New York, NY",219,41,162
5.0,3/1/2019,"Wow!!!  From start to finish sublime food!!!  Electric goat, sardines, Brussels sprouts to the pastas everything cooked to perfection and sooo tasty!!!! Excellent service to boot!  Decor just Beautiful and added to the meal!!!",0,0,0,Joanie C.,"New Hyde Park, NY",378,42,2
4.0,2/24/2019,"Dined here on a Saturday night with two other people at 8:30pm. The restaurant was full and had a lively atmosphere. We ordered the Piatto Di Formaggio to share (three cheese plate), the Parpadelle (Tuscan red wine beef, chicken liver ragu), the Macaroncello (not on the menu on the website but it was with lamb sausage) and the brussel sprouts. For drinks my friend had the old fashioned and I had the Mai Tai'lienne and the Regal Bees.The cheese plate was a little disappointing. I've definitely had better variety and better plating. They throw three slabs of cheese (blue cheese, Parmesan and a soft cheese) on one board and give you four pieces of walnut bread, a tiny bit of honey and a tiny bit of some other fruit jam on another board. It was just ok.The standouts were definitely the brussel sprouts and the parpadelle. The brussel sprouts were perfectly cooked, soft, well seasoned and with delicious bits of pancetta. We devoured these. The parpadelle was definitely al dente (which we all agreed we liked), and came with a delicious beef sauce. The third pasta was also cooked perfectly but pretty plain in taste. Probably wouldn't recommend.Overall, this is a solid place to stop by with good options for food and a great fun atmosphere. I'd recommend if you're in the area!",1,0,0,Elizabeth H.,"New York, NY",1,49,2
5.0,2/23/2019,Truly as good as it gets!  The ambiance is wonderful.  The food is divine.  Have had dinner here many times and every time is better than the one before.  From the wonderful stuzzichini to the pasta that melts in your mouth with deliciousness... The polpettini... the coconut cake.  All fantastic. This place is Top Notch!  Kudos to the Chef and GM James King for creating an amazing eatery that always feels like home.,0,0,0,Josie D.,"Hoboken, NJ",90,33,11
5.0,2/20/2019,"This is a fantastic restaurant. The service, decor and food are amazing. When you go you need to order the gnocchi. They are soft and pillowy, if that's a word, and hold onto an beautifully light sauce. And their steaks are super juicy and beautifully cooked. There really aren't any misses on the menu, whatever you order will be delish. If you are looking for a space for private dinners, they have a great private dining room downstairs. Be sure to give it a look.",0,0,0,Brooke G.,"Marshall, VA",0,11,0
5.0,2/18/2019,Really good cuisine. A real gem of flatiron. Amazing beef and great wine selection. I think the place is really under appreciated.,0,0,0,Alexander A.,"Miami Beach, FL",1,5,0
5.0,2/18/2019,Lovely menu and every dish was special. We sat at the bar and had a great experience- wonderful service and very knowledgeable and nice sommelier !,0,0,1,Tigerlilly R.,"Alexandria, VA",47,36,26
4.0,2/17/2019,"Stopped in for a quick lunch on a snowy Tuesday and I was the only person in the restaurant.PATE DE CAMPAGNE - $13country style pork pâté with housemade pickles, mustard & grilled sourdough*I love a good pate and this was super complex and delicious, I probably could've used one more piece of bread but then again nooooo because carb overload but yessssss because I needed to spread more pate.  Loved the pickles wish there was a little more of that but every bite was a perfect combo!PAPPARDELLE - $21tuscan red wine beef & chicken liver ragu*I'm pretty picky about my pasta but I liked how wide yet thin the pappardelle was and cooked al dente so a nice chew.  Unfortunately, I didn't love the beef and chicken liver ragu for both taste and texture.  I would order their pasta again but with a different meat sauce if it's available. CASTELLO SONNINO 2015 - $17sangiovese blend, chianti montespertoli riserva, toscana, italy*I'm headed to Tuscany in 2 months so I'm trying to always order Italian wine and this was a nice dry medium bodied wine. Overall the experience was nice, menu was a bit on the small side in terms of selection for lunch but service was consistent but I would expect that since I was the only one there from start to finish, about 45 minutes.",4,1,1,Amanda M.,"Washington, DC",1229,796,4252
4.0,2/11/2019,"When the meal starts off with complimentary pieces of cheesy fried potatoes you know it's going to be a memorable dining experience.And that it most definitely was. I stopped by for lunch and was pleasantly surprised to find out that restaurant week was going on. $26 for an appetizer and entree, plus an extra few dollars for a dessert course.I started out with the electric goat cheese dip - a goat cheese fondue mixed with tomato sauce and whole roasted garlic gloves, plus crostini for dipping. This was absolutely delicious. I mean, what could be better than a bowl of hot and gooey goat cheese? But things did get better. For my main I went with the butternut squash ravioli. The pasta was super fresh and tasted homemade. The portion was generous and combined with the app it was a super filling and delicious lunch for the price point.The decor is on point -- the hanging rope lights over the bar were dreamy. This is a great setting for a meal, but I'd also come back to enjoy a drink at the bar. Only knocking off a star because the service was very slow. Don't get me wrong- the service was fantastic, it just took a really long time for each course to come out. Fine for a leisure lunch, just not ideal if you are pressed for time during the workday.I'd love to come back and enjoy a cocktail post-work. Hopefully one day soon!",22,6,15,Sara B.,"Jersey City, NJ",3797,716,5265
4.0,2/9/2019,"Food was ok we ordered the restaurant week menu, trout is a little bit fishy. not bad in general but not super impressed. LOVE the service there, professional and friendly!! The white wines they recommended were very good!",0,0,0,Viv Y.,"New York, NY",0,23,53
5.0,2/8/2019,"Restaurant week, you have my heart. Butter squash ravioli, you also have my heart. Really everything about this place is a hit from the decor, to the waiters, and the food (obviously). I got the 2 course Restaurant Week option, so for $26 you choose an appetizer and entree (or I guess entree and desert if you are feeling like having a wild lunch hour). My appetizer was the Polpettini (pork meatballs). I loved loved loveeeed the actual meatballs. Crispy on the outside and really flavorful and soft on the inside. But I was not a big fan at all of the purple/grayish sauce they came in. It's a very minor detail and just a personal preference. My entree was the Cappellacci Di Zucca, basically just butter squash raviolis. I tried a little of everyones dishes and these stole the show. They were so incredibly light and buttery. I'd get them again in a heart beat. I came here with some coworkers on our lunch break and unfortunately didn't realize how quickly time was flying by. We had to ask our waiter if there was anyway to put a bit of a rush on our entrees coming out because before we knew it, 1:00 was looming. He was very kind and did what he could to bring it out quickly. A few of us got dessert (the 3rd course) so he wrapped it up to go. So I'd most definitely would like to come back with no time restrictions when I can be shamelessly talked into a few cocktails and a very leisurely meal. (The cocktails part won't be hard).",9,5,8,Katarina L.,"Whitehouse Station, NJ",487,143,311
4.0,1/29/2019,"Want to impress someone one on a date? Bring them here! The atmosphere is intimate and the decor is very rustic chic. The bar is nice and has beautiful lighting. The food is packed with flavor and leaves you wanting more. I had the meatballs as an appetizer and the short rib for my entree. The meatballs were laid over a bed of polenta. The overall flavor was sweet with kick of heat at the end. The short rib was so tender it melts in your mouth! To top it off, the customer service was fantastic! I highly recommended this place.",1,0,0,Claudia L.,"Houston, TX",249,11,15
5.0,1/25/2019,"Just what You want to experience the fine cuisine of NYC. Chef specials, wines, and cheeses. Top of the town!",0,0,0,Adine N.,"Ponte Vedra Beach, FL",6,5,0
5.0,1/23/2019,"This is definitely a hidden gem in Flatiron. Amazing homemade Pappardelle, gnocchi, breads, etc. Staff is amazing attentive and the wine options are great.",0,0,0,Karoline L.,"Manhattan, New York, NY",0,8,0
5.0,1/18/2019,"If you're looking for excellent customer service, incredible  authentic Northern Italian food and delicious cocktails  look no further! Trattoria Italienne is as good as it gets!",0,0,0,Karissa W.,"Bainbridge Island, WA",0,2,0
5.0,1/14/2019,"We had a feast! I came with some friends a while back and I just remembered having a really great time. Wine selections are great, and the food is even better! Definitely get the tomahawk. I mean everything was amazing! Staff was amazing and the restaurant itself was beautiful! Also try their truffles; all were beautifully and deliciously made.",3,1,3,Ina M.,"Hackensack, NJ",407,493,1036
1.0,12/15/2018,Don't even waste your time! Odd menu and not worth the prices and now I need to go and find a restaurant that will fill me.,0,0,0,Fran P.,"Allentown, PA",0,4,0
5.0,12/9/2018,"Good happy hour menu (4:30-6:30pm). Got the burrata and prosciutto, both were delicious!",1,0,1,Ellie L.,"Manhattan, BOWLING GREEN, NY",2,3,0
1.0,12/5/2018,"I gave one star for reasons . First of all , we made reservations around 745pm but weren't able to be seated until 20 minutes later. The place oversold its tables. After we took our seat, we had to ask to get bread . We asked again for vinegar for bread and was told this wasn't  available in the restaurant . Excuse me ? How come an almost 5 star yelp rated Italian restaurant didn't have vinegar ? I ordered a spaghetti dish that was super dente , as firm as uncooked . The waitress has been nice and offered to take it away and gave me another one . I tried to explain the noodle needs to be cooked more since I couldn't eat to firm noodles . It is really simple request, however , they were not able to follow. The second one was brought over but still too firm . I got disappointed in general since it has been 9 pm but I didn't get enough to eat . I have been to a few nice Italian places in city like carbone or marea and the food/services deserve their ratings on yelp. The only thing of this place that can match the places is its prices . Overall , it wasn't a pleasant experience and the rating of this place is definitely over than it should be.",0,1,0,Shells X.,"New York, NY",24,6,0
5.0,12/2/2018,"A wonderful evening at this fantastic  Italian/French restaurant. All the food from appetizers , salads, main course are the best we have experienced in many years.  The food is unique and authentic.  The staff are all very pleasant an obviously there to serve. We spoke with the owner an chief during our visit.  A must place to visit for a great experience.",0,0,0,Barbara G.,"Bellefonte, PA",0,1,0
4.0,11/5/2018,"We had dinner at this place and the food is very good.  We had a mix of appetizers and starts, including the octopus, the escargots and foie gras, all prepared well and as expected.  The chef prepared an amuse bouche which was nice.For dinner, we had the Mangalitsa Pork Collar, which was well prepared and tasty.  It was particularly nice to have a contrast of flavors and textures all on one plate.  It is definitely large enough to share for 2 (perhaps even 3).The staff is attentive and the space is nice.  A good solid restaurant, but nothing special that would make me go out of our way.",0,0,0,K. C.,"New York, NY",1,238,0
5.0,10/29/2018,"I celebrated my b-day there, and all the girls felt in love with this place. The restaurant itself is gorgeous! It's huge and beautifully decorated with a lot of well-thought details. The staff is friendly and attentive in the same time. They make sure you're having a good time.And the food... it is absolutely delicious. We've tried a lot of different menu items (Escargots are to die for!), and one of the girls (native Italian) said it was exactly the way her grandma used to cook. Everything from the apps to desserts was amazing. We loved the pork collar board and local catch fish especially!I highly recommend this little heaven to everybody, you'll not be disappointed.",2,1,0,Alena B.,"Brooklyn, NY",2,17,6
5.0,10/27/2018,"I love this place. Food was absolutely incredible, service was top-notch + great wine selection. The decor was super comfortable but also elegant. Great spot for any business dinner or date. I encourage family style because your going to want to try everything. Some of my favorites so far (I will 100% be a regular) are the tortellini, tagliatelle, foie gras & escargots. When you eat everything your going to feel like your in Italy/ France. Oh yes and all the deserts / gelatos were the best.",1,0,0,A L.,"Palm Beach Gardens, FL",0,2,2
5.0,10/22/2018,"I came here for dinner with my cousin for her birthday and everything was fabulous.  We walked in and they served us complimentary prosecco at the table even before we ordered.  We had the fougasse and foie gras to start with and both were delicious.  The food gras melted in my mouth and the fougasse was so soft.  Then we ordered the pappardelle and tagliatelle.  The pastas were cooked to perfection.  In fact, I think the dishes were better than the pastas in the tasting menu I had at Babbo.  In any case come here for sure.  You can't go wrong.  The service was impeccable, the ambience wonderful for a non-stuffy intimate meal and the food really hits the spot.  I highly recommend this place.",0,0,0,Amy L.,"Manhattan, NY",91,36,12
5.0,9/23/2018,"We came back last night for dinner and absolutely loved it. Christine was a knowledgeable, sweet and fun server. She recommended both the lemon verbena daiquiri that my husband enjoyed and the bottle of red wine to go with our dinner. We started with the foie gras, which we later learned was a new addition to the menu. I hope they keep it because it was delicious! We then had the Mangalitsa pork dinner, which came with the collar, ribs and sausage on top of some pearl onions (caramelized in vinegar) and potatoes beautifully presented. This type of pork is delicious to begin with but they prepared it wonderfully. We had a side of haricot vertes  - also very good. I finished with a scoop of housemade pear sorbet (perfect light ending to me) and my husband finished with their olive oil cake, which he loved. Can't say enough good things about the food and the service. The pace of the meal was perfect. All in all a 5 star experience.",0,0,0,Lauri R.,"Belle Mead, NJ",0,41,0
3.0,9/11/2018,"I write this review in good faith but really wanted to give it one star. The only reason I am giving this place 3 stars is 1) the food was delicious (Italian/French flare) and 2) because I worked in the industry and I know how it feels to have your ENTIRE section sat at once & to be drowning a slow death of large parties (which was my party of 8, that night). But aside from these two things, I spare no one. You do not go to Italienne or a Thursday, Friday or Saturday. You ALSO do not go to Italienne if you have a party of 4 or more. As I said previously, the food is very good. We had all of the bar snacks, the Burrata, Gem Lettuce, Polpo alla Plancha, Pappardelle, Tagliatele (VERY GOOD), Macaroncello (FANTASTIC),the Sea Bass, Polenta (SUBPAR) & 1/2 Chicken (FANTASTIC). While the food was noteworthy (and the ONLY reason I gave this place three stars) it did not make up for the horrific service. It took them over an hour to deliver our main courses from small plates, to appetizers, to main courses. This is unacceptable. If you can't give a party of 8 appropriate service, that's okay - just don't allow the reservation.I think the thing that bothered me the most about this place was the up-sell. As stated multiple times in my profile, I am a winosaur and it's pretty hard to get my out of my comfort zone. I know what I like and what I don't like - it's kind of like convincing someone who doesn't like cats to get a kitten. The wine equivalent to this is forcing someone who doesn't really love earthy wines - to drink earthy, overpriced wine. Italienne has some exceptional glasses of wine but I am someone that does not believe in spending more than $20 for a glass of wine and my server, when presenting various wines to me, did everything in their power to serve me the most expensive wine on the menu (without listening to my preferences or needs). I get the tactic, and honestly, it's a good one (especially because we were a large party) but if I say ""no"" once, I will mean it the second and third time. The server did the same thing with the menu. We ordered way more than enough food and he kept pressing us to order more (and even tried to up-sell a 300$ of wine). If money is no object, you don't mind being up-sold, care little about service and don't mind a wait, this may be a good place for you. For the rest of us out there that care about these things, I would probably skip this spot. I did read through about 30 reviews for this place and it appears people have had exceptional service. Additionally, I was definitely sat in the busiest area of the restaurant. Maybe it was a bad night and I definitely want to give them that but I won't be going back.",3,0,0,Jessica S.,"Manhattan, NY",254,12,0
4.0,9/10/2018,"Great, food, drinks, and a friendly staff. One of the best restaurants in the area... Brunch is excellent as well.",0,0,0,Ubu R.,"Manhattan, NY",0,17,0
5.0,8/15/2018,Great restaurant with excellent service. Got a complimentary dessert as the food was just slightly late but the food itself was also fantastic!,0,0,0,Sang C.,"Irvine, CA",0,7,0
5.0,8/11/2018,"Loved all of the dishes from here. The decor is modern and nice too.  It's a nice place for date night. This restaurant serves a nice blend of French Italian food!  We ordered the Fogasse, it's delicious and love the presentation. The aged proscuitto was amazing too. For Entree, we had the Papardelle with Beef & chicken liver. The pasta was evidently fresh and house made! It was delicious.  The roasted Chicken breast with potatoes & bok Choy was some of the most tender we've had.  Definitely must try these!",4,0,3,Monica W.,"Queens, NY",108,321,1356
5.0,8/4/2018,Hands down the best Italian restaurant I've been to in New York!  You need Arancini in your life. A MUST order,0,0,0,Cristina M.,"Miami Beach, FL",779,5,0
5.0,8/2/2018,"Excellent EXCELLENT French and Italian cuisine! Beautiful low lit ambiance and good service and wine selection. Celebrated a birthday here. Great time. Highlights: burratta, prosciutto, papardelle, steak, broken Caesar, chocolate and also coconut cake!",1,0,1,Kristina C.,"New York, NY",105,34,16
