rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/21/2019,"We came here for brunch with a group of 6. Service was excellent I must say and perhaps the reason for the 4 star review more than the food. They truly did not rush our group and let us linger through our meal and length conversation. The food was average, nothing to write home about. We had baked eggs and polenta with coffee and cocktails. But the company was great and we all had a good time.",0,0,0,Ryna D.,"New York, NY",227,1549,2438
4.0,3/9/2019,This place is a younger cousin of St. Ambroeus on Madison Ave.  Really good food but a little loud because the place is tiny.  Might be really good for lunch.,0,0,0,Max Z.,"Manhattan, NY",162,145,8
1.0,2/24/2019,"Terrible food. The atmosphere is pretty, but don't let that fool you. Food in NYC is expensive, so don't waste your money here. My meal was greasy and inauthentic. This place is not good.",0,1,0,Clara F.,"Boston, MA",2,26,0
4.0,1/3/2019,"Felice is a low key gem. Food is great, service is friendly and attentive, and its a nice date spot.A low key great item on the menu is the burger. Very juicy and if you ask nice enough, they will sprinkle parm cheese on your fries and burger (anywhere else would charge $3 more for that).",0,0,0,Matthew S.,"Manhattan, New York, NY",0,15,0
5.0,1/1/2019,"Amazing restaurant, food, service, ambiance probably one of the best Italian restaurants in NYC from the same group runs Casa Lever on 53rd and Park, Sant Ambroeus on 60s and Third Avenue.. These guys know the drill they are real Italian and are not copycats like other wanna be Italian restaurants in NYC.. Sant Ambroeus should open more restaurants in the Upper East side as downtown is becoming overrated and not safe anymore",1,0,0,Mercado M.,"Manhattan, NY",0,18,16
1.0,12/20/2018,"The nicest thing about the restaurant is the aesthetics, pretty lanterns & nice ambiance. The customer service is poor and food is average. Will never go back, there are too many amazing Italian restaurants in UES! Once this place opened so many locations it lost its ""edge"". Good luck.",1,1,0,Veronica S.,"New York, NY",172,22,1
5.0,12/15/2018,"Super cute, small date-night/day spot. We walked in as soon as the restaurant opened and found the place quickly got very busy with customers. Service was very good, our waiter was very attentive to us. He also recommended the right amount of food. I have to say I had the BEST mussels ever here and the most amazing Brussels sprouts I've had in a while. The perfect amount of crisp just like I like them. I definitely recommend this restaurant and will come back when I visit NY again.",0,0,0,Cynthia G.,"Miami, FL",201,22,0
5.0,12/8/2018,Fabulous dishes. Competently executed and creatively envisioned. Friendly service. Thoroughly enjoyable.,0,0,0,Julie Z.,"Wilmington, DE",0,3,1
3.0,12/8/2018,"A lovely dinner with friends and a little one.The staff was very accommodating, seating us at the table near the front to allow for easy entry-exit with a stroller. It's a little on the dark side, so it can be a little challenging in the front corner, but it's not too large of space so it doesn't get too crowded.There's a nice wine selection, nothing too crazy, but we were happy to find a nice Barolo on the menu.Dinner was lovely: Bolognese, whole grilled fish, carbonara. Will be happy to have another meal here to try more of the menu!",0,0,0,Kimberly T.,"New York, NY",53,405,12
5.0,11/27/2018,the perfect neighborhood spot - food is always delicious.  a little too dark sometimes but that is my only negative comment!,0,0,0,Mekenna S.,"New York, NY",0,10,0
5.0,11/26/2018,"Pro tip: Best Brussels sprouts EVER. Their Brussels are pan seared in bacon fat, and it's the most delicious crispy on the outside soft on the inside Brussels I can ever hope to have. Maybe one day I will successfully replicate this in my own kitchen, but for now, I thank the heavens I'm within walking distance to this treasurer. Felice 64 is a popular neighborhood gem that receives some more mature clientele but is a great place to go if you're a wine-o or you would like to impress visiting parents. When it's warm out, they offer al fresco dining. There is a larger long table right smack in the center of the restaurant to accommodate larger parties, and a few medium sized round tables scattered throughout. The menu has excellent selections, including my favorite, the Pappardelle con Salsiccia (a thicker pasta with sweet sausage, porcini mushrooms, endives, and very fragrant truffle oil).  Unfortunately, the Linguine di Mare (seafood linguine) was not as good as I hoped it would be. Though I liked the heavy handed tomato sauce, the seafood itself wasn't super fresh and my clams were quite sandy. Oh, and see above for the best Brussels sprouts you'll ever have.",1,0,0,Rosa C.,"New York, NY",85,320,122
5.0,11/19/2018,"neighborhood gem of the Upper East Side. Great atmosphere (even though really dark). Ordered arancini for appetizer (comes with 3, really good). For main course had Pappardelle con Salsiccia, mushroom, and truffle...Amazing!!! Highly recommend :)",1,0,0,Matteo G.,"Manhattan, New York, NY",190,135,154
