rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,The food here is so great. All dishes taste delicious. I always with friends like to go there and have lunch and dinner at the weekend,0,0,0,Xinyu G.,"Manhattan, New York, NY",0,1,0
5.0,4/23/2019,Having nice dinner with my family here! The taste is traditional Chinese taste! If you want Chinese food. It will be one of the best place to go.,0,0,0,BC C.,"New York, NY",112,4,1
5.0,4/23/2019,"This is a wonderful place, it has great dishes, and very good atmosphere! If you wanna try authentic Chinese food, give it a shot. And good location as well. Hope you will also have a good time here",0,0,0,Chen C.,"Jacksonville, FL",0,3,0
1.0,3/31/2019,I wish I could give 0 stars - the customer service is terrible and we were rudely told the restaurant was closed even though we confirmed our reservation 3 times.,0,0,0,Ines R.,"Cranford, NJ",0,1,0
4.0,3/28/2019,"I have been dining at Shun Lee Palace since the 1980s's. I am surprised at the negative reviews. It is old school ""American Chinese"" and my go to restaurant for Peking/Beijing Duck. The duck is always perfectly crispy. The garnishes are always fresh, the sauce always delicious and the pancakes always perfectly steamed. Other excellent menu items include the duck egg rolls, the perfect soup dumplings, the three pepper chicken and any of the noodle dishes. The decor is dated. The prices are a bit high, but not inappropriate for the portion size. The service is always excellent.",0,0,0,Steven S.,"New York, NY",1,54,4
1.0,3/15/2019,"MEDIOCRE....if I was paying $10-20 for an entree. Factor in a $30-45 entree price range and the restaurant is a depressing waste of time, money, and calories.The place is stale. The decor looks like it hasn't been touched since the 1980s. When I walked in to the restaurant, I had to double check the name to make sure we were in the right place.There are low ceilings which wouldn't be an issue except for the fact that the tables are packed tightly and they are stingy with air conditioning.The staff is attentive but the attire looks like it was from the same year as the decor.There is a decorative plate left at the table but the dirt on the plate distracted from its aesthetics.The steak and general tso's were...ok...at best.Save your time and order from the local chinese restaurant around the corner from your apt.",0,0,0,Jordan A.,"Manhattan, NY",0,2,0
4.0,3/6/2019,The best asia food in nyc The food is always fresh and this is the best Asian food I've ever had a New York,0,0,0,Peter V.,"Manhattan, NY",227,10,0
4.0,2/16/2019,"It's like a time warp. Like you are deeply buried in Kowloon while the world swirls around you but nary a sound is heard. My grandfather, Mr. 10%, always told me about these places. In a sense, they live long past their prime. But that's their charm. And with food that's solid, deal talk in hushed tones as the carpet and walls drum out the decibels, this is a place to not be seen. Again, that's the charm...",1,0,1,David J.,"Zug, Switzerland",8,58,32
5.0,2/15/2019,"Last year, Valentines Day and Ash Wednesday coincided making for some ashy photos of us enjoying a vegetarian meal.  This year we doubled up on holidays again by celebrating Chinese New Year on Valentines Day.  Shun Lee was as amazing as I remembered.  The decor could use a little refreshing but the service was impeccable as ever.  I arrived a few minutes before Marcelo and the waiter who took me to our table said, ""Your wish is my command.""  When Marcelo arrived, he brought over my ""honorable guest.""  Marcelo chose the lemon chicken for his entree and I ordered my usual dry sauteed shredded crispy beef.  I have literally had dreams where I was eating that beef--so chewy with a balance of sweet and spicy flavors and the slight crunch of the leek and carrot slivers.  I had had the lemon chicken before with its crispy water chestnut flour-based breading and tangy sauce, and was delighted knowing that we would be sharing our entrees.  Also, we opted for the vegetable fried rice which lacked the oil slick that that dish often has at inferior restaurants.  I'm no food snob--neither a gourmet nor a gourmande--but this was excellent.Slightly off-topic, but Marcelo reminded me of how similar the preparation of the beef was to a llama dish he introduced me to Bolivia.  He took a picture of our meal to show his relatives that he dined upon a familiar taste sensation at an upscale Chinese restaurant.  The portions were sumptuous which was good because I had eaten a light lunch to prepare for the evening's feasting and Marcelo often does not have a chance to nibble mid-day.  Hopefully, he will be able to eat the leftovers for lunch today!  I am impressed by how much delicious food we ate last night--the walk home, carrying my tangerine-colored roses, was not only romantic but much-needed.",0,1,1,Caroline B.,"New York, NY",457,1247,36
3.0,2/11/2019,Have been here several times over the past few years. Was very disappointed during a recent visit. The food was ok but expensive compared to peers. Most disappointed in the service. We had to wave down the wait staff three times during the evening to fill water glasses and again to clear the plates.At the end of the meal we asked for the check and again had to wait much too long. They may have been understaffed this evening.,0,0,0,David B.,"Manhattan, NY",0,13,0
4.0,1/24/2019,Great service and of course great food And they loved my service dog BaciHave the wanton egg drop soup mixThen have the shrimp in lobster sauce Yum......,0,0,0,Rich R.,"Bronx, NY",0,10,13
