rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,"This is one of our favorite restaurants in Manhattan. Wonderful service, quiet atmosphere in a tucked away location with great decor, a nice menu and great food. The rack of lamb is superb and the crispy artichoke salad is first rate. Will definitely come back many times!",0,0,0,Alex S.,"Redmond, WA",0,10,0
5.0,4/23/2019,"What a restaurant should be!   Too often we adjust to cramped dining rooms, noise levels that force us to yell, and lack of attention by wait staff unless you stand on the table in a bikini giving out ten dollar bills.  Not so at Aretsky's Patroon!  The atmosphere is indeed swank.  They presented us with an amuse bouche that was a great start to the dining experience.The food was very tasty- we savored both  the duck and suckling pig.  We enjoyed a few glasses of wine over good conversation.  We were not rushed.  Of course, there is a price to pay, but definitely worth it for a special evening!",0,0,0,K M.,"New York, NY",0,26,0
5.0,4/23/2019,"Save room for dessert!  So the restaurant is fabulous - it's all excellent, from the warm and professional staff to the true cuisine.  The rolls will suck you in and your entree will be incredible, too.  But you need to hang in there - you don't want to skip dessert - not here.  It's brilliant.  Beautifully presented (seriously, it's art), unique and original every time and always with a creative twist on seasonal flavors.  My friend and I make up excuses to meet at Patroon and see what's new on the dessert menu.  This is THAT place where you plan to have dessert.",0,0,0,Gabrielle S.,"Manhattan, New York, NY",0,1,0
5.0,4/22/2019,"I've been here a few times now and it's a lovely restaurant with good food- and a great outdoor space! The best part by far is the desserts!!!! Although the Parker house rolls are a close second!The dessert menu has really inventive flavors and is creative and modern. Last time I had a chocolate dessert with kumquats and I still dream about it; whenever I come here I save room for pastries, or just skip right to dessert and cocktails!",0,0,0,Michelle J.,"Pasadena, CA",67,3,0
5.0,4/22/2019,"I had been to the rooftop bar with co-workers and friends many times over the last few years, but I had never eaten in the dining room.  The roof can be a little crowded and excited at times, but the cocktails and the sliders (and truffle fries) are great. Not to mention the space itself is lovely. So a friend and I tried decided to try the restaurant downstairs last Friday, and it is such a different vibe. Swanky, sexy, with live jazz and a great prix-fix menu. The food and the service were perfect...but the dessert...WAS DIVINE.  Having ordered the prix-fix, we were both surprised at the size of the desserts. But all the courses were good size so I guess we should have expected it. We went with the lemon meringue tart and the chocolate raspberry mousse.  The lemon was cute and perfectly tart and had this awesome caramel like a dulce de leche.  But the chocolate dessert was heaven.  It was so pretty and smooth and rich, and had these little crunchy dried raspberry bits that gave it a great texture and the sorbet cut through the dark chocolate.I grew up the daughter of a pastry chef and always have a sweet tooth, but often feel disappointed. So excited to have a place to bring my dad the next time he visits.",0,0,0,Margaret L.,"Brooklyn, NY",0,1,0
5.0,4/21/2019,"Fabulous food and ambience and location. Estefan is the best,he makes you feel like royalty and a friend at the same time. Oxtail dumplings .wow",0,0,0,Alice M.,"Clifton, NJ",0,6,0
4.0,3/30/2019,"I came here for a work event, but apparently we weren't cool enough to just go up to the rooftop because you need, like, reservations or some shit like that (what's up with that?), so we wound up at the downstairs private bar, and can I tell you something? That place is swank! Like, leather and mahogany and Rich Uncle Bruce's rare Cuban cigars swank. Damn. I am so glad I didn't pay for any of my drinks.",3,0,1,Josephine L.,"Manhattan, NY",620,1619,20
5.0,3/5/2019,"SO SO SO SO GOOOOOODD!! Came here for Valentine's Day dinner and everything was amazing. You walk in and you're greeted by the hostess and offered coat check. When you walk into the main dining hall, everything seems classy and elegant so make sure to dress appropriately! The service was superb. A gentleman, looking to be the head waiter, always made sure we were doing well and had everything we wanted. Occasionally we would see him put on a chef hat and make a salad table-side for some patrons that were sitting at a table across from us, dinner and a mini-show!Another gentleman, seems like the owner, also came around towards the end of our dinner and went to each table to greet his customers. I thought that was amazing. I love when owners take out time to thank their patrons and see if there's anything else they can do to make your experience even better than it is. Seems like he knew a lot of the customers probably because they were regulars.  The star of the night was my 2 lb smoked lobster. It was soooo good and if it was more in my budget, I would literally eat this every week. The lobster was cooked PERFECTLY. Not overcooked, not chewy, just perfect. And the sauce on time was extremely good as well. I was very satisfied with my meal and on top of that, the service was great? 5 stars, no question asked!Since it was my first time there, I decided to venture to the above floors to check it out. On the 2nd floor they have private rooms that you can rent out for business meetings or other types of events. On the top floor, they have a rooftop bar. Relatively spacious and offers an indoor and outdoor area. I can't wait for the weather to warm up and come back to try the rooftop scene!",1,1,1,Mabelle L.,"Queens, NY",348,313,1720
4.0,2/23/2019,Came here for a colleague's farewell drinks and it was a nice atmosphere. I wasn't strongly interested in any of the cocktails listed since I'm a fan of gin based drinks so they actually customized one for me and it tasted really good! Super friendly staffs,0,0,0,Wendy T.,"Queens, NY",368,190,406
5.0,2/15/2019,"Great menu, cool power vibe, loved the food. Recommend if you want to have a more elevated meal that stands out amongst what is offered in the many other restaurants in midtown.",0,0,0,Rob D.,"Manhattan, NY",200,4,0
