rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/23/2019,Filet excellent! Spinach side superb. Not over bearing with cream or cheese.  Bread a custom made pastry. Staff VERY attentive. Def a fab Grand Central area steakhouse.,0,0,0,CM S.,"New York, NY",0,16,8
3.0,4/12/2019,"I've been to the Boston location many times and loved it.  I was less than impressed by the Manhattan location.  Restaurant space looks like it's stuck in the 90's and it's in the basement.  We were given a nice spacious table which was a surprise in NYC so I will take that.  However, the service was not great and our server never bothered once to ask how our meal was going once we received our food.  We had to ask him for another round of cocktails and he seemed half interested.  My 18 oz ribeye was definitely not Medium temp as I ordered it and was dry and not pink except for the center.  It was still tasty tho and the garlic accompaniment on the plate was a nice surprise.   My partner ordered the short rib and said it was tender and well prepared.  I'll visit the Boston location again but not midtown NYC.  Too many other better steakhouses and overall better restaurant experiences.",0,0,0,Fabian T.,"Orlando, FL",0,6,0
4.0,4/7/2019,Great atmosphere and welcoming staff. Great wine selection and wonderful meatballs and spring roll sampler. Yes I know how strange that sounds but. It's true. The entree's are just ok. We had the bolognese and the spaghetti- but neither were remarkable. Good but nothing outstanding. I would go back.,0,0,0,Jarrid S.,"Seattle, WA",47,138,9
5.0,3/29/2019,Davio's is an absolute gem. Jenny the General Manager and her staff are worthy of a Michelin for service and food. I was fortunate to celebrate my father in laws 80th birthday and she and her staff could not have made the experience more special. Top shelf restaurant with an excellent ambiance complimented by fantastic food and service. Thanks so much. Will have to become a repeat offender even if I am just a visitor to New York. Makes for a great excuse to visit again!,0,0,0,Shawn B.,"Chandler, AZ",0,18,0
2.0,3/15/2019,"Touted for homemade pasta. We sampled three varieties. Each was over cooked and extremely salty. I'm wondering if the Chef is Italian as the concept of ""al dente"" was nonexistent. Steak was good but nothing exceptional. Service was excellent -pushed the wine so we ordered more. Constantly filling our glasses.",1,0,0,Joseph M.,"New York, NY",26,37,0
4.0,3/1/2019,"A great tasting Valentine's Day Dinner but... We came here because we had heard that they offered special foods for Valentine's Day. I had also seen pictures online of heart shaped gnocchis and thought ""how different"". Unfortunately, every location serves a different meal. In addition, this particular location offers a different prix fixe menu each Valentines Day. Despite my initial disappointment, we ordered dinner from the regular menu and it was great. The special holiday drinks were also good and strong, and the pop overs were fresh and wonderful. Our waiters were wonderful, as well! Service: 5/5Food: 4/5Selections: 3/5",0,0,0,Be E.,"Revere, MA",11,110,46
4.0,2/22/2019,"The cocktail menu for winter 2019 had some odd cocktails on it, nothing that really sounded great so we stuck with wine. The buffalo spring rolls were very tasty and I would definitely order those again as well as trying some of the other spring roll options that they offer. The veal agnolotti were also quite good.",0,0,0,Tory G.,"Manhattan, NY",8,125,63
5.0,2/22/2019,The popovers were the best bread I have ever had in my life! Went for a late night snack. Our food was delicious! Our server was amazing and the wine suggestion was on point! Definitely will return anytime I'm in New York!,0,0,0,K P.,"Augusta, GA",0,4,0
5.0,2/21/2019,"This place is really nice! The steak was absolutely delicious! The wine was perfect . Had a caprese salad to stat which was refreshingly delicious . And an assortment of desserts which I enjoyed. But the best thing was the steak , which came with grilled asparagus and the wine ! A lot of places in nyc end up being hit or miss because of the service. Really appreciated the staff and service here! The service was really great , the ambiance perfect and the food was spot on! Go here",0,0,0,Sabah S.,"Brooklyn, NY",1,47,116
4.0,2/16/2019,"Thank you Davio's for a terrific Valentines Day dinner for my fiancé and I. The area of midtown east is extremely convenient for all of my fellow midtown commuters to get to. We walked over to the restaurant from our offices where we had our confirmed 5:45 reservation and after we checked our coats we had a very warm welcome as we were escorted to our table.I don't know what it was but their bread was insanely good. We kept it light on the appetizers and went with the cheese steak spring rolls. Not the best I've ever had, but still very tasty. Our server was extremely attentive and professional, and nowhere close to overbearing. Drinks were nice and strong : ) For our entrees we went with a filet and shrimp followed by a salmon with a beet flavored couscous, with the sides being the onion rings (amazing) and some asparagus. It was a great well rounded meal full of flavor and really set off by the ambiance of the venue. Would definitely take another trip back here in the future and recommend trying for first timers.",0,0,0,Jason R.,"West Long Branch, NJ",202,12,10
5.0,2/9/2019,"Everyone else at my table ordered pasta, soup and other Italian entrees. I decided to order a flatiron rare steak, which I never order. This was the BEST steak I have ever tasted. It was the talk of the table and everyone was jealous of my dish. It was amazing, I will never forget it. Amazing service and professionalism! Great job Update: just went for my 4th time, still amazing",0,0,0,Pat G.,"Orchard Park, NY",212,2,1
5.0,2/2/2019,So came here for my bday dinner and the Hostess Jill is amazing super friendly and helped out seated us and took our coats she was great. Cesar our waiter was great and helped with the table overall was great experience and my bday was a blast,0,0,0,Anttoni L.,"Bronx, NY",4,15,2
5.0,1/22/2019,"Came into to eat for lunch with my coworkers. Had a seat at the bar and got instant service. They have a happy hour special where you get some awesome spring rolls with your drinks. The philly cheesesteak is delicious! Ordered the burrata, crab cake, meatballs, and Angnolotti. You can taste the freshness of the pasta! Burrata was okay but the crab cake was also delicious. Very nice and fancy place, I would reccomend it to friends! Can't wait to try dinner there.",0,0,0,No N.,"Manhattan, New York, NY",0,5,1
5.0,12/31/2018,"From start to finish service and staff were wonderful!!!! Great wine selection and the spring rolls were to die for -ordered a second plate because the first batch went so fast. Gnocchi appetizer was spectacular- don't think I could of eaten it as a meal a bit to rich glad we didn't , I had the double cut pork chop and was so happy, others had salmon, blackened swordfish , salmon and 10 oz filet , sides were mashed and finger potatoes asparagus and onion rings BOY WERE WE HUNGRY!!!! The food was beyond and the atmosphere was lovey!!! Truly a diamond in the ruff!!! Hop skip run or jump there for dinner so worth it!!!!",0,0,0,Rita S.,"Yonkers, NY",0,13,3
5.0,12/27/2018,"I only came in here to redeem a voucher for a free glass of wine that my adjoining hotel gave me.  I was impressed by the level of service I got from the friendly bartender who knew I was just there for the free glass of hooch.  As I sat at the bar, I looked around and noticed it was pretty full and the place had a nice buzz to it.  The food looked pretty good.",1,1,1,Paul B.,"Berkeley, CA",14,128,57
1.0,12/19/2018,"Waited almost 30 min for a cobb salad, when the restaurant is only half-full. And when I asked why it took so long, the waiter told me it's kitchen's decision.",0,0,0,Phoebe S.,"Maple Leaf, Seattle, WA",12,3,1
2.0,12/16/2018,"The last few times I had gone there, the experience was not so great.  We sat there for almost 40 minutes after placing our order before any food came out.  We were also not given any bread, yet I saw that everyone else had it on their tables.  I had to ask 2 different people for it 3 different times.  I had ordered a salad and my friend got the pre-fixe starting with the caprese salad.  Why would this take 40 minutes to come out?  Also disappointing is the fact they made the pre-fixe into a 2-course meal versus the old 3- course which included dessert, however, the price seemed to have remained the same.",0,0,0,Lisa T.,"Flushing, NY",6,75,24
3.0,12/10/2018,Great food. My husband had the Tagliatelle Bolognese and loved it and he is extremely critical. I had the linguine and clams and it was excellent. For those with children's then have a kids menu. And on Sundays their wine is half off. I would recommend it!,0,0,0,Tricia N.,"North Palm Beach, FL",44,2,0
5.0,12/7/2018,"Probably the best caprese tomato salad I have had so far! For entree I ordered salmon over beats - soooo delicious! For dessert - ordered tiramisu which was ok - kind of on the bitter side but that's probably how it's supposed to be lol Great ambiance, super friendly and attentive service and delicious food!",0,0,0,Arshi K.,"San Francisco, CA",12,44,19
