rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"Masson is great- we have been a few times and it was delicious both times. A perfect place for a group to share and have multiple dishes. The Ceasar salad is AMAZING probably one of my favorite salads in New York City- perfect to share, we always end up ordering another one- so tasty! Pizza is delicious not a thin crust more like on top of a crispy focaccia, like a grandma type slice! The pepperoni is delicious and always the group favorite. There are multiple seating levels and it is pretty spacious. The cocktails are always on point. A good choice for a group dinner with quality pizza and starters!",0,0,1,Katherine K.,"Brooklyn, NY",152,94,161
5.0,4/21/2019,"Malfada, meatballs & garlic knots, French onion pizza. I've come here many times and it never disappoints. Oh, and also TEQUILA MULE!",0,0,0,Patty D.,"Manhattan, New York, NY",0,11,2
4.0,4/15/2019,My boyfriend and I ate here while waiting for our real dinner at Take31 lol.We were starving and got a chicken parm pizza (Detroit style here) and a cocktail. The whiskey cocktail was tasty but a little weak. The pizza came out piping hot and crusty in the best way! It all worked together but felt they could have seasoned it more to give it that extra depth of flavor.I'd come here again because the service was kind and fantastic and the space is really chill. We ate at the bar and never felt rushed or crowded. 4.5 stars!,0,0,1,Nancy C.,"West Los Angeles, Los Angeles, CA",288,172,282
5.0,4/11/2019,"We visited Massoni on a weekday so I think we circumvented the weekend crowd as it is quite popular on yelp. The place was relatively empty that day. It's a part of the Arlo Nomad hotel and is located on the 1st floor. There is a separate lounge and a bar area to this restaurant. The dining area is really pretty with candle lit tables and red curtains. I read the reviews on yelp which suggested that their deep dish pies are very popular. So we got the mushroom pie which had mushrooms, French onion mascarpone and smoked mozzarella as toppings. I think it was pretty close to the Detroit style pizzas I've had back in Michigan. I loved the toppings and the pie crust! They were baked to perfection! There were some pastas I wanted to try but the pie was enough for a late dinner. I will be back to try out some of their special dishes and pasta. Ps: It's a great place for a date night :)",0,0,0,Ankita N.,"Farmington Hills, MI",84,51,98
5.0,2/17/2019,Wow..... Great meal. Great service. This place is a true FIND. Must have the meatballs and rice balls. Service was Perfect. Very very good,0,0,0,Tom M.,"Chester Springs, PA",0,19,0
5.0,2/1/2019,"We got the rice calls, broccoli rabe pizza and pruscuitto pizza.  Everything was delicious and we loved the ambiance.",0,0,0,Linda A.,"Falls Church, VA",168,3,2
2.0,1/13/2019,"My friend and I came here for brunch at 12PM on a Sunday right before checking out of the hotel. When we walked in, we were the only ones, but by the time we left there were two other tables seated. We ordered the Massoni burger and the Breakfast Pizza. Both meals tasted fine, but they were super salty and greasy. If you do decide to dine here, I would maybe ask to have the cook to go easy on the salt/oil. I personally am not inclined to return to Massoni.",1,0,0,M C.,"Marlboro Township, NJ",0,20,9
4.0,12/27/2018,The dishes we ordered were delicious. Service was great. No wait time with an open table reservation. Music was not too loud.Voss water and sparkling water were from a glass boss bottle.I'm very happy.,1,0,0,Elizabeth A.,"Irvine, CA",2,43,293
4.0,12/10/2018,"Great restaurant in an unlikely secluded hotel location I've been going here on an almost weekly basis and haven't been disappointed. The cheese pie is excellent, it's a pan pizza sort of like Pizza Hut, but much better! The sauce is excellent and the ratio of cheese and sauce is always perfect. The four slice size is good for one person. The pasta dishes are also great, the paccheri is a favorite. The service is very good!",0,0,0,Joseph R.,"New York, NY",0,38,3
2.0,11/25/2018,"They say you shouldn't eat at an empty restaurant.  Good advice.  Went here on a Friday night at peak dinner time (6pm) and there was literally only one other table in a decent sized dining room.  And it's not like it is really that much off the beaten path.So we proceeded to dine at Massoni even though it was practically empty.  Service was fine, but since we were one of the only tables there should be no excuse for bad service.  Biggest complaint was the prices relative to the portion size/quality.  We all ordered the pasta dishes.  I realize this is mid-town Manhattan, but $19 for a dish of plain spaghetti & marinara sauce?  And it wasn't a huge portion by any means.  It certainly wasn't gourmet; pretty much basic boxed spaghetti with a plain sauce.  I ordered the ravioli and it was okay but again way overpriced at $29 and not very substantial.  Also there was no bread service provided for the table.With so many choices to eat in NYC, I would suggest passing on Massoni.  Unless you don't mind having to get a few New York slices of pizza after dinner since you might still be hungry and not really pleased with the overall experience.",1,1,0,James S.,"Los Angeles, CA",0,17,5
3.0,11/8/2018,"Hidden Gem! Good stetting, not too tourisy, relaxed setting low lights, had pizza, appetizers enjoyed it all.",1,0,0,Jihan N.,"London, United Kingdom",80,55,50
4.0,10/29/2018,"Went to Massoni with a dear friend of mine and we sat right away! We went around 7pm on a Thursday and it was relatively active. We sat in an adorable corner seat where we could people watch and avoid people we may or may not have known from college. Our waiter Al was pretty cool and he found us funny so we liked him. Also because he was really nice. He told us how the specialty cocktails were included in happy hour... so we figured the regular cocktails would be as well.. but Al surprised us with the check and then told us they were not  This was kind of like when Buddy the elf found out Santa wasn't real. On a positive note, we ordered the prosciutto vodka pizza and it was AMAZING (almost as good as the company.. ALMOST). The ingredients were SUPA fresh and the crust was crispy cheese so I'd give it a 10/10... and I don't judge lightly. Here is a picture of my friend enjoying the pizza... clearly loving it.. a little too much (must be the tequila sodas). Would definitely recommend trying it out!",0,0,0,Ani D.,"Manasquan, NJ",329,1,3
3.0,10/7/2018,"Food wasn't bad but service was so so slow so three stars and probably won't be back- lots of other better Italian options in city. Favorites were the pepperoni pizza and bucatini. Loved the pizza in particular - marinara was just a tad sweet and the pepperoni and small pieces of jalapeño blended really well together. The crust was also so good. Definitely favorite dish of the night. Bucatini was tasty too - standard red sauce pasta dish. We also got the snap pea salad which was really refreshing. The lobster pappardelle however was mediocre (pasta itself was pretty good but wasn't impressed by sauce/flavor of dish - very bland, and there was hardly any lobster). Dessert options are lackluster (apple pie and sundae) so we didn't order any. Service like I said, was pretty sad/slow. Took so much effort to catch someone's attention to take our orders (20min of just chillin at the table...) and then food took forever to arrive. Our water was never proactively refilled and we had to ask multiple times to get a box for our leftovers and for the check. I also think number of waiters to tables isn't abnormal vs most dining locations in nyc so not sure why service was so slow/inattentive.",2,0,0,Jessica T.,"Manhattan, NY",279,214,551
