rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/18/2019,my favorite west side go to excellent bolognese when they offer it on special...nice staff,0,0,0,Trish G.,"Lagrangeville, NY",0,17,0
3.0,4/7/2019,"Very average overly price food. I personally found the food just ok, portion are small and overprice. I love a fine italian restaurant but this one was barely ok. Service was just okay too, waiter did not expand any specific recommendations! Not worth it",0,0,0,Marie Laure D.,"Manhattan, New York, NY",0,21,0
3.0,3/31/2019,"Tarallucci E Vino is a great spot to have a early morning, low-key brunch. I enjoyed the eggs and polenta dish (polenta squares topped with poached eggs, mushrooms and parm), while my friend enjoyed her salmon and egg dish (salmon, kale, and poached eggs on toast).  The toast with butter and jam was also scrumptious.  We didn't try them, but the pastries looked excellent.  Sadly for me, they don't serve cold brew - and iced coffee is just not the same.",0,0,1,Jennifer S.,"New York, NY",16,692,0
5.0,2/27/2019,"Gosh, where to start?!?! This establishment is low-key, yet warm, welcoming and elegant!!! I was in NYC for a work conference and my husband and I were exploring the nieghborhood when we found Tarallucci E Vino. As a birthday treat, my husband suggested that we eat here.The atmosphere is quiet with sensual yet relaxing music in the background. There is a U-shaped bar in the middle with small sit down tables surrounding it. The staff was subdued yet warm and friendly. The dim lights created a romantic feel for our dinner.I am currently pregnant so kept to water for my drink, but my husband ordered the Pink Pepper Italian Beer. He really enjoyed the flavor!! the wine list is extensive, which is really nice!To start we ordered the meatballs. They were perfectly cooked and served with plenty of marinara sauce. Perfect for dips your bread in. The order came with approximately four meatballs. We split an order of the lasagna, which was the perfect size for us to share. If you are hungry, this  better suited for one person. Overall, we had a wonderful time and I would high suggest stopping by!",0,0,0,Vanessa C.,"Atlanta, GA",116,102,58
5.0,2/24/2019,"Was recommended by a friend of mine to dine in this location for brunch and I am VERY pleased. From the moment I walked in I was greeted by the hostess who searched for a table for my partner and myself quickly. After being seated Victoria approached the table and was very accommodating when it came to my allergies; she extremely knowledgeable on food items. My partner also has a particular taste in wine and both barista's were at such great help with finding the right wine for him. Over all, wonderful experience and I'm looking forward to coming back.",0,0,0,Jennifer L.,"Manhattan, New York, NY",0,1,0
5.0,2/12/2019,Lovely small place. Had a great time with the kids. Wonderful service. The lasagna and the tagliata  were both great. We enjoy our time here. Thanks,0,0,0,Oren S.,"New York, NY",13,1,0
5.0,1/28/2019,"This restaurant/wine bar is very low-key yet elegant and impeccably clean. The music selection is often sensual and relaxing. I always come here to meditate over a bowl of fresh pasta after my monthly facial at Savor Spa, which is right across the street. I dated an Italian (Torinese) for three years, and trust me, this is as authentic as it gets in Manhattan!  I am not sure if they make the spaghetti from scratch, but every time I finish my bowl I want to cry (and am one glass of wine away from ordering another bowl). The only thing that keeps me disciplined is knowing that I will be back again in four weeks. Enjoy my spaghetti shoot below.",0,0,0,Kathleen F.,"Queens, NY",197,18,30
5.0,12/30/2018,Portions are small but everything is so good. Wait staff was very friendly. Wine list was extensive.,0,0,0,Becca D.,"New York, NY",26,73,9
5.0,12/20/2018,"I can't believe that I missed this gem for the past year even though I live quite close by! It has a beautiful layout. U shaped bar surrounded by sit down tables. For happy hour 5-7 pm, you can order oysters for $1.50 each and spritzers and wines for $9 and below. We ordered 2 dozen oysters and they were deliciously fresh! Went really well with the white house wine.For main, my dad ordered the risotto and I ordered the spaghetti. I love ordering spaghetti at Italian restaurants as I find it the purest Italian dish to judge how well the food is prepared. It was scrumptious; had that bouncy quality that only homemade spaghetti can have. The risotto was rich and delicious too- came with butternut squash and sausage mixed within the creamy sauce.For dessert, we split the tiramisu (as we always do when eating Italian.) So gooood!  I will be back for sure",0,0,0,Christine X.,"Manhattan, NY",385,110,51
4.0,12/10/2018,Great place for a quiet drink in the middle of the day. I've been to their other locations downtown for food but I've only come here for midday drinks. It's a nice quiet spot to have a glass of wine solo or with a friend.,1,0,0,Ryna D.,"New York, NY",227,1549,2438
5.0,11/22/2018,"Quaint spot in Upper West Side. We went here for a quick brunch on Thanksgiving day (and hence got a place to sit immediately). The ambiance, service and most importantly food is amazing. Their Uova E Salmone and French Toast are delicious and are a must have.",0,0,0,Amit R.,"Chicago, IL",421,15,15
5.0,10/19/2018,What a gem! We stopped for lunch after walking in Central Park and it was fantastic. The lentil soup was to die for! And Rita was so sweet. Bravo!,0,0,0,Nathalie K.,"Silver Spring, MD",0,11,0
5.0,10/7/2018,"Delicious and atmospheric yet casual. Really great wine Brunello di something. And amazing, simple spaghetti. Lovely.",0,0,0,Deborah M.,"Brooklyn, NY",1,29,0
4.0,10/2/2018,"We came here for lunch after visiting the Natural History Museum. There are tables outside and inside plus at the bar. We picked a table inside.The server was friendly and knowledgeable, but he was the only one working the floor so it took a while for him to get back around to the table. The different wines we had were good quality. The food we had was great. The tomato/pea soup was creamy and thick, definitely filling enough with some bread for dipping. The meat/cheese plate options are great quality. And the spaghetti was as it should be.We also had dessert. The tiramisu was the classic recipe and was up to standard. The berry sorbet was delicious, would definitely recommend this one!All in all we had a great experience here and would definitely recommend this place!",0,0,0,Ilse V.,"Murrieta, CA",96,259,496
5.0,8/19/2018,Great breakfast and service. Incredibly friendly and fast services. We had a quick brunch there and it was very tasty. Excellent egg dishes and drinks. The staff was fantastic. We will be back!,0,0,0,Patrick M.,"San Juan, Puerto Rico",0,9,0
2.0,6/30/2018,"My girlfriend and I stopped by on a nice Friday summer evening and sat outside.  From the beginning, it was obvious that the waitstaff was aloof and seemingly untrained.  Our actual waitress didn't seem to care about our existence.  When our plates came, we both were surprised by the tiny portion sizes.  My girlfriend had the Octopus Gnocchi.  At $24, she expected more than a tiny plate of pasta.  I had the scallops which was worse - for $32 I was served four small scallops and five short stems of asparagus.  To be fair, everything was delicious.Tarallucci needs to train their staff better to warrant their high prices and small portion sizes.  At the end of our meal, our waitress brought us the dessert menus.  She then brought us the check without asking if we wanted dessert.We promptly settled our bill and picked up a sushi roll down the street since we both were still hungry.I will not be back to Tarallucci.",0,0,0,Jamie K.,"New York, NY",0,25,0
4.0,6/15/2018,"I had the chance to try this popular restaurants location in the Upper West Side on a breezy Thursday morning. I've been to their spot in NoMad for dinner, so I was curious to see what they'd be cooking up on their breakfast menu. Needless to say, it was just as good as my dinner experience! It definitely should be an option for anyone looking for a quaint & relaxing breakfast experience in the neighborhood.We arrived to the restaurant around 10 AM on a Thursday morning. We hadn't made a reservation, but it didn't seem like we needed to. There were a lot of table options both inside and outside at this time and they allowed us to pick where we wanted to sit.The space itself is really great! They have tables outside in a sectioned off area on their front sidewalk, as well as indoor seating. On this particularly nice day they had opened the windows which allowed a cool breeze to flow throughout the space. So nice!When it came time to order I went with the Ouva Al Tartufo ($15). Think of is as a well dressed breakfast sandwich with the addition of Truffle Aioli. So freaking good. I came in hungry and this definitely hit the spot. It also comes with a side of home fries, which honestly are just potato bits...The service here was great! The staff was attentive and gave us ample time to look over the menu. They were quick to fill our water glasses and happy to answer any questions we had about the menu.This restaurant is a great option for a low key breakfast in the UWS. Quick and good service, along with a variety of traditional options will undoubtedly leave you satisfied after dining here.",0,0,0,Nicholas C.,"Upper West Side, Manhattan, NY",240,247,698
5.0,5/23/2018,"Great food. Even better service! Big thank you to my server, bartender and wonderful server assistant, Freddy. Made my night perfect. Just a wonderful atmosphere. Will always come back.",0,0,0,Ryan B.,"New York, NY",0,1,0
