rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"Excellent!Clement ~ inside the Peninsula Hotel is a great, sophisticated place to lunch or dine or go to the next room and grab a cocktail.Ambiance: Sophisticated. Quiet and relaxing. Food: Fresh and delicious. * Kale and Quinua salad with spectacular Salmon * side of deliciously crispy French fries * finish with an espresso or tea Service: Class acts. Attentive and professional.",2,0,0,V S.,"Woodland Hills, Woodland Hills, CA",0,46,37
4.0,4/15/2019,"great brunch dishes many options to choose and good location overall, will definitely be back here",0,0,0,Max R.,"Manhattan, New York, NY",0,7,0
5.0,4/14/2019,"Very attentive and gracious service, and all of the dishes were well-prepared and nicely presented. Located inside the luxurious Peninsula Hotel, it fits right in without being pretentious or stuffy. Having been here on two consecutive trips to Midtown, I will make a point to keep coming back.",0,0,0,Brian C.,"Cambridge, MA",574,52,1187
5.0,4/6/2019,"A Perfect Dining ExperienceThe Clement at the Iconic Peninsula New York is a gem.  The restaurant is beautiful and the service is genuinely hospitable and the food is outrageously delicious and satisfying.Thank you Thomas, Mario, Luis, Marco, Sharul & Jack!  We are definitely coming back.Rafael Fab",0,0,0,Ralphy J.,"New York, NY",2,16,5
5.0,3/8/2019,Love Clement! Ask for Marco and you will not only get a culinary treat you will know where the ingredients come from and how it was made. He is lovely. I eat vegan and he always takes care of me creating amazing dishes!,0,0,0,M Cooke H.,"Landenberg, PA",56,10,2
5.0,2/22/2019,"Exquisite food and cocktails, relaxing and spacious ambiance, and wonderful service. Prices are very fair for quality of the New American cuisine. Marco took care of us and he is outstanding - courteous, knowledgeable and attentive to detail. I'd highly recommend.",0,0,0,Eric C.,"New York, NY",138,36,17
4.0,2/21/2019,"Can't decide if this place feelsLike old New York or just old. Went here for restaurant week and really enjoyed myself because they have a cool bar where I waited for my lunch date. Service was impeccable and actually felt friendly too! The whole place feels a little slower than the rest of the city and made for a very relaxed lunch. Or it could have just been the wine that made me unwind. Can't say the restaurant week menu was too exciting the usual Salmon, Chicken and Vegetarian dish options. They really could have been a bit more adventurous. I did really love my ceviche appetizer and the salmon was perfectly cooked and came with a a side of mushrooms instead of the usual starch so that was a nice change. Overall a very good experience and would definitely come back again for restaurant week.",2,0,2,Monica S.,"Brooklyn, NY",85,138,452
3.0,2/15/2019,"Valentines day 2019 - Everything about Clement was promising. The ambiance, the service, the staff, the environment, was wonderful. The prefix menu looked lovely. The courses finally arrived, and I felt like the kitchen staff was playing a joke on it's guests. Starting with a miniscule, salty little oyster covered in some offensive rose water concoction.The dissapointment continued with the second course, an utterly bland""tempura"" fritter. This was totally non-descript, for all I knew I could have been some kind of space ration. Suddenly, a ray of light appears in the form of this gorgeous Mediterranean Langoustine. The sommelier claimed that this crustacean was Spanish in origin. I took his word for it and very eagerly dug in. It was delicious, albeit a bit too salty, but delicious nonetheless.My interest had peaked, and I was very excited for the upcoming Wagyu coup de gras. All of my expectations came crashing down when I was served a beautiful piece of Wagyu, that was devoid of salt, and covered with some pomegranate reduction. The chef committed murder. He took a gorgeous ingredient, which is a star in its own right, and drowned it in sweet sauce. It was accompanied by same sad, dry roasted potatoes and beets. Next up was, 3, 三, tres, trois, , drei, THREE DESSERTS! I'll make this quick. The first one was good. A homemade blend of ice creams. Very delicious. The second was an absolutely mind blowing dessert that can't even be put in words. It was easily the best dish of the night, and possibly one of the most delicious pastries I've ever eaten.The last course was a totally unnecessary, small plate of mediocre pastries. I'm sure that the pastry chef put in lots of work into producing that last plate, but after being bombarded with sweets for the past 3 courses, I was done.Thanks for reading.",0,0,0,Nicholas T.,"Woodside, NY",0,4,0
5.0,2/2/2019,"If you haven't been to the Clement during Restaurant Week you're missing a great experience.  Friday night after work a friend & I went and it wasn't very crowded.  For appetizers she had the Hawaiian Yellowtail Ceviche and I had the Heirloom Squash Soup.  Both were great!  For our entrees we both had the Za'atar Roasted Rack of Lamb, which were so yummy and the portions were generous.  For dessert we tried both the Mont Blanc and the Ivory Chocolate Tart.   We had the vodka special and the featured wine.  I did have an American decaf coffee, which was $9, so you might want to skip coffee and stick with the drinks.  Service was exceptional so tip generously.",0,0,0,Mia S.,"Jersey City, NJ",66,11,0
5.0,2/1/2019,"Went to Clement for restaurant week and it was incredible! The servers were extremely attentive and treated my friend and I well. I got the kale and quinoa salad, rack of lamb, and chocolate tart - each one better than the next. The food was delicious, the atmosphere was highly elegant, and overall the experience was fantastic.",0,0,0,Becca J.,"Manhattan, New York, NY",46,63,55
5.0,1/31/2019,"Amazing! Amazing! Amazing! That's all I can say about our experience with Clement. We came for Winter Restaurant Week and let's be honest, most fancy restaurants don't give you their best service during RW but Clement did not disappoint. The servers were so attentive and knowledgeable especially Marco. He gave us great recommendations and went above and beyond with every course. The food was also very good. Every course was awesome! I had the squash soup with crab for appetizer, Cuttlefish ink pasta for my main entreé- so tasty!! And then the Mont Blanc for dessert which is a light, yummy chestnut dessert. For drinks, I ordered Take Me Anywhere, so tasty and pretty with the Jasmine flower. My flower didn't bloom in my drink so Marco took it back and gave me another one with the blooming Jasmine. Made my day!! Overall, I highly recommend Clement! From the ambiance to service to the food, you can't go wrong!!",0,0,1,JoAn T.,"New York, NY",93,76,356
