rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/27/2019,"Excellent food, but priced in line with some restaurants of even higher quality. You won't regret coming here.",0,0,0,Navin S.,"Manhattan, NY",16,10,0
5.0,4/14/2019,Great food and service. The cod was a rare find and very well cooked and seasoned. The sushi was just ok but not bad.,0,0,0,Norman Y.,"Champaign, IL",62,7,0
5.0,4/11/2019,"These Feb 1, 2019 was my first time at Mifune and April 6, 2019 was my second time at Mifune. Both were for different occasions but the experience was ever mind blowing and I ABSOLUTELY LOVE LOVE LOVE MIFUNE (Bottom posts are from my Instagram account- if u wanna check it out~~~ @therealhappiimonkii )Feb. 1, 2019So blessed to have been able to start February off by going to restaurant week and catching up with the dearie  haven't seen her since New Year's Eve/day. ..It was a cold night but a great night. Nothing like spending time and hanging out with friends u love ..The duck leg with poached egg. The egg was cooked to perfection and the duck was great. Tasted like spam. Would have loved a slice of toasted bread to go with it...Next was the main course, which I got the nigiri!!!! My faves were the tuna, scallop and squid!!!! The scallop absolutely melted in my mouth and disappeared, while the squid was chewy and soft and so tender!!!!! ..Then ended the meal off with hojicha creme brûlée. It wasn't too sweet and I loved the crunchy brûlée top.#happiimonkii #happii #monkii #live #love #laugh #smile #nyc #nyclife #restaurantweek #mifune #nigiri #cremebrulee #japanese #catchup #drinks #latenightsApril 6, 2019Came back to this beautiful gem of a place!!!!!!First time I was here I was blown away. Second time around it's even better!!!!!!! Definitely got to try more food and left the restaurant happy and just the right amount of full. Started the night off with a awesomely decorated plate of sashimi. 5 types of fish for 5 people. Now the pic doesn't show 5 separate portions but there was I promise u!!!!! It was simple yet so smart. Next was the shrimp and seasonal veggie tempura.Then the spicy salmon and avocado pressed sushi and amberjack with scallion rollThen we had the 11 piece nigiri ( which was what made me fall madly in love with MIFUNE) Last but not least was my beloved Squid!!!!! Soooooo good here!!!!!I know I said everything was good but their nigiri here was soooo good!!!! One of the BEST I've ever had!!!!!!!!! Would I go back? Is that even a question~~~~ #happiimonkii #happii #monkii #live #love #laugh #smile #tbt #mifune #japanese #sushi #sashimi #nigiri #delicious #foodie #instafoodie #foodiegram #squid #uni #tuna #tempura #nyclife #nyc #ny #nycfood",0,0,0,Yung Chun C.,"Flushing, NY",93,60,281
5.0,4/5/2019,"Wow, what a find. Fantastic food with top notch ingredients. The ambiance is classy yet not stuffy. Friendly servers, with solid drinks and excellent sushi and other entrees.",0,0,0,Rathore V.,"Hoboken, NJ",2,209,0
3.0,3/30/2019,"We were going there to celebrate my friend's birthday and brought one birthday cake there. However the restaurant charged us $45 cake plating fee but we have to finish the cake there since my friends have to go back home after dinner. The food is not good and the portion is small, maybe this is why the restaurant is expensive.",0,0,0,Amelia W.,"London, United Kingdom",17,2,3
3.0,3/28/2019,"The service is fairly good and the decoration/ambiance is plain but clean and presentable.    The quality of the ingredients in the dishes is good enough.  The presentation was sold too.  The only major issue with this restaurant is the taste of the dishes.  They were all pretty underwhelming.   From overly cooked and chewy braised fish to bland miso soup and non-authentic tasting Japanese side dishes, I was sorely disappointed by all of the dishes.  Unfortunately, this is not a restaurant where you want to bring fans of Japanese food.",0,0,0,Joseph S.,"Hartsdale, NY",2,121,0
5.0,3/16/2019,"We had the $125 tasting menu (long one). I really appreciated how they are trying to build a story. For each dish review and rating please see the pics. Everything was superb and oashi. But I would like to add that the chirashi sushi was a bit of anti-climax. I feel like it was more of a filler. Either finish the Wagyu dish with the dessert or doing something like cheese/prosciutto thing might work better as inter-session. More rice would only make too full (from Asian perspective - re portion size).Great services, ambience, selection of food and beverage. They also have many Japanese whisky too, which I intended to try next time). Great use of plate artwork to bonnet the dish presentation.Note: this tasting menu will be changed near the beginning of April to welcome the spring",0,0,0,Jason E.,"New York, NY",55,65,279
1.0,3/9/2019,"Ok honestly, I have never been more disappointed at any of the Japanese restaurants I've been to, all around the world. Like I'm still in shock by how bad this place is. First of all, we put our order in at 7:10 and didn't get food until almost 8. Fine, if it's good we can wait. We ordered about 5 things and every single one of them was a disappointment. The flavour was extremely bland and everything seemed like it's minimal effort. We came in because we heard that the chef use to work at a 3 star Michelin restaurant. However the presentation as well as the taste is basically gourmet garage levelled. I'm not a picky person but this place really is a fancy restaurant wannabe with the most unsophisticated dishes. Like dude, you don't put cod with Brussels sprouts and Chinese cabbage! Their foie gras egg rice dish is just a scam! Just plain rice with one piece of overcooked foie gras and some foamy tasteless egg. Like not even any garnish, r u joking!? On top of it all, it was soooooo overpriced like the whole experience was just messed up. I really hope the chef reads this review one day and go back to culinary school. Please and thanks.",1,0,0,Monica G.,"New York, NY",483,25,0
5.0,2/28/2019,First time here while on a quick weekend travel. Love every single thing that we ordered. Delicious and absolutely high quality. The smoked edamame is definitely a must. Great dining experience!!! Will definitely come back again when in town!,4,1,4,Kevyne R.,"Palo Alto, CA",518,405,3537
4.0,2/25/2019,"Visited during Restaurant Week. I was very impressed by their rice. Impeccably cooked. Had a lovely set of salmon sashimi appetizer, black cod, and ice cream. Very neat but portion was quite small.",0,0,0,Daniel H.,"New York, NY",214,73,115
4.0,2/25/2019,"My boyfriend took me here for a lovely Valentine's dinner. The food and service were excellent and the waitstaff were very knowledgeable and friendly. We got the Valentine's menu, which included a huge raw oyster with the tastiest yuzu jelly on top, a perfectly cooked sea bass, and a langoustine with lobster bisque, which we were both very impressed by. Note: we're from Maine and Boston so we take seafood pretty seriously ;) The amuse bouche was interesting. It came with a Parmesan canele which was way too hard and dry and a duck and bacon tart, which was tasty but also on the dry side. The cauliflower panne cotta, however, was a huge winner! It was a sweet and salty explosion of flavor and was texturally very interesting, almost melting in my mouth. The Wagyu beef was also a huge standout and one of our favorite courses of the night. I appreciated the much lighter miso soup and seafood rice that came after the super fatty, decadent wagyu beef. They definitely thought the menu through.We also got a flight of sake to share, which was super fun, especially because each one came with its own card containing its flavor profile and where it's from.The only downsides were that the food took a while to get to us in the beginning of the meal (around 9 pm), which was understandable given it was Valentine's day. They did apologize and give us both a complimentary glass of sake for the wait, which was very nice. Also, we were seated downstairs in what honestly felt like someone's unfinished basement. There were maybe 4 or 5 tables down there sectioned off with concrete walls. The ceiling was also completely exposed with wires hanging out. If it wasn't for the couple sitting right next to us and the classic soft rock playing in the background it would've felt a lot creepier. With that said, the excellent service, food, and my lovely date trumped the creepy basement vibe and I still had a wonderful night. Just make sure you get a table in the main dining area if you go!",2,2,2,Lola Y.,"New York, NY",88,18,59
5.0,2/22/2019,Came for dinner on a Friday night. The restaurant's ambiance is relaxed and the staff is extremely kind. Did not order from the tasting menu but enjoyed the separate dishes that were offered. The raw oysters were extremely meaty and super fresh. The choice of 3 types of sashimi (9 pieces) are selected by the chef and each cut was savory and the texture was super buttery and melted in my mouth. The seasonal vegetable tempura was a nice contrast to the seafood dishes selected and I especially enjoyed the sweet corn tempura that was included. The hot stone wagyu was extremely delicious..it was fun cooking the meat to personal preference. Overall a great experience and would recommend to anyone looking for high quality Japanese cuisine that isn't too pretentious.,0,0,1,Chloe C.,"Springfield Township, NJ",343,71,101
2.0,2/22/2019,"As much as I tried to like this place, I couldn't. The food was delicious!! But their wait staffs are terrible. They are confused and forget your orders. When you really need them they are no where to be found. Very disappointing experience.",0,0,0,Seahee P.,"Manhattan, NY",186,57,41
4.0,2/22/2019,"Restaurant Week 2019 Winter ReviewGood spot for Pescatarians!!  Came for dinner. The $42 set menu was worth it! Dishes were finely done and flavours were interestingly paired. FYI the cocktails are named after famous japanese films  as is the name Mifune inspired by... ""This ambitious Japanese restaurant is named for Toshiro Mifune, an actor known for his performances in Akira Kurosawa's films Rashomon and Seven Samurai."" nycgo.com/restaurants/mi…",0,0,0,Amanda A.,"New York, NY",294,34,76
4.0,2/13/2019,"A solid choice for Japanese in midtown. I've been here for lunch a few times and dinner/happy hour once. It is a bit on the pricier side for lunch but I find the chirashi here to be a pretty good value for the quality of fish you get. My biggest surprise here was the happy hour which has subsequently changed since the last time I visited (just checked) - the 1 dollar oysters were amongst some of the best I've ever had, especially with the delicious purée on top. Sushi was also pretty good - I wonder if the fish sourcing occurs together with sushi Amane downstairs. Now seeing that they have changed their happy hour menu a bit, I want to go back to try it to see how it holds up.",0,0,0,Alexandra C.,"Queens, NY",5,73,150
