rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/26/2019,"Four of us at dinner. Staff got one entree wrong (they brought filet mignon instead of chicken) which was really not a big deal for us, but they took the entree off the bill. At more than $50 this was a really generous, unnecessary, but appreciated accommodation. All of our meals were absolutely outstanding. My filet was melt-in-your-mouth delicious. Service was perfect. The restaurant is cozy and classy. I wish I lived closer. I'd be back all the time.",0,0,0,M S.,"Florham Park, NJ",0,42,1
5.0,4/18/2019,"Sutton Inn is a sparkling gem of a restaurant. The food was sublime and robust, delicate and yet full of flavor. All staff where completely attentive and yet unobtrusive. Autumn was sweet and in total control of our dining experience. Ahmed was efficient and friendly throughout our meal. I would definitely recommend coming here for more than a special occasion.",0,0,0,Edward K.,"Manhattan, NY",7,96,8
5.0,3/19/2019,Obsolutely amazing! The Lobster Dumplings were to die for. From the cocktails to the appetizers to the entrees and deserts everything was superb including the service. Can't wait to come back.,0,0,0,Caroline C.,"Berkeley, CA",302,1,0
5.0,3/12/2019,"Sutton Inn has become my favorite dinner destination when I'm in Midtown NY... the dishes are superb, the wine list is short but well-curated... and the wait staff are awesome (especially Autumn!)",0,0,0,Richard V.,"Los Angeles, CA",53,4,0
3.0,2/16/2019,"Ginger and burnt duck is not exactly the perfect combination...I still give it credit for making me finish off what's on my plate. I do appreciate the fours gras mousse in so many levels. Overall, this restaurant deliver to what I expected. Just don't expect too much from it.",1,0,0,Joseph S.,"San Francisco, CA",0,3,0
5.0,1/10/2019,"Great neighborhood diamond.  The ""no-tipping"" policy is weird and cool.  Hard not not reward a server but I get it.  The food is always prepared perfectly.  On this visit, I had something most would say is simple.  Chicken breast.  Cooked to perfection, moist and flavorful.  Crispy potatoes were delicious.  Great quiet and comfortable neighborhood homey establishment.",0,0,0,David M.,"Newport Beach, CA",0,49,18
5.0,10/27/2018,"Great, comfortable atmosphere, excellent service from an inviting staff, delicious food from the bread to dessert. What more can you ask for?  Definitely adding Sutton Inn to the roster.",0,0,0,Michael P.,"Manhattan, New York, NY",0,17,0
4.0,10/27/2018,"Solid - nothing bad, everything delicious or better. Good mixologist bartending. Would happily go back especially to see how the menu changes. Plus best ice-cream I've ever tasted, stuck to the spoon.",0,0,0,Bright A.,"Belvidere, NJ",0,20,0
5.0,10/24/2018,"This is a great little place off the beaten path. Went in for dinner and was a little bit early. I was told by the very friendly waitress that I could have a seat despite them not being open yet and even though the bartender wasn't in yet she would gladly make me a drink.The food was well composed, fresh and tasty. I really enjoyed the seasonal lobster dumplings and the salmon was great. The deserts were also really good...They have a no tipping policy, so if you are looking at prices online keep that in mind. They aren't as expensive as they seem when you realize you aren't leaving a tip afterwards..Pro Tip: they have an arrangement with the wine store on 1st and 54th that if you buy a bottle of wine from the store they won't charge you a corkage fee. While you can't really see it from the outside because it is in the back past all the tables, they have a fairly nice bar. I would absolutely go back for dinner or even just a cocktail.",0,0,1,Russell W.,"New York, NY",40,150,0
5.0,10/2/2018,"The Sutton Inn is a great little place that is charming. I ordered the Winter Greens and Roasted Root Vegetable Salad, Entree-Salmon, and Dessert-Grapefruit Vacherin. The wine choice was great and coffee tasty. My husband ordered the Risotto, Entree-Chicken Breast, and Dessert-Pear.  Everything was so full of flavor. Now I did read about the small portions, and despite coming from an old school Italian culture where portion use to be important, same ole is great, I thought the portions were just right. I really enjoyed the different salad. I would say the food was on point from all perspectives: presentation, portion, and flavor. We will look forward to seeing you again. We love this restaurant. It is my absolute favorite for Service and Food!",0,0,0,Patty Ann M.,"Fresh Meadows, NY",1,99,66
5.0,8/19/2018,"Neighborhood gem.  Interesting wine list.  Great food.  The pea soup with vanilla and crab was dynamite.  Burratta was excellent.  Pork shoulder was very, very good (table next to me ordered it and agreed as well).  Steak was cooked perfectly.  EXCELLENT fried potatoes.",0,0,0,Christopher E.,"New York, NY",0,151,0
5.0,8/4/2018,"It's very easy to rate the Sutton Inn at 5 stars.  Service and staff were terrific and the menu offers a nice variety in a smallish restaurant such as this. The appetizer selections were varied and excellent.  Highlight was the very original grilled bluefish which was simply outstanding.  Not oily at all, very crisp and tasty. And it was easy to have a conversation at our table of four since noise levels are moderate.  Highly recommended.",0,0,0,Dennis H.,"Stamford, CT",0,19,1
5.0,7/28/2018,"Amazing food and service! Hidden local spot, I'll be back for sure.There's also a nice cocktail list and a bar in the back if you happen to be early.",0,0,0,Sandrine J.,"New York, NY",0,14,1
