rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/14/2019,"The House is my go-to happy hour place in Manhattan. The staff is always attentive and friendly and the manager - I believe he said his name is Adrian - is super nice, hardworking, and professional and makes customers feel very welcome. You just can't beat the upscale, but very comfortable atmosphere. Great place to bring friends or a date as the music is low enough to actually hear one another talk. The cocktail list is great, but I'd love to see some new drinks on the list as it's been the same for years now! Overall I highly recommend. Come for the cucumber martini & happy hour snacks (the deviled eggs are amazing) and stay for the truffle mac and cheese & brownie sundae.",0,0,0,Ella G.,"Manhattan, NY",0,2,0
5.0,4/7/2019,"Hidden gem!  So glad we found it. Charming setting inside a town house, servers couldn't have possibly been more pleasant and professional. And the food was absolutely delicious. We had French toast, flat breads, lobster club, soup, and home fries. One dish was better than the next. We will definitely be back!",0,0,0,Jennifer S.,"New York, NY",0,28,0
4.0,3/11/2019,"I'm not usually one to think about making it to Happy Hour (I still say it's kinda sad when you really think about it, but I'm prone to overthinking things). Our small group was celebrating a colleague and if I have to do HH anywhere, I will say The House is the place to do it... and do it with style! I love this place. I can't speak to the food (there's sadly nothing vegan nor the possibility to veganize anything), but quality craft cocktails and wine at a significant discount has me all gaga. What's more? It's both elegant and cozy at the bar area, which is next to a crackling fireplace. Yes, I will winter here. I started with a positively delicious blackberry fizz, made with beloved Mezcal and something about the smokiness of the Mezcal mixed with the sweetness of the berries and, uh, ""fizz"" is pretty dang magical. Not to mention the bar goddess of the hour was a pleasure to speak with. We couldn't even overwhelm her with our requests for more and more, even as the place filled up around 6pm. The environs and the offerings of the House really made me feel... at home (and possibly at peace with throwing a couple back before dark).",16,6,13,Joi B.,"Hudson Valley, NY",3982,1796,1305
4.0,3/11/2019,"I used to associate ""happy hour"" with $2-5 (depending on the level of class we were going for) well drinks and beer, standing room only dives, lascivious women, questionable decisions, and hangovers.The House (and my old age) has me rethinking what it can be. High quality cocktails, good wine, refined appetizers, and relaxing in a beautiful room with a fireplace...times have changed. The House is a very classy restaurant that just happens to offer half-priced cocktails after work, and didn't realize that they were going to bring riff-raff like us in with such a deal. We stayed too long, had too many, cramped the bus boy's style in the small space...and I'd do it all again. If only for the grilled pineapple and jalapeño margarita, and the deviled eggs.",9,5,13,Peter D.,"Brooklyn, NY",4675,3021,10459
5.0,2/26/2019,"I should just let you know that this review is only for the cocktails and the deviled eggs. Not like there is anything else that is vital to a successful happy hour. I can only speak to the main floor, the one with the bar and gorgeous fire place that makes you feel like you are in your dream living room. It is cozy and warm and our group of 6 fit perfectly around the bar. At half price cocktails starting at 4:30, I think this makes for an ideal little spot to grab drinks. Granted, they are normally $17 cocktails but still -  They are strong and tasty and the setting is beautiful, so the happy hour price is well worth it. I got two drinks: The blackberry fizz (you can realllllly taste the Mezcal) and the grilled pineapple and jalapeño margarita. The margarita stole the show. Highly recommended. I tried my best to keep my excitement under wraps when my group ordered a few rounds of deviled eggs.  I apologize for not doing so well. But they just looked so great, and each order came with four different flavors: caviar, bacon, lobster and jalapeño. Get. The. Eggs. The bartenders were wonderful and friendly, the ambiance was cozy, and the drinks were great. I highly recommend for Happy Hour!",6,3,7,Katarina L.,"Whitehouse Station, NJ",487,143,311
5.0,2/17/2019,Loved this cocktail bar. This is a hidden gem in the union square neighborhood. Perfect place to go for date night or catch up with a friend. The ambience was absolutely perfect- not too loud or too quiet. The drinks were also amazing. Very refreshing yet still strong. Would definitely recommend and come back!,0,0,1,Jannatun N.,"Queens, Queens, NY",1,25,5
4.0,2/17/2019,"Stopped in here for Winter Restaurant Week on a Tuesday night for dinner. We were seated right away and went through the menu. I ordered the Burrata with peaches, Scallops, and Royal Dome for dessert. Everything tasted very good. I loved how all the flavors blended together unexpectedly; like the saltiness of the burrata with the honey covered peaches. The only think i will point out is that it may not be diet/food allergy friendly. My friend has an allergy to dairy and she had some trouble finding things that she was able to eat. Ambience is very cute. The first floor of the house has a bar with a few high top tables, while the second floor is filled with 20 or so smaller tables. We were lucky enough to sit upstairs right in front of the big window (a fun view!). Given the proximity to others, it's a little tight in there, but not annoyingly so. Service was equally as good. Our waiter and the other guys working were attentive, friendly and not pushy at all. They let us sit and enjoy without feeling like we needed to leave as soon as dessert was done. Overall, I highly recommend this place for a date night or a catch up with a friend. It's a fun setting for a nice cozy meal and drinks.",0,0,0,Marelle C.,"Manhattan, NY",192,154,0
3.0,2/9/2019,Great ambience and decent food. Service is a little uneven but very friendly. Overall it was an enjoyable experience due mostly to the atmosphere,0,0,0,Brian G.,"Montclair, NJ",3,28,19
3.0,2/2/2019,"I wanted to like this place but it's pretty meh. We live in Gramercy, better off going to Friend of the Farmer. Right around the corner w better service & vibes. Very pricey for the simple meal although the free pastries are excellent (not sure if these are made here). Expect to spend minimum $40 per person for a meal. Would recommend for drinks and desert, that's about it.",0,0,0,Evan D.,"Washington, DC",7,16,2
2.0,2/1/2019,"Only thing going for this place is the historic ambiance. Hosting staff was rude, service was poor, food was low quality. It doesn't seem like anyone is looking after what could be a good neighborhood restaurant - lights were burned out in the main dining room and tables were wobbly. Really wanted to love it since we are neighbors but won't be going back.",0,0,0,Jamie R.,"Cambridge, MA",0,15,0
5.0,1/7/2019,"Great service. Wonderful ambiance. Fantastic foodWonderful area. Take your date, business partner or just enjoy by yourself. Worth checking out!",0,0,0,Marion M.,"Manhattan, NY",0,1,3
1.0,12/15/2018,Don't get stuck in the cellar... no ambiance . If you like to sit near a bathroom and watch them wash dishes it's your thing.,0,0,0,Amy M.,"Jersey City, NJ",0,2,0
