rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/30/2019,Really Great service. The cocktail I had was incredible it was a play on a sidecar but with banana and I have been dreaming about it. The hummus was delectable. My only issue was the atmosphere was a little too hotel-y for me. Like the restaurant had a rug and I find that weird. Otherwise a terrific meal.,1,0,0,Alyssa K.,"Midtown East, Manhattan, NY",485,11,2
4.0,4/29/2019,Went here for my birthday dinner. They gave us a glass of champagne to toast our meal. This was a great welcome treat. The food was excellent. I ordered the sea scallops which were incredible. There were only three on the plate which was a small serving but I was full by the end of the meal. We also got a side of the brussels sprouts and the hummus appetizer both of which were very good. I had a glass of wine as did my husband. The service was impeccable. The restaurant itself was quite empty however the bar was very busy. They look of the place was very clean and crisp. Also the bread pudding dessert was very good.,0,0,0,Molly F.,"Manhattan, NY",69,50,1
3.0,4/25/2019,I just had lunch here and they had no waiters or waitresses. The bartender took all of our orders and attended to us. Where is the service? Food was really good tho. The dessert was delicious.,0,0,0,Ivelina I.,"Bronx, NY",21,3,0
4.0,4/24/2019,Delicious handcut fries! The capers on the baba ghanoush was not so good though...nor the popcorn on the salmon...!,0,0,0,Yussef A.,"Manhattan, Prince, NY",0,55,0
5.0,4/24/2019,I stayed at the Mondrian and I am glad I got to experience Cleo. Great food and service!,0,0,0,Wendy T.,"CORONA, NY",35,8,0
5.0,4/18/2019,"I came in for lunch, and we had the hummus and greek salad for appetizers, then we had the grilled octopus and burger for main - and it was all fantastic! I'll definitely come back!",0,0,0,Viktoria A.,"Manhattan, New York, NY",0,2,2
5.0,4/13/2019,Wow .....if your looking for a great atmosphere that may be the most welcoming in the city stop at Cleo.  Starting with Jimmy the bartender.....your welcomed with an expertly made cocktail where you can also get some great snacks. But most of all Jimmy interacts with everyone at the bar and soon everyone is chatting exchanging stories and that's what makes Cleo a must visit place. Stop by and see Jimmy ..... and tell him I sent u.,0,0,0,Jim B.,"Manhattan, New York, NY",0,1,0
5.0,4/12/2019,"The Cleo Miami location was one of my favorite restaurants ever with amazing food and even better service! When that location closed, I was SO disappointed. When I found out they were opening a NY location, I was absolutely thrilled and hoped it would live up to the standards of the Miami location. My boyfriend and I were excited to celebrate our 7 year anniversary at Cleo and noted in the reservation that we were celebrating a special occasion. From the start, our waiter went above and beyond to make the dinner one that we would not forget! The service was impeccable- he took our order promptly and then surprised us with a glass of champagne. The food was amazing, especially the steak kebabs, Brussels sprouts, and zucchini chips. The shrimp was a little lackluster, but definitely didn't hold it against them since the balance of the meal was incredible. Cocktails were well crafted and flavorful, as well. Next, the waiter treated us to two complimentary desserts and a handwritten note congratulating us on our anniversary. All VERY thoughtful and outside of the scope of what a typical restaurant would do to help celebrate a special occasion. We will 1000% be back and will recommend this restaurant to anyone looking to have a wonderful dining experience! Thank you Cleo NY!",0,0,0,Katie G.,"Manhattan, New York, NY",0,3,0
1.0,4/12/2019,"I am truly shocked that this place has over 4 stars. I came here for breakfast and it was a disappointing experience from the moment I walked through the door...where I was not acknowledged (there were maybe 2 other parties dining at the time). So after waiting, I sat myself. At least 3 different people walked by me but ignored me and so after about 5 minutes I walked up to the host stand and helped myself to a menu. After about 7 minutes someone finally came over where I proceeded to order an American Breakfast and a Bellini and was told ""not sure if we can do the Bellini"". A normal person would assume that the waiter would go check on the Bellini, determine if they had the ingredients and then report back to me to see if there was something else i wanted. But no, they continued to ignore me. I wasn't offered water. I wasn't offered coffee. This is just standard for breakfast service!! I finally received the food and had to flag down the waiter for Salt and pepper shakers and ketchup....and he just kept walking by me. Waterless, coffeeless me. After my meal was 90% finished, the ketchup came. At which point he informed me that the Bellini wasn't possible. 45 minutes later?! Thanks shithead. WORST SERVICE EVER!!!!!!",0,0,0,Bean T.,"Boston, MA",0,10,0
5.0,4/11/2019,"Amazing atmosphere and unforgettable food!Mussels go with such a delicious sauce. Definitely recommend for an app.Although I'm not really a big fan of ravioli, but I'm so glad I tried it here. It consists of many different ingredients that all together create a great unique taste. Cheese is a little bit sour, dry basil, pumpkin seeds and pieces of sweet pumpkin I will definitely come back, as there are more things to experience;)",0,0,0,Anastasiia B.,"Manhattan, New York, NY",59,3,5
