rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/22/2019,"Come hungry and ready to savor the best sushi in Chelsea. Seriously, I'm picky when it comes to my tuna but Naoki are amazing. They also have a whole new menu, which in my humble opinion, is far better than the one before.If it's just the two of you, I highly recommend ordering the Delight option from the tasting menu. Naoki also has a great sake selection. I, for one, loved their Plum sake.Staff is very, very nice. They will call you ahead of time to make sure you're coming and yes, you will have to provide your credit card.",0,0,1,Tatyana F.,"Falls Church, VA",118,133,34
4.0,4/6/2019,"A nice place for a quiet, elegant Japanese meal.We had the prix fixe meal as a party of four, and we also split two sake tastings as a table. Overall, the quality of the dishes was excellent with fresh seafood. The service was also quite good, and the ambiance is dark but a good place for a quiet, private meal for small groups. It's not too cheap, but it's reasonably priced for the quality of food.",0,0,0,Dennis J.,"New York, NY",13,792,33
5.0,4/3/2019,"Naoki Takahashi was an amazing experience! Both me and my best girl friend felt so spoiled after this night. The boyfriend surprised me with a reservation here and made advance payment for the Naoki Kaiseki dining. We were greeted immediately with smiles when we entered. Gorgeous garden where we were sitting at. Hostess and server was very friendly, attentive, and considerate! This was a night that we will always remember. Naoki Kaiseki Menu & our dining experience: AmuseBluefin Tuna & Scottish Salmon Tartare with Caviar - this was very flavorful. So yummy as a started.FirstKing Crab Yuzu Cerviche- the meat was so yummy and tasty! Cerviche gave this an extra kick. Second Scallops & Mushrooms with Sweet & Spicy Garlic Sauce- this was so good & garlicky! Soft Shell Crab Spring Roll - crab was crispy and soft at the same time Black Cod with Saikyo Miso - the fish was so soft. The Miso was on point! Third Whole King Crab Leg Glazed with Uni Sauce - can't get enough of crab meat! So fresh! Wagyu Sukiyaki - oh em gee. The meat was so soft and melted like butter! The sukiyaki broth was so tasty! Fourth We had the sushi chef surprise us. The sushi was good, but some didn't taste the freshest. Still enjoyed everything! Dessert Matcha a Green Tea Brûlée - so creamy and yummy! Black Bean Pudding - oh me gee! This hit the spot! This was an such a delicious meal. We both ate so much this night and got super full with everything. It was such a great way for us to end our New York trip! Overall, if I am in the area again I will be back here for sure! Thanks to the bf for making this happen! AS ALWAYS, NOM FOR LIFE!",26,17,25,Natasha N.,"Orange County, CA",1070,540,5412
4.0,3/11/2019,"A little pricey, but kinda worth it.Tofu steak impressed me. Slightly sweet tofu on a hot rock, dipping in sweet miso sauce, just tasted perfect.Soft crab shell karaage was nice as well, but not very impressive comparing to the tofu steak.King crab legs were just fine. The sauce was too light. However, the cod was the best, nicely grilled, very soft and sweet. In addition, it used my favorite sweet miso as the sauce. The baby peach on side was truly sweetish.As for dessert, try black sesame pudding!",0,0,0,Ray Y.,"Boston, MA",14,356,509
4.0,2/16/2019,"17 Syllables about Naoki TakahashiPoached egg dipping sauce,Savory softshell crab too.Restaurant week meal!",0,0,0,Rinesty R.,"Denver, CO",125,15,19
2.0,2/14/2019,I am literally at this restaurant right now and am having the worst restaurant experience I have ever had in my entire life. For a NYC restaurant it is completely unacceptable. First we were sat 30 min past our reservation. We tried looking for another reservation but last minute on Valentine's Day is difficult. I knew we were in trouble when I saw all of the receipts at the kitchen window that still needed to be fired. Multiple tables have angry patrons waiting for food.  We were really sad to have such a terrible valentines experience at a restaurant we were looking forward to eating at. We sat for one hour and we only just received our appetizers (it was 10:36 from our 9pm reservation.). My boyfriend literally was begging them to give us any food bc we were so hungry. The kitchen obviously was unable to handle the number of reservations and the set menu they made. We were served my appetizer and they did not serve my bf appetizer for 15 min. He had to ask them for food. The appetizers were cold / mediocre. Chawamushi and calamari was cold (it's supposed to be warm to hot.) Lobster tempura and sashimi appetizer were delicious. The steak and black miso cod were perfectly cooked. Sushi fish was good quality. Yummy Uni! Very flavorful miso soup with tofu skin. Washu sukiyaki was perfect. Not too sweet and not to salty with a delightful onsen egg. The food was good it's unfortunate the night was poorly planned for them. I feel bad for the servers. They had to deal with many upset tables. For desserts we had a lovely ichigo mochi and green tea matcha crepe cake. Despite all the fuck ups on the service they didn't even comp us on a single drink and rushed us with the check before we even finished our dessert.  Poorly managed restaurant and multiple unpleasant conversations with the manager/ hostess woman.  Didn't want to not leave a tip and fuck over the waiter and totally contemplated just walking out on this bill for the first time in my life. Totally ruined our Valentines Day experience.  Apparently the chef recently left the restaurant. To boot a mouse ran across the grating as I was walking out of the restaurant door.,1,0,0,M L.,"New York, NY",294,90,28
5.0,2/13/2019,"Restaurant Week for Dinner. Inner Japanese Garden looks great. Appetizers we ordered soft shell crab, very crispy. Nigiri was great. Also ordered seafood tempura as appetizer, delicious.",0,0,0,耘启,"Flushing, Queens, NY",0,2,4
2.0,2/12/2019,"One word: unimpressed. The décor inside is spectacular, but for all the money we spent at this place, I was expecting the food to taste divine. Instead, my local Japanese takeout serves better tempura. My husband and I came here for restaurant week. I had ordered the soft shell crab as an appetizer, the lobster tempura for the entrée, and strawberry daifuku as dessert. The soft shell crab was good (a bit oily) but portion size was small and left me wanting more. The lobster tempura was extremely oily with no flavor whatsoever. NONE. The daifuku was good, but nothing memorable.What did it for me is that they had not taken my intolerance to mushrooms seriously. When the waiter came to take our order, I had advised him of my intolerance to mushrooms. He guaranteed that none of the food would be prepared with mushrooms. In addition, my husband had called the restaurant in advance to ask if they could prepare the dishes without any mushrooms. They had said yes that they would make the accommodation. To my surprise, the rice and miso soup that was served along with the tempura had mushrooms. My husband ended up eating the rice and miso soup. However, this should not have happened, especially since we had told the restaurant twice of my intolerance to mushrooms.Overall, we were was disappointed and left unsatisfied.",2,0,0,Amanda D.,"Newark, NJ",375,296,83
2.0,2/8/2019,"Came here for restaurant week, and left rather unimpressed, especially for the price we paid for it. The two things that lived up to the price was the sashimi ($50, 12pcs) we ordered outside the restaurant week menu, and the sake (cold mountain?) we ordered that was pretty good.We did order the restaurant week dinner menu (soft shell crab kara age, sobanomi truffle risotto, washu beef sukiyaki, tempura with shrimp, and both dessert) Because we started off with sashimi, we were pretty excited to try the meal, but first, the kara age crab came out cold. When I asked the server if that was how it was supposed to be, she apologized and told me that they were making a new order for me. When it came out again, I noticed that the shape of the kara age was suspiciously similar to what I tried before, and more importantly, it was still not hot for something that had just been fried. Having also had their tempura as the main dish, I don't think they have the right batter for all their tempura, which was really disappointing, especially for an upscale kaiseki place. Moreover, I also think their oil isn't fresh enough as all the fried items were rather stale, again, for an upscale kaiseki place. Risotto was okay (truffle anything is really hard to mess up), and sukiyaki was also okay, but both kind of meh.I don't think I'll be going back to this place, except for the sushi. But even that, I feel like there are good and less expensive ones in the city. It was disappointing.",0,1,0,Kay Y.,"Jersey City, NJ",0,3,0
5.0,2/7/2019,I was taken here for my birthday. I loved the food and felt the service staff went above and beyond. Delicious and memorable.,0,0,0,Cason K.,"Manhattan, NY",328,15,0
3.0,2/3/2019,"Dined at @naokitakahashinyc for NYRW ($42 pre-fixe menu). Food was good, service was GREAT but menu was EXTREMELY overpriced for what you're getting. I had the truffle risotto to start, a tofu & veg sukiyaki as my appetizer and then the matcha tiramisu (which I ended up giving to my friend). ‍ Small portions all around and with tip, the entire meal came to $70 per person for what I felt was just okay food. For that price, I expect fo be blown away.",0,0,0,Ruth U.,"New York, NY",33,181,236
5.0,2/1/2019,"Very impressed!  My girlfriend and I are here now for restaurant week and while I usually don't write the review while I'm at the restaurant I felt compelled to do it this time.  The food is artistically prepared for every dish and is presented in an elegant fashion.  Everything was delicious.  In addition, we are seated right alongside a garden enclosed in glass in the middle of the restaurant.  The ambiance is on the same level as the food.  Dimly lit and beautiful.  Service is quick and attentive.  Would definitely return again!",1,0,0,Garrett D.,"Jersey City, NJ",3,66,5
1.0,1/28/2019,"Totally not a good experience. I came for restaurant week.  The menu has appetizers, main course and desert.  We waited very long, and the main course come out first??? So she took it back and we wait again, finally the appetizers is here but then they taste like it already made for a while because they are not hot.So we wait again, main course is here, sukiyaki and shrimp tempura. The pot of sukiyaki as I know it is very hot BUT the waitress did not mention anything... and the Tempura is soo oily and again they are not hot...Also want to mention about the rice, it is extremely dry it taste like the rice not yet done and it is not hot again, they put rice in the bamboo container ahead of time. So end up because of all waiting and mess up the order, they gave a free desert to us which I appreciated. But overall experience is not good. As a high end Japanese restaurant the waiting time of food, the time manage to serve the food, the service, and the quality of food that should not be like what I experienced.  As I seen not because I am ordered the restaurant week menu which got bad experience, I can see the next tables they are waiting long time for food too.",1,1,0,Joyce W.,"Fresh Meadows, NY",1,6,12
3.0,1/27/2019,"This review is solely based on the restaurant week experience.Seeing that this establishment had so many fantastic reviews, I decided to come here with my bf for our anniversary and birthday dinner. Lovely interior, like all the pics on yelp show- simplistic, lots of wood, cute little zen garden to gaze at during your meal. Music is soft but sometimes eclectic. I find myself confused when the eclectic music came on cause it felt cluttered which was different from what the interior suggests. We ordered the restaurant week menu and we ordered the soft shell crab, nigiri sushi, matcha tiramisu, daifuku, and they gave us complimentary matcha anmitsu. The soft shell crab was delicious but left us wanting more. When our entree of nigiri sushi arrived, my boyfriend and I felt disappointed. The fish was fresh but there was an unequal amount of wasabi placed under each fish. My boyfriend had a few pieces of sushi with so much wasabi and I had an underwhelming amount of wasabi (I didn't even notice it). Some pieces felt so overpowered by the wasabi that we couldn't appreciate the fish. Very anti-climatic starting the meal with a fantastic appetizer then served fish that was overpowering and not special. The desserts were quite nice, the matcha tiramisu had a wonderful texture. The daifuku served was only half a daifuku, which I definitely would have preferred a full one. I understand the pricing of the RW menu was less than their other kaiseki courses, but being served half a dessert was odd. Overall the meal left our palate and stomach unsatisfied. We had no wait time, they sat us right after we entered the establishment. Service was nice, our waitress was attentive and kind. I can't complain about their service but there was nothing spectacular either. I would not suggest coming here for restaurant week. Maybe if you're willing to splurge on the Naoki Kaiseki set then you might have a nice meal. Maybe.",6,3,2,Jodie Z.,"Brooklyn, NY",159,74,679
4.0,1/26/2019,"Ambiance is amazing.  It is an almost secluded area in a busy Chelsea neighborhood.  If you want privacy or hiding , it's a place to have intimate conversation.  Restaurant week menu that included washu beef sukiyaki and sushi were good but not exceptional. Overall, I recommend the place.",0,0,0,Arlene A.,"Manhattan, NY",1,29,71
1.0,1/26/2019,"Con:The waiting time for food is FOREVER!!You should only go If you want to test your patient level! as I said it takes forever to get the food, but when it comes to the BILL, it came so quickly!!(we were still eating dessert!). Very bad experience, won't come back again. Pro:The food ingredients are good and fresh",0,0,0,Siyuan L.,"Manhattan, NY",189,8,10
3.0,1/19/2019,"Overall love the decor and the visual but felt just ok about the taste.The restaurant was beautiful and the garden inside was zen/tranquil/elegant and quite unique - for a moment you feel you aren't in Manhattan.I had the lunch set which was so beautiful arranged in a basket. As a Japanese food enthusiast, I felt the taste itself was so so. If you aren't so particular about the taste, you might feel better about it.",0,0,0,Sam A.,"Manhattan, New York, NY",53,5,8
5.0,1/17/2019,Excellent Japanese restaurant with a nice variety of food! The prix fix menu is very well thought out and every dish is memorable.,0,0,0,Albert K.,"Fort Lee, NJ",1,6,0
5.0,12/11/2018,"Amazing. We had chefs choice and sparkling sake. What a great looking restaurant, service and food.",0,0,0,A H.,"Van Nuys, CA",1,87,6
4.0,12/8/2018,"The ambience was great, I enjoyed the dinner so much. We ordered the Naoki Kaiseki set $128/pp, everything was great, delicious. The whole things made you super full. Lol please bring in a empty stomach to try. Bluefin tuna tartare was great to start with, very rich and fresh. I think the most impressive dish to me was soba risotto, fist time to try it in Japanese style, was small portion but taste was great, very rich with the truffle oil. The king crab and Washu beef was okay, I can taste little bit burn on the beef, maybe we took too long to eat it. My bf said the black cod looked sad just becoz it was on a black plate, kinda surprise us once we try it, the flavor was very rich don't know how to explain, but i think this one is better then the washu beef and king crab. For the A5 wygu beef sukiyaki, you cooked it with very heavy flavor soup, and then dip into egg, the beef was very soft. I just love it. Overall was great!! Highly recommended!!",4,0,1,Yuni C.,"New York, NY",23,55,307
1.0,12/7/2018,"Very bad service, over priced. I was unhappy with my dish and the manager didn't even came to talk with me. The place is underground loud and small.",0,0,0,Oz N.,"San Francisco, CA",97,9,0
1.0,12/7/2018,"Such a disappointment! I'm visiting from out of town and decided to take myself out for a beautiful Japanese dinner but was horrified with how the handled my gluten intolerance. After sitting there for over 20 minutes while the server went back and forth between myself and the kitchen relaying second-hand information while the staff talked about the ""allergy person"" loudly, I eventually ended up leaving the restaurant without ordering. It's 2018! If you are operating a restaurant and can't figure out how to make a few substitutions on your tasting menu with an allergy without humiliating your guests than you need to get out of the restaurant business!Update: I was not offered a gluten free menu as the owner stated in his reply. Additionally, a suggestion that one should somehow know to inform a restaurant way ahead of time of an allergy before assuming that they can dine there is not only arrogant, but also completely unrealistic. This is not a peanut allergy in which I might die. It's a damn gluten intolerance. Smh",1,1,0,Becca B.,"Grass Valley, CA",0,21,13
