rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,5/1/2019,"This place is an insult to Indian food. Everything felt so forced to make an Indian dish modern. In doing so , taste and texture were both sacrificed. Indian food is so wholesome and flavorful. It looks like Junoon doesn't cater to the individual but are just obsessed with the Michelin star. This being said, I do hope everyone tries Junoon at least once. It is good to acknowledge an attempt at uplifting the flavors of India.Innovation in Menu - 1 star Taste - 2 stars(only because of the sponge cake) Ambience- 5 starsService -2 stars ( maybe I should have worn better clothes, and I would have been treated better)",0,0,0,Ab G.,"Cupertino, CA",0,4,17
5.0,4/28/2019,"We tried the tasting menu, which really stuffed us. There were many courses with some amusement plate. Coming with the last entry (meat) were the rice, naan, lentil soup and some kind of yoghurt. We were surprised that the portion was so huge. The food was delicate and the taste was great. There was a very spicy green sauce. I mentioned it to the waitress and she gave us a msngo lasse on house. We like the lobster the best. The curry with it was delicious. We came here for my husband's birthday. We were given a birthday cake on house. In all, that's a lot of kinds of food to eat with a reasonable price and good service.",0,0,0,Shirley Y.,"New York, NY",55,71,322
5.0,4/26/2019,"Had an absolutely excellent Friday night dinner here tonight with a date. Classic Michelin experience. One of our many servers was Ahmad, and he took the time to stop before our dishes even the ones he didn't bring out to make sure we understood what we were having and explained the spice and other details in the dishes. I highly recommend the 6 or 7 course tasting menu, I'm a fast eater and was here for 3 hours - and it wasn't dragged out it was well enjoyed, and the food never felt forced somehow there was always room. It was great having a Michelin experience aside from French or New American or other traditional category. I'm surprised the reviews aren't higher, I've ate at Eleven Madison Park and many other Michelin restaurants and this was definitely high up there. I'll be back.",0,0,0,Jon L.,"Brooklyn, NY",182,144,350
4.0,4/20/2019,"Great food. Went there for lunch, the only thing I would like to critique is the price point for the cocktails. Other than that its a fab place!",0,0,0,Manas J.,"Hartford, CT",104,6,0
5.0,4/20/2019,"This is the best Indian restaurant in NYC, had testing menu with my friend, was a great experience, awesome food and service, everything was amazing, especially the lobster, must try! Definitely will come back!!!",0,0,0,Troy L.,"The Heights, Jersey City, NJ",0,1,0
4.0,4/19/2019,"This is my favorite Indian place in the city. The bar area is pretty neat and very nicely decorated.  I love the ambiance, lighting, and cleanliness. It's also very spacious, and it's great for big parties and small.The food is always delicious.  I noticed they have changed their menus a few times over the years, but they consistently have good food which is what matters.I prefer eating by the bar versus the restaurant.  I feel that the service is better, and it's more chill at the bar.  The restaurant area is more uptight, and a bit too fancy for my taste... and I'm a pretty fancy gal. The waiters in the restaurant area are not that nice and could be more professional.  I feel that's something Junoon could work on.Out of all of the Indian restaurants I've been to, (and I've been to a lot), this is still my favorite.Update:Deducted one star because trying to order takeout is a headache.  :(",0,0,0,H P.,"New York, NY",142,18,0
5.0,4/13/2019,"Had the pleasure of celebrating my birthday dinner here and was pleasantly surprised at how good the food was. I'm familiar with Indian cuisine so I knew what I was getting into. I had the 7 course tasting, which was recently updated and it was so, so good. Our waiter, Daniel, was very informative and even had the sommelier help us pick a wine that was close to my favorite. It went very well. Some highlights included a risotto-style dish with some masala spices and the ghost pepper chicken. The hara paratha (hopefully that's spelled correctly) was perfect and the desserts were creative. The ambiance was perfect for a date night and the place can get full quickly. I left very full, which is rare for a tasting menu and very pleased with the service and food. Will be returning soon to explore more on the menu, thanks to Daniel making our experience great.",0,0,0,Just B.,"Boerum Hill, NY",164,5,9
4.0,4/10/2019,Lamp shank was good but not great. Meat was cooked perfectly but a bit too spicy which kinda overwhlemed the tenderness and juiciness of lamb. Nice atmosphere. Very few people on a weekday.,0,0,0,Yilong W.,"San Francisco, CA",2,8,8
4.0,4/7/2019,"Eating at a Michelin star restaurant is on the wish list of any foodie. Being an Indian restaurant with Michelin star rating, Junoon had been on my list for 2.5 years. I feel it's not always about how good the food is; fine dining is an experience of it's own kind, meticulous detail to food presentation, uniquely crafted menu, exquisite decor combined with hospitality makes it's a memorable experience. On an extremely cold December afternoon, I headed there for Lunch with a bunch of friends. Since it was lunch time, Patiala Room is the only option available. Patiala room is ideal for a laid back experience onlooking the 24th street. There's no dress code for dining in the Patiala room.I opted for the prestige lunch prixe fixe option which is a 3 course meal. One thing I'll say is that the dishes in the menu were the first of a kind experience for me, they weren't the cliché north indian dishes you will find in restaurants.Egg plant chat was one of the best dishes !!Lal Mirch Ka Paneer was good, the combination with a sweet fig chutney tasted really good !!Paneer Pukhtan was mediocre, a little bland though for a north Indian curry.Kulfi platter had mango, paan leaf, rose petal and saffron-cardamom flavors. All of them were delicious.OverallFood : 3/5Ambience : 4:5Service : 5/5Value for money : 4/5I'll say, visit for an experience rather than having high expectations from the food.",0,0,0,Shalin P.,"NO POTOMAC, MD",0,5,0
3.0,4/6/2019,"Junoon is a pleasant experience, though having been open since 2011, has some hallmarks of a restaurant losing sharpness as the years pass. Elements of the design feel outdated relative to newcomers, and some of the staff lacked warmth and professionalism consistent with a Michelin starred venue. Our waiter and somm were notable exceptions; they were great. While the food and drink were quite enjoyable and tasty, there is a real question of value relative to other Indian restaurants in the city. The cuisine lacks a level of refinement that this price point and a Michelin star connote, particularly relative to competitors such as Indian Accent that truly elevate Indian cuisine. Would certainly consider returning to the bar area/Patiala Room for a less costly, more casual evening. Yet for true fine dining and the money, think there are better options.Atmosphere-Elements of the design are passing their prime, particularly in the main dining area, which felt more early 2000's type era.-Bar area is quite nice, design feels more up to date here. Upscale but not too formal.-Dress was generally smart casual, though plenty of people in jeans. FoodOne thing is certain: you will not go hungry. The two- or three-course options ($69-79) provide plenty of sustenance with naan, rice and daal included. Flavors are bold and there are plenty spicy options for those who like heat. Everything was very tasty, though not outstandingly memorable per se. On our visit we enjoyed:-Ghost Chili Murch Tikka (tandoor chicken thigh, pistachio sauce, braised leeks, gooseberries): VERY spicy, so for me, perfect. Nice depth of flavor, perfect on a cool day. Meat was quite moist and tender. Would order again.-Lal Mirch Ka Paneer (house made cheese, apricot chutney, apples, brulee figs): Most refinement in terms of what we ordered. The paneer was very fresh, and of lovely texture. Accompaniments were well balanced. Recommend!-Shahi Lamb Shank (black cumin yogurt curry, garam masala, potato salli): Gigantic portion, super tender but a touch dry. Flavorful and tasty, a safe, if unexciting, choice.-Lal Mas (goat meat, red chili sauce, garlic, coriander, garam masala): Straightforward, prominent red chili flavor. Not overly spicy, but with a good lingering heat. Enjoyed the smokiness.-Kulfi Pops (mango, paan leaf, rose petal, safron-cardamom): Cute presentation and a tasty, lighter option to conclude, though feels overpriced.Accompaniments (all included): Daal Makhni, Yellow Daal Tadka, Basmati Rice, Garic Naan, Za'Atar Spiced Naan, Mint Raita, Chutney TastingBeverageWe began with cocktails in the bar area, which was sparsely populated until after 7pm, making it easy to get a seat at the bar. Really enjoyed the cocktails here, and highly recommend them. Both the Mumbai Margarita (Patrón Reposado Tequila, mango purée, lime, rose-chili syrup, spiced maldon salt - $17) and El Matador (Los Siete Misterios Mezcal, lime, curry leaf jalapeño-maple syrup, turmeric tincture - $16) had unique layers of flavor and went down easy.With our dinner, we opted for the 2011 J.J. Prüm Riesling Spätlese Wehlener Sonnenuhr ($115) which was excellent against the spicy and complex food. Wine list has extensive German, Austrian and French whites that pair perfectly with the menu. In particular, many of the options are sub $125 but do not compromise on quality, which is great. Nice selection and our interactions with the somm were positive and enjoyable.Service- Our waiter and somm were professional, knowledgeable and approachable.- Somm did an excellent job discussing pairings with Indian food. She was very passionate about wine.-Sort of a mixed bag otherwise: hosts/bar area not particularly warm and hospitable, food runners did not know what was in some dishes.",0,0,0,D. L. J.,"Manhattan, New York, NY",1,115,647
