rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/12/2019,This restaurant is definitely for the tourists of the world. It's very loud the food is just OK but not great. We also had absolutely awful rude service. If you enjoy paying $16 for a small glass of wine and have the waiter  act as if you're a pain in the neck this might be your place.,0,0,0,Bonnie B.,"Manhattan, NY",3,33,0
4.0,3/23/2019,Nice little neighborhood spot with great French onion soup and cheese puffs. Wine list is solid too. Great place to get away from the Midtowny/Times Square vibe that infuses most of the other restaurants down this way. Did I mention that you should get the French onion soup for sure?,0,0,0,Christina P.,"San Francisco, CA",26,40,3
4.0,3/23/2019,"If you're planning to attend a play and want something convenient, Brasserie Cognac is a great option.  Our family has come here for years and every entree is fantastic.  Definitely inquire about their daily soups and if Pumpkin soup is an option, get it.  Bon appétit!",0,0,0,Etienne H.,"Redondo Beach, CA",96,161,482
4.0,2/10/2019,"Great food at a great location. Not too far from Times Square, this place has a prix-fixe menu between 5-7pm. Far from being a touristic spot, this French restaurant with reasonable prices is highly recommended. Seating is comfortable and you can actually have a conversation in this place. Onion soup is a must.",0,0,0,Muhsin C.,"Niskayuna, NY",1,18,11
4.0,2/9/2019,"This restaurant caught my eye from outside, went to check the menu before I walked in and it already looked great. The decor inside was fantastic which gave you a French Bistro feel. Our waiter was very nice and the service was great. I started with their Manhattan cocktail which was very good. We had calamari and salmon tartare for appetizers, both great. For my entrée I had the truffle Mac n' Cheese which was succulent. Overall great restaurant.",0,0,0,Leon K.,"Laval, Canada",0,6,0
2.0,2/8/2019,"It was SO mediocre. The cheese fondue tasted like it was diluted with cream, it did not taste like solely cheese/ wine/ liquor as it supposed to be. I have eaten ALOT of fondue in my life and made it many times, this was not traditional fondue. The menu also mentions nothing about added cream, but there was something off. The mussels had a nicely flavored sauce, and my beet salad wasn't bad, that was the meals saving grace. Although the mussels had a tasty broth, the French fries that came with were quite flavorless and soggy. Luckily, I had the stale breadbasket to soak up the sauce. Another person in the party ordered a cheeseburger, it was delivered so rare that it was almost raw. I love a rare burger, this was raw meat. Sent it back, came back raw again. Sent it back second time, came back totally well done, charred to a crisp. On top of all that, our waiter seemed to have a bad attitude the entire time, despite us truly doing nothing to upset him. When we asked for the check as we needed to make a show, he said, ""yeah, everyone is trying to make a show right now"".",0,0,0,Heather D.,"New York, NY",64,16,0
5.0,1/29/2019,"What a winner!! Came here for restaurant week (I know...) and had a wonderful time. The lobster bisque is the best I've ever had, anywhere. Partner got the escargot which I passed on but he loved. We both had the hangar steak + fries which were all cooked perfectly. Great service as well. Will be back!",0,0,0,Bart E.,"Queens, New York, NY",0,1,0
5.0,1/28/2019,"Very very good for groups and for intimate brunches. Good food, not amazing but I've never been disappointed. Overall, this is a great spot to stop into if you are in the area and want a romantic brunch, or you're shepherding a bunch of tourists and the people are tired and hungry!",0,0,0,Duncan T.,"Manhattan, NY",0,4,0
5.0,1/16/2019,Sat at the bar Snd had their version of a Manhattan cocktail . It was ok . The best part was the nice bartender and the chocolate soufflé (I ignored the ice cream served with it). I will definitely go back for their cheese soufflé and a glass of Argentinian Malbec.,1,1,1,andrea p.,"New York, NY",350,483,951
4.0,1/7/2019,"Casually elegant bistro with many bistro classics in excellent location for theater venues in the west 50s. My friend and I enjoyed the $32 prix fixe brunch menu including one mimosa, app and main. We shared all plates and they were great - gougeres (melt in your mouth), fresh mesclun salad, tasty burger on brioche bun and eggs florentine (up charge for florentine rather than benedict). Shared Creme brulee for dessert also didn't disappoint. Cappucino had great flavor but could have been hotter - minor point in otherwise very enjoyable meal. Highly recommend.",0,0,0,Cheryl V.,"Greenwich, CT",0,7,0
5.0,1/4/2019,"Great service and great food! I had the lobster bisque and the grilled octopus salad. It was amazing! I loved the music, atmosphere, and space. It's pricy, but if you are only in New York for a few days, it's a great restaurant to go to!",0,0,0,Sydney C.,"Lansdale, PA",0,3,3
3.0,1/1/2019,"New Year's Day. Brought friends here based on nice brunch experiences. The restaurant was fairly empty, but the music (pop/rhythmic background noise) was far too loud for the place.  Service was slow and inattentive. Appetizers and cocktails were decent. For my main course, I ordered the filet mignon flambé. It arrived, not flambéed with a little dish of cold sauce (""cognac peppercorn sauce"")  to pour over my 39 dollar steak. I sent it back and when it arrived again it was piping hot but the sauce tasted not at all of cognac and quite a lot of store bought beef base. Edible but disappointing for the price and ambiance. We skipped dessert and won't be back.",0,0,0,Thomas L C.,"San Francisco, CA",198,8,4
3.0,12/30/2018,"Place was close to the theater for our dinner. What started good kind of went south for awhile until we noticed that our waiter had about a dozen tables to himself. So, the food took over 45 mins to come out after ordering. Paella could have used more salt and seasoning. Fettuccine came without the chicken and my son waited until they cooked it up separately. Hubby loved his beef, but I thought it needed some salt after a taste. His ""Pinot noir"" tasted more like a Chianti and they took it back. I only had a salad and you can't mess that up too much. So, while the service was slow, the bussers kept quite busy, the management failed in scheduling more wait staff for a busy, Saturday night. Especially during the Holidays where NYC is bustling with visitors. Shame on you! And to our waiter, we understand that it wasn't technically your fault for such delays. Hope that you were rewarded well that night and Happy New Year to you!",0,0,0,Cathy S.,"Pleasanton, CA",0,36,0
2.0,12/28/2018,"Went here for New Year's last year (end of 2017), and never left a restaurant so disappointed  Restaurant was half full but had to wait at the bar for a table as it was understaffed. Waited forever for food and it came out Luke warm, staff was unapologetic - they kept telling us it would be ""out in a moment"" my absolute pet peeve. Beouf Bourgingon was overseasoned and cold in the centre - it had probably over-reduced and reheated too fast. After spending a small fortune on a bottle of wine I would have hoped for better service.",1,0,0,M P.,"Old Toronto, Toronto, Canada",0,3,5
1.0,12/25/2018,"I don't do this often but i had to this time. Food was good. Service is good. But their menager (french women with short hair) made sure that they get one star! Very rude, I really have no words for her. I will never come here again!",0,0,0,Alsen R.,"Manhattan, New York, NY",0,1,0
5.0,12/17/2018,"I spent time researching where to take my daughter for her birthday before going to see Wicked. This is definitely a great fit! We each ordered off the prix fixe menu. Perfect pre-theater dinner. Just the right amount and just the right price. My daughter had the macaroni !$and cheese with the cheese puffs. I had the chicken paillard with the French onion soup. While the cheese puffs weren't very exciting, everything else was on point. We returned after the show for dessert. Creme Brûlée and the Floating Island. Both were fantastic! The service was great too! Christian was attentive, polite and even added a candle and rallied an additional employee to sing Happy Birthday to my daughter. All around great experience!",0,0,0,Susan G.,"Jacksonville Beach, FL",64,73,7
1.0,12/16/2018,"Stopped by for lunch last Friday. Hostess was rude, service was spotty. My sister had the fish special for the day (branzino with cous cous which she admits was good) and I had lobster bisque, which I thought was great, until I fell ill that evening -- I had diarrhea, chills, nausea, and threw up that night with a mild fever. I spent the next couple days (including today) in bed and will have to miss work tomorrow. Contacted the restaurant today with a complaint and request to investigate.",0,0,0,Heejo K.,"Manhattan, New York, NY",0,1,0
4.0,12/10/2018,My husband and I had dinner at Brasserie Cognac for the first time last night. The service was fast and friendly. We ordered the Halibut and the Branzino. Both dishes were tasty if not a bit too pricy.,0,0,0,Roy B.,"Clark, NJ",0,5,0
1.0,12/4/2018,"Breakfast is a meal that one should not have to ask for service, coffee,  tea or a bill multiple times!  The oatmeal was cold and the service was  as bad as it gets.   Don't waste your time because you will only be disappointed.  Looking like a restaurant does NOT make you one!",0,0,0,John N.,"Silver City, SD",0,14,0
2.0,12/1/2018,"I've been a fan of cognac for a while now and up until recently it was my go to place whenever I'm in that area for theater, etc. I was there two Sunday's ago for lunch and again this past Wednesday evening. On Sunday I did not have a good experience and thought it was an accident but then this week I realized it's the new normal. The restaurant was not busy and service was slow and I was often looking for the waiter. Well on both visits the Brussels sprouts were gross and cooked improperly and not at all caramelized ! I tried to avert this on my second visit and asked the waiter to make sure the Brussels sprouts were well caramelized, but he looked at me like I had four heads. Needless to say they came out limp looking and it was like they'd thrown them in the microwave. Their fries were soggy and not even that hot. I could go on, but I'm done with this place. Such a shame. For the prices they charge the service should have been far superior and the food should have been too.",0,0,0,W Y.,"Manhattan, NY",0,9,0
2.0,11/23/2018,"Food is not bad and our server Linda  was very, very kind but food took forever to bring despite restaurant being quite empty AND the attitude of the female  maitre'd or manager is beyond rude. Unacceptable. Will not return based on her behavior. She truly should Not be allowed to interact with a single human guest.",0,0,0,Alli R.,"New York, NY",85,9,0
4.0,11/21/2018,"A great quiet spot to work before the 5 PM rush hour.  The bartender was friendly and the ambiance was inviting.  Classy yet casual.  The French owner/manager was buzzing around the place and doing her work at the bar, which seemed strange and out of place to me.  Also distracting was the buzzing cooler behind the bar, which I'm sure will be repaired.  Otherwise, a good experience.",0,0,0,David C.,"Knoxville, TN",170,161,748
