rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/27/2019,"I came back for a second time just for the Mafaldini Scampi pasta - after my first visit, I couldn't stop thinking about it! I actually came back to celebrate my boyfriends promotion, I noted this on my reservation and the lovely hostess brought two glasses champagne for us to enjoy (unfortunately, both of us don't drink, but it's the thought that counts!). Before we ordered, we were also given a complimentary dish from the kitchen - truffle arancini balls - yum! They saw that we liked them so they brought a second serving. How thoughtful We decided to have the chefs menu, which we thought would be a great way to try their top dishes. Definitely recommend this for those who want to do a tasting - we has 2 crudo (mackerel and tuna), 2 pastas (spaghetti with clams and the famous mafaldini), 2 mains (octopus and swordfish, 1 vegetable (asparagus), and we finished off the meal with 2 desserts (budino and cannolis). This was a great experience and we had a fantastic time. The portions were perfect for two and we finished everything. Our favorites were the two pastas, the swordfish, and the desserts!",0,0,0,Tiffany L.,"Brooklyn, NY",11,25,35
5.0,4/26/2019,This is my fav restaurant in NYC. The food is unreal and the staff treats you like family. I'm sad they took the butternut squash off the menu but the branzino and the cauliflower are my go-to's.,0,0,0,Megan J.,"Vancouver, Canada",0,2,0
5.0,4/25/2019,"Fantastic Restaurant!!!! Some of the best Service Ive ever had! Friendly Hostess, and the Director of Operations Pedro was constantly walking around looking at EVERYONE & EVERY Table looking to see if ANYONE needed ANYTHING! Uhhhhhhh MAZING! Delicious Food and the Drinks & Food come out literally within a minute or two!!! Talk about service!!!! Very Impressed will DEFINTELY BE BACK AND BRINGING THE SQUAD!!!!!! BRAVO!!!!! & THANK YOU!!!! Scampi Maldifini is Molto Bene!!!!!!!",0,0,0,Derek H.,"Brooklyn, New York, NY",255,5,3
5.0,4/20/2019,"Loved their brunch menu - was so hard to decide what to get. My two friends and I ended up getting the spaghetti carbonara to share (only available during brunch and perfectly chewy pasta noodles). Then two of us got the malfadini scampi pasta for our entrees and the other friend got the trout roe toast. My scampi pasta was also perfect, and I added an over easy egg on top for $3 extra to make it even more of a brunch pasta. Good portion sizes, perfectly cooked, fast service as it was pretty empty for Saturday brunch, and good amount of shrimp in the pasta. We also got bloody Mary's with clam juice in them, which were tasty. They have oat milk to go with iced coffee. Overall about $55pp including tip which was reasonable for everything we got. Would definitely recommend for pasta and seafood lovers!",0,0,0,Dana H.,"Manhattan, NY",766,296,1380
5.0,4/19/2019,"I've walked by here too many times and finally made a reservation to go. Upon entering, you're greeted with a big, friendly smile from the host, and we were seated, even though we were missing just one from a complete party (yes!). Our server had just the right amount of attentiveness, and I want to know who their interior designer is, because the decor was welcoming and modern. I had the prima vista and it's a pretty dangerous drink. Dangerous in the ""tastes so good, you'll forget it's a cocktail"" way. For my second, I ordered the rubino and it was also a perfectly balanced cocktail.As for the food, we love love loved the complimentary dip that comes with bread sticks (and asked for more). For the apps we ordered - the red snapper, which was fresh and delicious, the octopus was tender and artichoke was delicious. The beets? I'd skip. For our mains, we shared the scampi and campanelle -- and I'd file the scampi pasta dish (named mafaldini) under ""must eat"" items. I did feel guilty, since we were all catching up after quite awhile and the restaurant emptied. Yet, they never rushed us or asked that we depart (which was so nice). Their music selection was also on point, and we left happy happy diners.",0,0,0,Shu Jin S.,"New York, NY",134,933,5
4.0,4/15/2019,"Scampi was very accommodating for our large party size.  We went there to celebrate 3 birthdays!  Since we had two babies, the extra space was a plus!  Our server was also extremely friendly, helpful, and gave great recommendations on food choices.  The restaurant is nicely decorated - romantic and modern.  However, the lighting was very dim so it is more difficult to read menu.  I particularly liked the chicken - moist and tender.  The ceviche was also delicious.  My favorite was the dessert - chocolate gelato, hazelnuts, and chocolate (very rich).",1,0,0,Jennifer T.,"Oceanside, CA",42,13,0
5.0,4/14/2019,"Scampi just started offering brunch several weeks ago and if dinner deserves 5 stars, then brunch deserves 10. Everything I tried ranged from ""very very good"" to ""out of this world amazing."" Every dish on the menu is unique -- this is not the place for your run if the mill diner style eggs or a standard Benedict, come here for an inventive take on brunch classics. My favorites include the fluke toast, uovo scampi (comes with the best garlic bread I've ever had), and the scampi Mafaldini pasta (also available at dinner). The cannoli French toast and ricotta dishes were also very very good. Service, as always, is excellent. The restaurant is fully wheelchair accessible with an accessible lowered seat at the bar, which is especially exciting to see as this is not an option at 99% of places.",1,0,1,Anna P.,"Manhattan, NY",167,46,20
4.0,4/12/2019,"Recommended for large group dinner. Just imagine. You are planning a 10-people dinner. Everywhere in town that is remotely hot has a prix fixe menu that cost $$$$ per person. Come to Scampi, where portion can be small to share but if you order enough appetizers to share and one entree per person, everyone would be full and happy, including their wallets. That is what you call win-win.",1,0,0,Nancy N.,"New York, NY",358,165,409
5.0,4/7/2019,Scampi nyc --My Favorite Top 4 brunch and Top 10 Italian restaurantRecommendations:1. Mafaldini Scampi2. Cannoli French Toast3. Pastry Basket4. Salad,0,0,0,Mengjia Y.,"Jersey City, NJ",63,270,1398
3.0,3/29/2019,"I had been looking forward to going to Scampi for months after looking food instagrams, and I understand why everyone is obsessed with the Mafaldini - it is actually the most perfectly done dish. I was obsessed! The polenta and other dishes were good as well, although some were much too salty. The interior is so chic and intimate, crisp and professional. I loved the ambiance, design, the professionalism of the staff. However, as much as i enjoyed the food, half of my family (including me) got extremely sick after eating. I believe it was food poisoning from the langoustines - which were overpriced as well. This set me off the rest of my trip at NYC. I wanted to love it, but thats just something I can't get over. The octopus was bland as well. In all, would come back for the Mafaldini, but weary to try the other dishes.",0,0,0,Madeline O.,"Yorba Linda, CA",562,68,87
5.0,3/28/2019,"Excellent service, ambience, and food. We had a birthday dinner there and we loved our experience!",0,0,0,Geoffrey G.,"Brooklyn, NY",49,5,0
4.0,3/26/2019,Had a lovely experience last night.  We started with the tuna tartare dish which was excellent and my dinner mate had the chicken while I had to try the namesake scampi.  I was not disappointed.  I would order it again.  The service was very attentive without being overbearing and they were very helpful in selecting wines letting my try several before deciding.  We were having such a great conversation that they brought us complimentary desserts encouraging us to hang out which was a great touch.  They use the handheld cc machines which I am not a huge fan of since it adds a bit of pressure on the tipping as they are standing over you waiting for you to sign but oh well.  They deserved a great tip so it wasn't really an issue.  I'm already looking forward to going back!,0,0,0,Trae F.,"New York, NY",0,5,0
2.0,3/24/2019,"Went there for the first time last night (3/23/19) Was totally put off by the arrogance and disinterest of the hostess.  She tried to seat us a table that was too small for our party of five.  When we insisted on moving to a more comfortable table she said nothing and was not in the least accommodating. The menu was oblique and difficult to decipher.  When the waiter started explaining it to us a number of us could not hear him.  When he asked for a little more volume he ignored us.  The prices were way out of line, however, the food was not bad.  The charge machine did not allow to see a breakdown of the bill. The ambiance was sub-par and the noise eliminated any chance of conversation at the table.  A pretentious experience that we will not repeat or recommend to anyone.",0,0,0,Neil Z.,"New York, NY",0,4,0
5.0,3/23/2019,"OMG. My boyfriend and I finished our meal at Scampi and all we have to say is WOW! The ambiance, service and food are all top notch. We shared the Brussel sprouts and both had our own Scampi dishes and we are speechless. Amazing!!! you must visit!!",0,0,0,Nicki G.,"East Meadow, NY",0,6,0
5.0,3/22/2019,"Been here quite a few times within the last several months and the food and service has always been stellar. I love the interior as well, it's warm and inviting. The cauliflower appetizer is my favorite and I always without fail have to have the Scampi mafaldini. It's SO delicious and flavorful. A bonus is that the grissini with that tomato dip they give every table is just as good as a starter I would pay for!",0,0,0,Frances K.,"New York, NY",100,52,226
5.0,3/16/2019,"Awesome food. Awesome atmosphere. Could not have be more accommodating. Valentina served us at the bar. She was engaging,friendly and most enjoyable to chat with.",0,0,0,Kelly F.,"New York, NY",104,1,0
5.0,3/11/2019,"We loved Scampi!The best ambiance, food, and service.Amazing scampi and branzino.  And make sure you make room for sHighly recommend!!!",0,0,0,James R.,"New York, NY",182,6,0
5.0,3/11/2019,"Came in from a post I saw on Instagram, got the Mafaldini! It was great :) our waitress was warm and prompt appreciated the evening.",0,0,0,Toni B.,"Kansas City, MO",0,8,0
4.0,3/10/2019,"Great spot! Perfect for meatless Friday's. The scampi was good, but even BETTER once you mix it and get the seasoning at the bottom. I loved the drinks, cool trendy cocktails. The swordfish was good but just an average dish. Next time , I would do another scampi and clams, but probably not get the cauliflower and swordfish. We actually skipped dessert, and got double scampi. This place was very good and I will go back !",0,0,0,John J.,"Weehawken, NJ",10,130,300
5.0,3/7/2019,"What a fabulous place ...gorgeous colors - feels like an outside garden inside.  Large bar with open feel yet cozy which is so difficult to do.  Maximilliano took care of us and his effervescence is intoxicating.  Everyone's happiness is contagious and there is a true effort to make you feel like home, but fancy.  My friend and I had the artichoke and yellowtail which was perfectly portioned allowing for.after dinner drinks.  Can't wait to come again!!",0,0,0,Anne-Marie A.,"Stamford, CT",104,6,0
5.0,3/2/2019,Delicious. Just amazing. Their shrimp scampi is just Devine. Their pasta isn't like normal pasta. It's just amazing,1,0,0,Zoey O.,"Westlake, Seattle, WA",0,27,7
