rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/29/2019,So cute! Great place for brunch with friends. Enjoyed the ambiance and meal was delicious.,0,0,0,Victoria B.,"New York, NY",191,13,10
5.0,4/28/2019,This place has the cutest vibes! You go downstairs to a lobby area that is so well decorated and the restaurant in further in the back. We tried the olive oil pancakes and the eggs Benedict. Both were really filling. The pancakes were fluffy and not too sweet. The eggs Benedict was well made and came with potatoes and a light salad. Both were around $15. The great atmosphere and good food make this place really enjoyable,2,2,4,Enya G.,"Edison, NJ",621,112,120
5.0,4/26/2019,"What a quaint find in Greenwich. The ambience was comfy, yet classy. They offer a hand crafted menu, locally sourced by the Executive Chef himself. The portions are perfect. The presentation is spot on. The service was timely and sincere. I would tell you how good the food is, but you honestly have to check it out for yourself. You won't be disappointed.All the Best --Joseph",0,0,0,Joseph W.,"San Jose, CA",2,36,16
5.0,4/25/2019,"This restaurant has become one of my all time favorites. The menu is seasonal so I am able to try something new every time I come! The atmosphere and ambiance are something out of a movie; if you want to create memories with an unforgettable meal, this is the place to be.",0,0,0,Samantha M.,"Mamaroneck, NY",0,2,0
3.0,4/11/2019,"Met my mom there for dinner a few weeks ago - a really beautiful space inside a hotel (walked by it before realizing it was inside). The food was good, but was fairly expensive for what we got. At the end, we split a sundae which was pretty tasty.",0,0,0,Maggie R.,"Brooklyn, NY",12,37,102
5.0,3/30/2019,This place was amazing! Another example of a hidden gem within a hotel that not everyone necessarily knows about. Many West Village locals do not know this exists but it is an absolutely fantastic place for brunch and would be packed if everyone knew about it! The interior is stunning and the food was fabulous,0,0,0,Julia C.,"New York, NY",0,50,0
5.0,3/19/2019,"This is one of the best restaurants in Greenwich Village! The chef puts so much care and attention to every single dish which is made from market-fresh ingredients bought the morning of. Highly recommend! The cocktails are also out of this world!! The ambience is amazing with the hugh skylight. Be sure to ask for a booth, they are cosy!",0,0,0,Ariel V.,"New York, NY",111,16,50
5.0,3/14/2019,"Breakfast review only: Best weekday breakfast in the area. Highly recommended - great prix selection, $25 including tax and tip.",0,0,0,Arjun N.,"Seattle, WA",6,32,0
5.0,3/12/2019,Impressive space! Excellent service. The food was excellent. We shared food and since the menu has each stage we were satisfied with different flavorful selections. We have a a really good bottle of wine and there's a. Ice selection. Recommend without reservation.,0,0,0,Jeannine M.,"Bayside, NY",19,409,43
2.0,3/9/2019,"Just horrible , nice people nice place ... but really ? Pickles on chicken and waffles ... asked for a new one and they brought me the same one just the pickles picked off . Had to ask for maple syrup twice . And then to heat it up because it was just cold . Just YUCK . Not even real fried chicken . It's like a thin slice in bread crumbs.",0,0,0,Yuleidis A.,"West Park, FL",5,15,3
3.0,3/6/2019,"Came here for dinner and it was just okay.Enjoyed the apps the most (sticky rice and artichoke hummus). Also loved the popover bread.The entrees took a long time to come out and we were told it was because they needed to serve a table with kids before us. However, the restaurant was only about a quarter full, so this was weird.Got the short rib pasta, which we needed to send back to be reheated, and the margherita pizza - didn't love the pesto on it and it's not fresh mozz. Both were mediocre.",0,0,0,Nikki A.,"New York, NY",267,500,31
5.0,3/3/2019,Wonderful dinner!  One of the best meals I have ever had. Scallops were Devine. Chicken was cooked perfectly. Service was great. Dessert was 4 stars.,0,0,0,Tammy L.,"New York, NY",27,1,0
3.0,2/11/2019,"The food was excellent, I'll start with that, and the ambience is lovely. But the service was wildly uneven. We got off to a not-great start when trying to check in for our reservation, which the host could not locate. She walked away to purportedly look further into it--and never came back, leaving us standing there for about ten minutes until a different host finally approached. When we explained what happened, the second host--who was pleasant and helpful--told us the first host had begun making coffee. (I was slightly bummed to be considered less compelling than making coffee, a task I don't enjoy.) Anyway, our brunch dishes were delicious, but our waiter did not return after serving them to see if we wanted dessert--we did--or to give us our check, which we had to get up and request from the host after waiting and waiting. The waiter did take something off our bill to help make up for this, but all the same, I can't imagine I'd bother going back; NYC has way too many brunch spots to justify being ignored like this.",0,0,0,Teresa T.,"Brooklyn, NY",8,77,1
4.0,2/5/2019,"Took my Mom here for a birthday dinner and it is really just aesthetically spectacular, really impressive. The dishes were tasty, predominantly fish dishes that we chose, although all the menu items looked good. We ended with a very well made cappuccino. Great for family gatherings as you can have larger parties in the space.",0,0,0,Stephanie C.,"New York, NY",511,124,148
5.0,2/1/2019,Had a very good breakfast here. Nestled in a quaint hotel. Lovely setting. Upscale feel. Good service. Tasteful food,0,0,0,Tori C.,"Denver, CO",64,128,36
4.0,1/30/2019,"2019 Restaurant week.  I was nervous after reading the recent comments on service, but I had an excellent experience and the food was delicious.  The spaghetti app with tomato and gremolata was huge, pasta v fine and perfectly cooked.  The swordfish entree was really memorable, loved the smoosh of confit lemon on the plate which really gave it a beautiful bright punch.  Choc mousse cake was nice but needed way more of the stunning salted caramel ice cream. I think my servers name was cc (cece?), and she was great and v attentive.",0,0,0,L B.,"Manhattan, NY",21,43,9
2.0,1/26/2019,"Nice decor, staff is great, perhaps a bit overworked. Food is below average. Nothing wrong with it, but just underwhelming.",0,0,0,Simran S.,"Boston, MA",79,14,2
1.0,1/22/2019,"If your only dining requirement is exquisite woodwork and interior decor than this is the place for you.  Beautiful molding? Check. Coffered ceiling? Check. Cozy fireplace with built in wood storage? Skylight with hanging greenery?  Check and check.If however, you frequent restaurants with food, service and cost in mind then I would strongly recommend moving right along. In three different dining experiences (l know, long story) during a stay at the Hotel Walker my group left with disappointments ranging from modest to never again. The staff seems poorly trained at best. But who knows, maybe refilling your own drinks and walking up to the bar to finally get your check is in vogue these days?  I'm always behind with these things. After joining others in our group at breakfast, two of us decided to not eat breakfast rather than deal with this place.   Long story short: prices are ridiculous (3 coffees, 2 eggs and one waffle was $50. Fifty dollars for eggs, coffee and a waffle!) and the service is non-existent.  Murray's Bagels is around the corner. Save the time and stress.",3,3,1,Argyle1 S.,"Pawtucket, RI",1,33,0
5.0,1/21/2019,"My best friend and I went here for a dinner to celebrate her 30th birthday! It had beautiful aesthetics, the food was delicious and perfectly portioned, and had great lighting. Awesome place for a date.",0,0,0,Katie K.,"New York, NY",1,29,1
5.0,1/6/2019,"It's spacious and pretty. Food is great! Lots of options for brunches. Came with our little one. Although they don't have karlA table, it was okay to change on the couch seat.Will be back!",1,0,0,Aili H.,"Manhattan, NY",136,36,122
