rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,3/24/2019,"Truly a gem. Reasonably priced fine Japanese dining. Don't remember what I ordered since it has been a while, but everything, particularly the wagyu, was absolutely delicious.",0,0,0,Heather C.,"New York, NY",5,8,0
4.0,3/2/2019,"Ambiance is nice and quiet, and the service was friendly. However, it's underground location and lack of window starts to feel a bit depressing after a while. The food was lackluster - none of them tasted bad, but none tasted Stella's either. I had one of the lunch sets - it was a lot of food. The tempura tastes interesting, like it's wrapped in crispy rice. The fish, both cooked and sashimi, was ok, nothing memorable. The green tea tofu is the highlight, if I have to pick one. It's a good place to go to for those corporate lunches, since it's an easy environment for conversations, but I won't go again otherwise.",0,0,0,Tina S.,"New York, NY",1,49,46
4.0,2/26/2019,I came here for restaurant and it's a cute place. I would say not casual but not black tie either. I noticed many business people with suitcases so I assume many people come here for meetings or before flights. The service is great and the staff is attentive. They have a coat check which was helpful in the winter with puffy coats!I ordered the hamburger and because it was restaurant the portions were definitely smaller. The food was still good but for appetizers they had this uni mousse and I did not like the texture of it at all. The fish is fresh though. My friend and I also ordered nigiri. The toro and salmon were melt in your mouth and had a good rice to fish proportion. Not sure if I'd be back but it was definitely worth the try!,0,0,0,Jasmine C.,"Manhattan, New York, NY",9,60,29
2.0,2/21/2019,"We figured we venture out from our favorite Japanese eateries and try something newish and notable in New York. We should've consulted Yelp over local NYC lists. We had reservations in the main dining room and opted for the Kaiseki, multi course menu.  We were underwhelmed by our experience at Suzuki. Especially for the $1000 price tag for four people. While the service was timely, there were too many errors to justify the price point. From servers not knowing the dishes to overcooked crab and a Sake list that clearly had not been updated. The first three bottles we tried to order were out of stock. The food was presented nicely, but any dinner at this price point should be close to flawless.",3,0,1,Isabella J.,"Tucson, AZ",1537,1004,4826
4.0,2/17/2019,Tried out their Valentine's Day Kaiseki offering. The 8 course meal was delicious especially their sashimi and lobster roll. Would come back to try Satsuki their Michelin started omakase bar.,1,0,0,Bruce W.,"New York, NY",33,65,378
2.0,2/16/2019,"4.5 for food 1 for kitchen service3.5 for table serviceI came here a second time tonight and ordered from the a la carte menu. Ordered the sashimi, yellowtail roll, tuna roll, seasonal tempura, miso cod and the ginsa sushi. The sashimi and rolls were solid, fresh and tasty. The ginsa sushi we got did not come with any gold flakes as it had described on the menu. For $23 for three pieces I definitely wanted my gold flakes. I told the waiter my dish was missing gold flakes and he was kind enough to make it up with a few pieces of comped sushi. This was when things went downhill really quick. We then waited another 45 min and tried to check on our remaining dishes many times throughout. We kept on being told it would come out soon. Given we had a show to catch we were quite agitated and also hungry. They comped us with a crab appetizer which was OK and then kept telling us it would take another twenty minutes for the food to come out. At this point they comped us with some duck rolls which were tasty but I just wanted the original items I ordered. After over an hour of waiting we decided to leave and didn't end up getting to try the remaining two dishes we had ordered. The waiter was apologetic but I could see other tables had the same issue and were waiting for their dishes and even had to cancel a few. Not sure what was going on with the kitchen service tonight but was deeply disappointed. It was nice they comped us on a few items but this is not the type of service I expect for a well run Japanese restaurant. I enjoyed the food we got to try but would hesitate coming back because of how horribly slow the kitchen service was.",0,0,0,Joyce L.,"Brooklyn, NY",25,287,470
5.0,2/16/2019,"They have a very beautiful interior especially the long dining table. We came to try the Valentine's day 8 course Modern Kaiseki meal. It was also our first Kaiseki experience. Every dish was delicious and really brought out your umami. The portion wasn't too little or too much. It was just right since our stomachs were pretty satisfied by the end of the meal. Presentation of the food were beautiful as well. Best thing about the menu is that it includes sushi from Satsuki, which what they got their Michelin Star for. Suzuki is the dine in portion of the restaurant, whereas Satsuki is the Omakase bar experience.  Other than the special Vday menu, you also have the option to choose the traditional Kaiseki menu. Our favorites were the baked foie gras on mash potato, Grilled cod fish, Sashimi, lobster sushi, and cute heart shaped dessert with gold flakes on top!",2,0,1,Monica W.,"Queens, NY",108,321,1356
3.0,2/14/2019,"We were a bit disappointed in our dinner experience this past week. The food was tasty but not very cohesive and the entire experience was not worth the $180 per person price tag (as other Yelpers have noted).I made reservations for two to enjoy a kaiseki meal (multi course with seasonal ingredients) at Suzuki's Rose Room, which was listed on their website as serving kaiseki exclusively. With that in mind we thought we were in for a feast for the eyes and the stomach. When we got to the restaurant we were shown a table at the main dining room because the Rose Room was still not ready for guests. We were confused about this change but were assured that the kaiseki will still be served. It took a few minutes before we were shown drink menus, but not a dinner menu. Then our first course arrived and finished before our drinks were brought to our table. Our dinner proceeds with an explanation for each course as it was brought out. In general each course was well prepared and tasty. However, since we have had other kaiseki experiences, the dinner at Suzuki ranks low on our list.   We were not amazed or delighted in how the dishes were presented, nor was there an obvious transition or coherence from dish to dish. I would recommend sticking to the a la carte menu.",0,0,0,Anna L.,"KNICKERBOCKER, NY",96,68,70
5.0,2/12/2019,"It's a quiet place near Times Square crowd. I went during the restaurant week menu with four courses. The appetizer includes uni, snow crab, seaweed salad and ikuro. And the main course has A5 wagyu beef. This is prob one of the most generous restaurant week menu I've seen.",1,0,0,Xingye C.,"New York, NY",101,14,19
1.0,2/7/2019,Very disappointed by their restaurant menu. No nightlights for me. Sashimi over rice is plain and not so fresh. Appetizer is below average. Brown sugar ice cream tastes good but in such a small portion that it's like one or two mouth. Not recommended and won't come back.,0,0,0,Sj Q.,"Holborn, London, United Kingdom",0,6,0
