rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,This was our first time in New York and wanted to splurge a little bit and have nice dinner with family. I would definitely recommend trying it. It was very tasty!!! We had our 14 year old son with us and he got the fettuccine Alfredo and he devoured every bite. We were so full that we didn't try dessert but wish we would have.,0,0,0,Joyce B.,"Brighton, CO",0,7,3
5.0,4/8/2019,"The way it used to be; if you want to be transported back in time, when restaurant owners actually worked in the restaurant and recognized their regulars by name, Rossini's is a Must visit, especially for ""new"" New Yorkers.  You get to enjoy great food and family style service that made NY the food capital of the world!",0,0,0,Michael D.,"Toms River, NJ",0,1,0
4.0,4/6/2019,"Hidden in one of the quiet streets but inside the restaurant, it's usually pretty busy. It has that classic vibe to it and old italian decor with nice chairs and tables. It's a pretty fancy restaurant actually but also has cozy feeling.All their food is above average with excellent service. All their appetizers are good. I think most people will like their tomato sauce pasta but to me it's a bit sour but it's not that strong so it doesn't bother me. I'm not a huge fan of their tomato sauce so I get the ravioli with vodka sauce which is fantastic. Desserts are pretty good too. They have round and large tables so it's good for groups.",0,0,1,Jae C.,"Westwood, NJ",4,132,353
4.0,3/24/2019,We went here after paint and sip for my daughter's 21st birthday. The food here was absolutely divine. The staff was very friendly and accommodating with my mushroom allergy. Would recommend for dinner.,0,0,0,Deia W.,"White Plains, NY",18,13,11
2.0,3/19/2019,"We were meeting with friends in NY for dinner and choose this restaurant over the reviews and location to the hotel we were staying. They put us at the table near to bar and forgot about our existence for good 20 minutes .I had to go ask bartender several times for the menu and drinks till we got  some attention from the waiters. Soup was over salted, food was ok , service slow . Do not recommend this place at all.",0,0,0,Anna H.,"Alexandria, VA",54,26,1
1.0,3/15/2019,Walked in and it was near empty (at 8pm on a Friday) and they attempted to force my girlfriend and me to coat check our very light and small coats.  We left. They lost business for life. Bad business.,0,0,0,Amanda M.,"New York, NY",243,10,2
3.0,3/9/2019,I was a bit disappointed that they sat us in corner where our view was of the server's kiosk. We had a reservation and there were many open tables. The description of the Caesar Salad was definitely more elaborate then the salad we received. I had the shrimp in a champagne sauce and it was good. My spouse had the chicken Parmesan with a white sauce. It was also good. Nothing we had was particularly flavorful and it was expensive.,0,0,0,Laurie M.,"Belleville, MI",13,73,0
4.0,3/7/2019,"Very solid old school Southern Italian. I have eaten here in the past, and came again today with clients. We enjoyed a very nice dish of grilled tuna over arugula, and a braised pork shank over risotto. Thoroughly enjoyed. The wine list is solid. The service polished and unobtrusive. Very pleased",0,0,0,Stephen S.,"Morristown, NJ",10,15,0
2.0,3/3/2019,"I've lived in this neighborhood for 7 years and myself and/or family have been here 200 times. My most recent visit was the worst dining experience ever. It was myself, boyfriend and best girlfriend. 9pm on a Wednesday and it was busy, but no wait, made a reservation 15 minutes prior. The service was RUSHED. 2/3 meals were OKAY. I've ordered chicken parm 75/200 times I've been here and this was the worst meal I've ever had. It tasted like they dumped a can of tomato paste on a piece of chicken, I had to scrape so much off. The avocado shrimp scallop salad had 3 tiny shrimp, 1 cut scallop, half of an avocado for $23. Again, the service was RUSHED. As we are leaving, I went the restroom, they approach my boyfriend and said he did not leave enough tip, after we clearly left 18% on 2 cards even though the service and 1 meal were AWFUL! The nerve! So rude. He was so uncomfortable and shocked that they cornered him he gave an extra $10 cash that was NOT deserved at all.",0,0,0,Nic B.,"Manhattan, NY",53,18,1
2.0,2/23/2019,"Good steak and nice friendly stuff, but wine was really bad, I had a hangover 24 hours after that night with 2 glasses of Cabernet,18$ each. Waiter didn't tell price for whine by glass. Cheesecake and carbonara pretty bad too.",0,0,0,Anna A.,"Brooklyn, Brooklyn, NY",0,9,24
