rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/26/2019,We had a really fun lunch at this in hotel steakhouse.   The space was pretty.  Our boisterous party of 4 livened up the sedate scene. Our waiter was lovely.  The martini was solid and the least dry martini that I had in a long time. Wine by the glass was good.   The burgers were very good.  Pro tip- get the French fries well done. A chicken salad was really good.  The chicken was perfectly cooked.  We split a brownie sundae and were comped a creme brûlée by our nice waiter.  The only letdown was the meh decaf.   Fun lunch.  The burger was in the top quartile of city burgers. I'm sorry that the don't serve the half and half burger any more. I had wanted to try it. Other reviews have indicated that they do a good restaurant week deal.   I will need to keep that in mind.,0,0,0,Joel S.,"New York, NY",37,675,16
4.0,4/21/2019,"Good choice for a first-time steak restaurant! We are a three-people group and ordered a two people steak, a salmon and a brussels sprouts. We ordered medium rare for everything it tastes really good. Our steak is good but I like the middle much better than the side meat since the middle is much more tender. The salmon is decent but the pairing tomatoes and fennel is brilliant. The brussels sprouts is definitely the highlight for me as they are roasted very well but its more towards the softer kind than crunchy kinds. Like any good steak house, the price is a bit over the top but good quality and service. Its also funny that how we all got distracted by their candles which are super innovative and gorgeous! Would love to come back!",1,0,0,Majer M.,"Manhattan, New York, NY",1,28,47
4.0,4/10/2019,"Stopped in to check out spyglass on what was a gloomy weekend day. Food options are limited and the drinks, for the price, was underwhelming. So my wife and I stopped off at the lobby bar for happy hour. Our bartender Sinead was super attentive, very helpful and we ended up staying for a couple rounds because of the banter. The tuna tacos and the hummus are amazing. For the price you cannot beat it. The cheese board, another treat although the meat seemed a little sparse. We will definitely be back again, this place was awesome to pregame before a show.",0,0,0,David H.,"Hoboken, NJ",2,17,4
5.0,3/21/2019,"$20 burger, fries plus beer special.  Burger was very good.  Also had a cocktail which was delish.  Great service as well.",0,0,0,M. H.,"Houston, TX",0,74,0
4.0,3/3/2019,"It was our last day in New York. We were staying at The Archer so inevitably ate at the Charlie Palmer. Fantastic foodFantastic serviceFantastic surroundingsIt was restaurant week in NYC so lunch is a set menu in many restaurants at a discounted price.The meal we ate was well worth the full price. FYI, my wife is vegetarian and there was ample choice.",0,0,0,Thomas A.,"Miami, FL",8,3,0
4.0,2/22/2019,"Before visiting Manhattan I put Charlie Palmer Steak on my list of food because of their amazing happy hour prices. After a long day of being a tourist I finally made it to Charlie Palmer with my friends and we sat at the bar.Service: The employees were really nice and accommodating for our 3 person group at the small bar tables. They were nice and helped us with our food related questions when ordering.Food: We got the mini tuna tacos, fries, mac and cheese and potatoes. I tried everything but the tacos because I'm not a fan of fish but my favorite was the mac and cheese and potatoes. SO DELICIOUS. After a long day of walking through the cold the warm mac and cheese was the best thing to eat. No one got drinks because we didn't feel up to it but there were some really good options and we were tempted.. so if you can you should definitely try the cocktails.Would I come back? I would come back for their happy hour deals but I don't think I would come back for their normal lunch/dinner times.",0,0,0,Prathyusha Y.,"Irvine, CA",363,56,127
3.0,2/2/2019,"Not impressed!  I have eaten at many of Charlie a Palmer's restaurants  both in New York and Las Vegas in fact just ate at Aureole Las Vegas this week and have eaten Aureole NY many time (used to be a regular at the Town House), The Knick, and Charlie Palmer Steak Las Vegas but this one didn't live up to his reputation with me. It was restaurant week and didn't find the food being offered on that menu worthy of the Palmer name. We had the tagliatelle appetizer which was the highlight and without it I would have probably given this rating a two stars. Yes the restaurant is very nice and the service good but the very thin strip steak was truly boring with a au pouvre sauce. Nothing to highlight the restaurant. All they did was provide you with a very boring menu to give you an inexpensive meal for $42. The French fries with rosemary also were fine but not impressive. I would think you want to give people an opportunity to get to know your establishment I must also comment on the $1.00 Extra I was charged for ""on the rocks""   I ordered a Tito's on the rocks and they charged me an extra dollar because it was on the rocks. The waiter when asked told me you'll get more alcohol when it's on the rocks.  Better charge me more for the drink.  It's not the dollar but the principal of this. Stupid",2,0,0,Jay G.,"Pompano Beach, FL",7,285,187
2.0,2/1/2019,"Once upon a time, in Midtown East, there was a very good restaurant called Charlie Palmer Steak. It did not live happily ever after in the Garment District. Service was ""distracted"" at best--though the restaurant was neither overcrowded nor over-large, the attention of the ample staff seemed elsewhere. And the food was middling...in fact it tasted pre-heated.  I suppose the marquis name of this celebrity chef was added to a rather undistinguished hotel to make it a destination. Pity that his name was bought with no evidence of his supervision.  This was a trial balloon during NYC ""Restaurant Week"".  Needless to say, the balloon never achieved liftoff.",0,0,0,Froster T.,"Manhattan, NY",0,8,0
5.0,1/28/2019,"I had never been to Charlie Palmer steak before and thought for Restaurant Week we would give it a try! What a nice evening. The restaurant week menu was a pretty fair price compared to the regular menu. But now having tried the food, I have no problem going back and paying regular prices. You can see the full menu for Restaurant week which had a pretty decent selection. I had the Hanger steak which was delicious and cooked to perfection.  My friend , the birthday girl had the salmon which looked like a painting ! Check out my photo below. So pretty. Dessert we went off the RW menu and I got a special brownie Sundae for the bday girl. Mario was a great server and when we go back I'll make sure I ask for him. He was very attentive and made sure we had everything we needed. I loved that it wasn't too crowded. It's in the Archer Hotel right on 38th Street between 5th and 6th. I'll definitely be back.",3,1,4,Suzy B.,"Marlboro Township, NJ",24,103,223
1.0,1/6/2019,"Great french toast, however a Sunday morning and no mimosas was pretty strange.  Maybe will try again at a later time of day.",0,0,0,Jose E.,"Miami, FL",0,29,7
5.0,12/28/2018,"I came here for happy hour, after watching a review by Sarah Funk on YouTube. She was right on point as to one of the best happy hour in NY. The drinks are half price, delicious and strong. It is definitely a great stop and btw it is all day on Saturday and Sunday.",2,0,1,Osvaldo N.,"Wayne, NJ",0,18,2
4.0,12/25/2018,"Great experience. Very clean and the decor matched the Christmas holidays which is always great - shows they care and have spirit. Quiet noise level at around 5 pm, which was great to do catch up with a family member. Service was great... chipped water glass was replaced right away. We loved the Caesar salad and the recommended porterhouse for two. Sides were brussel sprouts and hashbrown. Both great, very filling and flavors were in line with steak. But I wasn't too fond of the burnt look of the brussel sprouts. Definitely could have been cooked better. I peeled the outer layers out. It may be because it was caramelized but still didn't look appetizing. Dessert could have been better. brownie with ice cream wasn't executed well. Served in a glass, the brownie, the ice cream and the cream or marshmallow like toppings were not working well together.  Couldn't finish it. Kind of unfortunate because the appetizer and main dish were delicious. But I'd definitely go back to try other dishes, it was well worth the visit.",0,0,0,Yooie S.,"New York, NY",113,113,29
5.0,12/23/2018,The Wagyu strip was amazing. The style of the fries were comparable to McDonald's but so much better and the chipotle aioli dip was delicious.,0,0,0,Deanna D.,"Union Beach, NJ",2,2,0
4.0,12/16/2018,This was our first time at this location but won't be our last. The porterhouse for 2 was cooked to perfection. Our waiter was efficient and friendly. Tables here were a little tight but that is usually the case in most restaurants in NYC. My first cocktail was not so great but they replaced it with something else with no issues. Hope to return soon.,1,0,1,Carol D.,"Haverhill, MA",19,91,36
5.0,11/25/2018,"One of the best dining experiences my son and I have ever had. Not only was the food outstanding (surf and turf and NY strip) but the service was beyond excellent. Our server (Evan) was fast, proactive, attentive and generous. He made our experience one to remember and we will be making Charlie Palmer Steakhouse a tradition because of him.",0,0,0,Paul S.,"Ballston Lake, NY",5,3,0
