rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/19/2019,"We were originally planning on going to the Thai Villa around the corner and there was a three hour wait (they don't take reservations) and we had to stay there but wait outside....ummm no thanks. We found Bocca around the corner. They had a 45 minute wait but offered to serve us drinks and appetizers at the bar while we waited...yes please! The customer service was excellent from the host, to bartender, to server, to the chef who made his rounds and said hello to people asking how the meal has been. The food was delicious, fresh, and authentic. My friend and I both got the special which was lobster tails and spaghetti. The sauces, bread, and pasta were all made in house. I highly recommend dining here. Worth the wait and they treat you like they are happy to have you there from beginning to end.",0,0,0,Amanda M.,"Chico, CA",64,16,5
5.0,4/5/2019,"Went there after realizing that every ""restaurant"" in Eataly, besides the quick $5 pizza place, was a 2 hour wait. My friend isn't the adventurous kind, so we had to call around the nearby Italian restaurants to see if they had Alfredo and such. We really wanted pasta. Most had black squid ink pasta and the like; something I would dive right in, but she would go hungry. So finally we found that boca could accommodate the borderline picky eater. We sat in a few minutes and ordered drinks. I overheard the bartender talking about a peanut infused whiskey old fashioned and I had to try it. It was fabulous. Kudos to that awesome bartender that created it and nerded out about it for a few minutes with me. Love it. It came with spiced peanuts on the side, too. Great touch to add flavor. Our waitress (it says ""N"" on the receipt and we are on 3/15 near closing time) was great, too. I heard about the eggplant caponata from another table  and had to have it. Friend got the calamari. Both were great, but I was quite particular to my eggplant and ricotta. You get yummy bread with this weird red olive oil sauce. We later found out it was simply sun-dried tomatoes and olive oil. (We bought a jar of it to take home). It was so good. Almost filling up on bread and apps, we finally go back and forth with ""N"" on what to get. I was between truffle pasta and the cacio e Pepe. The ultimate compromise was cacio e Pepe with added truffles. My friend ended up doing the same, but with shrimp. Our neighbors, who had the dish, too, were jealous of our add-ons. Let me tell you: ALWAYS get the cacio e Pepe. It's amazing. And obviously super cool. Pasta swirled in a cheese wheel and served table side? How can you go wrong? I almost asked for more of the cheese bits, but I'm glad I didn't. It was sooo cheesy, which, unfortunately, made it quite salty towards the end. We both couldn't finish it. But the taste was between an Alfredo and carbonara. I thought it would be lighter, but it really picked up a good amount of cheese. I don't think I would add the truffles again. You couldn't taste them in their expensive glory with all the cheese going on. Well worth the experience. After barely  being able to move, we declined dessert. A table near us for some and they were quite tiny, so I'm glad we skipped it. I will be back next time I'm there. Everyone was great. Cool atmosphere.",0,0,0,Pam D.,"Orlando, FL",0,105,15
5.0,3/25/2019,"My wife and I had Dinner at Bocca last night and we were astonished on how awesome the food and the customer service was.For appetizers we had fried calamari and the Eggplant timbale. The Calamari was fresh, tender. The eggplant was just simply delicious. I had the Cacio e pepe and I had no words on how the cheese to fresh pasta ratio was  on point. My wife had the Squid ink/crab Gnocci and again the combination and flavors goes together very well.For dessert we had the Chocolate cake with home made pistachio Gelato, The Frozen Nutella pudding with blueberries, limoncello and an espresso. Everything was excellent, well balanced and the presentation is just amazing. Customer service should be 10 stars. The beautiful young receptionist greeted us with a smile and we were seated right away. The guy with the slickback haircut and all the waiters took care of us like we are family. My wife and I really enjoyed the wonderful meal and we can not stop talking on how we  would like to go back next week cause truthfully Bocca's food is the closest thing to local italian food when we were in Rome.I would definitely repeat. The portions and the food quality was just perfect.",0,0,0,MK P.,"Valley Stream, NY",34,16,0
5.0,3/17/2019,Great food and good service. Came here on a Saturday night at 930pm. They made suggestions on what to eat and it did not disappoint.,0,0,0,Samantha V.,"Brookfield, CT",111,18,0
5.0,2/1/2019,"We love there!Hand made pasta was great !My waiter could not take care our table well, but manager took care of our table .He was great !  Actually we stayed there 3hrs with foods and drinks . They never pushed us to go out us .",0,0,0,Sehee J.,"Hackensack, NJ",0,5,0
3.0,1/29/2019,"Not a bad place to consider for lunch if you're in the Flatiron area. Decided to try this place during restaurant week. Lo and behold, saw they already offer a lunch special for $17 and decided to go with that. Restaurant week's three course special was $26. I would recommend going with that if you want to try an appetizer (other than salad or soup of the day) and the nutella dessert. The $17 lunch special comes with soup or salad, entree (more selections) and panna cotta for dessert. Upon entering around 12:30, we were nervous because it was empty. I mean, echo empty. One other patron by the bar and a couple by the front.  Greeted by the host/waiter and brought to our table. The corner, booth-style table seat is weird because so many people have sat there that your butt sinks in to the seat, right smack in the middle. Awkward. Ordered two salads, grilled shrimp salad, house made pasta with braised lamb shank and the panna cotta. We received complimentary warm bread with this unique dipping sauce. It was either a tomato or red pepper paste mixed with a vinaigrette and oil. Salad and entree took a while to appear. Dessert came out fast. Our waiter thought we wanted two soups and a tilapia dish. Thankfully, they brought out the correct entree quickly and piping hot. I was disappointed at the error but he was apologetic and quick to fix things. The food was good. Salad was your basic mixed greens with a vinaigrette. The grilled shrimp salad had an exotic, strong grill taste and was done nicely. Went well with the spinach. I enjoyed my house made pasta with a delightful sprinkling of parmesan cheese and scoop of ricotta. The lamb shank was tender and very flavorful. Overall, a nice combination - wish it was a slightly bigger platter so I could devour more. The panna cotta was a refreshing surprise. Had a nice strawberry flavor and just the right amount of sweetness. Their lunch special is a good deal for the type of food you're getting here. Just be prepared that it can be quiet during lunch time.",0,0,0,Shelley L.,"New York, NY",96,466,1212
5.0,1/24/2019,Arrived in NYC late and didn't feel like trekking out in the cold.. so DoorDash it was! The Cacio e Pepe is everything I hoped it would be... even delivered.. BRAVO!,0,0,0,Carol R.,"San Francisco, CA",1,47,64
5.0,1/20/2019,"I don't know why everyone is crying, this place is fantastic. Waiter might come off a little standoffish but other than that this was some of the best Italian food I've ever had. Prices are fair, drinks are good. Give it a shot.",0,0,0,Cameron H.,"Tampa, FL",57,5,2
5.0,1/6/2019,"Great place to eat, fantastic staff, exemplary service. Will definitely go again next time we're in NY.",0,0,0,Gregory P.,"Carson City, NV",0,6,1
1.0,1/5/2019,"This was one of the worst restaurant experiences I've had in NYC.  The waiter gave us two plates for the pasta, we assumed they split one serving because the second plate was smaller and more watery. When we asked the waiter if it was one serving or two, he accused us of ordering two and was very nasty. We were so full from the pasta that we couldn't eat the Branzino that we ordered. We had to take it to go and couldn't even enjoy the fish. Pasta was watery and too salty. Not returning.",0,0,0,Jason N.,"Queens, Queens, NY",0,5,0
