rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,4/7/2019,"All the highly reviewed restaurants in the area were fully booked so we ended up here for a Sunday brunch. There were plenty of available tables and we were seated immediately. The ambience is nice for brunch - lots of natural lights, comfy booths in the back, and the bar area has a great design. The decor is confused - lots of rustic elements and a strangely modern painting that was probably meant to be cheeky but fell flat. The service is where this restaurant lost all the stars. We didn't have a designated server. The host who seated us also took our order and all further requests were made through the busboy. The host / server barely knew the menu and was sorely misinformed. We asked if the chicken sandwich was spicy. When he said no, we ordered it for our child. To be fair, the chicken was not spicy... but it was slathered in a spicy cole slaw that made it inedible for her. I asked several questions about items on the food and cocktail menu and the host / server didn't know any of the answers. The food and cocktails were tasty, but the decor and poor service means I will never come back for another meal. A cocktail at the bar, however, would be fine.",0,0,0,Jeanne R.,"Manhattan, NY",0,4,1
3.0,3/22/2019,I stayed at The W for work so I ate in the Irvington a few times. The menu is classy but limited and they cant do many substitutions. They do have at least one vegetarian option on the breakfast and dinner menu and seem like they can accommodate dietary restrictions. I had a good experience with the waitstaff but generally I found that they weren't very attentive as I often had to physically flag someone down after being ignored for 5-10 minutes.,1,0,0,Jessica C.,"Pacifica, CA",88,580,17
1.0,3/12/2019,I am a long time guest of the W Union Square and the lovely ladies at the front desk gave me a couple of free drink tickets for the lobby bar run by the Irvington restaurant. Imagine my surprise when I realized I had developed super powers and was invisible. Sat waiting for someone to take a drink order for 10 minutes - after zero acknowledgement and being walked past several times by servers who acted like I didn't exist - I gave up and left for my dinner reservation. I stay in Marriott properties over 100 nights per year for the last 10 years - makes me an elite guest with ambassador service - to be ignored by the bar staff. So what I would say is go for the hotel and the amazing location and front desk staff and skip the restaurant and bar - you are in a neighborhood with literally hundreds of options who would love to see you,0,0,0,Patti W.,"Poway, CA",0,13,0
4.0,2/27/2019,"I went on Christmas Day 2017, and luckily they were open. I was told I had to sit in the back of the place because of ""reservations"" but it was nearly empty! Rude hostess aside, my food was so good! It's beautifully decorated, and the theme is based on literature, what's not to like?!",1,0,0,Amy R.,"Honolulu, HI",0,17,0
1.0,2/2/2019,"Normally not one to comment or write a yelp review Other than their Palomo cocktail, their food is extremely overpriced and not satisfactory! Many people were upset that they couldnt order a burger due to kitchen issues... Isnt that something the server should warn the customer as they hand out the menus!? Also.. i been here several times and every single time the same Hispanic hostess has such an attitude on her face. This is a high end place to dine so the least I expect when I walk in is a smile and greeting! This girl had such a resting b*tch face and is definitely not happy with her job.... Im sure it makes diners uncomfortable just seeing her miserable frown!",0,0,0,Chloe L.,"Manhattan, New York, NY",0,1,0
1.0,1/3/2019,"Inexcusably rude service from an Asian bartender.   She removed a plate of food from a patron who hadn't touch her plate, and guiltlessly dropped a check. Guess the food sucks too. I have many choices before I head home to Brooklyn and a simple cocktail request of a Manhattan seemed to be annoying.  The busboy ran my check and the bartender disappeared in her apparent disdain for her position at a hotel bar.",0,1,0,John M.,"Manhattan, NY",149,15,10
4.0,12/17/2018,"Very enjoyable birthday diner for our friend here.Appetizers were all quite good.Service was excellent.A bit noisy, but similar to most NYC restaurants.",0,0,0,Jeffrey L.,"Manhattan, NY",0,16,1
3.0,12/16/2018,"Nice place at the W hotel. Quality food, a lot of employees inquiring how we were doing. However, waited for coffee for 20 min. No refills offered. China was chipped, asked to replace. Waited for someone to get a check. Otherwise the place looks nice, good for large parties.",0,0,0,Victoria K.,"Manhattan, New York, NY",0,12,3
4.0,12/7/2018,"Stopped in for drinks in the lounge. The poppy pear was really good,   It's not sweet and more on the margarita side.  Everyone enjoyed their drinks, it's just that mine was better :)",0,2,0,Jeannine M.,"Bayside, NY",19,409,43
1.0,11/23/2018,"If there was lower than a 1 star this place deserves it.  Went there for Thanksgiving dinner, food was horrible served lukewarm at best. The service was nice but too busy to clear our plates.  The entire experience was bad with the exception for being with friends.  Bummed to have spent our Thanksgiving there.",0,0,0,Sue K.,"Novato, CA",0,7,0
5.0,11/11/2018,"Nice cozy spot with great eats! Stopped in here to use the lower restroom and the restrooms were pristine 5 stars for cleanliness. Didn't stop in for food but the location, ambiance and food menu looked incredible!",0,0,0,Zach S.,"Los Angeles, CA",72,435,220
4.0,10/22/2018,"Chic setting, albeit loud. Service was fine. Food was between 3 and 4 stars. Cauliflower app was tender and flavorful, but the tilefish was bland and slightly dry. The squash that came with it was perfection. Overall everything was a bit mixed.",0,0,0,Sylvia C.,"New York, NY",0,73,0
2.0,10/8/2018,The food is good but the service is poor. Tonight the restaurant was more than half empty and there were plenty of waitstaff.   They seemed to never be near the tables.   We would look around and no waiter could be seen.  I would not return.,0,0,0,Ellen K.,"Harrington Park, NJ",0,38,0
4.0,9/2/2018,"Great place , reasonable food prices for New York. Serving staff friendly and professional ... Variety of food is limited but tasty for anybody's palate ...",0,0,0,Kurt C.,"Mill Valley, CA",28,104,14
5.0,9/1/2018,"Came in earlier today for a drink, my bartender was friendly, kind and insightful. Within 3 minutes of conversation - He customized a personal drink that was TO DIE FOR. I'll return to this place simply because it's nothing like I've had before! Eddie, thank you so much for your hospitality and warmth. I'll be returning!",0,0,0,Ellie Jane T.,"Brooklyn, Brooklyn, NY",218,7,0
4.0,8/27/2018,"Came on a Tuesday for lunch and it was surprisingly quite full. Luckily, my friend and I had a reservation so we didn't have to wait. It seemed our waiter was possibly new or unaccustomed to the environment. He was a bit slow and forgetful but was still polite. I ordered the rotisserie chicken and it was cooked very crisp on the outside, yet moist on the inside. Highly recommended. Apart from that, the interior is modernized and quite stunning. Would definitely like to come back for dinner and a round of drinks one night.",0,0,0,Tiffany C.,"New York, NY",5,35,10
4.0,8/26/2018,I love the food here. The menu is innovative and the atmosphere is fantastic. They have some very cool drinks on the menu. The wait staff is super nice .  I would absolutely recommend going to dinner here,0,0,0,Donna F.,"Sparta Township, NJ",90,162,232
5.0,8/22/2018,"I went here for dinner and some drinks and had an overall great experience! I ordered the Tuna Tartar Tacos that my server recommended. The taco were delicious and filled with flavor, will definitely order them again. I love a spicy drink and the Spicy Paloma hit the spot. The service exceed my expectations, the server Jonathan was amazing and so helpful with making my dinner choice!",0,0,0,Silvano C.,"New York, NY",297,9,10
4.0,8/22/2018,"The atmosphere and the food were very good but the best part of dining there last night was the exceptional service from the front house manager, Edwin, and our waitress Abigail. Both went out of their way to make sure our table was right (I had a guest with hearing issues) and that our party of five had a relaxed and fun meal. What a difference excellent staff make to a diner's night out!",0,0,0,Deborah H.,"STRATTON MNT, VT",0,4,0
