rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,2/9/2019,Beautiful atmosphere and great drinks just don't eat here. The food is so bad. I ordered the chicken and it was tasteless and dry.,0,0,0,Sophia S.,"New York, NY",48,24,3
4.0,1/4/2019,I came here with coworkers for a year end lunch celebration. Our group had a vegan and he was able to select from a number of dishes that could be made vegan friendly. I had the swordfish and I thought it was delicious! The vine could have been a bit better but I can understand having a sit down lunch at a hotel in Times Square night not be a top choice unless you're staying at the hotel,0,0,0,Marcy M.,"New York, NY",136,141,344
4.0,1/4/2019,"Went for the pre theatre dinner. The ambiance was great, and we were seated promptly. The waitress was great for our party of eight, and the food came quickly with no problems. The food was just average. I had the aglonotti while others in my group had the filet, burger stack, and Tagliatelle. Both burgers said they wished they got something else as did the Tagliatelle. My aglonotti was delicious but the portion was tiny which was disappointing. The best part of the meal was the mussels that we shared as a table and the drinks. Overall, it was efficient for what we needed, but I probably wouldn't go back any time soon.",1,0,0,Maggie F.,"Gainesville, FL",90,57,64
5.0,12/26/2018,Was looking for an upscale place for a nice Christmas meal with my wife and found Charlie Palmer at the Knick. Being fans of Metrazur and Aureole we felt confident in quality of food and service. The fois gras was phenomenal as well as the crab stuffed lobster. We were served by an attentive friendly server named Ganye. Also had the pleasure of meeting Chef Matt during our meal. The place is spacious and comfortable. We left extremely satisfied.,0,0,0,Michael B.,"Southeast Yonkers, Yonkers, NY",0,1,0
3.0,11/17/2018,"I did not pick this place. Business dinner. Saw the average reviews and wanted them to be wrong. Unfortunately they were accurate. Just a really average place, in a city with the best dining on the planet.From the salad, to my appetizer to my salmon entree, nothing stood out. It's expensive, not a great space, indifferent service and just not worth your time.",0,0,0,David A.,"Harrisburg, PA",170,970,1807
3.0,10/5/2018,"You walk out of the elevators and welcomed by highly designed balance of negative and positive space.  There is a high level of sophistication (which correlates to high ceilings) that is unheard of so close to the heart of Times Square.  All of a sudden there are no tourists to be found and I'm hoping I can still get it with since I didn't where a blazer to work that day. The portions here are huuuuge.  Wait... I mean the plates they serve the food here are huuuuge.  The portions are delicately place in the center and then built vertically so you kind of feel like you're playing Jenga.  But in all seriousness the crab and steak here are great and quality is about right for what you pay but I eat 2000 calories a day (normal range BMI).  While I did enjoy the ambiance and experience of Charlie Palmer I just had to have a 2nd lunch.  Drink here, enjoy the space but if you're hungry go elsewhere.  Or go here and then go somewhere else like I did.",0,0,0,Jae J.,"New York, NY",87,89,28
2.0,10/3/2018,"We ate at this restaurant because it was close to the theatre. We ordered pre-theatre dinner, 3 courses for $45. That was the good part. Beet salad was mostly soggy greens & no flavor. Little gem Caesar was tasteless. Pasta was salty and tasteless. Chicken was salty.,Creme Brûlée was good. Drinks were super expensive.",0,0,0,Debra B.,"San Francisco, CA",0,7,0
3.0,8/13/2018,"Went there for restaurant week. It's a nice place, we ordered the aglnotti (hope I got the spelling right) and the swordfish. The mains portions were very small, I only got 2 small slices of swordfish (each slice was like the piece of fish they put on top of sushi) and I was a little upset with it. The plating was very pretty but the fish was bland and there was a slight bitterness. The rest of the dishes were also pretty small and we thought that there wasn't much to rave about. We also paid $5 for a small cup of iced tea.",0,0,0,Kendra C.,"Manhattan, New York, NY",21,6,5
3.0,8/12/2018,I was a bit disappointed.Soup was too salty while the crab wrapped in woven cucumber purse was bland and needed salt.The steak was okay but the sauce was a bit concentrated in some parts of the dish. The chocolate cake was a moist cake with chocolate frosting but I could not taste the orange infused cream on top.   I was also envisioning the chocolate meringue bigger than the sliver I got on top.The ambience was spectacular!  Unfortunately I cannot eat it.,1,1,1,Bing R.,"New York, NY",149,544,3265
5.0,8/9/2018,"Since it was restaurant week, I selected the $42 price fixe menu. I started with the crab and cucumber salad. It was fresh and crisp on this hot summer day with succulent sweet crab. Next I had the anglotti with goat cheese and pesto. The pasta was perfectly aldente while the creamyness of the goat cheese paired well with the earthy mushrooms. To conclude I had the decadent chocolate mouse cake which was rich with flavor. The atmosphere was amazing! Exactly what I'm looking for in a dining experience with impeccable service. I will be returning.",1,0,0,Tracy S.,"Belmar, NJ",2,57,33
2.0,7/26/2018,"Just no. Ambiance was nice, service was okay, food was horrible!Not only was the servings so little (which i expected), it was so bad!!!",0,1,0,Sun H.,"New York, NY",372,122,44
4.0,7/25/2018,"Nicely decorated, service was slow but food was good. My sun had a set lunch and my husband and i ordered several dishes from la carte and a were delicious! Must try if you have time and are looking for a good lunch!",0,0,0,Anna F.,"Yamada, Abuta-gun, Japan",22,8,13
5.0,7/1/2018,"Ate here with our teens and we all loved everything.  They even ate fish and it was perfectly cooked.  Atmosphere was wonderful, live music and wonderful table!",0,0,0,Kimberly S.,"Rancho Santa Fe, CA",3,8,0
4.0,5/28/2018,"Hanging out in Times Sq is something you def want to avoid (if you're a New Yorker). So - what do you do if you must go if you want to see a show on B'way and would like to have a 'pre theater meal' ? Well, a) you don't have your meal around Times Sq or b) you go to The Knick. Quiet , somewhat romantic , away from the crowds. Food selection and service is catered to the theater crowd , speedy delivery of meals but def not feeling rushed. Here is where you want to have a good glass of wine and a meal that is properly executed, all for a reasonable price given location and quality.",0,0,0,Fabian B.,"Queens, NY",5,109,28
3.0,3/21/2018,"**400th Review**Charlie Palmer at the Knick would not be my first choice for review milestone. But if life has taught me anything, it's that the universe has its own plan that I'm not privy to, so I'm basically just along for the ride. I have to say, I was a bit nervous before dining here. The reviews are mixed at best, and when I glanced at the menu, everything seemed to be wildly overpriced. There are a lot of fabulous hotel restaurants in the city--restaurants you'd likely seek out even if you weren't a hotel guest. Narcissa, Ferris, the Nomad, to name a few. Charlie Palmer, on the other hand, is not a place I'd recommend going out of your way for. It is, thankfully, an okay option if you are indeed staying at the Knickerbocker. Yes, it's expensive, but the food isn't bad. Everything we tried was pretty decent, though fairly uninspired. If you have friends or family staying here and they'd prefer not to leave the building for dinner, this is a viable option. Came here at around 7pm on a Sunday night. The bf had family in town, and said family needed to stay local. I foolishly thought we'd need a reservation, but the place was eerily empty. The space itself is nice enough. Large, as you'd expect, cushy chairs, somewhat corporate-feeling. Drink-wise, I'd recommend going with wine. The cocktails here are $24, which is absolutely absurd. Good cocktails in the city are already expensive, averaging about $15 a nice spot, so this is just outrageous. And there's nothing special about them anyway. The wines by the glass, however, are a bit more reasonable and there's a decent selection. I had a delicious Riesling and the bf had a Grenache/Syrah that was tasty too. Both in the teens, price-wise.Because we ate earlier than we typically do, the bf and I didn't ball out too much with ordering. I also knew that this wasn't the place to splurge, which turned out to be correct. That said, my low expectations did ultimately leave me pleasantly surprised. Though the food was, as I mentioned, uninspired, the flavors were decent and everything was cooked well. Nothing impressed me but nothing was bad. A few interesting elements but you won't see anything adventurous. Eats, below:Grilled Octopus w/ Saffron-Chili Foam, Roasted Cauliflower: B-Pretty boring, but thankfully they didn't flop on the execution. The octopus wasn't rubbery but didn't have that crispy, meaty texture I like so much, either. The saffron-chili foam was a nice touch and added some good flavor. Garnished with chilled cauliflower/tomato salad, which was so-so-.Beef Tartare w/ Chive Aioli, Crispy Purple Potatoes, Mache Salad: B-Nothing special. Nice presentation, the chive aioli was interesting though I got more of a horseradish flavor than chive. I tend to see horseradish used often in beef tartare preparations, so it wouldn't surprise me if there was some of that in here too. Always good to have some crunch with tartare for texture, so glad to see they added that element. Icelandic Cod w/ Bean Cassoulet, Tokyo Turnips, Blue Potatoes: BWell-cooked, served in some nice broth. I enjoyed the turnips and radishes but could've done without the beans. That said, I usually could do without beans. There were only about three, small, blue potatoes that made it onto the plate, so it seemed they were simply there to punctuate the overall aesthetic with some colorCharred Broccolini: BCan't complain. A little greasy, but tasty. Hard to seriously mess this up. I'm a sucker for charred veggies. I'm not sure why, but our waiter brought us a complimentary round of drinks at the end of the meal. We didn't ask for them nor did we really want another drink, but we all appreciated the thought. Perhaps it was a reward for being one of two whole parties dining at the restaurant on this particular night.",5,3,3,Molly T.,"New York, NY",887,463,1480
