rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/25/2019,"Fourth or so time coming here when in manhattan because it's perfectly located by penn station.  From hostess to waiter service was perfect.  Crab cake was excellent...cream spinach, and Mac n cheese were perfect. The filet mignon was cooked perfectly(rare). Meal was a solid 10 of 10...kids were happy...Boston Lager was ice cold. Expensive but worth it.",0,0,0,Lorne K.,"Wantagh, NY",1,24,6
1.0,4/12/2019,Very disappointed on Thursday evening. We brought head of a major Chinese firm to Nick and Stef's at Penn. Lobster Bisque was awful and cool. Their bluepoint oysters were tiny. One ordered the lamb chops medium rare came out well. He decided not to send it back .The porterhouse for two was overly tough..Just a bad night for us there and really did not want to write this but embarrassing dinner for guests. Oh the petite filet was perfect,0,0,0,Mark H.,"Atlantic Beach, NY",237,54,0
5.0,4/10/2019,Excellent food. Steaks delicious and sides very large. Definitely recommend this for fine dining.,0,0,0,Lisa H.,"Bartlett, TN",62,9,0
5.0,3/18/2019,"Excellent dinner. Review will include highlights and things to note. Service/First ImpressionsApp to make reservation took seconds and emails to confirm etc.  Easy. Post Big East Tourney. Reservation got us seated in under 2 minutes. Great location and easy to find Dinner Excellent service.  Attentive waiter who was friendly and explained the menu to all.  Some first timers in party of 4. Very impressed by managers clearing dishes and making sure you are happy.  Actively working the room.  Good menu with solid apps, steaks, drinks and dessert NYC steak and prices- nothing shocking Bread- very good and different kinds.  Was hot. Apps.  Caesar salad, calamari, lobster bisque, etc. all were very good.  No complaints. 4 Filets.  All cooked to perfection.   Sides-   Mac and cheese, truffle fries, potatoes. All hot and very good.  Drinks Scotch and Beer.   Generous pours on scotches however they also not charging $8.   This NYC however, it was a 2 ounce pour or pretty close.    Lagavulin 16 too.  Ahh what a great scotch. Dessert Cheesecake for table.  It was exceptional. If I had to complain, these would be my only comments.  Mind you this would in no way impact my return. And yes that is a no brainerBathroom is smaller than my 1/2 bathroom at home. With a packed bar and drinks flowing, don't wait.  Seating is tight.   I get it and not something I care about however I was bumped into many times by patrons and passing employees.In conclusion, a great steak, great dinner and a place I would be happy to eat at again.  I would recommend to family in friends when they visit the city.",1,0,0,Rich G.,"Shelton, CT",0,19,0
5.0,3/7/2019,Had a great meal! Have been multiple times and would go back again. Love sitting in the bar area.,0,0,0,Alex K.,"Park Ridge, NJ",0,4,2
4.0,3/3/2019,"came here around lunch time unplanned and, basically had the whole place to ourselves the dining room was spacious and, very elegant and the salad was just a perfect composition/ratio of flavors I believe it was a strawberry avocado salad, the lobster bisque was super rich and, creamy but I just wished it would have been bigger, everyone was very welcoming and, pleasant. I'd really love to come back",0,0,0,Jahsid M.,"New York, NY",183,105,45
5.0,2/23/2019,Service was impeccable from the hostess to the waiter! Food might've been even better. The iceberg wedge as simple as it might seems was great. Blue cheese dressing was no doubt made on premise and bacon was a nice thick cut applewood. Porterhouse for two was cooked perfect and Marbled to the hilt. Can't wait to come back,0,0,0,Tom M.,"Island Park, NY",0,3,4
5.0,1/30/2019,Went for Restaurant week with good friends. Met at the door. Quickly taken to our choice of table. Fast great service. Food was excellent.,0,0,0,Sidney M.,"Brooklyn, NY",12,3,0
4.0,1/26/2019,"Enjoyed a nice lunch yesterday at Nick & Stef's Steakhouse which included a Braised Short Rib over Wild Mushroom Risotto as an appetizer on their $26 Restaurant Week menu. At first sight one would think the short rib was the star of the dish but the true gem was the risotto; perfectly cooked, nicely seasoned and just enough bite to the rice.",0,0,0,Andrew K.,"New York, NY",368,77,57
3.0,1/21/2019,"We went to Nick & Stef's this past Saturday, before the Sebastian Maniscalco performance at the garden. I arrived 15 minutes before my dining companion. I grabbed a seat at the bar which was about 3/4 full with the hopes of grabbing a drink. I sat for about 5 minutes (which may not sound like a long time-But it Felt Like it) waiting to be acknowledged.The bartender finally approached...the two women next to me and gave them a bunch of menus-he then left the area. I pulled out my phone to kill some time-5 more minutes-still no service. I know this is a bar full of tourists and what not but that's not excusable. Tourists deserve Respect and alcohol too. And I'm not a tourist btw...The service: table service was very good. And although dessert was forgotten/not brought to the table-the waiterApologized and comped it. We thought that was great. The food: we both had the petit filet mignon-I know-not the most flavorful but I loved it. Juicy and tender. I had the peppercorn sauce (don't usually use sauce on meat) and it was the right amount of spice. The brussel sprouts w/ bacon were pretty good, but needed a little more flavor, imo. I didn't care for the Mac and cheese-I thought it was bland-companion really liked it. I guess I'm a Mac and cheese snob. The chocolate  With gelato was not good at all. Please Skip! Overall 5.0 for the waiter, 1.0 for bar, 3.5 for the food.",0,0,0,erica m.,"Manhattan, NY",18,31,13
2.0,1/20/2019,This place was terrible . Food was fair at best and the service was rushed Had reservations at 8pm and was seated at 832 pm.Also this place is so loud and obnoxious that we could not wait to get out of there. We have never said the word WHAT  so many times .Never ever again .,0,0,0,Cathy G.,"Glassboro, NJ",0,9,2
2.0,1/9/2019,"Came here last night before close. The quality of the food was definitely not up to par. Did the pre-fix menu - Salad for the appetizer, NY strip, and chocolate cake.Pro: it was empty - Ambience was chill.Con: The steak was overcooked and I was too hungry to complain. The quality of the meat was not good at all. The dessert was like a frozen ice cream cake, and I've definitely had better at Carvel.Meal for two (pre-fix) came out to $160 pre-tip that included one glass of wine. My advice: skip this joint and go somewhere else.",0,0,0,Hunter J.,"New York, NY",4,46,2
5.0,1/3/2019,The service and meal were excellent! Highly recommend before any Garden Event.,1,0,0,Juliet F.,"Kent Cliffs, Kent Cliffs, NY",0,4,0
1.0,1/2/2019,"Came here on NYE for a business meeting, service wasn't super great, steak was not done right.. its a steak house comon lol. It looks like charcoal. Lobster was dry although it looks nice. The wine and the oysters were good but the waiter didn't really explain what they had so I ordered a dozen, half/half to try. I felt like if i asked more questions this guy will snap because he's working on NYE. (No offense to anyone who works on holidays because I am too.) I didn't take much pics because I was dreading to leave and just finish my food. The meal itself was $500+ plus tips $600. I don't think i'll come back...",1,1,0,Wendy L.,"Brooklyn, NY",7,13,85
5.0,12/30/2018,"Excellent! Decent wine list, the filet mignon was perfectly cooked, the salmon and a side of asparagus were very fresh and tasty, and the double espresso great.  We were expecting average service to get us seated, served, and out before a Ranger game, but most impressive about this dinner was the service, earning the 5th star of this rating.  Rachel is an impeccable waitress, her timing and approach for taking our drink order, dinner order, providing dessert menus, and then the check was flawless.  We eat out several times a week, and she is by far the most notable waitstaff who we've come across in a long time.  We'll be back.",0,0,0,Ella B.,"New York, NY",0,13,0
