rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
2.0,4/27/2019,"My aunt and I went to eat here when she was in town as we thought it would be a quiet restaurant to catch up in. It was the opposite of quiet, and the service left much to be desired. The food was okay, but nothing that really stood out. I don't think I will be going back as there are lots of other great restaurants in the area with much better ambiance and food.",0,0,0,Alexis S.,"Manhattan, New York, NY",18,256,16
5.0,4/3/2019,"Came to this restaurant Saturday evening for my moms birthday with a group of nine.  This place packed at 8:30pm, I do recommend that you make a reservation when you come here just to be safe.  With that said, I can honestly say the food here was terrific.  For appetizer, we had grilled octopus, burrata cheese, and dozen oysters.  Now I will say that for a group of nine, that is hardly enough.  But luckily they gave us bread, so that stopped us from eating every item on the appetizer list.For my entree, I had the pan seared Chilean sea bass with coconut curry sauce on a bed of sautéed vegetables.  This dish, all I can is wow.  Words just can't explain how much I loved this dish.  The fish was cooked perfectly, and just the right portion.  We also had the squid ink pasta and the sirloin steak.  I can't get into detail about each dish, but just know it was great.  The service here was phenomenal.  Our waiter was very polite, outgoing and very open to answering all our questions.  Even the manager and the bartender were very polite.  I was trying to find a good bourbon for my cocktail, and they let take many samples so I can find the right combo.  Overall me and my family were very satisfied, and will be sure to come back.1 thing I will point out, for those who aren't used to NY prices.  If you can't afford or if you're expecting a dinner on the lower end of the cost spectrum, then this place isn't for you. Dishes will usually go $26-$45 and cocktails were about $15. But if you do come here you will not be disappointed.",1,0,1,Brandon L.,"East Brunswick, NJ",174,82,260
5.0,3/31/2019,"This restaurant is one of my favorites. Every time I go there the staff is so friendly - from the bartenders, to the hostess, to the waiters. The food is so delicious no matter what I order ... and the cocktails change by season which keeps me guessing. They have my favorite dessert, s'mores bread pudding it is AAAAMAZING! love this restaurant. 5 stars.",0,0,0,Konstantina P.,"New York, NY",0,6,0
5.0,2/13/2019,"Went here tonight for the first time and not one negative thing to say about it! The atmosphere is cozy and elegant. First off they have an awesome happy hour- 4 to 7pm, more than half off some drinks. The meals were very generous portions compared to other similarly priced restaurants with large sides.The macaroni and cheese is one of the best we've ever had! A mix of a several different cheese and so delicious! The cheesecake was amazing! A perfect way to top off an excellent dinner.And not to mention the service was exceptional. Everyone was very friendly, accommodating and helpful.",0,0,0,Em G.,"Hoboken, NJ",0,5,0
5.0,2/10/2019,"From the moment I walked in I felt like a valued guest and old friend and that set the comfortable tone for the evening. The owner greeted us, offered to check my coat, and we were taken to our table by our friendly waiter.  He was patient while we tried to decide which of 2 available tables we would like best.  After settling in, he took our drinks order and recognized that we needed a few more minutes to decide what we wanted to eat. He was knowledgeable about the specials and regular menu items. The restaurant was very busy but we didn't feel rushed.  The decor is beautiful and makes a lovely date place. The scallops, mussels and pasta special were delicious.  We ordered dessert but couldn't finish it because we were full from dinner.  We had a very pleasant experience and intend to go back",0,0,0,Marguerite D.,"New York, NY",2,15,2
5.0,2/4/2019,"Picked the place for restaurant week and it was close to where my friend lived. The atmosphere is lovely and relaxing. Service was attentive and friendly and the food was really, really good. They have infused bourbon cocktails which are very interesting and tasty. The food from the restaurant week menu is delicious. From the tartare to the hefty lamb shank to the light pillowy gnocchi drenched in cheese sauce with black truffle to the decadent smores bread pudding. I rolled out of there very, very satisfied.",0,0,0,Suz L.,"New York, NY",0,53,0
4.0,1/31/2019,"This might be the coziest spot in the Flatiron area. I've been here a number of times and I always have a wonderful dinner experience. The service is constantly excellent and so is the food. The staff here always make you feel very welcomed and are knowledgeable when it comes to the menu and any specials. A big plus for the great décor it's just super cozy and perfect for a romantic date night! Their pasta dishes are all delicious, and I love that they can all be ordered as appetizers as well. Perfect if you want to try a few dishes. I always end up ordering the burrata appetizer and its very good and fresh. Last time wasn't the best though and don't know if this had anything to do with it being the thanksgiving weekend? But it's usually an excellent appetizer with lots of flavor. For the main course I've had the Pappardelle Ragout and this is probably my all-time favorite. I truly recommend it. My company always ordered the Veal parmesan and it's huge! Overall, this is just the perfect spot for a cozy date night. The dim lighting, great service and excellent food will not disappoint you.",0,0,0,Erika S.,"Manhattan, New York, NY",26,69,236
5.0,1/28/2019,Came here for the first time during restaurant week and had a wonderful experience. Staff is very friendly and accommodating and the food is delicious. The wine is very good too. 10/10 will definitely be back.,0,0,0,Chaya B.,"Monticello, NY",0,2,0
5.0,1/25/2019,"Some of the best food I have had in NYC!Had the branzino and it had the most incredible Smokey sauce on the side.Finished with. The world BEST tiramisu !!!Atmosphere is great for a date night, dark red walls and indirect lightingLoved it!",0,0,1,Layla M.,"Los Angeles, CA",25,17,8
5.0,1/22/2019,"I remember going to this Italian restaurant, and I liked the penne that is served with meat sauce.",0,0,0,Ilan F.,"New York, NY",0,85,22
