rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
3.0,3/10/2019,"I am not a big fan of restaurant week, because I feel the kitchens usually try to cut corners on their menu... This is the first time I come to Perrine and I don't really know what to expect.  The style of the restaurant  is very classy and Upper East side... ( if you know what I mean . Hehe). Staffs are nice too But wait a minute.... you serve me Ribs and Fried Chicken ⁉⁉  I think I ll go somewhere else for that",0,0,0,Danny L.,"New York, NY",85,42,148
3.0,2/8/2019,"The food and service was excellent the last time I went and I was so excited to go again. To my disappointment, the food was not up to par and neither was the service. Besides waiting over 20 minutes for my drink because the waiter had forgotten, he told us about the additional supplemental fees for certain dishes on the restaurant week menu. Then when we ordered, we happen to choose one appetizer that had additional supplemental and one entrée that had additional supplemental as well, the waiter proceeded to tell us again about the extra cost, and I understand that they may have been misunderstanding in the past with other customers so he's reminding us but the fact that he forgot that he already told us was a little annoying. However, he was polite enough and did apologize but never came back to ask us if we needed more bread, another drink, or to check on us. Now let's talk about the food... the bread and butter was delicious as it should be at a French restaurant, I had the veal carpaccio for the appetizer and it was well-made but bland. I pushed my friend to order the lamb chops because last time it was so flavorful and tender, however this time around the lamb chops were bland and there wasn't enough sauce on the plate to help with that. The short ribs were Well cooked but nothinbut I really regret not ordering the buttermilk fried chicken. (I have been craving that for a long time). I thought it would be a waste to order a fried chicken in this sort of establishment. What a mistake... The apple tartin was okbut the nougat cake was mediocre at best.The meal itself took over two hours because it took more than 30 minutes to receive our appetizers and there was almost a 45 minute gap between the appetizer and entrée.To sum up, this is one of those disappointing meals when you come out of the restaurant full, yet unsatisfied. Where as last time, you came out saying to yourself ""money well spent"".",0,1,0,Catherine Y.,"Queens, NY",6,54,195
5.0,2/5/2019,"Food quality and ambiance superb. Service could be nicer maybe coz they know we are ""cheap"" restaurant week patronage. Lol.",0,0,0,Janet H.,"Jersey City, NJ",58,23,115
5.0,2/5/2019,"Its Restaurant Week and decided to try Perrine because of the Yelp rating and their menu. It turned out to be an excellent choice.Appetizers included butternut squash, tuna tartar and steak tartar, all of which we enjoyed. Entrees were short ribs (big thumbs up!) and lamb chops which was full of flavor and melted in your mouth. We all had the apple tart for dessert, a perfect ending to our meal. The room is quiet so conversations can be had at normal levels. Service was polite and attentive, yet not overbearing in the least. Decor was nice and chairs were comfortable. We loved our first time at Perrine and will certainly be looking forward to our next time there.",0,0,0,Nick V.,"Brooklyn, NY",18,97,3
1.0,2/3/2019,"Such high/expensive hopes were dashed upon our entry to this restaurant (a part of The Taj Pierre in NYC) We reserved the late seating (9 PM start time) for NYE 2018 and we're aghast to see children well under ten-years of age bouncing up and down the restaurant. The service was horrible. The first seats that we were placed in were next to the kitchen door and right next to of the terrible live band playing very loudly in the middle of the restaurant. The next table we moved to was better-situated but directly across from the kitchen area where food was being distributed. I don't use this world carelessly. There was absolutely zero service. The food was not prepared tastefully and overall was thought to be a total waste of over $1,041.64 (which contained a set gratuity of 18%. Had the service been what was expected the gratuity would have been increased. The room set aside for dancing didn't have a hardwood floor on top of the carpeted area making it had to dance and once again the terrible band played on. The best way to describe the evening would be a bad bar mitzvah reception with little kids running amok at 11:30 PM. We left prior to the""ball drop-balloons"" and toast as it was realized by both my husband and myself that were unwilling to share NYE 2019 further at Perrine. I welome management's response to this review.",0,0,0,Ruthanne R.,"Los Angeles, CA",20,60,52
3.0,12/10/2018,Mario was great.  Went for breakfast and it wasn't nothing special.  The service was just ok.  They offer fresh juices.  The food mediocre at best.  The location has potential but it just feels old and tired.  It seems like the staff could use a refresher course on hospitality.  I asked for brown sugar and our server literally grabbed a bunch in his hand and placed it on mine.  What???  The proper way is to put the sugar packets on a plate and place it on the table.,0,0,0,S C.,"Chula Vista, CA",0,86,2
1.0,11/12/2018,"I cannot believe this place has 4 stars. Avoid. Came here with my family (4 adults, 2 kids) for brunch. The restaurant was maybe 20% full and it was impossible to get a servers attention the entire time. We waited about 20 minutes for water and then another 25 minutes to place our orders. Once we ordered , another waiter came to take our order. We ordered one lemonade and got 3. We ordered a chocolate milkshake and got vanilla. When we politely explained that the milkshake was wrong, the waiter gave us attitude and said that when someone orders a milkshake it's assumed to be vanilla (sure .. but we ordered chocolate). At one point I was desperate for more water , so after waiting almost a half hour I tried to wave over a waiter- he looked at me and continued re-arranging napkins on a different table.We all tried desperately to get someone's attention to get the check for approx 20 minutes - my mother finally succeeded after 3 other waiters ignored us.Any of these individual things in a vacuum would have been totally fine , but all together they made for a miserable two hours trying to flag disinterested, snotty waiters down. Food is meh. Go literally anywhere else.",3,0,0,Samantha M.,"Herndon, VA",47,62,0
5.0,10/29/2018,"We wandered in after walking Central Park and arrived in time for happy hour.  I had a couple glasses of Taittinger and BF had a couple whiskeys.  They served a couple of complimentary snacks, but we wanted to try the corned beef hash tots- well because.  The corned beef was top notch with a minced potato crust then fried and served with a thousand island type dipping sauce.  It's located in a beautiful hotel that we just might stay in on our next visit.",0,0,0,Rhonda L.,"Long Beach, CA",123,327,433
5.0,10/10/2018,Excellent service. Excellent food and drink selection. A true staple of NYC since the 1940's.,0,0,0,Jordan C.,"Travelers Rest, SC",46,37,10
4.0,9/10/2018,We had a great breakfast here a few weeks ago.  The staff is excellent and the food is delicious.  The indian specialty omelette is quite good but is on the spicier side.,0,0,0,Jonathan D.,"Beverly, MA",23,499,16
