rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/16/2019,Great place to go after work. Its very close to grand central. Not crowded compare to other area. Great food and ambiance.,0,0,0,Annette L.,"Manhattan, New York, NY",0,10,34
5.0,3/21/2019,"Okay el pulpo was so yummy and tender omg. I mean baby baby baby wow. I wish I was chewing it right now. Flavor busting right out of that tentacle. I also had their mango-chile flavored margarita.... the guacamole & empanadas are good options for my vegetarians. Crispy, flaky, savory. Croquettes were a little cheesy but I love that! Not for everyone though. What else did I enjoy? Ohhh yeah, service was sweet. I actually sat in the dining room first and asked to move to the tapas lounge. I felt like an asshole, but they were so gracious. Just melted my heart. I was there celebrating a pretty great achievement and they sent over champagne...I mean it's the works here! I didn't feel overwhelmed by staff or anything. Perfection. Even the dessert...wowweewow. Bunuelos? Please call me Bunuelita because I didn't know I needed cinnamon fritters in my life until dining here. I'm definitely going back. How could I not??",0,0,0,Cid N.,"New York, NY",698,6,0
4.0,12/21/2018,"The food is good and the atmosphere is nice - if the service was also great this would be five stars.Came for a business lunch on the recommendation on the team with which I was meeting.  This is a regular haunt for them so no surprise that it was good. I had the suckling pig (very tender, cooked perfectly) and we split the octopus appetizer (a little tough for galecian octopus but still good). If you're coming for a 2 hour relaxed lunch, this is a great place.  If you're on a schedule though, you're going to be late if you come here.",3,1,0,Al W.,"Brooklyn, NY",312,138,76
5.0,12/20/2018,"The place was wonderful, friendly staff, and amazing food. I was for dinner with my friends tonight and we hade some tapas such as lam coca which was nice and crispy,, as well tuna tacos. But the one which I was impressed was the paella mista, it was the best paella I ever had, and for sure I will come back because I want to trie the other option paellas",0,0,0,Angy R.,"New York, NY",0,2,0
4.0,11/29/2018,"I came here after work to grab a bite with a co-worker. Good service; we had an attentive waiter who was quick to resolve when my friend's ribe eye was served a little too rare for her liking. She has ordered it done medium well..even the manager got involved to ensure we got the best service. Steak was well seasoned served with pico de Gallo, jalapeños and potatoes. It can be a good serving for two hungry people or three not super hungry people. They have good drinks; I got a white peach margarita and spinach and cheese empanadas. Overall its worth the money. It didn't blow me away but it was very good.",0,0,0,Tamira G.,"Brooklyn, NY",24,114,182
2.0,9/30/2018,"Damm, shrimp and garlic appetizer comes with 3 shrimp?  LOL. I've been eating that dish in Newark for years and you probably get 20 shrimp on average. 3 shrimp is comical at best. Rest of the food was OK but I won't be back. 100s of better choices in the NYC area for the same food. I hope we don't fall into another recession soon. They may have to limit it to 2 or maybe even 1 shrimp.",0,0,0,Mike H.,"Paterson, NJ",0,133,0
3.0,9/26/2018,"This place is solidly good. So in actuality this is a 3.5 star review. I ordered the guac and chips which were good, not the best guac I've had but good, I also got the pulpo (Octopus) INCREDIBLE. The empanadas were not good at all. And the bravas were the most basic bravas I've had. The desserts were good, you have to try the fried donuts. The service was weird. The gentleman who was serving us was nice, but kept clearing our table before we had a chance to finish our food. Like he didn't know how to properly read his table, and wouldn't even ask, would just grab things. More than once I had to tell him we weren't finished. Kind of annoying, but not a deal breaker.",2,0,0,Chanelle H.,"New York, NY",24,69,70
5.0,8/30/2018,"Really great place. It was a little busy when we came in, but we still got great service. We sat inside bc of the heat but our server, Ashley, was phenomenal. She made sure all of our needs were met. She suggested the octopus a la plancha, which was fantastic. She also suggested the mango chili margarita which was perfection; not too strong and nice on the flavors. Ashley checked on us frequently and was helpful throughout our dinner there. Definitely will come back!",0,0,0,Nette B.,"Brooklyn, Brooklyn, NY",1,30,7
5.0,8/27/2018,Had a great evening and dinner here.  Service was fantastic in the main dining room and I am looking forward to coming back.  Here are some dishes we had:Soft shell crab - really nice and with just the right amount of spice and an unusual but enjoyable paring with broccoli rabe and gooseberriesOctopus ala plancha - enjoyed this a lot as the peppers and chorizo were nice compliments to the tender octopusJamon iberico - you cant go wrong with this and the tomato bread was deliciousPaella - done very well with a good crust on the bottom of the rice.  I would get this again.Overall great experience with fantastic food and matching service.,0,0,0,Steve B.,"Closter, NJ",69,66,145
4.0,8/22/2018,"I came here for a late evening dinner.   I had the meatballs in tomato sauce, the croquettes and some potatoes bravas.    The croquettes were with cheese and ham and were delicious.   The potatoes bravas were in a tomato sauce with a side aioli.  Very good.  The beef meatballs were tasty but could have been warmer.   The Tempranillo rose was very good.   I would go back.",0,0,0,John M.,"Colorado Springs, CO",10,257,165
4.0,8/9/2018,Once again I am soooo happy its NYC Restaurant Week. Dined at La Fonda Del Sol and had a very good meal.  The downside....the lunch menu for restaurant week does not come with dessert (bummer).  The upside.....the appetizer and entree was so good and so filling that I didn't have room for dessert.I started with the chicken empanadas with the aioli sauce.  They were delicious - no other word can describe them.  For entree I had the grilled skirt steak with potatoes.  The steak was cooked to my liking (so many restaurants cannot cook a steak medium).  The potatoes were fried to perfection and came with a spicy aioli sauce.There are two areas to the restaurant - the downstairs causal area and the upstairs formal area.  I would have preferred the casual area but we weren't able to get a table there.  The formal area is nice but the service is a little slow but good.  Nonetheless it was a wonderful lunch at a very nice restaurant that I'm glad I found.,1,0,0,Kim O.,"Yonkers, NY",67,190,2
4.0,8/6/2018,"I've dined at La Fonda del Sol a few times for lunch and dinner and the food and service has always been exceptional. Although it's supposedly a Spanish Restaurant, it's menu isn't exactly traditional Spanish cuisine. While they offer some traditional Spanish tapas and entrees such as paella and jamon iberico, there are also South/Central American dishes as well, like tacos and empanadas. Either way everything is delicious. The restaurant is beautiful and a wonderful fine dining option in the Grand Central area that is also great for groups and business lunches or dinners or after work cocktails.",1,0,0,Karine R.,"New York, NY",5,52,0
4.0,7/28/2018,"I really like this place for tapas.  I have been a few times.  Food and drinks are reasonably priced.  I went yesterday for lunch and ordered from the restaurant week menu.  They had a nice selection to choose from.  We both had the chicken empanadas for course 1.  I had the hanger steak with potatoes brava and my friend had the salmon.  We were really pleased with our selections and the service was friendly, attentive and fast.  I give them a 4 because I have been going here for years and the decor has not changed, it seems dated and over used.",0,0,0,C G.,"Tarrytown, NY",0,22,2
4.0,7/20/2018,"Happy hour was great, reasonably priced. Tapas was good and the ambiance was cool. Went on a Thursday evening and it was pretty crowded.",0,0,0,Leher K.,"Hicksville, NY",296,65,57
3.0,6/26/2018,"I came here over a year ago after work and had a good experience. Today I Came here with a friend after work and We ordered 3 Tapas, the Meatballs (4 very small), Chicken Empanada (2) and Ham Croquettes (4 small with mostly a cheese filling). We shared them and had their Happy Hour Sangria $6 a glass.  We were still hungry and ordered a 4th tapas, the potatoes which had an odd spice on them and we both left hungry wishing we had picked a different place to eat. The tapas are not worth the price because they are small portions and not filling. The Sangria was very strong.  It was nice sitting outside & our wait staff was great but I'll never come back. Not worth the price for food that leaves you starving when you leave. We should have gone to Naples 45 instead. This was the worst $70 I ever spent and left hungry.",0,0,0,Sno N.,"Manhattan, NY",0,93,36
3.0,6/4/2018,"Great place to grab a drink and some appetizers.  Food was great! Hostess was the most rude person. However, the server and the food madeup for it. Good ambience and with the outdoors open seating area.",0,0,0,N P.,"Fulton, GA",1,5,0
4.0,6/4/2018,"Attended my Bronx High School of Science Reunion last Saturday.  We had over 100 people at the event.  Food was fresh, tasted good and service was great.  The event was special. Thank you.",0,0,0,Nelma P.,"Jacksonville, FL",106,143,1190
5.0,5/26/2018,It was one of those nights I was craving tapas. And it was perfect! I had Garlic shrimp to start off with and the octopus for my main course. Service and the food was both outstanding.,1,0,0,Victor W.,"Kew Gardens, NY",1,8,4
3.0,4/30/2018,"We had a very pleasant lunch at La Fonda Del Sol on Friday.The stylish dining space is two tiered- with a somewhat casual first floor with booths and high-tops and a huge bar. The second floor is much more formal, with white linen tablecloths.We were seated promptly by the front staff and directed to a high-top by the back wall next to the bar. Service was fine throughout our stay with no inordinate delays for ordering or food arrival or check receipt. Our lunch order included two Grilled Chicken Wraps served with cabbage slaw, tomato salsita, and roast garlic mojo on a warm flour tortilla with potato chips for $16, and a Steak Salad of mojo-rubbed steak, avocado, charred tomatoes, cucumbers, mint vinaigrette, and baby spinach for $19.My salad was a pretty good dish. It had four thick delicious steak slices and the spinach, tomatoes, and cucumber were all very fresh and tasted great. Quibbles? Well maybe the size of the salad itself could have been a little bigger, and maybe I should have ordered the mint vinaigrette on the side, because it was strong and whoever poured it had a heavy hand.New York City pricing brought our food bill to over $50 (we ordered from the lunch menu), which I guess is par for the course for what we had.",6,2,3,Dan R.,"Simsbury, CT",1775,2408,36884
