rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,3/10/2019,"Wrote down $75, they charged me $75.33The original amount was $65.33, I deliberately tipped the service I thought I was getting (i.e. mediocre), then something like this happens... I'm obviously wouldn't fight them over $.33, and they think I probably don't check (thankfully I keep my restaurant receipts because it's not the first time a restaurant has tipped themselves more than I wrote down). Maybe an honest mistake, but feels sleezy.",0,0,0,James C.,"Manhattan, NY",158,48,3
4.0,2/28/2019,"Lots of fine wines but a little pricey.  If it's one of those last minute, I need a bottle of wine for a gift or dinner, then stop by.My thoughts during Christmas lol :)",1,1,1,Yasmin R.,"Teaneck, NJ",275,364,202
3.0,2/10/2019,"Steps away from Rockefeller Square. It was a charming little spot to take a break from the wind and cold to warm up with a cocktail. Only rating three stars because we didn't eat, drinks only. Emphasis is on wine, but not a terrible selection of craft beers. I had the Ommegang Quad and was shocked they were serving it by the pint. Normally a quad is an 8 oz. pour!",0,0,0,Hannah W.,"Lancaster, PA",110,224,819
5.0,2/10/2019,"Very cozy warm atmosphere. Excellent service. Food was delicious. Salads were very fresh. Portions were just right, neither too small nor too big. Very wide selection of wine and very tasty. Table clothed, with white clothed napkins. Classy.",0,0,0,Natalie C.,"Manhattan, NY",3,20,68
4.0,12/27/2018,"Going to see the Rockefeller Christmas Tree yesterday evening was a disaster as the crowds were so big it actually became dangerous with people pushing to get a view or take pictures.Morrell came to the rescue. We walked in to get away from the crowd and sat down at the bar. The four of us sipped on a bottle of burgundy and best of all we had the best possible view of the tree. Turned out to be the smartest move we made.Morrell has an extensive wine list with all the major wine regions around the world represented. The glasses of wine are a few bucks more than some places but with the location and view, Morrell was perfect last night!",0,0,1,Tom D.,"Windsor, CA",26,372,322
5.0,12/20/2018,"I had the best dining experience at Morrell Wine Bar and Cafe! Not only was the food amazing, our server Cisse L. Gave us excellent food and wine recommendations. We weren't sure which cheeses to order and he gave us awesome suggestions, we loved the cheeses he recommended! The atmosphere and decor was wonderful also. Our favorite part of the meal (besides the wine of course) was the champagne sorbet. Can't wait to come back here!",0,0,0,Alexa G.,"New Brunswick, NJ",0,6,2
1.0,12/2/2018,Extremely rude service and staff. I have never been treated so poorly. We were greeted with the restaurant manager slamming the door in our face (with NO apology) and the hovering over our table the whole time. Our children were treated with complete disrespect. I would never ever return or recommend this place to anyone!,0,0,0,Kelly S.,"Boston, MA",44,1,0
4.0,11/23/2018,Very nice and cozy place to grab a bite. Oysters and cheese platter was excellent. The atmosphere very good. Highly recommend it,0,0,0,Toni A.,"Hialeah, FL",3,18,3
1.0,10/9/2018,"This has been one of the worse gastronomical experiences I've ever had. Being in NYC and in such a great location it ended up being utterly disappointing. Me and my fiancé ordered tortellini, and here's a full detail of what was wrong with it.1) it was supposed to have bacon. There was NO bacon flavor or pieces2) it was COLD3) basically had NO salt4) the sauce was supposed to be a cheese sauce and it was crumbly and tasted like Mac & cheese.5) tortellini were supposed to be with ricotta, and it had no flavor of ricotta due to the overpowering of the Mac & cheese.6) the pasta were VERY chewy.Overall, We've  never had such a bad experience on an a restaurant with such a simple plate. I did let them know my feedback and they did not charge for either of the dishes. ohh the bread was chewy and the olive oil tasted too oily, evidently poor quality. Wouldn't recommend this place to my worse enemy. Hmmm on second thoughts...",0,0,0,Gonz S.,"Cupertino, CA",74,1,0
4.0,9/21/2018,Decent lunch place near Rockefeller Center in midtown. Seating is both inside and outside. There is an express menu for those in a hurry and an a la Carter menu. The service was decent and the food came quickly.,0,0,0,Kenneth A.,"Newark, NJ",0,36,0
