rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,5/1/2019,"Update - the hamachi bowl is gone, and they're not willing to make it, even though they are serving basically the exact dish on the apps ""yellowtail jalapeño"" with citrus soy and daikon. This dish is basically the perfect hamachi bowl but without rice so the soy is actually now a bit overpowering on the yellowtail.  The yellowtail is still tender and melts in your mouth, but now it's also soaked in soy. I was pretty annoyed they couldn't put it over rice, because they obviously have rice in the kitchen, because my girlfriend got a poke bowl. So disappointing and I was genuinely so sad that this item was gone and my waitress wasn't even willing to ask if they could make it for me. Don't go in hopes of the excellent hamachi bowl described below! Former review:Truly loved dining here. The atmosphere of this place is fairly astonishing when you first walk in too. Very open setting with some mirrors that make it seem like the space is much bigger than it is. I was stuck between so many different things on the menu, and really had a tough time deciding. I went with the hamachi bowl and that was the best choice I could have made. I eat sushi often and at extremely nice places throughout NYC. I consider myself very lucky. This hamachi bowl was the best yellowtail I have ever had. So tender and melted in my mouth and the flavor was so on point. It was served over a nice bed of rice with great soy and wasabi flavoring. Ugh I actually wish I could have that bowl for lunch everyday. Delicious work lunch and all of my co-workers were very pleased with their meals as well, which ranged from grilled cheese to the kale salad with steak.",0,0,0,Jessica G.,"Larchmont, NY",86,155,445
1.0,4/12/2019,Totall reap off. Deceiving overpriced menu. Misleading waiters and very rude manager. Absolutely disgusted with their disrespect and dishonesty.,0,1,0,Radmila C.,"Pearl River, NY",41,6,17
5.0,4/2/2019,"This review is for the LaGuardia Airport location. I was amazed by the level of service offered at this location. On my way to catch a flight, I stopped to get a bite to eat. Very professional and courteous not to mention the food was beyond delicious. I had a chicken parmesan. The manager on duty I believe his name was BRYANT was amazing, I want to complement him and his staff for their professionalism and great service.They definitely have a great team going!",0,0,0,Juan S.,"Kew Gardens, NY",2,58,12
3.0,1/9/2019,I came in for a quick brunch. Had the Caesar salad with chicken. It was tooo salty and the chicken was very dry. The price is expensive for the food I received but the service was great!,0,0,0,Eman Y.,"Vienna, VA",3,22,26
3.0,1/6/2019,"We ordered for 2- Avocado toast - Grapefruit brulee - Oatmeal Avocado toast was very tasty!It was served with salad. Portion was not so big. That's perfect size for me.But if you are so hungry, maybe you need to order one more plate!Grapefruit brulee was served with sweet and creamy yogurt. ( First, they forgot to serve yogurt to us though...)Oatmeal was a little bit too watery :(",0,0,0,Hiroe N.,"Tarrytown, NY",12,8,39
5.0,12/30/2018,"We spent a week in New York over the holidays visiting family, staying at the Park Hyatt and Martinique on 32nd. After reading some of the other reviews, where people called the space ""devoid of personal touches"" and the drinks ""mediocre"", I'm curious if they went to the same place we did. My wife and I entered the space, cozy and candlelit, with mirrors and a tall open window to watch the Manhattan street creatures mozy by and were taken aback by how classy and minimalistic they made this place with perfect lighting and ambiance. It's quite romantic.The waitstaff are personable and beyond friendly, happy to offer recommendations and make personal touches to the service, while not being overbearing.Both times we visited Kingside, we got numerous cocktails and the salt and pepper fries (which are like crack - perfectly crispy and seasoned with a delicious aioli, and unlike one reviewer said, we were served ketchup too). Here's the breakdown:Pomegranate whiskey sour - my wife doesn't like whiskey but she liked this. As a Kentuckian in origin, I appreciated the touch of Maker's on an affordable drink with the perfect blend of sweet and sour - this one packs a hell of a punch so approach with caution.Aviation - reminiscent of a simplified tiki drink, this one packs maraschino sweetness with piney gin flavor for a very ""puts hair on your chest"" feel but with love - it's very balanced.Troublemaker - a taste of the Caribbean, this thing tastes like what you'd assume Miami would if it were a cocktail. Cucumber and soda make this super refreshing.Matcha Much - smooth, thick, and creamy, as another person said, matcha cocktails usually suck, this was like having a Japanese dessert though - I'd save it for after dinner next time.Big in Japan - the only one I repeated both nights because it's THAT GOOD. Smooth Japanese whiskey is complimented by sherry for a whole package that goes down smooth.The Midtown Spritz was probably my least favorite of the bunch as it just felt a bit weak on flavor and liquor but that's fine, because 7 out of like 8 is not a bad record.The Mules were also fantastic, with plenty of boozy goodness and no wells in sight.I can't comment on the dinner or brunch service here but I have a hard time imagining that the people who served us our snacks or cocktails would suddenly fall short just because that plate is a bit bigger. I really like this place and we'll be back on our monthly returns to NYC.",1,0,1,Jamie P.,"Minneapolis, MN",42,105,11
3.0,12/26/2018,"Had a dinner with SO and friends on a Christmas Night in the city. Good thing it was open and not poured with tourists. Wines and beer lists are quite short, but overall decent. Me and SO had Burrata and it was quite bad - too much mushy and didn't come with balsamic and tomatoes, apples instead. Guys were overall with medium rare cooked burgers. Huge con is that the server tried to charge $46 instead of $16 as tips. Hope that was not intentionally but make sure to write it precise.TL;DR: If the rest on the block is closed, it's not the worst option, but we probably won't return to this spot. Make your own judgement.",0,0,0,Peter R.,"Manhattan, New York, NY",1,15,8
1.0,12/16/2018,"No money was spared in creating this vaulted space devoid of any personal touches or sense there might be an owner on premises. Whoever owns Kingside is phoning it in. I had an unmemorable meal when it first opened and tried it again yesterday on the off-chance it was a bad night. Nope. My omelette was swimming in cheese with a burnt piece of bread  and my friends burger was average at best. He had an ice tea and I had a water and it came to $70 with tip. An untrained waiter referred to the sushi as ""cooked"". Lord have mercy. Of course it's so fancy you have to ask for ketchup with your fries. I shan't be back.",1,1,0,Seamus B.,"New York, NY",44,102,40
1.0,12/12/2018,"Came excited and left disappointed. Ordered the ""eggs Benedict"" and a plate with half a muffin with half a boiled egg came out on a sparse bed of mixed greens. For $25 you'd think they'd equip with staff but we waited for coffees. Plus side is they serve ice in the water.",5,2,3,Megs S.,"San Diego, CA",82,209,244
3.0,12/2/2018,"I love the cozy gold-and-mirror glass interior of Kingside, the long bar right next to the front window for maximum people-watching, the amazing matcha cocktail, and, most of all, its prime location between my subway back home and my office. I also appreciate how the food is a nice medium between the more expensive restaurants (Marea one block over) and the fast-casual plague that's currently eaten up most of midtown. But, on that note, I wish they could do a better job of standardizing the prices with the portions or ingredients. For one thing, a few pieces of a vegetable roll should not be $15 when the most exotic ingredient is a Japanese pickle (which looked more like daikon). The shrimp tempura roll was okay but if you're going to up the price tag for some advertised black truffle, well, it'd be nice if there was a whiff of actual black truffle.The crowning achievement was the butter lettuce salad, consisting of maybe 8 or 9 leaves in total, doused with a teaspoon of dressing. I'll let you guess how much that was.  Saving grace was my matcha much cocktail. I love matcha drinks but I'm always wary of seeing it pop up in drinks, as the flavor can be too intense and bitter and overwhelm everything else. The matcha here was just enough to come out, balanced nicely by honey and lemon. Adding egg whites was also a good call, as it gave the drink a barely perceptible milky texture. Drinks are priced par for the course in midtown but I could have drank two or three. I'd come back but stick only to the drinks. One drink in particular.",12,3,5,Joy G.,"New York, NY",1203,824,173
