rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,5/1/2019,Love Love love this place! Honestly deserves more stars. Saw it on Facebook and decided to come in  -- didn't disappoint! Loved the meatballs (which are gluten free -- yum) and then had the cavatelli w/ broccoli rabe which wasn't as bitter as I thought it might be. And the lady from the Facebook video is sitting right there making pasta!,0,0,0,Juila K.,"Manhattan, PRINCE, NY",0,2,0
4.0,4/27/2019,"I very much like I Trulli. It has great food, nice atmosphere and good service. There are many dishes that I like. Try the Polpette, or the Octopus, or the Maloredus. No matter what you are eating it will be good. Bring friends, bring family, or sit at the bar. No matter where you are siting you will have a nice time, and be treated nicely. I would like to see the owner Nicola a  more often, the place seems a bit empty without him.",0,0,0,Randall M.,"Manhattan, New York, NY",0,37,0
5.0,4/26/2019,"This is by far the best Italian restaurant I've ever eaten in my entire life! Warm lighting and a cool environment. It may not seem like the most kid friendly place but you'll be greeted by the hostess who grew up in the restaurant that her dad owns all while her grandmother makes pasta there by the bar.  The servers were attentive and helpful. we were served a sun dried tomato bread with ricotta and oil-amazing! We ordered the orecchiette with rabbit ragu and the malloreddus with saffron, sausage and tomato sauce which were both exquisite. And the desserts are to die for. I would move to New York for this restaurant alone. 10/10-absolutely recommend to anyone looking for real authentic Italian food and hospitality.",0,0,0,Thomas D.,"Solomons, MD",82,3,3
4.0,4/20/2019,"Saw this restaurant on a good show and was intrigued. We went last night and had a wonderful dinner. We shared 3 appetizers- amazing beer salad with pistachio and ricotta, meatballs and fried seafood assortment. All were fantastic! I had the orchietta with rabbit ragu which was delicious and hubby had swordfish with canellini- perfectly seasoned. Fresh and clean tasting. Beans had great texture- not mushy.  Desert was a rhubarb cake with pistachio gelato and a pecan tart with caramel gelato. Both delicious but be forewarned- kind of a big portion.  Usually it's the opposite! Why a 4? My orchietta would have been so much better with pepper and cheese- neither of which were offered. Yeah, I know. Get over myself-- but it was a small portion and was $28. It would have been much more enjoyable.",0,0,0,Sharon C.,"Montclair, NJ",111,40,2
2.0,4/17/2019,"Its an old standby and the atmosphere is great. The staff is super attentive and really did their best to make our dinner a pleasant experience. However the kitchen has not kept up with the dining scene in NY. The menu is excellent and has great choices but the preparation of the food was not great. The simple salad was overdressed and not as fresh as I would have expected. We send back the swordfish because it was really overcooked and dry. The skirt steak was slightly over salted and again an overdressed salad. Too bad, hopefully we just picked a bad night for the chef.",1,0,0,Gijs V.,"Manhattan, NY",0,169,0
5.0,3/18/2019,The burrata with truffles and the orecchiette with rabbit ragu were f*cking delicious.,0,0,0,Ay K.,"Astoria, Queens, NY",1,128,8
5.0,3/14/2019,"i Trulli has dim lights, ambient music, and flowing wine - perfect for a date night or hangout with friendsThe restaurant in Flatiron was packed on a random Thursday night. My girlfriend and I got seated next to a roaring fireplace, complete with freshly cut logs. Don't get me wrong, the restaurant evokes more of a bustling trattoria than a library, but there's a certain charm anyway.We shared two pastas (appetizer size), 2 entrees, and 2 desserts. 1. Rabbit Ragu Pasta - amazing and hearty with a texture like gnocchi2. Crab Artichoke and Jalapeño Pasta - even better bite in a rich butter sauce and generous amounts of crab3. Roasted Rabbit - a little light but a good portion4. Scallops - highlight of the night. Cooked to a buttery texture and a rich flavorThe desserts were also great! We got the tiramisu and Nutella calzone. Oh and we shared some red and white wine that the waiter recommended.Overall, i Trulli was a positive experience with memorable pasta dishes and scallops.",1,1,0,Eddie C.,"New York, NY",853,215,192
5.0,3/12/2019,"Went here on a Monday night. Food was so fresh, so flavorful. Pasta was simply amazing, and cooked to perfection. Everyone from the hostess to the bartender, waiter and bus guys, everyone was so attentive, kind, and warm!We look forward to going back in the warmer weather when the garden room is open. this place is fantastic and should be on everyone's top 3 Italian restaurants to eat at in NYC!",0,0,0,Nick G.,"Massapequa, NY",30,15,1
1.0,2/17/2019,I totally agree that I was blown away by the food.  The only difference from the above review was that it was my own gas that did the blowing.  This place is a disgrace.  The food was inedible.  The wine was un drinkable.  They charged $95 for a $14 bottle of wine.  I double checked it on the internet while I was there.  My party literally had to get up and leave.  The food was less appetizing then dog poo.,0,1,0,Ryan G.,"Staten Island, NY",0,18,4
5.0,2/3/2019,"Seated near wonderful blazing fire ..and started  with grilled octopus . So yummy and tender , we ordered a second one. then to orrichette with rabbit ragu ..lived up its reputation. we also shared ravioli in what they described as pesto sauce but it was far more subtle and lighter than that ..dessert was gelato and a chocolate torta ..EXCELLENT service contributed to wonderful meal..will return and will also try the sister restaurant next door that features Tuscan food with Boar .Owner is present and active and spoke to us at length..all around great night  will return",0,0,0,Trish G.,"Lagrangeville, NY",0,17,0
