rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/14/2019,What an exceptional experience!!! I was going into the city for a Billy Joel concert and decided what better way to kick off the night than with a great dinner for my fiancée. Il Postino blew it out of the water. From the moment we walked in we were welcomed and taken to our perspective table. We sat down and a beautiful spread was placed before us as we sipped some wine and ordered our entrees. I ordered a chicken parm with a side of angel hair and vodka sauce and I can easily say it was probably the best chicken parm I've had. My Fiancée ordered the Chilean sea bass with shrimp and lobster and she was extremely satisfied. We will DEFINITELY be coming back!!,0,0,0,Nahon T.,"Rutherford, NJ",161,10,13
5.0,3/20/2019,"We live in the neighborhood and come here often. What really sets this place apart is the customer service and the fact that they will make virtually any Italian dish you ask for, even if it is not on the menu. Do you feel like a particular pasta and sauce, such as linguine with clam sauce or ravioli and pesto? If you ask your waiter, there is a very good chance that they can make it!This is not a trendy restaurant that everyone knows about, so it tends to be mostly locals. Come join in and be pleasantly surprised!",1,0,0,Sarah M.,"Manhattan, NY",1,37,0
4.0,3/8/2019,Awesome spot near to work on its costumer service.. felt like I had to wave down or server to many times. And I had to ask for the check way to long since we were done with our meal and they could see that and still waited for us to ask for the bill even though the couple next to us got there after us and left before us... but the food was great..,0,0,0,Richard M.,"Oceanside, CA",129,4,8
3.0,2/16/2019,"Went here for restaurant week but was not too impressed with the food. As soon as we walked in it felt like they were annoyed we were ordering from the restaurant week menu (as opposed to the full menu). It got worse when we decided to order a glass of wine as opposed to a bottle of wine. Nonetheless, the food was good. The fish was very tender and not over cooked. Red snapper was not very flavorful however the salmon was very delicious. The best dish was the calamari and salmon ravioli- very flavorful. The calamari was fresh and sauce was not too acidic or salty - just right. The ravioli was cooked perfectly and the pink sauce was delicious. What was out of this world were the desserts- all three were very delicious and fresh. I was disappointed they ran out of tiramisu however the other desserts were amazing. Don't think I'll return but good dishes available.",0,0,0,Vani T.,"Wantagh, NY",98,68,194
2.0,2/14/2019,"Just dined recently..Prices up,food and service mediocre... sorry expected more from an iconic Italian restaurant..disappointed.",0,0,0,W M.,"Manhattan, New York, NY",0,3,0
5.0,2/5/2019,"Randomly picked new place during NY restaurant week and couldn't be happier with my choice! Service was excellent. Food - to die for! Music nice and soft, so we could talk to each other easily without raising our voices. Every detail of my experience was perfect!",0,0,0,Ksenia P.,"Manhattan, New York, NY",1,19,12
5.0,2/5/2019,"Wonderful classy Italian restaurant great for dinner with friends, family or a date.Service.  Bartender, hostess and servers were extremely friendly and attentive from the time we arrived to the time we left. Ambiance. White linen tablecloths, black chair covers and small fresh flowers on the tables contributed to a comfortably formal and classy atmosphere.  The table where we were seated couldn't have been more perfect, set apart from the rest, private feeling, and overlooking the tables on the first level of the dining room. Food.  We had dinner here restaurant week, and everything was great.  - bread with oil- mussels in a light broth - fantastic - burrata- very good - veal- tender, excellent - seafood with green and white pasta- the pasta was cooked perfectly, and the sauce was delicious. - tiramisu- - chocolate cake- deliciousDefinitely recommend for a great italian dining experience with outstanding service.",44,22,46,Lisa F.,"New York, NY",379,486,1198
1.0,1/29/2019,"We went to Il Postino for lunch during Restaurant Week. For starters, the service was terrible. The food was mostly pretty good but not great--only the bread was great. The menu online said they were offering a 3-course lunch, including dessert, during R.W. But the restaurant menu said the lunch was only 2 courses. I hate this kind of bait and switch. I showed the menu I printed out to the waiter before we ordered dessert, and he said no problem. But, lo and behold, the bill included extra charges for the desserts. Another waiter came over THREE times trying to get us to pay extra for the desserts.This ruined the experience for me, and we won't be returning. You have to stand by what you advertise. No one needs this kind of aggravation.",0,0,0,Sharon K.,"Manhattan, NY",0,17,0
2.0,1/25/2019,"We had dinner and the prices were outrageous.  We ordered a cup of coffee and a tea after dinner and it was $17.00!  The food was good but not sublime.  The ambience is outdated, not old world...big difference!   I think this must be where you go when are on an expense account.  The waiter recited a mile long list of specials which was rather gimmicky.",0,0,0,Meralee S.,"Manhattan, NY",1,8,0
1.0,11/8/2018,"Terrible restaurant. The staff is better suited to a 24 hour diner night shift. Burata is a month old but they are lying about it. Overpriced considering how bad it is. It is not even an average restaurant, They bring rotten tomatos with cheap vinegar. Ripp-off",0,0,0,Burak Y.,"San Francisco, CA",0,1,0
5.0,11/6/2018,"I live in Southern California but have been coming to Il Postino since the late 1990s.  There was a period of time where my business took me to NYC several times a year, and I would frequently dine at Il Postino.  After several years away, I recently stopped in for dinner.  The servers and Luigi remembered me and it was like ""old home week"".  The food at Il Postino remains the best I've ever had in NYC.  The truffle ravioli is off the charts and the wine list is exceptional.  Having a unique restaurant like Il Postino where I can bring customers and get an amazing meal with unmatched service is the greatest!  I've had evenings where I've had 10 people for dinner and quite dinners with my wife.  In every case, Il Postino and Luigi were exceptional and exceeded my expectations!",0,0,0,Robert O.,"Orange, CA",0,21,3
4.0,9/22/2018,"I think what set's Il Postino apart from other similar establishments is the service. There was no question that not only had our waiter worked there for years and knew the menu like the back of his hand, but he was overly accommodating in substitutions and off menu items.Our dinner started with some lovely prosciutto and burrata, and my dinner was followed by some epic seafood stew. This spot is a little off the beaten path and totally worth it for the experience. Ask to get a table in the back if you want to talk as it can get a bit crowded by the bar.",1,0,1,Dustin H.,"Toledo, OH",191,533,1516
2.0,8/13/2018,"I took my son here for dinner last night and was looking forward to a nice meal.  As it was quite hot and humid we didn't mind being seated away from the open windows onto the street at a table with more air conditioning.  Unfortunately it took some time to realize that we were seated in ""Siberia"" and the locals were seated downstairs.  Initially not a big issue but we found that after we placed our orders, we were basically ignored for the night except for food delivered to our table.  We had the restaurant week menu which is a good deal at $42 considering most of the entrees are $40-$50.  We did have 2 drinks and an extra appetizer so we hoped that would show that we supported the restaurant.  Not so and we had to chase down our waiter for the check.  Food was ok to good so probably not coming back.",1,0,0,Robert M.,"Briarcliff Manor, NY",0,7,0
4.0,8/4/2018,"We came for restaurant week:Appetizers: - Veal : my friend who texted it jut kept saying,""this is really good"" over and over. - Eggplant parm: also well portioned with eggplant to cheese ratio! Solidly flavorful - Lentil soup: we found plastic in the soup. The waiter was very nice and replaced it quickly but still... you lose a star on yelp for thatMains- Pappardelle: this was good, and I'm not usually a big fan of mushroom but it was in good portions and not overwhelming. The pasta itself was perfect!!!! Seriously!!All the main courses were fantastic! Desserts:- everything is great... EXCEPT the ice cream, which was weirdly grainy and disappointing.",2,1,1,Tulsi M.,"New York, NY",235,82,48
