rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
4.0,4/28/2019,"The first time I came to this restaurant was back in 2014 to eat fugu (puffer fish). There's not that many fugu place in the states and I haven't eaten it for so long since I left Japan, so I was so excited to try fugu at this place. We ordered Fugu course which included fugu sashimi, fugu karaage, and fugu nabe. Honestly the whole course was quite disappointing and it was the worst fugu I've ever had. And after years I came back to this place again for lunch as I was staying right next to the restaurant. This time I ordered tempura soba and I was pleasantly surprised as both soba and tempura far exceeded my expectation. The noodle itself was very well made and I liked the kakiage tempura so much. I don't know how's other food at this place except fugu and tempura soba but I highly recommend their soba and if you want to have an authentic fugu, this is not the right place.",1,0,1,Ava L.,"Los Angeles, CA",152,79,387
3.0,4/4/2019,"I ordered duck bowl with saki wine. The Food is  OK, but pricy too much. Not worth it.",0,0,0,Qingchao M.,"Stamford, CT",0,5,3
5.0,2/3/2019,"Had an amazing experience at this restaurant. The staff were extremely helpful, friendly and accommodating. They helped us prepare and set up for my sister's 50th bday. I'm glad we went to this place to celebrate. We had an excellent time. The food was very good too. Very good presentation and very delicious. Would highly recommend this to everyone. We also have a 7mo baby and they made us feel comfortable and took care of our needs.",0,0,0,Ruth V.,"Manhattan, NY",0,11,1
5.0,12/1/2018,"What a fantastic experience.  Classic Japanese ambiance. Terrific service.  And, the food was fantastic.Our group had a variety of sushi, sukiyaki, udon, and duck hasamiyaki.  Everything was great...especially the duck.",0,0,0,David B.,"Manhattan, NY",2,81,426
5.0,11/2/2018,"Come here for authentic Japanese food.   You will know the difference after eating here - the food is spectacular. My friend and I shared the grilled duck appetizer, which was amazing, and a beef sukiyaki (also phenomenal with shiitake mushrooms, cabbage, tofu, etc.). The latter was served in a heavy caste iron bowl. I can't wait to come back and try other dishes.",1,0,1,Lori B.,"Manhattan, NY",28,123,670
5.0,10/18/2018,"The best japanese food I have had ever. I have been to japan and I have been to many japanese restaurant in bost east and west coast of all price range. This is truly the best in terms of wuality of food, service and the vibe",0,0,0,Tsa Y.,"Manhattan, NY",35,99,84
5.0,8/27/2018,I was really excited to find out that they have Puffer Fish (Fugu) on the menu. It was an amazing experience. Vice president told us an interesting story of about it. I would definitely recommend this restaurant to a friend. Great food! Good people! - Andrey,0,0,0,Jacob C.,"Springfield, IL",0,21,0
5.0,8/7/2018,"If you're in the mood for old school and traditional Japanese meal with kimono wearing servers, then this is the place to check out.  Open since the 1960's, this is one of the oldest (if not the oldest) authentic Japanese restaurant in New York.  Touted as the birthplace of the now popular negimaki (beef negimiyaki), which is beef wrapped around scallions, I can see why this classic spot still opens their doors today after so many years in business.  If you're ever going to try something new or want to experience the original, why not try the place that seem to have spearheaded Japanese cuisine into the American market?  Their beef negimiyaki or negimaki, however you spell it, the taste of the dish here at Nippon is one above all others.  We also tried their sukiyaki, which is a very sentimental meal for my wife and I, was prepared skillfully by the nice lady in a kimono.  Salty but savory, the beef was cooked tender and the aroma of the sauce and the meaty juices were perfect with rice.  Brings back memories of visit to Japan.  Puffer fish (fugu) was also on their menu, and not having tried it while overseas, we ordered a plate.  Though the flavor is not strong and actually a bit on the bland side, the texture is where the uniqueness of the fish really stands apart from other sashimi.  A bit chewier and a blend between a raw piece of fish and a squid, the texture is complex but not in a weird way.  The ponzu sauce gave the piece of fugu some flavor.  Like a trip down memory lane, but tastier, Nippon reminds me of the fun times I had in Japan and the delicious food I tried there.  Hopefully they'll be around for many more years.",10,2,5,Louis N.,"New York, NY",375,218,459
5.0,8/1/2018,"I read that Nippon is the oldest sushi restaurant in North America, or New York City, or something along those lines.  Suffice it to say, I was pumped to eat here. The decor is kitsch and servers are dressed in traditional looking Japanese garb.  The food is all excellent.  I tried the July 2018 kaiseki tasting course and it was delicious. It included vegetarian small plates, soup, sashimi, fried crab, cooked miso cod, and more.  I didn't know what half of the plates were, but I enjoyed them all.  Highly recommended!",1,0,3,Dimitrios D.,"Queens, NY",17,458,667
5.0,5/29/2018,"My review is just for the sushi and sashimi. There was fresh sea eel, which isn't so common to see kn sushi restaurants - It was so soft and delicious. Their sushi overall was fantastic, and I am already reserving my next meal here! Will try their noodles next!",1,0,1,Christine H.,"Manhattan, NY",48,142,170
