rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
1.0,4/28/2019,"Oh my god, what a disappointment. As serious middle-eastern food lovers, we came here expecting a wonderful Sunday brunch. The photos advertised here of the restaurant looks are completely the opposite of what it really looks like- very sleepy and plastic decor. The 1 star is given to the charred eggplant dip and our nice server+runner. However, the food and drinks service was very slow. Do not expect to get a good alcoholic drink here, there is no bartender (on a Sunday brunch!). Ordered the mezze and shakshuka. The mezze pitas were advertised to be with zaatar- they were not. The supposedly poached eggs in the shakshuka were completely hard boiled, filled with at least 20 whole garlic cloves. And the absolute worse thing is the pita that came with the shakshuka were 100% warmed up in the microwave, which means they are not fresh and they were super chewy. I worked many years in Israeli restaurants and I am Israeli myself so it's very hard for me to accept the fact that this is an Israeli chef's restaurant. Very disappointed. Very unpleasant experience.",0,0,0,Dana B.,"Manhattan, NY",90,19,14
1.0,4/13/2019,Terrible service. Great ambiance but the lack of service left a bad taste... ended up getting my own drink at the bar which does not accept cash. There isn't variety of food available. The food that is available leaves an awful after taste in your mouth. They request to keep your card on file for the tab without returning it to you until you finish paying.,0,0,0,Samouthy B.,"Cheektowaga, NY",71,2,0
5.0,3/1/2019,"My wife and I had theater tickets on 42nd Street and we were looking for a quiet restaurant in the vicinity when we discovered the Green Fig, located on the 4th floor of the Yotel on 10th Avenue between 41st and 42nd Street. The menu has a wonderful selection of Mediterranean dishes and we were both impressed with their descriptions as well as the choices that we made. We started with Fried Cauliflower with a lemon cream sauce that was so delicious that we were in culinary heaven! We also shared: King Oyster Steak and Ceviche Fattoush!The views were lovely, the staff professional and we will be going back soon to sample more of their menuWe just came back for our third visit and every we dine here, we LOVE it more! The service staff are amazing and their chef is brilliant!",1,0,1,Arthur G.,"Scarsdale, NY",55,165,146
3.0,2/14/2019,"Just ok. Nothing special and not worth going there unless in the immediate area. The food is Middle Eastern and North African. But, it was surprisingly bland with none of the powerful flavors you'd expect f. If staying at that hotel it's perfectly adequate.",0,0,0,Philip A.,"Manhattan, NY",0,41,1
2.0,2/12/2019,"In a city of so many options, skip Green Fig unless you order the kale and quinoa salad (that was quite good). Extremely slow service (including several requests for tap water) experienced and bar drinks that come after the main meal. For brunch the poached eggs were ""well done"" aka hard boiled and for dinner the falafel salad was crisp. Also had trouble processing check correctly (charged same card twice). Very disappointed in lack of quality and service.",0,0,0,Melissa O.,"Dryden, NY",0,18,2
1.0,1/26/2019,"While staying at the Yotel on 10th Avenue I asked about the breakfast buffet advertised as 14 dollars including regular coffee. Of course, before taking a seat, the host gave me this information. I had asked the hotel staff for other options as well, but decided that a buffet including coffee wouldn't be bad considering I had just flown in from Frankfurt. The staff was unprepared at opening. Things were on the floor, etc. I waited another ten minutes before I got my food. The waitress gave me my bill and it was 20 dollars. After going around and around about the lies they told me, it ended up being 19 dollars. Gee, thanks.I told them off and the manager said, ""F***your mother. Wow. Obviously, I'll never step foot in that place again.",0,0,0,Sylvia V.,"Columbus, OH",22,10,0
1.0,1/21/2019,"If I can give to this place 0 starts I would. Not even for the food which is not a big deal; I tried the burger $ fries for $17 and it was a totally waste of money...even Wendy's do better. The mayor problem in this restaurant his how they treat employees and staff whoever  is not "" close to the manager or her friend "" I wouldn't recommend this restaurant to any of my friends for families... I don't wanna make them have a bad experience.",1,0,0,Jorge S.,"Manhattan, New York, NY",28,3,0
5.0,1/13/2019,"I tagged along to the Boy Band Brunch with 5 friends on a Sunday. The Mezze plate was incredible, A+ hummus grade given by the Mediterranean's at the table. The Brioche Benedict was super tasty, and we discovered that they WILL make a medium rare steak correct.But honestly, the best part was our server, Blessing. She served face along with our brunch. She brought us everything we needed and more. No need to count your blessings because you really only need one.10/10 would do this brunch again.",0,0,0,Lisa C.,"Castro Valley, CA",78,4,0
1.0,12/18/2018,actually at a show right now. and they have this method where they have lamps on all the tables. When you turn the light off it means you're in need of something and a waiter will come to you. and the show is still going on and I've had this light off since the second song. we're on about song number 7. Still no waiter to come by. Wow honestly. As someone who works in the industry I'm annoyed and grossed out that this is acceptable l. Won't be back . Finished the show with nobody coming by the way. Couldn't even get a glass of water,0,0,0,Vanessa C.,"Paramus, NJ",271,3,0
1.0,12/16/2018,"Everything about this restaurant is wrong.- Online descriptions fail to tell you that it is located in the Yotel, which is an economy hotel. - Despite the fact that we may have been his only table, our server wanted to be somewhere else besides serving us- Ingredients for the mezze plate were mixed in another century and were mediocre at best. When we asked for more pita bread, we were told that would have to pay for a seperate Pita bread order. - The Burrata is smothered in poor-tasting smears and jellies- Despite being marketed as a mediterranean restaurant, the Kebabs were overcooked and terrible. They were supposed to be different meats, but were all the same. - The mixed drinks featured on the cocktail menu were weak and had very little alcohol",1,0,0,Kevin M.,"Manhattan, NY",0,4,0
2.0,12/9/2018,I do not recommend having breakfast here unless it's the convenience of staying in the hotel.  We ended up paying $60 for two people to have a standard breakfast.  What a waste and service was terrible.,1,0,0,Sue O.,"Manassas, VA",2,9,0
3.0,11/22/2018,"I decided to take my mother here for Thanksgiving dinner. The restaurant was clean and fancy. It was a tad empty however. Our waiter Angel was very nice and accommodating. We ordered tea it was very aromatic and delicious. I ordered the Thanksgiving 3-course meal: pumpkin soup, the pork chop, pumpkin spice cheesecake. The pumpkin soup was delectable -- hands down, the best item on the menu! There were roasted pumpkin seeds that gave it a good flavor. The pork chop was good, but a little dry. The pumpkin spice cheesecake was good. My mother ordered the meatballs and green beans. The meatballs had a good flavor, but they were chewy and very difficult to swallow. In addition, the green beans were bland, stringy, and still had the ends on them. We asked for Angel and told him about the situation with meatballs. Angel spoke to one of the head waiters, and the head waiter told Angel that he's never had a problem with the meatballs before in Spanish. funny thing is that we understand Spanish and we knew that he was gossiping about our issue. Then the head waiter comes to the table and says ""Oh hi how are you sorry that you weren't satisfied with the green beans!"" this is extremely superficial. Don't talk about us in Spanish and then try to mediate the situation in English. I appreciated that they didn't put the meatballs on the bill and they replaced it with spare ribs that were not that great either but oh well. Overall, I would not recommend this place and I am not coming back. Angel was the star of the experience, I think he's a phenomenal waiter.",0,0,0,Epiphany C.,"Manhattan, New York, NY",0,9,1
3.0,11/21/2018,"Green Fig tries, but it's just not up to the task. The Humshuka was bland and tasteless. The Home Fries were decent, but nothing I couldn't get for less money elsewhere. I did enjoy my Watermelon Bellini, so if you're only looking to get liquored up, this could be your spot.",1,0,1,Josephine L.,"Manhattan, NY",620,1619,20
5.0,11/11/2018,"I loved going to this place for brunch! Highly instagram-able and great service from our waiter. My friend and I ordered the bloody marys (reasonable at $7 each), the shakshuka and the chicken club sandwich with sweet potato fries. Very good portions and delicious food- we'll be back soon!",0,0,0,Aimee A.,"Manhattan, NY",320,14,6
4.0,11/9/2018,"Great example of New York dining for tourists. Pretty bland food. The staff is excellent and welcoming, very good for out of state/town visitors.",0,0,0,James H.,"Los Angeles, CA",47,169,128
2.0,10/29/2018,"Stayed at this hotel and wanted to get some take out dinner. I Ordered the cheeseburger and fries. Burger was quite thick and had zero flavor, like no seasoning at all. Fries as you can see in the picture I attached were not cooked thoroughly. Some parts of the fries you can see are still raw. It was 15 mins before closing. Customer service was ok. I asked for side of mayo and ketchup when I phoned my order in, they forgot the mayo. Good thing I checked before I left. There are No pickles on the side. Just a piece of lettuce. No special sauce on the cheeseburger. For $19 check out my picture to see what you get. I've had better burgers from In and out or other small hole in the wall spots.",1,0,0,Michelle W.,"Riverside, CA",12,78,265
5.0,10/23/2018,"The dishes are a myriad of distinctive flavors. The dishes are seasoned with spices directly from the region and feature ingredients that are fresh and locally sourced. The experience at Green Fig was kind of like having dinner at someone's house.  Family style, the dishes are meant to be shared and food arrives, as it is prepared, in no precise order. I absolutely loved the food. The ingredients gave every dish a zesty taste and you could truly savor the variety of flavors in each bite. The menu is unique with some of the favorite and traditional Mediterranean dishes like hummus and chickpeas, but the way they fuse these dishes is what makes Green Fig truly one of a kind.Read more on my blog: cessiecerrato.wix.com/ce…",0,0,0,Cessie C.,"Manhattan, NY",370,158,415
4.0,9/11/2018,"I really did love the aesthetic of this restaurant and thought it was super cute. They were great with accommodating our party of 10 girls and the food was pretty good as well. We ordered the dips for appetizers and I ordered the chicken for my entree. It is a little on the pricy side, so I don't know if I'd come back frequently here, but it was nice for this occasion!",0,0,0,Danielle S.,"Hackensack, NJ",353,69,47
1.0,8/21/2018,"DO NOT GO HERE.  I ordered a ""quinoa burger"" that came with ""avocado salad"".  After waiting for literally 45 minutes, here's what they brought:   A pile of quinoa in a bun and lettuce on the side. The quinoa was literally just in a pile.  A) how is that a burger?  It didn't even stick together, 2) how are you supposed to eat a pile of quinoa in a bun when it all just falls out, 3) who the hell wants to eat plain quinoa in a bun.  And the ""avocado salad"" featured lettuce drenched in dressing.  Not an avocado in sight. Takes a lot of nerve to serve that.  What a joke.  This owner of this place should be ashamed.",4,0,0,Ayatollah K.,"South Williamsburg, Brooklyn, NY",0,12,1
4.0,8/15/2018,"Bit of an odd brunch experience--almost like nobody knows they serve brunch (including some of the staff)--but overall I'd come back.We followed the sign up the elevator and to the left, arrived in an empty bar area and someone asked if they could help--I said we have a brunch reservation and he pointed us out to the terrace, which was also emptier than expected but actually not too bad since we were in the shade.I was sad to see the falafel waffle wasn't on the menu, though it was online and what I wanted! However, the mezze platter was great. We shared but I could've eaten that as my meal. Just a big fan of that variety of dips.I enjoyed my burger, though I don't know I'd call it medium-rare, which is how I asked for it. My friend got the brioche Benedict which was pretty awesome (though note the one egg, not your standard two...).Would love to come back for the falafel waffle if they serve it again!",0,2,0,Leah E.,"Hell's Kitchen, Manhattan, NY",1,20,36
1.0,8/12/2018,"My friend made a reservation here for a late lunch before a broadway show. When we arrived, we were told the restaurant was not seating tables and to go across the floor to the lounge. The lounge only had outdoor seating and on a hot, muggy day was not what we were looking for. Why accept reservations for the restaurant if you aren't seating? We left and went to West Bank Cafe down the street.",1,0,0,Brianne F.,"Huntington, NY",19,58,33
4.0,7/5/2018,"Went here a few days ago to celebrate my friends bday! I was here a few months ago with my uncle who did a photo shoot and loved the place. When my friend said let's meet for bday drinks but wanted something near her Job I immediately thought Green Fig is perfect! We met and wanted to sit outside but because of this darn heatwave we sat inside. Food and drinks were good ( that pineapple drink was yummy!) but I think the outside sitting area is the reason people flock there! It's a beautiful setting, the decor is great and you can literally spend hours there! If you are looking for a nice rooftop bar I totally recommend it!!",0,0,0,Reen A.,"Manhattan, New York, NY",43,27,16
5.0,7/3/2018,"Lovely rooftop bar on top, really liked the decor. Comfortable lounge chairs, big lamps, movie screen and games. Katherin on the bar is an absolute sweetheart and took care of our group. Making bespoke cocktails catering to every need.",0,0,0,Rudy C.,"Loire-Atlantique, France",0,20,0
3.0,6/24/2018,"Our group of 34 dined here as part of a package to attend the Lillias White cabaret! The development staff of our theatre group worked with the venue on the odd menu! Salad choices were either watermelon with feta cheese or mac and cheese... weird in my opinion! The offering of mackerel was actually rather tasty.  Dessert choices did not pair well with the salads and entrees! I must say,  the table wine was limited but served liberally! For the most part, I questioned the cleanliness of this venue! Many in our group voiced concern over the open unisex facilities...hostel style!",2,0,0,Lee P.,"Mesa, AZ",1,182,98
5.0,6/20/2018,You won't see this from street level but seek it out. What a creative selection of appetizers and main courses. Everything is fresh. Try the flatbreads and the cauliflower appetizer.,0,0,0,Mark Z.,"Scotch Plains, NJ",113,50,16
1.0,6/3/2018,"I made a reservation for 5 people for brunch here. When I arrived, they told us that they didn't seat tables for brunch and we would either have to sit at the bar or on lounges. Someone in my party had a disability and would only have been able to sit at a regular table, but I was (rudely) informed by the host that they don't actually have tables for brunch. I was very surprised since I had specifically made a reservation on opentable. Will not be going back here, which is very annoying because it's very convenient to get to.",0,0,0,Gabriel S.,"Cambridge, MA",0,1,0
5.0,5/7/2018,"The Green Fig was a pleasurable experience for my wife and I. They have a great selection of delicious dishes for breakfast, lunch, & dinner. The waiters and waitresses displayed a pleasant professionalism that made me feel both at ease and welcome. They were genuine in their concerns about my happiness at their establishment and made special accommodations when necessary for my wife who has a dairy allergy. Though the food is somewhat costly, I promise you that it will be difficult to forget the yummy flavors you will experience at The Green Fig.",2,0,1,Jason P.,"Queens, NY",0,5,12
2.0,5/2/2018,"I went here for a late dinner while staying in the hotel. I ordered the quinoa salad and a BBQ flatbread. Neither was good. The quinoa salad was overly salty and barely edible. The barbecue flatbread was flooded with barbecue sauce and I had to scrape most of it off to eat what I could. The only thing I asked of the waiter was a larger glass for my water (there was a bottle on the table,and a tiny glass). He said fine but never brought one.",0,0,0,Ryan W.,"Winooski, VT",3,16,3
5.0,4/30/2018,The bartender Nicholas is amazing! He is very knowledgeable and friendly! I asked for a custom drink and he definable delivered! I would come back just to get a drink from him! Definitely a 5 star bartender!,0,0,0,Christina D.,"Norwalk, CA",1,5,3
5.0,4/17/2018,Stacie and AJ at the Green Fig were absolutely great and their service was top notch.   A must go to if you are in the area and ask for them at the bar!!  Ambience and drinks were great!,0,0,0,Greg S.,"Olathe, KS",0,1,0
1.0,4/5/2018,This place is horrible the except for the servers as far as management and the owners go they are disgusting unprofessional and don't know how to run a business... if I could give no stars I would,0,0,0,Destiny D.,"Midtown West, Manhattan, NY",21,10,1
2.0,4/4/2018,"The service here is horrible. No one knows how to pay attention to guests. Being located in a hotel, it is its own restaurant, so nothing can be charged for room service and they cannot make a delivery to any rooms in the hotel, despite the fact that their kitchen is an elevator ride away from hotel guests. This morning I ordered a fruit bowl and tea, specifically asking for honey and lemon. The person I spoke with said they would be included, but I still didn't get any honey or lemon, and the tea was served in a tiny cup, with a tea bag. They told me that's the only size they offer. When I reached to get my bag of food, the hostess thought I was trying to shake her hand, and was a bit shocked and awkward when I reached for my bag. I came in later that day, asking for a glass of water. I took a seat in a booth, and the hostess puts the water on the bar and says there's your water, even though I was sitting in a booth. I had to actually TELL HER and the waiter to bring the glass of water to me at my table. These people are in the service industry, and they really need to step it ALL UP. At dinner, I had to run up to my room to make a phone call, and told my waiter I would be back. When I got back everything was cleared away, including my half glass of wine. Please be aware this restaurant's  service needs improvement. The managers/ owners need to train their staff on hospitality and how to be detail oriented. I've never seen such disassociated waiters in my life. They really need to shape up. I'm not one to write reviews either, but this restaurant really deserved it.",0,0,0,Rishi G.,"Desert Hot Springs, CA",0,3,0
5.0,4/1/2018,"OMG this place was ridiculously good. We, the family, for the first time in 15 years needed a place to have Passover dinner. When my Mom said Yotel, I went ... huh? (Didn't tell her that) I've been to the green fig before (it's on the 4th floor).  I only had drinks. They make good drinks. I never would have guessed the food would be good no great. So the mezzo came and it looked like a Seder plate ... oh wait Yotel is owned by an Israeli corporation. The food tasted authentic and then the wine and beverage manager walked by. We asked about the Chef ... guess what he is Jewish. He was Israeli. Everything was his grandma's recipes. I am going back to see what the food is like not during Passover.",2,0,2,Michael N.,"Brooklyn, NY",34,71,60
2.0,4/1/2018,"The food was bizarre and the ambiance was quite strange. Although the waitress was sweet, we felt uncomfortable for the duration of the dinner, and left as soon as we could.",0,0,0,Aurora B.,"San Francisco, CA",0,5,0
4.0,3/31/2018,"This review is solely based on the breakfast at the Green Fig and not the dinner (however, their dinner and alcoholic beverage menu looked delicious). If convenient, I would recommend the Green Fig; however, I would not walk over half a mile or pay for an Uber to dine here. The breakfast menu is very, very simple. There were only a few items on the front and back; however, there was something for anyone (vegetarian or meat lovers). We ordered the chicken sausage wrap and the two egg breakfast (which included chicken sausages and bacon). The bacon was ginormous and the chicken sausage had a nice sweet taste to it. Medium well eggs normally end up runny in other restaurants; however, they were cooked to perfection here. The chicken sausage wrap was very filling and I was only able to eat two-thirds of it. It also came with a greens salad that had a light citrusy taste to it. The service was really good and everyone was super nice; however, it took a while to get a menu and check or the attention of the waiters in general. Other than that, I would highly recommend this breakfast spot to anyone, especially if they are staying in the Yotel since it is conveniently located on the fourth floor to the left of the elevator (You also get a $15 voucher for meals if you're staying at the Yotel)",1,0,0,Cynthia H.,"Henderson, NV",166,76,74
3.0,3/26/2018,EHHH. Dined here for Lunch & Dinner Came here for lunch on a Saturday afternoon. Walking in clueless thinking whether if we can sit ourselves or are we waiting to be seated. No greets from the staff behind the bar. No hostess around. Everyone was just nonchalant. Too busy having their own personal conversations. I told my significant other -screw it; let's sit ourselves. We sat. Both order the SDF Burgers. Boy was it salty. It was one of the saltiest burger I've had. Couldn't finish it- took it to go- why no idea; we didn't even have a refrigerator in the room so what was the point. Ended up throw out so much food. It was such a waste. I would have been happy eating burgers from McDonalds. Best part of the meal was the vanilla ice cream & water. Our waitress just was bleh. Decided to give this place another try for dinner on Sunday because we were too lazy to go out to eat elsewhere in the cold. Front hostess was friendly - let us sit where ever we wanted.Ordered:-2x Jameson Ginger-1x Jo-Jito-1x Margarita- Pork Belly- Soup Of The Day- Steak Frites - Market Lamb Beef Kabab Food was good nothing special. Our waiter seemed new he took my order but then forgot to take my s/o's order. It seemed like the floor manager (I think she was the floor manager) whom came over to check on us more than our waiter did.,8,1,8,Jennifer N.,"New York, NY",925,198,126
3.0,3/21/2018,The ambiance was great! I really liked the staff and the restaurant is hip and cool. The only thing is that the food is probably the worst Mediterranean food I've ever had. The taste was not there at all. They have potential. Just the food was a miss. Just because of that I wouldn't come back here.,0,0,0,Ella L.,"Hayward, CA",0,14,6
3.0,3/15/2018,"We booked rooms at Yotel for our seasonal fashion tradeshow trip and Green Fig being located on the fourth floor of the hotel, we decided 'WHY NOT'. We were disappointed.Food: mediocre and salty Mediterranean foodAmbiance: I really liked the interior of this place and their choice of art. They had a tree growing in the middle of the restaurant, I found their choice of paintings very unique and the ceiling also gave off a futuristic vibe to meet the hotel's theme.Price: . I found the place definitely overpriced for what it was worthMy colleague and I had: Yellowtail Ceviche ($14) - cucumber, tomatoes, onions, fresh herbs, pickled daikon, scallions, spiced za'atar pita croutons. There was nothing special about it, just tasted like salsaSkirt Steak ($26) - patatas bravas, chipotle aioli. This was quite disappointing and a waste of $26. The meat was super tough and they put way too much salt for their seasoning Laffa Kebab  ($16) - hummus, tahini, grilled vegetables",3,2,2,Jenny Yoorim C.,"Mission Viejo, CA",728,60,199
5.0,3/12/2018,"I had two experiences here.The first was a few afternoon drinks and an order of nachos split between my fiancé and myself. The drinks were strong, but not overbearing. We had chicken added to the nachos and they were SO good! The chicken was very flavorful and the nachos had a delicious pico de gallo on them.The second experience was great! We had brunch. My fiancé got the egg white spinach and feta omelette with home fries and I got the crab cake benedict. We both had mimosas with the meal. Very very good!",3,0,1,Josh O.,"Hudson, NY",8,6,15
1.0,3/8/2018,"Horrible service from the start. Waited at table for our server for about 20 mins before he came over. Drinks were extremely watered down and just overall bad. Then the food came and the burger came out as bland as can be for what they priced it at. Again service was pretty bad, poorly run and would never go back. Disappointed because it was at the hotel we stayed at so it was convenient.",1,0,0,Melissa M.,"Boston, MA",218,11,0
1.0,2/14/2018,"Really unsatified with our Valentine's Day dinner, really put a damper on the night. First, my $13 drink had half a shot in it, if I wanted a glass of juice I would have ordered that for $4.. Second, the carrots that were part of my bfs entree were charred to a crisp, they were so burnt he couldn't even eat them. Third, my entree was undercooked. I had the grilled fennel, which I personally make all the time, and it was so tough I could barely use a regular knife I should have asked for a steak knife. Out of the four course meal that was offered we were only satisfied with the appetizer, being the scallops. Fourth, the dessert we ordered, the chocolate mousse, was just smeared on a plate it wasn't appealing at all. The general manager came out twice, the first time giving us a 'complimentary salad' which wasn't good and we didn't eat, and then came out a second time giving us a 'complimentary dessert' which was ""creme brulee"". It honestly tasted like they made a pudding out of fruit loops. And now lastly, while I have absolutely no problem with this, there were drag queens walking in and out of the restaurant constantly, I guess putting a show on for Yotel Hotel, but it was so distracting and completely unprofessional. It took the focus off of what was supposed to be a romantic dinner and put the focus on something completely irrelevant. If we wanted to see a drag show we would have bought tickets to it. It honestly just ruined our night. We spend $120 for what should have cost at most $40. When we asked for the general manager at the end to discuss our check he was no where to be found. It was far from a nice or classy restaurant. Extremely sub-par. I don't recommend. I hope everyone else had a good Valentine's.",0,0,0,Nicole H.,"San Diego, CA",0,2,0
1.0,2/14/2018,"If I could give 9 starts tThis is one of the worst Mediterranean restaurants that I've ever tried. DO NOT COME TO THIS PLACE, it's awful. The food it's overly priced for how shitty it is. One of the manager or owners idk.. I believe her name is Alejandra it's the most rude, unkind, disgusting person, she doesn't not know anything about hospitality and customer service. My whole experience was ruined thanks to this lady that only cares about making money out of crappy food. Next time I'll prefer to go to a street kabob place than give my money to this shady and horrible business.",2,1,0,John A.,"Gardena, CA",196,4,1
5.0,2/11/2018,"Place was very casual but great. Came and stayed at yotel for a girlfriend's birthday. Came here to eat and had the lamb kabobs, roasted cauliflower, mezzo, and duck confit pasta. All of the sauces that came with the mezzo was excellent! So good! Except for the babaganoush bc it was too charcoaled. Andrea our waitress was super polite, professional, honest and great! The manager, Victor was awesome too! Loved the hospitality of this hotel especially at the restaurant. She was having issues & had asked for an ice pack. The Green Fig team was able to deliver! AMAZING! Top notch service! :) I couldn't eat the duck confit bc I was full from the lamb kabob. :) Took it to go. After paying we were walking out and the manager, Victor, was super sweet and chased us down and offered a round at the bar for my girlfriend's birthday! He was super sweet, professional and great! Staff here was super friendly. Food was great and the bartender, John was cute and sweet! Haha love the tats! Would definitely recommend this restaurant even if you're not a guest at the hotel. Thank you to the staff of Green Fig!",0,0,0,Charlene S.,"New Brunswick, NJ",5,45,73
