rating,time_created,text,useful,funny,cool,username,user_loc,user_friends,user_reviews,user_photos
5.0,4/17/2019,Great place !!! Food is fresh and delicious!! Service is amazing!! Ask for Jazmin if u go there. She will make ur night unforgettable!!!! I can't wait to comeback!!  Thanks to Milena the  for a great evening!!! I can't wait to come back,0,0,0,James D.,"Chelsea, Manhattan, NY",883,99,65
4.0,4/14/2019,"Came here with a group of friends in a rush, but the food came relatively quickly. The steak with truffle butter was a pretty good pick, and the sushi roll was amazing",0,0,0,Stanley Y.,"Scarsdale, NY",0,29,5
5.0,4/10/2019,"Stopped in for a quick lunch, only had a half hour and really wanted sushi. The staff was amazing: got my delicious Blessing roll in just a few minutes and was out the door with time to spare!The ambiance is warm, with gilded walls the if lobby of a beautiful boutique hotel. Highly recommend.",0,1,0,Gabrielle L.,"Manhattan, NY",107,6,0
2.0,4/6/2019,"5 stars for the great Caesar salads! The 2 stars is for the service. Like the other reviews we were seated and then abandoned for 20min. No server, no water, no acknowledgement, we had to go up to the hostess desk and ask if there is a server for our table. After another 5 min or so we got water and the server came over. I don't have her name because she didn't introduce herself with it. Anyways long story short, they brought 2 dinner rolls for a table of 3, got the 3rd roll after asking twice and our dinner was already served. One salad was made incorrect (asked for dressing on side and it came dressed). Never saw the server again. We told the guy who came to fill our water and he was awesome and took care of it for us. I don't know what happened to our server but she never came back and another server maybe took over? He was the one that brought us our check. The restaurant was also not very busy during our dining time. Food great, service needs drastic improvement",0,0,0,Amy M.,"Fair Oaks, CA",0,11,9
5.0,4/2/2019,The sushi was phenomenal! I had the shrimp tempura roll and Brussel sprouts and they were both great. The restaurant is small but cutely decorated. We went after a 7pm theater show and it was great. The hotel itself is cute and quaint and the drinks were delicious. I highly recommend the mule. We will for sure be back soon!,0,0,0,Lanae B.,"Los Angeles, CA",0,18,0
5.0,3/5/2019,"What can I say other than this restaurant is outstanding!  Their menu is a perfect combination of steak & sushi.  I recommend the Salmon Sushi as an appetizer, the Porter House w/ Mac & Cheese for dinner & the Creme Brûlée for dessert.  Tender is now officially in my top 3 favorite dining locations.  If you are visiting New York, this is a must experience.",0,0,0,Tyler H.,"Newmanstown, PA",0,8,0
5.0,2/25/2019,"When I think of good hotel restaurants, nothing really stands out! Tender Steak & Sushi changed my perception! Their food is really above the norm and there is creativity behind each dish! From their signature Heavenly chicken to Avocado fries or Salmon Burger! Today I tried the Salmon Burger and it was an A++ !! I would deff recommend this restaurant!",1,0,0,GB S.,"New York, NY",2,23,20
5.0,1/27/2019,"There is nothing to complain about.  Atmosphere was calming with plenty of light, staff was attentive, cocktails were unique and delicious, and the food was outstanding!!  We look forward to coming back again!",0,0,0,Cory R.,"Great Kills, Staten Island, NY",6,23,7
4.0,1/5/2019,Went to this restaurant for a birthday celebration for a good friend of mine . Restaurant is located in the Sanctuary Hotel NYC in the middle of the busiest locations in midtown ManhattanRestaurant is themed as sushi and steak however they have other optionsFood that I enjoyed was the chicken Parmesan and the sushi with rock shrimp on itOther people in my group enjoyed the branzino fish and the Atlantic salmon as well as the steak and sushiWe had a very attentive server who came through with waiting for our selections as well as bringing out the birthday treats right on time,0,0,0,Shirley T.,"Long Island, NY",68,113,421
4.0,1/4/2019,"We went to Haven Rooftop the night before for the NYE party, which was a wonderful experience. As we were leaving the guy at the door recommended we try Tender for dinner one night. We arrived for our reservation and were seated right away. It wasn't busy at all, maybe two other tables, but it was later in the night and also a week night. We weren't greeted for about 5 minutes and it took a very long time to receive our drinks. We had asked for a few things to compliment our meals that we never received and all in all the service was very slow and not at all memorable. The food, although the wait was also very long for that, was phenomenal and the size of the chicken parmesan was insanely large. We were very happy with the food and will definitely be back next time we're in the area, but hopefully with quicker and more attentive service.",0,0,0,Kelsey V.,"White Lake charter Township, MI",72,5,0
4.0,12/30/2018,"Cool place.  Super yummy for Times Square.  Nice interior.  RUDE AF waiter.  Our drinks took FOREVER to come out and we asked for a few things on the side that also took forever.  We asked about them and the waiter says ""MY GOD"" to another waiter as he walked by them.  Besides that all of the other staff seemed very polite.  I wish I remember the guys name, but he was maybe in his 40s, dark hair, short.  Rude.",1,2,0,Brooklyn R.,"Denver, CO",182,406,421
5.0,12/22/2018,"Came here with my GF for Bday and the expectations were surpassed! The service was great, staff was amazing and polite! Atmosphere was also cool and lay back which is what we were looking for. Food was also perfect from the avocado fries to the salmon everything was amazing!",0,0,0,Will C.,"Perth Amboy, NJ",39,19,2
5.0,11/25/2018,"Absolutely incredible dinner here, including the service! We got the Havenly chicken, the NY strip, side of Mac & cheese, and side of asparagus. One of the best meals we've ever had. sangria was fantastic as well. Too bad this place is in NY and I live in AZ or I'd be back in a heartbeat.",1,0,0,Kerin P.,"Peoria, AZ",34,36,7
